327476868259409922	positive	Cheets ! http://t.co/nh6ZZPhVuo schauen wir mal , ob der @RRRattle grad raus geht :) #fb	Cheets ! http://t.co/nh6ZZPhVuo schauen wir mal , ob die @RRRattle grad raus gehen :) #fb	NN $. NN VVFIN PPER ADV $, KOUS ART NN VVFIN ADV VVFIN ADJA NN	0/-- 1/-- 4/MO 2/-- 4/SB 4/MO 6/-- 4/OP 10/NK 8/NK 13/MO 11/MO 10/-- 15/NK 13/SB	_ _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=acc|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|gender=masc|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|num=sg|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Intensity=medium case=acc|gender=masc|num=sg
322427849086750720	negative	RT @Flaaaviiiiaaa : @_valoon huuuuui dass isch ja mol ganz schnüssig :) Hahahaahahah :*	RT @Flaaaviiiiaaa : @_valoon huuuuui dass isch ja mol ganz schnüssig :) Hahahaahahah :*	NE NE $. NN VVPP KOUS VVFIN ADV ADJD ADV ADJD ADJD ADJA NN	2/PNC 0/-- 2/-- 3/-- 7/MO 5/MO 4/-- 7/MO 7/MO 11/MO 13/MO 13/MO 14/NK 7/OA	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ Sentiment::markable_100500219::Sarcasm=false|Sentiment::markable_100500219::Polarity=negative|Sentiment::markable_100500219::Sentiment=True|Sentiment::markable_100500219::Intensity=medium Target::markable_100500220::Anaphref=empty|Target::markable_100500220::Target=True|Sentiment::markable_100500219::Sentiment=True|Target::markable_100500220::Preferred=true pos=True|Sentiment::markable_100500219::Sentiment=True Sentiment::markable_100500219::Sentiment=True pos=True|Sentiment::markable_100500219::Sentiment=True Sentiment::markable_100500219::Sentiment=True EmoExpression::markable_100500221::EmoExpression=True|pos=True|EmoExpression::markable_100500221::SubjectiveFact=false|EmoExpression::markable_100500221::Sarcasm=false|EmoExpression::markable_100500221::Polarity=positive|EmoExpression::markable_100500221::Uncertain=false|EmoExpression::markable_100500221::Intensity=medium|Sentiment::markable_100500219::Sentiment=True pos=True|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false|Sentiment::markable_100500219::Sentiment=True EmoExpression::markable_100500222::Intensity=medium|EmoExpression::markable_100500222::SubjectiveFact=false|gender=fem|*=True|EmoExpression::markable_100500222::Sarcasm=false|num=pl|Sentiment::markable_100500219::Sentiment=True|EmoExpression::markable_100500222::Polarity=positive|EmoExpression::markable_100500222::EmoExpression=True|EmoExpression::markable_100500222::Uncertain=false EmoExpression::markable_100500223::Sarcasm=false|EmoExpression::markable_100500223::SubjectiveFact=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_100500223::Polarity=positive|EmoExpression::markable_100500223::EmoExpression=True|EmoExpression::markable_28::Intensity=medium|num=sg|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_100500223::Intensity=medium|Sentiment::markable_100500219::Sentiment=True|case=nom|EmoExpression::markable_28::Sarcasm=false|gender=neut|EmoExpression::markable_100500223::Uncertain=false|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
328239676148314112	positive	@chonqiii du bist aber nicht ich weil ich die definition von awesome bin ;-))	@chonqiii du sein aber nicht ich weil ich die Definition von awesome sein ;-))	NN PPER VAFIN ADV PTKNEG PPER KOUS PPER ART NN APPR NN VAFIN ADJD	0/-- 3/SB 1/-- 3/MO 3/NG 3/SB 13/CP 13/SB 10/NK 13/SB 10/PG 11/NK 3/MO 13/PD	case=nom|gender=masc|num=sg case=nom|Target::markable_100500226::Target=True|Target::markable_100500226::Anaphref=empty|*=True|Sentiment::markable_100500225::Intensity=medium|Sentiment::markable_100500225::Polarity=comparison|pers=2|Sentiment::markable_100500225::Sentiment=True|num=sg|Sentiment::markable_100500225::Sarcasm=false|Target::markable_100500226::Preferred=false pers=2|Sentiment::markable_100500225::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_100500225::Sentiment=True Sentiment::markable_100500225::Sentiment=True case=nom|Target::markable_100500227::Target=True|*=True|pers=1|Sentiment::markable_100500225::Sentiment=True|num=sg|Target::markable_100500227::Anaphref=empty|Target::markable_100500227::Preferred=true _ case=nom|Sentiment::markable_100500228::Polarity=positive|Target::markable_100500229::Anaphref=empty|Target::markable_100500229::Preferred=true|Sentiment::markable_100500228::Sentiment=True|*=True|pers=1|Sentiment::markable_100500228::Intensity=medium|num=sg|Target::markable_100500229::Target=True|Sentiment::markable_100500228::Sarcasm=false case=acc|gender=fem|Sentiment::markable_100500228::Sentiment=True|num=sg case=acc|gender=fem|Sentiment::markable_100500228::Sentiment=True|num=sg Sentiment::markable_100500228::Sentiment=True case=dat|EmoExpression::markable_100500230::Sarcasm=false|EmoExpression::markable_100500230::EmoExpression=True|EmoExpression::markable_100500230::SubjectiveFact=false|gender=fem|Sentiment::markable_100500228::Sentiment=True|EmoExpression::markable_100500230::Polarity=positive|num=sg|EmoExpression::markable_100500230::Uncertain=false|EmoExpression::markable_100500230::Intensity=medium pers=1|Sentiment::markable_100500228::Sentiment=True|num=sg|tense=pres|mood=ind EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|Sentiment::markable_100500228::Sentiment=True|EmoExpression::markable_29::SubjectiveFact=false
322365344062795777	positive	Wie seh ich denn jetzt aus ? ;-)	wie seh ich denn jetzt aus ? ;-)	KOKOM NE PPER ADV ADV PTKVZ $. $(	2/CM 0/-- 2/SB 2/MO 2/MO 2/SVP 6/-- 7/--	_ _ case=nom|*=True|num=sg|pers=1 _ _ _ _ EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false
327515756285792257	positive	Da brennt die Luft :) ... Soothe My Soul von Depeche Mode http://t.co/jRqriDOd68 via @	da brennen die Luft :) ... Soothe My Soul von Depeche Mode http://t.co/jRqriDOd68 via @	ADV VVFIN ART NN ADJD $. NE FM NN APPR ADJA NN CARD APPR XY	2/MO 0/-- 4/NK 2/SB 2/MO 5/-- 8/PNC 9/NK 6/-- 9/PG 12/NK 10/NK 12/NK 9/MNR 14/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|EmoExpression::markable_31::SubjectiveFact=false|EmoExpression::markable_31::Polarity=positive|pos=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=pl|pos=True case=acc|gender=masc|num=pl _ _ _
328109595375591424	positive	jetzt heißt es adieu TH und hallo NRW bis montag :-)	jetzt heißen es adieu TH und hallo NRW bis montag :-)	ADV VVFIN PPER ADV NE KON ITJ NE APPR ADJA $(	2/MO 0/-- 2/EP 2/MO 2/OA 5/CD 8/NK 6/CJ 2/MO 9/CJ 10/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=nom|*=True|num=sg _ case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=dat|gender=neut|num=pl|pos=True EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True
328081095214120960	positive	Schaut euch mal diesen Tisch mit Sitzgelegenheiten an ! :) Swing Table http://t.co/I0XGpP9Nmc via @thefancy	schauen ihr mal dies Tisch mit Sitzgelegenheit an ! :) Swing Table http://t.co/I0XGpP9Nmc via @thefancy	VVFIN PPER ADV PDAT NN APPR NN PTKVZ $. ADJA NN FM NE APPR NN	0/-- 1/DA 1/MO 5/NK 1/OA 1/MO 6/NK 1/SVP 8/-- 13/PNC 13/PNC 13/PNC 9/-- 13/MO 14/NK	pers=3|num=sg|tense=pres|mood=ind case=dat|*=True|num=pl|pers=2 _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=pl _ _ EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|*=True|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false *=True *=True case=nom|*=True|num=sg _ case=acc|gender=masc|num=sg
322314599703642112	positive	@JustinNarry_ aber dafür hat justin dich angeguckt !! :)	@JustinNarry_ aber dafür haben justin du angucken !! :)	NN KON PAV VAFIN ADJD PPER VVPP ADJA NN	0/-- 4/JU 8/NK 1/-- 7/MO 7/SB 4/OC 7/MO 8/--	_ _ _ pers=3|num=sg|tense=pres|mood=ind _ case=acc|*=True|num=sg|pers=2 _ _ EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
328217213079269376	positive	@GiuliaCOfficial @PayneDreamers Bei uns hat ' s gestern noch funktionert ... Haben gestern noch Testfrage rausgeschickt . Please try again :)	@GiuliaCOfficial @PayneDreamers bei wir haben ' s gestern noch funktionert ... Haben gestern noch Testfrage rausschicken . Please try again :)	NN NN APPR PPER VAFIN $( NN ADV ADV ADJD $. NN ADV ADV NN VVPP $. NN NE NE ADJD	0/-- 1/-- 5/MO 3/NK 2/-- 5/-- 5/SB 5/MO 5/MO 5/OA 10/-- 11/-- 16/MO 16/MO 16/OA 12/OC 16/-- 17/-- 20/PNC 18/NK 18/PD	case=nom|gender=neut|num=sg _ _ case=dat|*=True|num=pl|pers=1 pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 _ _ pos=True _ case=nom|gender=neut|num=sg _ _ case=nom|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive
323806731408912384	positive	@Verenaaa_14 joo vlt :) die ander kollegin weiss ned ob sie kennsch abr sie heisst Tamik _ ×3	@Verenaaa_14 Joo vlt :) die ander Kollegin wissen ned ob sie kennsch abr sie heißen Tamik _ ×3	NN NE NN NN ART ADJA NN VVFIN NE APPR PPER NN NE PPER VVFIN NN XY CARD	0/-- 3/PNC 15/CJ 3/NK 7/NK 7/NK 8/OA 3/PAR 8/SB 8/MO 12/NK 10/NK 12/NK 15/SB 1/-- 15/OA 11/NK 16/NK	case=nom|gender=masc|num=pl case=nom|*=True|num=sg case=nom|*=True|num=sg case=nom|EmoExpression::markable_36::EmoExpression=True|*=True|EmoExpression::markable_36::Intensity=medium|num=sg|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false case=acc|gender=fem|num=sg _ case=acc|gender=neut|num=sg _ _ _ case=acc|gender=fem|num=pl|pers=3 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=nom|gender=fem|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _
323826293407903744	positive	Like wenn du mindestens 1x  im Monat döner isst :) Siehe hier : http://t.co/8bhNJ16cym http://t.co/rI4HKdCFxQ	Like wenn du mindestens 1x_ in Monat döner essen :) siehe hier : http://t.co/8bhNJ16cym http://t.co/rI4HKdCFxQ	NN KOUS PPER ADV NN APPRART NN ADJD VVFIN ADJD ADV ADV $. NN NE	0/-- 9/CP 9/SB 5/MO 9/MO 5/MNR 6/NK 9/MO 1/MNR 9/MO 9/MO 9/MO 12/-- 15/PNC 9/OA	case=nom|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|gender=masc|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium|EmoExpression::markable_38::Polarity=positive|num=sg|Sentiment::markable_37::Sentiment=True|Sentiment::markable_37::Sarcasm=false|Sentiment::markable_37::Polarity=positive|EmoExpression::markable_38::SubjectiveFact=false|Sentiment::markable_37::Intensity=medium Target::markable_39::Anaphref=empty|Target::markable_39::Target=True|Target::markable_39::Preferred=true|Sentiment::markable_37::Sentiment=True case=nom|pers=2|num=sg|Sentiment::markable_37::Sentiment=True|*=True|Target::markable_39::Target=True Target::markable_39::Target=True|Sentiment::markable_37::Sentiment=True Target::markable_39::Target=True|Sentiment::markable_37::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_37::Sentiment=True|Target::markable_39::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_37::Sentiment=True|Target::markable_39::Target=True comp=True|Target::markable_39::Target=True|Sentiment::markable_37::Sentiment=True Target::markable_39::Target=True|Sentiment::markable_37::Sentiment=True EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive|EmoExpression::markable_40::Uncertain=false pers=2|num=sg|mood=imp _ _ case=acc|gender=neut|num=sg case=nom|*=True|num=sg
327330042424201216	positive	Müsli mit frischen Erdbeeren und Joghurt . Dazu Sonne ... was braucht man mehr ? :)	Müsli mit frisch Erdbeere und Joghurt . dazu Sonne ... was brauchen man mehr ? :)	NN APPR ADJA NN KON NN $. PAV NN $. PWS VVFIN PIS ADV $. ADJA	0/-- 1/MNR 4/NK 2/NK 4/CD 5/CJ 6/-- 9/NK 7/-- 9/-- 12/SB 10/-- 12/SB 12/MO 14/-- 15/--	case=nom|Target::markable_100500233::Anaphref=empty|gender=fem|Target::markable_100500233::Target=True|Sentiment::markable_100500232::Sentiment=True|Target::markable_100500233::Preferred=true|num=sg|Sentiment::markable_100500232::Polarity=positive|Sentiment::markable_100500232::Intensity=medium|Sentiment::markable_100500232::Sarcasm=false Target::markable_100500233::Target=True|Sentiment::markable_100500232::Sentiment=True case=dat|EmoExpression::markable_104010998::EmoExpression=True|Target::markable_100500233::Target=True|*=True|pos=True|Sentiment::markable_100500232::Sentiment=True|EmoExpression::markable_104010998::SubjectiveFact=false|num=pl|EmoExpression::markable_104010998::Polarity=positive|EmoExpression::markable_104010998::Sarcasm=false|EmoExpression::markable_104010998::Uncertain=false|EmoExpression::markable_104010998::Intensity=medium case=dat|*=True|Target::markable_100500233::Target=True|num=pl|Sentiment::markable_100500232::Sentiment=True Sentiment::markable_100500232::Sentiment=True case=dat|num=sg|Target::markable_100500234::Target=True|Target::markable_100500234::Anaphref=empty|gender=neut|Sentiment::markable_100500232::Sentiment=True|Target::markable_100500234::Preferred=true Sentiment::markable_100500232::Sentiment=True Sentiment::markable_100500232::Sentiment=True case=nom|Target::markable_100500235::Target=True|num=pl|Target::markable_100500235::Anaphref=empty|gender=masc|Sentiment::markable_100500232::Sentiment=True|Target::markable_100500235::Preferred=true Sentiment::markable_100500232::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_100500232::Sentiment=True mood=ind|EmoExpression::markable_100500236::Uncertain=false|EmoExpression::markable_100500236::Intensity=medium|Sentiment::markable_100500232::Sentiment=True|EmoExpression::markable_100500236::EmoExpression=True|pers=3|EmoExpression::markable_100500236::Polarity=positive|num=sg|tense=pres|EmoExpression::markable_100500236::Sarcasm=false|EmoExpression::markable_100500236::SubjectiveFact=false case=nom|*=True|num=sg|Sentiment::markable_100500232::Sentiment=True Sentiment::markable_100500232::Sentiment=True Sentiment::markable_100500232::Sentiment=True EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false|Sentiment::markable_100500232::Sentiment=True
323752161504796673	mixed	Wer kennt die 2 ? :D ich wette die wenigsten :( http://t.co/y3pO7bEIEz	wer kennen die 2 ? :D ich wetten die wenigste :( http://t.co/y3pO7bEIEz	PWS VVFIN ART CARD $. NN PPER VVFIN ART PIAT ADJA NN	2/SB 0/-- 4/NK 2/OA 4/-- 8/CJ 8/SB 5/-- 12/NK 12/NK 12/NK 8/OA	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg _ _ mood=subj|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false|pers=1|num=sg|tense=past|EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Intensity=medium case=nom|*=True|num=sg|pers=1 pers=3|num=sg|tense=past|mood=ind case=acc|*=True|num=pl case=acc|*=True|num=pl case=acc|EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::SubjectiveFact=false|*=True|EmoExpression::markable_43::Uncertain=false|pos=True|num=pl|EmoExpression::markable_43::Polarity=negative|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::EmoExpression=True case=acc|*=True|num=pl
323725664555499520	positive	@L3viathan2142 laut der CoLi Seite fängts am Donnerstag an . Mal schaun :)	@L3viathan2142 laut die CoLi Seite fängts an Donnerstag an . mal schaun :)	NN APPR ART NE NN VVFIN APPRART NN PTKVZ $. ADV NE ADJA	0/-- 6/MO 5/NK 5/NK 2/NK 1/-- 6/MO 7/NK 6/SVP 9/-- 12/MO 10/-- 12/PNC	case=nom|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg pers=3|num=sg|tense=past|mood=ind case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ _ case=nom|*=True|num=sg case=nom|EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Intensity=medium|*=True|EmoExpression::markable_46::Polarity=positive|num=sg|EmoExpression::markable_46::Sarcasm=false
327464662272729089	positive	@Buhyachakalaka how about komm mir bloß nicht dazwischen ? :* @djchrissler	@Buhyachakalaka how about kommen ich bloß nicht dazwischen ? :* @djchrissler	NN ADJA NN VVIMP PRF ADJD PTKNEG PAV $. ADJA NN	0/-- 3/NK 4/VO 1/-- 6/DA 4/MO 4/NK 4/NK 7/-- 11/NK 9/--	case=nom|gender=fem|num=sg _ _ pers=2|num=sg|mood=imp case=dat|*=True|num=sg|pers=1 _ _ _ _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium comp=True
323767838043148288	positive	awww meine eltern haben bald silberhochzeit *-*	awww mein Eltern haben bald silberhochzeit *-*	VVFIN PPOSAT NN VAFIN ADV ADJA XY	4/MO 3/NK 4/SB 0/-- 6/MO 4/OC 6/NK	EmoExpression::markable_100500231::Intensity=medium|Sentiment::markable_49::Polarity=positive|EmoExpression::markable_100500231::Sarcasm=false|EmoExpression::markable_100500231::SubjectiveFact=false|EmoExpression::markable_100500231::Polarity=positive|Sentiment::markable_49::Intensity=medium|EmoExpression::markable_100500231::EmoExpression=True|Sentiment::markable_49::Sentiment=True|EmoExpression::markable_100500231::Uncertain=false|Sentiment::markable_49::Sarcasm=false case=acc|num=pl|Target::markable_50::Preferred=true|Target::markable_50::Target=True|gender=masc|Sentiment::markable_49::Sentiment=True|Target::markable_50::Anaphref=empty Target::markable_50::Target=True|Sentiment::markable_49::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Target::markable_50::Target=True|Sentiment::markable_49::Sentiment=True Target::markable_50::Target=True|Sentiment::markable_49::Sentiment=True Target::markable_50::Target=True|Sentiment::markable_49::Sentiment=True EmoExpression::markable_48::SubjectiveFact=false|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|Sentiment::markable_49::Sentiment=True|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::EmoExpression=True|EmoExpression::markable_48::Intensity=medium
322442678396657664	positive	@Mao_the_Cat Willst du ihn mal sehen ? *-* Der gehört nur ins Schlafzimmer . ( Und eigentlich ins Bett. )	@Mao_the_Cat wollen du er mal sehen ? *-* die gehören nur in Schlafzimmer . ( und eigentlich in Bett. )	NN VVFIN PPER PPER ADV VVINF $. XY PDS VVFIN ADV APPRART NN $. $( KON ADV APPRART NN $(	0/-- 1/-- 2/SB 6/OA 2/MO 2/OC 6/-- 9/NK 10/SB 7/-- 12/MO 10/MO 12/NK 13/-- 16/-- 18/JU 18/MO 14/-- 18/NK 19/--	case=nom|gender=masc|num=sg pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 case=acc|gender=masc|num=sg|pers=3 _ _ _ case=nom|EmoExpression::markable_51::Uncertain=false|gender=masc|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false|num=sg|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Polarity=positive|EmoExpression::markable_51::Intensity=medium case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _
323869990887493632	positive	@siemers @ein_poesiealbum Wieso ? Das ist doch ganz normal , oder . O :-)	@siemers @ein_poesiealbum wieso ? die sein doch ganz normal , oder . O :-)	NN NN PWAV $. PDS VAFIN ADV ADV ADJD $, KON $. NN $(	0/-- 1/-- 2/-- 3/-- 6/SB 4/-- 6/MO 9/MO 6/PD 9/-- 6/CD 11/-- 12/-- 13/--	_ _ _ _ case=nom|Sentiment::markable_52::Intensity=medium|Target::markable_53::Anaphref=empty|gender=neut|Target::markable_53::Preferred=true|Sentiment::markable_52::Polarity=positive|num=sg|Sentiment::markable_52::Sentiment=True|Sentiment::markable_52::Sarcasm=false|Target::markable_53::Target=True pers=3|Sentiment::markable_52::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_52::Sentiment=True Intensifier::markable_55::EmoExpressionRef=emo-expression:markable_54|Sentiment::markable_52::Sentiment=True|Intensifier::markable_55::Degree=medium|Intensifier::markable_55::Intensifier=True EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|EmoExpression::markable_54::Polarity=positive|pos=True|EmoExpression::markable_54::Sarcasm=false|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::Intensity=medium _ _ _ case=nom|gender=neut|num=sg EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Uncertain=false|EmoExpression::markable_56::Sarcasm=false
328134894398095361	positive	@TheMsMania Ich hab Freitag Geburtstag *-* Ein Musthave sind Erdbeeren . Die gehen immer , egal wann , egal wo , egal zu welchem Anlass . ♥	@TheMsMania ich haben Freitag Geburtstag *-* eine Musthave sein Erdbeere . die gehen immer , egal wann , egal wo , egal zu welche Anlass . ♥	NN PPER VAIMP NN NN XY ART NN VAFIN NN $. PDS VVFIN ADV $, ADJD PWAV $, ADJD PWAV $, ADJD PTKVZ PRELS NN $. ADJA	0/-- 9/SB 5/NK 3/NK 9/CJ 5/NK 8/NK 9/PD 1/-- 9/PD 10/-- 13/SB 11/-- 13/MO 14/-- 22/MO 22/MO 17/-- 22/MO 22/MO 20/-- 13/MO 13/SVP 25/NK 19/NK 25/-- 26/--	case=nom|gender=fem|num=sg case=nom|Target::markable_58::Target=True|Sentiment::markable_57::Polarity=positive|Target::markable_58::Anaphref=empty|Sentiment::markable_57::Sarcasm=false|*=True|pers=1|Target::markable_58::Preferred=true|num=sg|Sentiment::markable_57::Intensity=medium|Sentiment::markable_57::Sentiment=True pers=1|Target::markable_58::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_57::Sentiment=True case=acc|gender=masc|num=sg|Target::markable_58::Target=True|Sentiment::markable_57::Sentiment=True case=acc|gender=masc|num=sg|Target::markable_58::Target=True|Sentiment::markable_57::Sentiment=True EmoExpression::markable_59::Polarity=positive|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|Sentiment::markable_57::Sentiment=True|EmoExpression::markable_59::Uncertain=false|EmoExpression::markable_59::Sarcasm=false|EmoExpression::markable_59::EmoExpression=True case=nom|Sentiment::markable_100500237::Sarcasm=false|num=sg|Sentiment::markable_100500237::Sentiment=True|gender=neut|Sentiment::markable_100500237::Polarity=positive|Sentiment::markable_100500237::Intensity=medium case=nom|Sentiment::markable_100500237::Sentiment=True|EmoExpression::markable_100500239::Uncertain=false|EmoExpression::markable_100500239::Intensity=medium|gender=neut|EmoExpression::markable_100500239::EmoExpression=True|num=sg|EmoExpression::markable_100500239::Sarcasm=false|EmoExpression::markable_100500239::SubjectiveFact=false|EmoExpression::markable_100500239::Polarity=positive pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_100500237::Sentiment=True case=nom|Target::markable_100500238::Target=True|Target::markable_100500238::Preferred=true|num=pl|Target::markable_100500238::Anaphref=empty|Sentiment::markable_100500237::Sentiment=True|gender=fem Sentiment::markable_100500237::Sentiment=True case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ _ _ _ _ _ _ _ _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ EmoExpression::markable_60::Polarity=positive|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Uncertain=false
328153831353499649	positive	@G33KatWork Hey ! Bist du heute auf der Mayday ? :-)	@G33KatWork Hey ! sein du heute auf die Mayday ? :-)	NN NE $. VAFIN PPER ADV APPR ART NE $. $(	0/-- 1/-- 2/-- 3/-- 4/SB 4/MO 4/MO 9/NK 7/NK 9/-- 10/--	case=nom|gender=fem|num=sg _ _ pers=2|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=2 _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::Sarcasm=false|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::Intensity=medium|EmoExpression::markable_61::EmoExpression=True
