369517901734096896	positive	Piraten bei puls4 ! gleich geht los :-) http://t.co/EGeZ2oiZrQ	Pirat bei puls4 ! gleich gehen los :-) http://t.co/EGeZ2oiZrQ	NN APPR CARD $. ADJD VVFIN ADJD $( NN	0/-- 1/MNR 2/NK 3/-- 6/MO 4/-- 6/MO 7/-- 7/PAR	case=nom|Target::markable_4::Preferred=true|Target::markable_4::Anaphref=empty|gender=masc|Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=pl|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_4::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True pos=True|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_3::Intensity=medium|EmoExpression::markable_3::SubjectiveFact=false|EmoExpression::markable_3::EmoExpression=True|EmoExpression::markable_3::Polarity=positive|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Sarcasm=false|EmoExpression::markable_3::Uncertain=false _
380665137994035201	positive	@_Adamat Nee , da gehen nur die Originale ! #Zweitstimme - #FDP #Mövenpick #btw13 ;-)	@_Adamat Nee , da gehen nur die Original ! #Zweitstimme - #FDP #Mövenpick #btw13 ;-)	NE NE $, ADV VVFIN ADV ART NN $. NN $( NN NN CARD $(	0/-- 8/SB 2/-- 5/MO 1/-- 8/MO 8/NK 5/SB 8/-- 9/-- 10/-- 10/CJ 12/NK 13/NK 14/--	_ case=nom|*=True|num=sg _ _ pers=3|num=pl|tense=pres|mood=ind _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
374261320822296578	positive	Er hat die Koalition mit der #Linke ausgeschlossen , aber nicht die “Tolerierung“ durch sie ! ;-) #tvduell	er haben die Koalition mit die #Linke ausschließen , aber nicht die “Tolerierung“ durch sie ! ;-) #tvduell	PPER VAFIN ART NN APPR ART NN VVPP $, ADV PTKNEG ART NN APPR PPER $. $( NN	2/SB 0/-- 4/NK 8/OA 8/MO 7/NK 5/NK 2/OC 8/-- 2/MO 2/NG 13/NK 2/OA 2/MO 14/NK 15/-- 18/-- 16/--	case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=pl|pers=3 _ EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True pos=True
380257271105605633	positive	@ZDF mir scheint , der Sprecher ist ein wenig erkältet ... ;-)	@ZDF ich scheinen , die Sprecher sein eine wenige erkälten ... ;-)	NN PPER VVFIN $, ART NN VAFIN ART PIS VVPP $. $(	0/-- 3/DA 1/-- 3/-- 6/NK 7/SB 3/CJ 9/NK 7/MO 7/PD 10/-- 11/--	case=nom|gender=fem|num=sg case=dat|*=True|num=sg|pers=1 pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind *=True *=True _ _ EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
365928303221161986	positive	RT @Michael_Musto : Ich fasse es nicht , wie uncool und spießig sie mittlerweile sind . :-( #Grüne #Verbotsorgien #Zeigefingerwahn #Dogmen # Z…	RT @Michael_Musto : ich fassen es nicht , wie uncool und spießig sie mittlerweile sein . :-( #Grüne #Verbotsorgien #Zeigefingerwahn #Dogmen # Z…	NE NN $. PPER VVFIN PPER PTKNEG $, KOKOM ADJD KON ADJD PPER ADV VAFIN $. $( ADJA NN NN NN XY NN	2/SB 0/-- 2/-- 5/SB 3/-- 5/OA 5/NG 7/-- 10/MO 15/MO 10/CD 11/CJ 15/SB 15/MO 6/RE 15/-- 18/-- 19/NK 16/-- 21/NK 19/CJ 16/-- 21/NK	case=nom|gender=neut|num=sg case=nom|Sentiment::markable_45::Sentiment=True|gender=neut|Sentiment::markable_45::Polarity=positive|num=sg|Sentiment::markable_45::Intensity=medium|Source::markable_46::Anaphref=empty|Sentiment::markable_45::Sarcasm=false|Source::markable_46::Source=True Sentiment::markable_45::Sentiment=True case=nom|pers=1|num=sg|Source::markable_47::Anaphref=markable_46|Sentiment::markable_45::Sentiment=True|Source::markable_47::Source=True|*=True pers=1|Sentiment::markable_45::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|gender=neut|Sentiment::markable_45::Sentiment=True|num=sg|pers=3 Sentiment::markable_45::Sentiment=True Sentiment::markable_45::Sentiment=True Sentiment::markable_45::Sentiment=True EmoExpression::markable_49::Polarity=negative|EmoExpression::markable_49::Sarcasm=false|Sentiment::markable_45::Sentiment=True|EmoExpression::markable_49::SubjectiveFact=false|pos=True|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium Sentiment::markable_45::Sentiment=True EmoExpression::markable_50::Intensity=medium|Sentiment::markable_45::Sentiment=True|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|pos=True|EmoExpression::markable_50::Polarity=negative|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::EmoExpression=True case=acc|Target::markable_48::Anaphref=empty|Target::markable_48::Preferred=true|Sentiment::markable_45::Sentiment=True|Target::markable_48::Target=True|*=True|pers=3|num=pl Sentiment::markable_45::Sentiment=True pers=3|Sentiment::markable_45::Sentiment=True|num=pl|tense=pres|mood=ind Sentiment::markable_45::Sentiment=True EmoExpression::markable_51::Intensity=medium|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|Sentiment::markable_45::Sentiment=True|EmoExpression::markable_51::Polarity=negative|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false case=nom|gender=fem|num=pl|pos=True case=nom|EmoExpression::markable_10409138::EmoExpression=True|EmoExpression::markable_10409138::SubjectiveFact=false|gender=fem|num=pl|EmoExpression::markable_10409138::Intensity=medium|EmoExpression::markable_10409138::Sarcasm=false|EmoExpression::markable_10409138::Uncertain=false|EmoExpression::markable_10409138::Polarity=negative case=nom|gender=fem|num=pl|pos=True case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl|pos=True case=nom|gender=fem|num=pl
380815605189718017	positive	muha - #raab klebt die #piraten aufkleber auf die instrumente seiner Band :-)	muha - #raab kleben die #piraten Aufkleber auf die Instrument sein Band :-)	NN $( NE VVFIN ART NN NN APPR ART NN PPOSAT NN $(	4/SB 1/-- 1/CJ 0/-- 6/NK 4/OA 6/NK 4/MO 10/NK 8/NK 12/NK 10/AG 12/--	case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl case=acc|gender=masc|num=pl _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false
381854950168330240	negative	RT @manniac : Ich will nicht von konservativen , schwulenfeindlichen Geronten regiert werden :(	RT @manniac : ich wollen nicht von konservativ , schwulenfeindlich Geronten regieren werden :(	NE NN $. PPER VMFIN PTKNEG APPR ADJA $, ADJA NN VVPP VAINF ADJA	2/SB 0/-- 2/-- 5/SB 3/-- 5/NG 12/SBP 11/NK 8/-- 8/CJ 7/NK 13/OC 5/OC 5/MO	case=nom|*=True|num=sg case=nom|Sentiment::markable_53::Sentiment=True|Source::markable_54::Source=True|*=True|Sentiment::markable_53::Sarcasm=false|num=sg|Sentiment::markable_53::Intensity=strong|Source::markable_54::Anaphref=empty|Sentiment::markable_53::Polarity=negative Sentiment::markable_53::Sentiment=True case=nom|pers=1|num=sg|Sentiment::markable_53::Sentiment=True|*=True|Source::markable_55::Source=True|Source::markable_55::Anaphref=markable_54 EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::EmoExpression=True|mood=ind|EmoExpression::markable_56::Intensity=medium|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Sarcasm=false|pers=1|num=sg|tense=pres|EmoExpression::markable_56::Uncertain=false Negation::markable_57::EmoExpressionRef=emo-expression:markable_56|Negation::markable_57::Negation=True|Sentiment::markable_53::Sentiment=True Sentiment::markable_53::Sentiment=True case=dat|Target::markable_58::Target=True|Target::markable_58::Anaphref=empty|EmoExpression::markable_59::EmoExpression=True|EmoExpression::markable_59::Polarity=negative|gender=neut|Sentiment::markable_53::Sentiment=True|pos=True|EmoExpression::markable_59::Sarcasm=false|Target::markable_58::Preferred=true|num=pl|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=true|EmoExpression::markable_59::Uncertain=false Target::markable_58::Target=True|Sentiment::markable_53::Sentiment=True case=dat|Target::markable_58::Target=True|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|gender=fem|Sentiment::markable_53::Sentiment=True|pos=True|EmoExpression::markable_60::Uncertain=false|EmoExpression::markable_60::Polarity=negative|num=pl|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false case=dat|EmoExpression::markable_61::Polarity=negative|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Sarcasm=false|gender=fem|EmoExpression::markable_61::Intensity=medium|Sentiment::markable_53::Sentiment=True|num=pl|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True|Target::markable_58::Target=True Target::markable_58::Target=True|Sentiment::markable_53::Sentiment=True Target::markable_58::Target=True|Sentiment::markable_53::Sentiment=True EmoExpression::markable_62::SubjectiveFact=false|EmoExpression::markable_62::Polarity=negative|EmoExpression::markable_62::EmoExpression=True|EmoExpression::markable_62::Sarcasm=false|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_62::Uncertain=false|EmoExpression::markable_62::Intensity=medium
352790805888516096	positive	@UCasLife da hat ne Einzelperson drei verschiedene Parteien mit kuriosen Namen zur Bundestagswahl angemeldet :-)	@UCasLife da haben eine Einzelperson drei verschieden Partei mit kurios Name zu Bundestagswahl anmelden :-)	NE ADV VAFIN ART NN CARD ADJA NN APPR ADJA NN APPRART NN VVPP $(	0/-- 14/MO 1/-- 5/NK 3/SB 8/NK 8/NK 14/OA 14/MO 11/NK 9/NK 14/MO 12/NK 3/OC 14/--	_ Target::markable_65::Anaphref=empty|Sentiment::markable_64::Polarity=positive|Sentiment::markable_64::Intensity=medium|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True|Sentiment::markable_64::Sarcasm=false|Target::markable_65::Preferred=true pers=3|num=sg|tense=pres|mood=ind|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=nom|gender=fem|num=sg|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=acc|num=pl|gender=fem|Target::markable_65::Target=True|pos=True|Sentiment::markable_64::Sentiment=True case=acc|gender=fem|num=pl|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=dat|EmoExpression::markable_66::EmoExpression=True|gender=masc|EmoExpression::markable_66::Sarcasm=false|pos=True|EmoExpression::markable_66::SubjectiveFact=false|num=pl|EmoExpression::markable_66::Polarity=positive|EmoExpression::markable_66::Uncertain=true|EmoExpression::markable_66::Intensity=medium|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=dat|gender=masc|num=pl|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True case=dat|gender=fem|num=sg|Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True Target::markable_65::Target=True|Sentiment::markable_64::Sentiment=True EmoExpression::markable_63::Polarity=positive|EmoExpression::markable_63::Sarcasm=false|EmoExpression::markable_63::EmoExpression=True|EmoExpression::markable_63::SubjectiveFact=false|EmoExpression::markable_63::Uncertain=false|EmoExpression::markable_63::Intensity=medium|Sentiment::markable_64::Sentiment=True
379327099305467904	negative	@incredibul Für ne Minderheitsregierung ist die SPD viel zu staatstragend . :(	@incredibul für eine Minderheitsregierung sein die SPD viel zu staatstragend . :(	ADJD APPR ART NN VAFIN ART NE ADV PTKA ADJD $. ADJA	0/-- 5/MO 4/NK 2/NK 1/-- 7/NK 5/SB 10/MO 10/MO 5/PD 10/-- 11/--	pos=True Sentiment::markable_68::Intensity=weak|Sentiment::markable_68::Sarcasm=false|Sentiment::markable_68::Polarity=negative|Sentiment::markable_68::Sentiment=True case=nom|gender=fem|num=sg|pos=True|Sentiment::markable_68::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_68::Sentiment=True pers=3|Sentiment::markable_68::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|Sentiment::markable_68::Sentiment=True|num=sg|Target::markable_69::Preferred=true|Target::markable_69::Target=True|gender=fem|Target::markable_69::Anaphref=empty case=nom|gender=fem|Target::markable_69::Target=True|num=sg|Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True|pos=True Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True|EmoExpression::markable_67::Polarity=negative|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::EmoExpression=True|EmoExpression::markable_67::SubjectiveFact=false
372270907588620288	positive	@oliverbarracuda Wieso sollte die #FDP auch eine Veranstaltung für ' ' s gemeine Volk machen ? ;-) #VIPBereich #britaarena	@oliverbarracuda wieso sollen die #FDP auch eine Veranstaltung für ' ' s gemein Volk machen ? ;-) #VIPBereich #britaarena	NN PWAV VMFIN ART NN ADV ART NN APPR $( $( NN ADJA NN VVINF $. $( NN NN	0/-- 3/MO 1/-- 5/NK 3/SB 8/MO 8/NK 3/SB 8/MNR 12/-- 10/-- 9/NK 14/NK 15/OA 3/OC 15/-- 18/-- 16/-- 18/NK	case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ _ case=nom|gender=neut|num=sg|pers=3 case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg _ _ EmoExpression::markable_70::SubjectiveFact=false|EmoExpression::markable_70::Intensity=medium|EmoExpression::markable_70::EmoExpression=True|EmoExpression::markable_70::Polarity=positive|EmoExpression::markable_70::Uncertain=false|EmoExpression::markable_70::Sarcasm=false case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg
358231670358417412	positive	einen " grünen Faden " und " ne runde Kiste " - das gibt ' ' s nur bei @daaruum !!! ;-)))	eine " grün Faden " und " eine rund Kiste " - die geben ' ' s nur bei @daaruum !!! ;-)))	ART $( ADJA NN $( KON $( ART ADJA NN $( $( PDS VVFIN $( $( NN ADV APPR NN ADJD ADJA	4/NK 1/-- 4/NK 14/OA 4/-- 4/CD 6/-- 10/NK 10/NK 6/CJ 10/-- 11/-- 14/OA 0/-- 14/-- 15/-- 14/PAR 19/MO 14/MO 19/NK 20/-- 21/--	case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ _ case=acc|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ _ _ case=dat|gender=neut|num=sg _ EmoExpression::markable_71::Uncertain=false|EmoExpression::markable_71::Intensity=medium|EmoExpression::markable_71::Sarcasm=false|EmoExpression::markable_71::SubjectiveFact=false|EmoExpression::markable_71::EmoExpression=True|EmoExpression::markable_71::Polarity=positive
384381557244710912	positive	" @WWATGerSeats : Zitiert den Tweet und fügt euren Platz beim WWA Konzert in Düsseldorf hinzu :) " Grüne Zone :) xx	" @WWATGerSeats : zitiert die Tweet und fügen euer Platz bei WWA Konzert in Düsseldorf hinzu :) " grün Zone :) xx	$( NN $. ADJD ART NN KON VVFIN PPOSAT NN APPRART NE NN APPR NE ADV ADJA $( ADJA NN ADJD ADJA	2/-- 0/-- 2/-- 22/MO 6/NK 22/OA 6/CD 7/CJ 10/NK 8/OA 10/MNR 13/PNC 11/NK 13/MNR 14/NK 8/MO 20/NK 17/-- 20/NK 8/OA 22/MO 3/--	_ case=gen|gender=neut|num=sg _ pos=True case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ case=acc|EmoExpression::markable_72::EmoExpression=True|EmoExpression::markable_72::SubjectiveFact=false|EmoExpression::markable_72::Uncertain=false|gender=neut|EmoExpression::markable_72::Polarity=positive|pos=True|EmoExpression::markable_72::Sarcasm=false|num=pl|EmoExpression::markable_72::Intensity=medium _ case=nom|gender=masc|num=pl|pos=True case=nom|gender=masc|num=pl EmoExpression::markable_73::EmoExpression=True|EmoExpression::markable_73::Uncertain=false|EmoExpression::markable_73::Intensity=medium|EmoExpression::markable_73::Sarcasm=false|EmoExpression::markable_73::SubjectiveFact=false|pos=True|EmoExpression::markable_73::Polarity=positive case=acc|gender=fem|num=pl|pos=True
372373930339999744	mixed	RT @Aspelkamp : http://t.co/LVOSX5xfQx - Dramatische Szenen im Wahlkampf bei der @Piratenpartei : @kattascha hängt sich auf ! #Piraten ;-)	RT @Aspelkamp : http://t.co/LVOSX5xfQx - dramatisch Szene in Wahlkampf bei die @Piratenpartei : @kattascha hängen sich auf ! #Piraten ;-)	NE NN $. NN $( ADJA NN APPRART NN APPR ART NN $. NN VVFIN PRF PTKVZ $. NN $(	2/SB 0/-- 2/-- 3/-- 4/-- 7/NK 4/CJ 7/MNR 8/NK 9/MNR 12/NK 10/NK 12/-- 13/-- 14/-- 15/OA 15/SVP 17/-- 18/-- 19/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=masc|num=pl _ Sentiment::markable_74::Intensity=medium|EmoExpression::markable_76::Intensity=medium|EmoExpression::markable_76::SubjectiveFact=false|EmoExpression::markable_76::Uncertain=false|pos=True|Sentiment::markable_74::Polarity=negative|num=pl|Sentiment::markable_74::Sentiment=True|EmoExpression::markable_76::Polarity=negative|EmoExpression::markable_76::Sarcasm=false|case=nom|EmoExpression::markable_76::EmoExpression=True|gender=fem|Target::markable_75::Target=True|Sentiment::markable_74::Sarcasm=false|Target::markable_75::Preferred=true|Target::markable_75::Anaphref=empty case=nom|gender=fem|Target::markable_75::Target=True|num=pl|Sentiment::markable_74::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_74::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_74::Sentiment=True Sentiment::markable_74::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_74::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_74::Sentiment=True _ case=nom|Target::markable_79::Preferred=true|Sentiment::markable_78::Polarity=positive|gender=fem|Sentiment::markable_78::Intensity=medium|Target::markable_79::Anaphref=empty|Sentiment::markable_78::Sentiment=True|num=sg|Target::markable_79::Target=True|Sentiment::markable_78::Sarcasm=false Sentiment::markable_78::Sentiment=True|EmoExpression::markable_80::Intensity=medium|EmoExpression::markable_80::Sarcasm=false|mood=ind|EmoExpression::markable_80::Uncertain=false|EmoExpression::markable_80::EmoExpression=True|pers=3|num=sg|tense=pres|EmoExpression::markable_80::SubjectiveFact=false|EmoExpression::markable_80::Polarity=negative case=acc|pers=3|EmoExpression::markable_80::EmoExpression=True|num=sg|Sentiment::markable_78::Sentiment=True Sentiment::markable_78::Sentiment=True|EmoExpression::markable_80::EmoExpression=True Sentiment::markable_78::Sentiment=True _ EmoExpression::markable_77::Sarcasm=false|EmoExpression::markable_77::Uncertain=false|EmoExpression::markable_77::Intensity=medium|EmoExpression::markable_77::Polarity=positive|EmoExpression::markable_77::EmoExpression=True|EmoExpression::markable_77::SubjectiveFact=false
369215716026617856	positive	@Jana1401 @astockma Tagesaktuellen Stand gibts in der Plakate - App . Die gibts für PC oder Handy . #Piraten + habens drauf . :-)	@Jana1401 @astockma tagesaktuell Stand gibts in die Plakat - App . die gibts für PC oder Handy . #Piraten + <UNKNOWN> drauf . :-)	CARD NN ADJA NN NN APPR ART NN $( VVFIN $. ART NN APPR NE KON NE $. NN KON ADV PAV $. $(	0/-- 1/-- 4/NK 10/SB 10/OA 5/MNR 8/NK 6/NK 8/-- 2/-- 10/-- 13/NK 11/-- 13/MNR 14/NK 15/CD 16/CJ 17/-- 22/NK 19/CD 20/CJ 23/NK 18/-- 23/--	_ _ case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=subj _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|*=True|num=sg _ case=acc|*=True|num=sg _ _ _ _ _ _ EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Uncertain=false|EmoExpression::markable_81::Sarcasm=false
383201896905052160	positive	RT @Hazalx3TVD : Schauen gerade @daaruum ' ' s video über die Wahlen in Geschichte ! aaaaaaah *-* http://t.co/ZldqUwdfmM	RT @Hazalx3TVD : schauen gerade @daaruum ' ' s video über die Wahl in Geschichte ! aaaaaaah *-* http://t.co/ZldqUwdfmM	NE ADJD $. VVFIN ADV NN $( $( NN ADJD APPR ART NN APPR NN $. NE XY NN	0/-- 1/PD 2/-- 3/-- 4/MO 4/OA 9/-- 7/-- 6/-- 11/MO 9/MNR 13/NK 11/NK 13/MNR 14/NK 15/-- 19/PNC 16/-- 16/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=neut|num=sg _ _ case=nom|gender=neut|num=sg|pers=3 pos=True _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl _ case=acc|gender=fem|num=sg _ EmoExpression::markable_82::EmoExpression=True|EmoExpression::markable_82::Uncertain=false|EmoExpression::markable_82::Intensity=medium|EmoExpression::markable_82::Sarcasm=false|EmoExpression::markable_82::SubjectiveFact=false|EmoExpression::markable_82::Polarity=positive EmoExpression::markable_83::EmoExpression=True|EmoExpression::markable_83::SubjectiveFact=false|EmoExpression::markable_83::Uncertain=false|EmoExpression::markable_83::Polarity=positive|EmoExpression::markable_83::Sarcasm=false|EmoExpression::markable_83::Intensity=medium _
374834674197356544	positive	Sohn Wetta wie heute morjen am 22.  und die Piraten kriejen minnistens 15%  ;-)	Sohn Wetta wie heute morjen an @card@ und die Pirat kriejen minnistens @card@ ;-)	NN NE KOKOM ADV ADJD APPRART CARD KON ART NN ADJA NN CARD $(	0/-- 1/NK 5/CM 5/MO 1/PAR 5/MO 6/NK 5/CD 10/NK 8/CJ 12/NK 10/AG 12/PNC 13/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ pos=True case=dat|gender=masc|num=sg _ _ case=acc|Sentiment::markable_85::Sentiment=True|Target::markable_86::Target=True|Sentiment::markable_85::Sarcasm=false|gender=fem|Target::markable_86::Preferred=true|Sentiment::markable_85::Intensity=medium|num=pl|Target::markable_86::Anaphref=empty|Sentiment::markable_85::Polarity=positive case=acc|gender=fem|num=pl|Sentiment::markable_85::Sentiment=True|Target::markable_86::Target=True case=gen|gender=neut|num=sg|Sentiment::markable_85::Sentiment=True|pos=True case=gen|gender=neut|num=sg|Sentiment::markable_85::Sentiment=True Sentiment::markable_85::Sentiment=True EmoExpression::markable_84::Sarcasm=false|EmoExpression::markable_84::EmoExpression=True|Sentiment::markable_85::Sentiment=True|EmoExpression::markable_84::Uncertain=false|EmoExpression::markable_84::Intensity=medium|EmoExpression::markable_84::SubjectiveFact=false|EmoExpression::markable_84::Polarity=positive
374246702422958080	positive	Ich wähle die NSA - die hören wenigstens zu . ;-) #bundestagswahl	ich wählen die Nsa - die hören wenigstens zu . ;-) #bundestagswahl	PPER VVFIN ART NE $( PRELS VVFIN ADV PTKVZ $. $( NN	2/SB 0/-- 4/NK 2/OA 4/-- 7/NK 2/OC 7/MO 7/SVP 9/-- 12/-- 10/--	case=nom|Sentiment::markable_88::Sarcasm=false|Source::markable_89::Anaphref=empty|Sentiment::markable_88::Polarity=positive|Source::markable_89::Source=True|*=True|pers=1|num=sg|Sentiment::markable_88::Sentiment=True|Sentiment::markable_88::Intensity=medium mood=ind|EmoExpression::markable_90::EmoExpression=True|EmoExpression::markable_90::Intensity=medium|pers=1|num=sg|tense=pres|EmoExpression::markable_90::SubjectiveFact=false|Sentiment::markable_88::Sentiment=True|EmoExpression::markable_90::Uncertain=false|EmoExpression::markable_90::Polarity=positive|EmoExpression::markable_90::Sarcasm=false case=acc|Target::markable_91::Target=True|num=pl|Sentiment::markable_88::Sentiment=True|Target::markable_91::Anaphref=empty|*=True|Target::markable_91::Preferred=true case=acc|*=True|num=pl|Sentiment::markable_88::Sentiment=True|Target::markable_91::Target=True _ case=acc|*=True|num=pl case=acc|*=True|num=pl _ _ _ EmoExpression::markable_87::Intensity=medium|EmoExpression::markable_87::Polarity=positive|EmoExpression::markable_87::Sarcasm=false|EmoExpression::markable_87::SubjectiveFact=false|EmoExpression::markable_87::Uncertain=false|EmoExpression::markable_87::EmoExpression=True case=nom|gender=fem|num=sg
