311919759388192769	positive	@christopherkohn Zum Glüch wurde der neue Papst heute gekürt ;-)	@christopherkohn zu Glüch werden die neu Papst heute küren ;-)	NN APPRART NN VAFIN ART ADJA NN ADV VVPP $(	0/-- 9/MO 2/NK 1/-- 7/NK 7/NK 4/SB 9/MO 4/OC 9/--	case=nom|gender=masc|num=sg case=dat|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=neut|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=dat|gender=neut|num=sg|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True mood=ind|Target::markable_3::Anaphref=empty|Target::markable_3::Preferred=true|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True|pers=3|num=sg|tense=past case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Uncertain=false|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Polarity=positive|Sentiment::markable_1::Sentiment=True
311905323038425088	positive	Neuer #Papst ist gewählt .. Ich bin es nicht ;-)	neu #Papst sein wählen .. ich sein es nicht ;-)	ADJA NN VAFIN VVPP NN PPER VAFIN PPER PTKNEG $(	2/NK 3/SB 0/-- 3/PD 4/OA 7/SB 5/-- 7/PD 7/NG 9/--	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
311914765658255360	positive	Mal gespannt wer der neue Papst ist :-)	Mal spannen wer die neu Papst sein :-)	NN VVPP PWS ART ADJA NN VAFIN $(	2/MO 0/-- 7/SB 6/NK 6/NK 7/SB 2/PAR 7/--	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false|EmoExpression::markable_25::EmoExpression=True
311799961165639680	mixed	. @Sebban80 Von uns kommen die nicht ;-) Wenn ' s nervt , abschalten ! #Papst #Konklave	. @Sebban80 von wir kommen die nicht ;-) wenn ' s nerven , abschalten ! #Papst #Konklave	$. NN APPR PPER VVFIN ART PTKNEG $( KOUS $( NN VVFIN $, VVINF $. NN NN	0/-- 1/-- 5/MO 3/NK 2/-- 12/NK 12/NG 9/-- 14/MO 9/-- 12/OA 5/SB 12/-- 12/CJ 14/-- 15/-- 16/NK	_ case=nom|gender=fem|num=sg _ case=dat|*=True|num=pl|pers=1 pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl _ EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive _ _ _ EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=negative|EmoExpression::markable_27::Sarcasm=false _ _ _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl
311931250870996992	positive	#GUT :) ein bescheidener Mann RT @nwnews : Kardinal Bergoglio ist der neue Papst Franziskus | http://t.co/53CzL3EQ9s	#GUT :) eine bescheiden Mann RT @nwnews : Kardinal Bergoglio sein die neu Papst Franziskus | http://t.co/53CzL3EQ9s	NN NN ART ADJA NN NE NN $. NN NE VAFIN ART ADJA NN NE XY NN	0/-- 1/NK 5/NK 5/NK 1/SB 7/PNC 5/NK 7/-- 11/SB 9/NK 8/-- 14/NK 14/NK 11/PD 17/PNC 17/NK 14/NK	case=nom|EmoExpression::markable_104012649::EmoExpression=True|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Sarcasm=false|EmoExpression::markable_104012649::Intensity=medium|gender=neut|EmoExpression::markable_104012649::Uncertain=false|Sentiment::markable_30::Intensity=medium|num=sg|EmoExpression::markable_104012649::SubjectiveFact=false|EmoExpression::markable_104012649::Sarcasm=false|Sentiment::markable_30::Polarity=positive|EmoExpression::markable_104012649::Polarity=positive case=nom|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|Sentiment::markable_30::Sentiment=True|gender=neut|EmoExpression::markable_28::Intensity=medium|num=sg|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false case=nom|num=sg|Sentiment::markable_30::Sentiment=True|gender=masc|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Target::markable_31::Anaphref=empty case=nom|Target::markable_31::Target=True|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=masc|pos=True|EmoExpression::markable_32::EmoExpression=True|num=sg|EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=masc|num=sg
311925424299057154	neutral	* ACHTUNG :* Papst - erste Rede !!! Der neue Papst tritt vor das Volk : http://t.co/H1EjSNT3Hv	* Achtung :* Papst - erst Rede !!! die neu Papst treten vor die Volk : http://t.co/H1EjSNT3Hv	XY NN ADJA NN $( ADJA NN NN ART ADJA NN VVFIN APPR ART NN $. NE	0/-- 0/-- 4/NK 2/CJ 4/-- 7/NK 4/CJ 7/NK 11/NK 11/NK 12/SB 8/-- 12/MO 15/NK 13/NK 15/-- 12/SB	_ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=nom|*=True|num=sg
311842500010733568	neutral	RT @VoiceFromOff : RUFT JETZT FÜR DEN PAPST AN ! 01379 ... Oder sende eine SMS mit " Konklave1 " an die 666 .... 6 ... :-)	RT @VoiceFromOff : rufen jetzt für die Papst an ! @card@ ... oder senden eine SMS mit " Konklave1 " an die @card@ .... 6 ... :-)	NE ADJD $. VVFIN ADV APPR ART NN PTKVZ $. CARD $. KON VVFIN ART NE APPR $( NE $( APPR ART CARD NN CARD $. $(	0/-- 1/PD 2/-- 3/-- 4/MO 4/MO 8/NK 6/NK 4/SVP 9/-- 14/CJ 11/-- 14/JU 10/-- 16/NK 14/OA 14/MO 19/-- 17/NK 19/-- 14/MO 24/NK 24/NK 21/NK 24/MNR 25/-- 26/--	case=nom|*=True|num=sg pos=True _ _ _ _ *=True *=True _ _ _ _ _ pers=3|num=sg|tense=pres|mood=subj case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=dat|gender=fem|num=pl _ _ case=acc|gender=fem|num=sg _ case=acc|gender=neut|num=pl _ _ _
311905369922338816	positive	WEISSER RAUCH .... Wir haben einen neuen Papst ;-) http://t.co/9Z6TUxGC1P	weiß rauchen .... wir haben eine neu Papst ;-) http://t.co/9Z6TUxGC1P	ADJA VVIMP NN PPER VAFIN ART ADJA NN $( NN	0/-- 1/NK 2/OA 5/SB 3/-- 8/NK 8/NK 5/OA 8/-- 8/NK	EmoExpression::markable_104012638::SubjectiveFact=true|EmoExpression::markable_104012638::EmoExpression=True|EmoExpression::markable_104012638::Uncertain=false|EmoExpression::markable_104012638::Polarity=positive|EmoExpression::markable_104012638::Sarcasm=false|EmoExpression::markable_104012638::Intensity=medium EmoExpression::markable_104012638::EmoExpression=True _ case=nom|Target::markable_34::Target=True|Sentiment::markable_33::Intensity=medium|*=True|pers=1|Sentiment::markable_33::Sentiment=True|num=pl|Target::markable_34::Anaphref=empty|Sentiment::markable_33::Sarcasm=false|Sentiment::markable_33::Polarity=positive|Target::markable_34::Preferred=true pers=1|Sentiment::markable_33::Sentiment=True|Target::markable_34::Target=True|num=pl|tense=pres|mood=ind case=acc|gender=masc|Target::markable_34::Target=True|num=sg|Sentiment::markable_33::Sentiment=True case=acc|Sentiment::markable_33::Sentiment=True|Target::markable_34::Target=True|num=sg|gender=masc|pos=True case=acc|gender=masc|Target::markable_34::Target=True|num=sg|Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _
311903559451037696	positive	Der neue Papst wird gleich vorgestellt ... Ich denke , er wird aus Mittel - Südamerika kommen ... mal schauen :)	die neu Papst werden gleich vorstellen ... ich denken , er werden aus Mittel - Südamerika kommen ... mal schauen :)	ART ADJA NN VAFIN ADJD VVPP $. PPER VVFIN $, PPER VAFIN APPR NN $( NE VVFIN $. ADV VVFIN ADJA	3/NK 3/NK 4/SB 0/-- 6/MO 4/OC 6/-- 9/SB 7/-- 9/-- 12/SB 9/OC 17/MO 13/NK 14/-- 14/NK 12/OC 17/-- 20/MO 18/-- 20/SB	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind pos=True _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ _ _ pers=3|num=pl|tense=pres|mood=ind case=nom|EmoExpression::markable_36::EmoExpression=True|*=True|EmoExpression::markable_36::Intensity=medium|pers=3|num=pl|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false
311923020463751168	positive	Auch im Büro verpassen wir den Papst nicht :) #MKBerlin http://t.co/jR84lQ7njj	auch in Büro verpassen wir die Papst nicht :) #MKBerlin http://t.co/jR84lQ7njj	ADV APPRART NN VVFIN PPER ART NN PTKNEG ADJA NN NE	2/MO 4/MO 2/NK 0/-- 4/SB 7/NK 4/OA 9/NG 10/NK 7/AG 10/NK	_ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|EmoExpression::markable_37::Uncertain=false|gender=neut|EmoExpression::markable_37::Sarcasm=false|pos=True|EmoExpression::markable_37::EmoExpression=True|num=sg|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg
311912376763043841	positive	RT @sebastian0505 : Und aus welchem Land kommt er nun ? #papst wer wagt eine Prognose ? ;-) ich tippe auf : Scherer ...	RT @sebastian0505 : und aus welche Land kommen er nun ? #papst wer wagen eine Prognose ? ;-) ich tippen auf : Scherer ...	NE NN $. KON APPR PRELS NN VVFIN PPER ADV $. NN PWS VVFIN ART NN $. $( PPER VVFIN PTKVZ $. NE $.	2/SB 0/-- 2/-- 8/JU 8/MO 7/NK 5/NK 3/-- 8/SB 8/MO 10/-- 14/SVP 14/SB 11/-- 16/NK 14/OA 16/-- 19/-- 20/SB 17/-- 20/SVP 21/-- 20/SB 23/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_38::Polarity=positive|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::SubjectiveFact=false|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=sg _
312122309030866945	positive	@wissensagentur das stimmt . Wobei ... der Papst schon eine andere Nummer ist als der google reader :)	@wissensagentur die stimmen . wobei ... die Papst schon eine andere Nummer sein als die google reader :)	NN PDS VVFIN $. PWAV $. ART NN ADV ART PIAT NN VAFIN KOKOM ART NN ADJA NN	0/-- 3/SB 1/-- 3/-- 4/-- 5/-- 8/NK 13/SB 13/MO 12/NK 12/NK 13/SB 6/-- 16/CM 16/NK 11/CC 18/NK 13/PD	case=nom|gender=fem|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|gender=masc|EmoExpression::markable_39::Polarity=positive|num=sg|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
311974568514445312	positive	Ich werd den Papst nur noch Francis nennen und dabei an den Katerdetektiv denken :)	ich werd die Papst nur noch Francis nennen und dabei an die Katerdetektiv denken :)	PPER NE ART NN ADV ADV NE VVINF KON PAV APPR ART NN VVFIN ADJD	2/SB 0/-- 4/NK 8/OA 8/MO 5/MO 8/OA 2/PAR 8/CD 14/NK 14/OP 13/NK 11/NK 9/CJ 14/MO	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=masc|num=sg _ _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive
312116256440467456	positive	Nein wir berichten nicht über den neuen Papst :) Aber die heilligen Dance Hörer in diesem Lande sollten ... http://t.co/WdQzDTk9Uu	Nein wir berichten nicht über die neu Papst :) aber die heilligen Dance Hörer in dies Land sollen ... http://t.co/WdQzDTk9Uu	NN PPER VVFIN PTKNEG APPR ART ADJA NN ADJD KON ART ADJA NE NN APPR PDAT NN VMFIN $. NN	0/-- 3/SB 1/OC 3/NG 3/OP 8/NK 8/NK 5/NK 3/MO 18/CD 14/NK 14/NK 14/PNC 18/SB 14/MNR 17/NK 15/NK 3/MO 18/-- 19/--	case=nom|gender=masc|num=sg case=nom|*=True|num=pl|pers=1 case=acc|pers=3|*=True _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|EmoExpression::markable_41::SubjectiveFact=false|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=past|mood=subj _ case=nom|gender=fem|num=sg
311931621613899776	positive	hey leute na wie geht es euch ? es gibt wieder einen neuen papst :)	Hey leute na wie gehen es ihr ? es geben wieder eine neu Papst :)	NE ADJA ITJ KOKOM VVFIN PPER PPER $. PPER VVFIN ADV ART ADJA NN ADJA	5/DA 1/UC 5/DM 5/CM 0/-- 5/EP 5/DA 7/-- 10/EP 8/-- 10/MO 14/NK 14/NK 10/OA 14/NK	_ case=nom|*=True|num=pl _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 case=dat|*=True|num=pl|pers=2 _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
311906235903528960	positive	RT @KHRieger : In Wasserburg läuten die katholischen Glocken . Jetzt ist die Nachricht analog getwittert . ;-) #Papst #habemuspapam	RT @KHRieger : in Wasserburg läuten die katholisch Glocke . jetzt sein die Nachricht analog getwittert . ;-) #Papst #habemuspapam	NE NN $. APPR NN VVFIN ART ADJA NN $. ADV VAFIN ART NN ADJD VVPP $. $( NN NN	2/SB 0/-- 2/-- 6/MO 4/NK 3/-- 9/NK 9/NK 6/SB 9/-- 16/MO 10/-- 14/NK 12/SB 16/MO 12/PD 16/-- 19/-- 17/-- 19/NK	case=nom|*=True|num=sg case=nom|Source::markable_44::Anaphref=empty|Sentiment::markable_43::Sarcasm=false|Sentiment::markable_43::Intensity=medium|Sentiment::markable_43::Sentiment=True|*=True|num=sg|Sentiment::markable_43::Polarity=positive|Source::markable_44::Source=True Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|Target::markable_45::Anaphref=empty|Target::markable_45::Preferred=true case=dat|gender=neut|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True pers=3|num=pl|tense=pres|mood=ind|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True case=nom|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_43::Sentiment=True case=nom|num=pl|gender=masc|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|pos=True case=nom|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True case=nom|gender=fem|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True case=nom|gender=fem|Target::markable_45::Target=True|num=sg|Sentiment::markable_43::Sentiment=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True|pos=True Target::markable_45::Target=True|Sentiment::markable_43::Sentiment=True Sentiment::markable_43::Sentiment=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|Sentiment::markable_43::Sentiment=True|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::Polarity=positive case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
311922352701198338	negative	RT @AnonNewsDE : Im #Vatikan wird gerade per weißen Rauchenzeichen kommuniziert , dass ein neuer Pädophiler entdeckt wurde . #Papst :)	RT @AnonNewsDE : in #Vatikan werden gerade per weiß Rauchenzeichen kommunizieren , dass eine neu Pädophiler entdecken werden . #Papst :)	NE ADJD $. APPRART NN VAFIN ADV APPR ADJA NN VVPP $, KOUS ART ADJA NN VVPP VAFIN $. NN ADJA	0/-- 1/PD 2/-- 11/MO 4/NK 3/-- 11/MO 11/MO 10/NK 8/NK 6/OC 11/-- 18/CP 16/NK 16/NK 18/SB 18/OC 11/MO 18/-- 19/-- 20/NK	case=nom|*=True|num=sg Sentiment::markable_47::Sarcasm=false|Sentiment::markable_47::Polarity=negative|Sentiment::markable_47::Intensity=medium|Source::markable_48::Anaphref=empty|pos=True|Sentiment::markable_47::Sentiment=True|Source::markable_48::Source=True Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True case=dat|gender=fem|num=pl|pos=True|Sentiment::markable_47::Sentiment=True case=dat|gender=fem|num=pl|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_47::Sentiment=True case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_47::Sentiment=True case=nom|EmoExpression::markable_51::Uncertain=false|gender=masc|EmoExpression::markable_51::EmoExpression=True|Sentiment::markable_47::Sentiment=True|EmoExpression::markable_51::SubjectiveFact=true|num=sg|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Polarity=negative|EmoExpression::markable_51::Intensity=medium Sentiment::markable_47::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True case=nom|num=sg|Target::markable_49::Target=True|gender=fem|Target::markable_49::Anaphref=empty|Target::markable_49::Preferred=true|Sentiment::markable_47::Sentiment=True case=nom|EmoExpression::markable_50::Intensity=medium|gender=fem|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|pos=True|Sentiment::markable_47::Sentiment=True|num=sg|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::EmoExpression=True
311902524330344449	positive	Ein neuer Papst ist gewählt ! Wir halten uns aus diesem Thema heraus ;-)	eine neu Papst sein wählen ! wir halten wir aus dies Thema heraus ;-)	ART ADJA NN VAFIN VVPP $. PPER VVFIN PPER APPR PDAT NN PTKVZ $(	3/NK 3/NK 4/SB 0/-- 4/PD 5/-- 8/SB 6/-- 8/OA 8/MO 12/NK 10/NK 8/SVP 13/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|*=True|num=pl|pers=1 _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false
312084219847385089	negative	RT @hipsterschwein : Wieder kein Moslem als Papst . :-(	RT @hipsterschwein : wieder keine Moslem als Papst . :-(	NE NN $. ADV PIAT NN KOKOM NN $. $(	2/SB 0/-- 2/-- 6/MO 6/NK 3/-- 6/CD 7/NK 8/-- 9/--	case=nom|*=True|num=sg case=nom|Sentiment::markable_53::Sentiment=True|Source::markable_54::Anaphref=empty|*=True|Sentiment::markable_53::Sarcasm=true|num=sg|Sentiment::markable_53::Intensity=medium|Source::markable_54::Source=True|Sentiment::markable_53::Polarity=negative Sentiment::markable_53::Sentiment=True Sentiment::markable_53::Sentiment=True case=nom|Target::markable_55::Target=True|num=sg|Target::markable_55::Anaphref=empty|gender=masc|Sentiment::markable_53::Sentiment=True|Target::markable_55::Preferred=true case=nom|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True|Target::markable_55::Target=True Target::markable_55::Target=True|Sentiment::markable_53::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_53::Sentiment=True|Target::markable_55::Target=True Sentiment::markable_53::Sentiment=True EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|EmoExpression::markable_56::Polarity=negative|Sentiment::markable_53::Sentiment=True|EmoExpression::markable_56::Uncertain=false|EmoExpression::markable_56::Sarcasm=false
311905048860966915	positive	@rutm Das sind doch eher veraltete Ansichten . Dann müsste ja der Papst mit blauem Rauch gemeldet werden . ;-)	@rutm die sein doch eher veraltet Ansicht . dann müssen ja die Papst mit blau Rauch melden werden . ;-)	NN PDS VAFIN ADV ADV ADJA NN $. ADV VMFIN ADV ART NN APPR ADJA NN VVPP VAINF $. $(	0/-- 3/SB 1/-- 3/MO 6/MO 7/NK 3/PD 7/-- 10/MO 8/-- 10/MO 13/NK 10/SB 13/MNR 16/NK 14/NK 18/OC 10/OC 18/-- 19/--	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ case=acc|gender=fem|num=pl|pos=True case=acc|gender=fem|num=pl _ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ _ EmoExpression::markable_57::Uncertain=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::SubjectiveFact=false|EmoExpression::markable_57::EmoExpression=True|EmoExpression::markable_57::Polarity=positive
