311915164473647104	positive	RT @ericullrich : Jetzt müsste Berlusconi auf dem Balkon erscheinen :) #papst	RT @ericullrich : jetzt müssen Berlusconi auf die Balkon erscheinen :) #papst	NE NE $. ADV VMFIN NN APPR ART NN VVFIN ADJA NN	2/PNC 0/-- 2/-- 5/MO 3/-- 5/SB 10/MO 9/NK 7/NK 5/OC 12/NK 10/OA	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=acc|gender=fem|num=sg|sup=True case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|gender=masc|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|pos=True|num=sg|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Intensity=medium case=dat|gender=masc|num=sg
311908532670853121	positive	;-) RT @c_vogt : Hoffentlich wird es diesmal eine Frau . #Papst	;-) RT @c_vogt : hoffentlich werden es diesmal eine Frau . #Papst	$( NE NN $. ADV VAFIN PPER ADV ART NN $. NN	2/-- 3/SB 0/-- 3/-- 6/MO 4/-- 6/EP 6/MO 10/NK 6/PD 10/-- 11/--	EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _
312190755127037952	positive	@Rubicappula Also die Gottesknechtslieder aus Jesaja auf den Papst zu beziehen… ;-)	@Rubicappula also die Gottesknechtslieder aus Jesaja auf die Papst zu beziehen… ;-)	NN ADV ART NN APPR NE APPR ART NN APPR ADJA $(	0/-- 4/MO 4/NK 1/-- 4/MNR 5/NK 4/MNR 9/NK 7/NK 11/PM 9/OC 11/--	case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl _ case=dat|gender=neut|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True
312118498686013440	positive	Als alle ihn noch kaum kannten , hatte @swrinfo ihn schon ;-): https://t.co/z9u5AtC9pT #Papst #HabemusPapam	als alle er noch kaum kennen , haben @swrinfo er schon ;-): https://t.co/z9u5AtC9pT #Papst #HabemusPapam	KOKOM PIS PPER ADV ADV VVFIN $, VAFIN NN PPER ADV ADJA NN NN NN	6/CP 6/SB 6/OA 6/MO 6/MO 9/NK 6/-- 0/-- 8/OA 12/DA 12/MO 9/-- 12/MNR 13/MNR 14/NK	_ case=nom|gender=fem|num=pl case=acc|gender=masc|num=sg|pers=3 _ _ pers=3|num=pl|tense=past|mood=ind _ pers=3|num=sg|tense=past|mood=ind case=nom|gender=neut|num=sg case=acc|gender=masc|num=sg|pers=3 _ EmoExpression::markable_13::EmoExpression=True|gender=fem|*=True|pos=True|num=sg|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false gender=fem|*=True|num=sg gender=fem|*=True|num=sg gender=fem|*=True|num=sg
311923277524246528	positive	Neuheit : #Papst erteilt Ablass zum Amtsantritt auch für Menschen vor neuartigen Empfangsgeräten :)	Neuheit : #Papst erteilen Ablass zu Amtsantritt auch für Mensch vor neuartig Empfangsgerät :)	NN $. NN VVFIN NN APPRART NN ADV APPR NN APPR ADJA NN ADJD	0/-- 1/-- 4/SB 1/RS 4/OA 5/MNR 6/NK 9/MO 14/MO 9/NK 10/MNR 13/NK 11/NK 4/MO	case=nom|gender=fem|num=sg _ case=nom|Target::markable_17::Target=True|Target::markable_17::Preferred=true|Sentiment::markable_16::Intensity=medium|gender=fem|Target::markable_17::Anaphref=empty|Sentiment::markable_16::Sentiment=True|Sentiment::markable_16::Sarcasm=false|num=sg|Sentiment::markable_16::Polarity=positive pers=3|num=sg|tense=pres|mood=ind|Target::markable_17::Target=True|Sentiment::markable_16::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_16::Sentiment=True|Target::markable_17::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_16::Sentiment=True|Target::markable_17::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_16::Sentiment=True|Target::markable_17::Target=True Target::markable_17::Target=True|Sentiment::markable_16::Sentiment=True Target::markable_17::Target=True|Sentiment::markable_16::Sentiment=True case=acc|gender=masc|num=pl|Sentiment::markable_16::Sentiment=True|Target::markable_17::Target=True Target::markable_17::Target=True|Sentiment::markable_16::Sentiment=True case=dat|num=pl|Target::markable_17::Target=True|gender=neut|Sentiment::markable_16::Sentiment=True|pos=True case=dat|gender=neut|num=pl|Sentiment::markable_16::Sentiment=True|Target::markable_17::Target=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|Sentiment::markable_16::Sentiment=True|EmoExpression::markable_14::EmoExpression=True
312128988283813888	positive	@JuergenErbacher jetzt muss man immer erst realisieren welcher Papst gemeint ist , der eremetierte oder der amtierende :) idr der amtierende	@JuergenErbacher jetzt müssen man immer erst realisieren welche Papst meinen sein , die eremetierte oder die amtierend :) idr die amtierend	NN ADV VMFIN PIS ADV ADV VVFIN PIS NN VVPP VAFIN $, ART ADJA KON ART ADJA NN NE ART ADJA	0/-- 3/MO 1/-- 3/SB 6/MO 3/MO 3/OC 7/SB 11/SB 11/PD 7/MO 11/-- 14/NK 3/SB 14/CD 18/NK 18/NK 15/CJ 18/NK 21/NK 3/SB	case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::SubjectiveFact=false|gender=masc|EmoExpression::markable_15::Uncertain=false|EmoExpression::markable_15::Polarity=positive|num=sg|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::Sarcasm=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True
311916933832400899	positive	Papst ist mir jetzt egal , gehe mit Buffy ein paar Vampire jagen :-) Auf zum Höllenschlund !	Papst sein ich jetzt egal , gehen mit Buffy eine paar Vampir jagen :-) auf zu Höllenschlund !	NN VAFIN PPER ADV ADJD $, VVFIN APPR NE ART PIAT NN VVINF $( APPR APPRART NN $.	2/PD 0/-- 5/DA 2/MO 2/PD 5/-- 5/PAR 7/MO 8/NK 11/NK 12/NK 13/OA 9/PAR 13/-- 7/SVP 7/MO 16/NK 17/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=dat|*=True|num=sg|pers=1 _ _ _ pers=3|num=sg|tense=pres|mood=subj _ case=dat|*=True|num=sg *=True *=True case=nom|gender=masc|num=pl _ EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _
311913756026347520	positive	Papst Wahl aus der Badewanne anschauen :) Haha #papst #rom #italien http://t.co/hdbNE4YPir	Papst Wahl aus die Badewanne anschauen :) Haha #papst #rom #italien http://t.co/hdbNE4YPir	NN NN APPR ART NN VVFIN ADJA NN NN NN NN NN	6/SB 1/NK 1/MNR 5/NK 3/NK 0/-- 8/NK 6/DA 6/DA 9/NK 6/DA 6/OA	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=gen|EmoExpression::markable_19::Uncertain=false|gender=masc|EmoExpression::markable_19::Sarcasm=false|pos=True|EmoExpression::markable_19::EmoExpression=True|num=pl|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive case=gen|EmoExpression::markable_100500131::Intensity=medium|EmoExpression::markable_100500131::SubjectiveFact=false|EmoExpression::markable_100500131::EmoExpression=True|gender=masc|EmoExpression::markable_100500131::Sarcasm=false|num=pl|EmoExpression::markable_100500131::Polarity=positive|EmoExpression::markable_100500131::Uncertain=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl
311971265286127616	positive	@altenhagener Ich denke nicht das ein Papst , oder sonst ein Christ , dies behaupten würde ;-)	@altenhagener ich denken nicht die eine Papst , oder sonst eine Christ , dies behaupten werden ;-)	NN PPER VVFIN PTKNEG PRELS ART NN $, KON ADV ART NN $, PDS VVINF VAFIN $(	0/-- 3/SB 1/-- 3/NG 15/OA 7/NK 3/OA 7/-- 7/CD 12/MO 12/NK 9/CJ 12/-- 16/SB 16/OC 12/OC 16/--	case=nom|gender=masc|num=sg|pos=True case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=past|mood=subj EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive
311903748135989249	mixed	@Amy__1991 Arsch :D z. b die hier - - &gt; http://t.co/UOwV5tT18a - das sind ziemlich viele :)	@Amy__1991 Arsch :D z. b die hier - - &gt; http://t.co/UOwV5tT18a - die sein ziemlich viele :)	CARD NN NN APPRART ADJA PRELS ADV $( $( $( NN $( PDS VAFIN ADV PIAT NN	0/-- 13/RE 2/NK 11/MO 4/NK 4/NK 4/NK 7/-- 8/-- 9/-- 2/PAR 11/-- 14/SB 1/-- 16/MO 17/NK 14/SB	_ case=nom|EmoExpression::markable_104010499::EmoExpression=True|gender=masc|EmoExpression::markable_104010499::SubjectiveFact=false|num=sg|EmoExpression::markable_104010499::Polarity=negative|EmoExpression::markable_104010499::Sarcasm=true|EmoExpression::markable_104010499::Uncertain=false|EmoExpression::markable_104010499::Intensity=medium case=nom|EmoExpression::markable_21::EmoExpression=True|gender=masc|EmoExpression::markable_21::Intensity=medium|num=sg|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false case=dat|gender=neut|num=sg _ case=nom|gender=fem|num=pl _ _ _ _ case=nom|gender=fem|num=pl _ case=nom|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=masc|num=pl case=nom|EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|gender=masc|EmoExpression::markable_22::EmoExpression=True|num=pl|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::Polarity=positive
311952313373822976	positive	@swissyvi die Sicht wird es verändern ... aber es ist ein konservativer Papst , auch deshalb bin ich Protestant ;-) logo :-))))	@swissyvi die Sicht werden es verändern ... aber es sein eine konservativ Papst , auch deshalb sein ich Protestant ;-) logo :-))))	NN ART NN VAFIN PPER VVINF $. KON PPER VAFIN ART ADJA NN $, ADV PAV VAFIN PPER NN $( ADJD ADJA	0/-- 3/NK 4/SB 1/-- 6/OA 4/OC 6/-- 10/JU 10/SB 7/-- 13/NK 13/NK 10/PD 13/-- 19/MO 19/NK 19/RS 17/SB 13/CJ 19/-- 22/MO 9/RE	case=nom|gender=neut|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ _ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=1 case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_23::SubjectiveFact=false|gender=masc|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|num=sg|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Sarcasm=false _ mood=ind|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Intensity=strong|pers=3|num=sg|tense=pres|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
