317379081333243904	mixed	hihi . RT‏ @GrumpyMerkel :-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	hihi . RT‏ @GrumpyMerkel :-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	NE $. ADJA NN $( NN NE ART NN ART NN NE	0/-- 1/-- 4/NK 2/-- 6/-- 4/-- 6/NK 9/NK 6/DA 11/NK 9/AG 11/NK	case=nom|EmoExpression::markable_100500126::EmoExpression=True|EmoExpression::markable_100500126::Uncertain=false|EmoExpression::markable_100500126::Sarcasm=false|*=True|EmoExpression::markable_100500126::Polarity=positive|num=sg|EmoExpression::markable_100500126::Intensity=medium|EmoExpression::markable_100500126::SubjectiveFact=false _ _ gender=fem|*=True|num=sg EmoExpression::markable_100500127::Sarcasm=false|EmoExpression::markable_100500127::Uncertain=false|EmoExpression::markable_100500127::Intensity=medium|EmoExpression::markable_100500127::SubjectiveFact=false|EmoExpression::markable_100500127::Polarity=negative|EmoExpression::markable_100500127::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
333088682875691009	positive	RT @Mr_NotSure : RT @boomel : Wochenende , endlich früher aufstehen und noch mehr Zeit in die #piratenpartei stecken :) #ichbinmotiviert #frap …	RT @Mr_NotSure : RT @boomel : Wochenende , endlich früh aufstehen und noch mehr Zeit in die #piratenpartei stecken :) #ichbinmotiviert #frap …	NE ADJD $. NE NN $. NN $, ADV ADJD VVINF KON ADV PIAT NN APPR ART NN VVFIN ADJD ADJA NN ADJD	0/-- 1/PD 2/-- 5/SB 3/-- 5/-- 6/-- 7/-- 11/MO 11/MO 7/MNR 11/CD 14/MO 15/NK 19/SB 15/MNR 18/NK 16/NK 12/CJ 19/MO 22/NK 19/OA 19/MO	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|*=True|num=pl _ EmoExpression::markable_100500129::SubjectiveFact=false|EmoExpression::markable_100500129::Intensity=weak|EmoExpression::markable_100500129::Polarity=positive|EmoExpression::markable_100500129::Sarcasm=true|EmoExpression::markable_100500129::EmoExpression=True|EmoExpression::markable_100500129::Uncertain=false comp=True _ _ _ *=True case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false|pos=True _ gender=fem|*=True|num=sg pos=True
337301142956568576	positive	Bild - Diekmann &amp; FDP - Rösler jetzt ein Paar (: - ) http://t.co/a54QOaGmXg	Bild - Diekmann &amp; FDP - Rösler jetzt eine paar (: - ) http://t.co/a54QOaGmXg	NN $( NE $( NE $( NN ADV ART PIAT NN $( $( NN	0/-- 1/-- 5/PNC 3/-- 7/NK 5/-- 1/CJ 7/MO 11/NK 11/NK 7/PD 11/-- 12/-- 7/PNC	case=nom|gender=neut|num=sg _ *=True *=True case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=acc|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::SubjectiveFact=false|gender=fem|EmoExpression::markable_12::EmoExpression=True|num=sg|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::Intensity=medium EmoExpression::markable_12::EmoExpression=True EmoExpression::markable_12::EmoExpression=True gender=fem|*=True|num=sg
332975874943115265	positive	@Ober_Franke Gauck hat sie unter seinem Kopfkissen ;-)	@Ober_Franke Gauck haben sie unter sein Kopfkissen ;-)	NN NE VAFIN PPER APPR PPOSAT NN $(	0/-- 3/SB 1/-- 3/SB 3/MO 7/NK 5/NK 7/--	case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
338024769754656768	negative	@Nico_K7 wen soll ich denn dann mit Merkel Bildern spamen . :(	@Nico_K7 wer sollen ich denn dann mit Merkel Bild spamen . :(	NN PWS VMFIN PPER ADV ADV APPR NE NN VVFIN $. ADJA	0/-- 10/OA 1/-- 3/SB 3/MO 3/MO 10/MO 7/NK 10/SB 3/OC 10/-- 11/--	case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ case=dat|*=True|num=sg case=dat|gender=neut|num=pl pers=3|num=pl|tense=past|mood=ind _ EmoExpression::markable_14::Polarity=negative|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
324624202571317248	neutral	#Piratenpartei Telefonische ( nicht - ) Erreichbarkeit des KV : Beitrag kann nach Anmeldung gelese ... http://t.co/8r3pUB0qA0 #Piraten #Forum	#Piratenpartei Telefonische ( nicht - ) Erreichbarkeit die KV : Beitrag können nach Anmeldung gelese ... http://t.co/8r3pUB0qA0 #Piraten #Forum	NN NN $( PTKNEG $( $( NN ART NE $. NN VMFIN APPR NN VVFIN $. CARD NN NN	12/SB 1/NK 2/-- 7/NG 4/-- 5/-- 1/PAR 9/NK 7/AG 9/-- 15/OA 0/-- 12/MO 13/NK 12/OC 15/-- 18/NK 16/-- 18/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ _ _ case=dat|gender=fem|num=sg case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=subj _ _ case=nom|gender=masc|num=pl case=nom|gender=neut|num=sg
324761339211952128	positive	@Themenmixer ich dachte nur an voreilige Schlüsse der CSU :-)	@Themenmixer ich denken nur an voreilig Schluss die CSU :-)	NN PPER VVFIN ADV APPR ADJA NN ART NE $(	0/-- 3/SB 1/-- 5/MO 3/OP 7/NK 5/NK 9/NK 7/AG 9/--	case=nom|gender=masc|num=sg case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=pl|pos=True case=acc|gender=masc|num=pl case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg EmoExpression::markable_15::Polarity=positive|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
337307901658034176	positive	@AdinaaBieber haha und aus welchem Bundesland kommst du ? :)	@AdinaaBieber haha und aus welche Bundesland kommen du ? :)	NN NE KON APPR PRELS NN VVFIN PPER $. ADJA	0/-- 7/SB 2/CD 3/CJ 6/NK 4/NK 1/-- 7/SB 8/-- 9/--	case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_100500130::Uncertain=false|EmoExpression::markable_100500130::Intensity=medium|EmoExpression::markable_100500130::Sarcasm=false|EmoExpression::markable_100500130::Polarity=positive|*=True|EmoExpression::markable_100500130::EmoExpression=True|num=sg|EmoExpression::markable_100500130::SubjectiveFact=false _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium
337307043486654465	positive	@guenterhack eine spätrömische Chiffre . Wer hätte gedacht , dass es dadurch zu einer Parallele mit Guido Westerwelle kommt ? ;-)	@guenterhack eine spätrömisch Chiffre . wer haben denken|gedenken , dass es dadurch zu eine Parallele mit Guido Westerwelle kommen ? ;-)	NN ART ADJA NN $. PWS VAFIN VVPP $, KOUS PPER PAV APPR ART NN APPR NE NN VVFIN $. $(	0/-- 4/NK 4/NK 1/-- 4/-- 7/SB 5/-- 7/OC 8/-- 19/CP 19/SB 11/NK 19/MO 15/NK 13/NK 15/MNR 18/PNC 16/NK 8/MO 19/-- 20/--	case=nom|gender=masc|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=subj _ _ _ case=nom|gender=neut|num=sg|pers=3 _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
335880218499772416	positive	@binichdoch ja bin ja auch da bei Spielen .. Aber mein Herz bleibt schwarz gelb &lt;3 5 Euro Monatlich :) Union ?!? 0 . o	@binichdoch ja sein ja auch da bei Spiel|Spielen .. aber mein Herz bleiben schwarz gelb &lt;3 5 Euro monatlich :) Union ?!? @card@ . o	NN ADV VAFIN ADV ADV ADV APPR NN NN KON PPOSAT NN VVFIN ADJD ADJD CARD CARD NN ADJD ADJA NN NN CARD $. ADJA	0/-- 3/MO 1/-- 3/MO 3/MO 3/MO 3/MO 7/NK 3/PD 13/JU 12/NK 13/SB 9/-- 13/MO 17/MO 17/NMC 18/NK 13/MO 20/MO 21/NK 18/AG 13/PD 22/-- 23/-- 23/MO	_ _ pers=1|num=sg|tense=pres|mood=ind _ _ _ _ case=dat|gender=neut|num=pl case=dat|gender=neut|num=pl Sentiment::markable_100500133::Sarcasm=false|Sentiment::markable_100500133::Sentiment=True|Sentiment::markable_100500133::Intensity=medium|Sentiment::markable_100500133::Polarity=positive case=nom|num=sg|Source::markable_100500134::Source=True|Source::markable_100500134::Anaphref=empty|gender=masc|Sentiment::markable_100500133::Sentiment=True case=nom|EmoExpression::markable_100500135::EmoExpression=True|gender=masc|EmoExpression::markable_100500135::Sarcasm=false|EmoExpression::markable_100500135::Polarity=positive|EmoExpression::markable_100500135::Uncertain=false|num=sg|EmoExpression::markable_100500135::Intensity=medium|EmoExpression::markable_100500135::SubjectiveFact=false|Sentiment::markable_100500133::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500133::Sentiment=True Target::markable_100500136::Preferred=true|Target::markable_100500136::Anaphref=empty|pos=True|Target::markable_100500136::Target=True|Sentiment::markable_100500133::Sentiment=True Target::markable_100500136::Target=True|Sentiment::markable_100500133::Sentiment=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium|Sentiment::markable_100500133::Sentiment=True _ gender=masc|*=True pos=True case=gen|EmoExpression::markable_19::Uncertain=false|gender=fem|EmoExpression::markable_19::Sarcasm=false|pos=True|EmoExpression::markable_19::EmoExpression=True|num=sg|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive case=gen|gender=fem|num=sg gender=masc|*=True|num=sg _ _ _
326047721284841475	positive	RT @pfaff90 Gerade @Katrheina und @hildemattheis in der #heuteshow gesehen :) #zdf #spd #jusos : Gerade @Katrhe ... http://t.co/haT76Pi5Hv	RT @pfaff90 gerade @Katrheina und @hildemattheis in die #heuteshow sehen :) #zdf #spd #jusos : gerade @Katrhe ... http://t.co/haT76Pi5Hv	NE NN ADV NN KON NN APPR ART NN VVPP ADJA NN ADJA NN $. ADV ADJD $. NE	2/PNC 0/-- 4/MO 2/-- 6/JU 4/-- 10/MO 9/NK 7/NK 11/MO 12/NK 6/-- 14/NK 12/AG 14/-- 17/MO 12/PD 17/-- 18/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=gen|EmoExpression::markable_20::Uncertain=false|gender=masc|EmoExpression::markable_20::Sarcasm=false|pos=True|EmoExpression::markable_20::EmoExpression=True|num=pl|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl|pos=True case=gen|gender=masc|num=pl _ _ _ _ _
323170801949999104	negative	@Volker_Beck @sigmargabriel Wo wir gerade bei der FDP sind : Deren Nazi - Vergangenheit ist auch nicht sehr rühmlich . ;-)	@Volker_Beck @sigmargabriel wo wir gerade bei die FDP sein : die Nazi - Vergangenheit sein auch nicht sehr rühmlich . ;-)	NN NN PWAV PPER ADV APPR ART NE VAFIN $. PDAT NN $( NN VAFIN ADV PTKNEG ADV ADJD $. $(	0/-- 1/-- 9/MO 9/SB 9/MO 9/MO 8/NK 6/NK 2/-- 9/-- 12/NK 9/PD 12/-- 15/SB 9/CJ 15/MO 15/NG 19/MO 15/PD 19/-- 20/--	case=nom|gender=masc|num=sg case=nom|gender=neut|num=sg Sentiment::markable_21::Polarity=negative|Sentiment::markable_21::Sarcasm=false|Sentiment::markable_21::Intensity=medium|Sentiment::markable_21::Sentiment=True case=nom|*=True|num=pl|Sentiment::markable_21::Sentiment=True|pers=1 Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True case=dat|num=sg|Target::markable_100500137::Target=True|gender=fem|Target::markable_100500137::Preferred=true|Target::markable_100500137::Anaphref=empty|Sentiment::markable_21::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_21::Sentiment=True|Target::markable_100500137::Target=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True case=gen|*=True|Sentiment::markable_21::Sentiment=True case=acc|EmoExpression::markable_100500139::Polarity=negative|EmoExpression::markable_100500139::Sarcasm=false|gender=masc|EmoExpression::markable_100500139::SubjectiveFact=false|num=sg|EmoExpression::markable_100500139::Uncertain=false|EmoExpression::markable_100500139::Intensity=medium|EmoExpression::markable_100500139::EmoExpression=True|Sentiment::markable_21::Sentiment=True EmoExpression::markable_100500139::EmoExpression=True|Sentiment::markable_21::Sentiment=True case=acc|gender=fem|num=sg|EmoExpression::markable_100500139::EmoExpression=True|Sentiment::markable_21::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_21::Sentiment=True Sentiment::markable_21::Sentiment=True Negation::markable_25::Negation=True|Sentiment::markable_21::Sentiment=True|Negation::markable_25::EmoExpressionRef=empty Intensifier::markable_24::Degree=medium|Intensifier::markable_24::Intensifier=True|Intensifier::markable_24::EmoExpressionRef=emo-expression:markable_23|Sentiment::markable_21::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|pos=True|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|Sentiment::markable_21::Sentiment=True|EmoExpression::markable_23::Sarcasm=false Sentiment::markable_21::Sentiment=True EmoExpression::markable_100500138::Polarity=positive|EmoExpression::markable_100500138::SubjectiveFact=false|EmoExpression::markable_100500138::EmoExpression=True|EmoExpression::markable_100500138::Uncertain=false|EmoExpression::markable_100500138::Intensity=medium|EmoExpression::markable_100500138::Sarcasm=false|Sentiment::markable_21::Sentiment=True
333668323646648323	positive	RT @einfachBen : Der Unterschied zwischen Seehofer und seinen Ministern ? Er macht das so , dass man ihm nichts nachweisen kann . ;-) http://t . …	RT @einfachBen : die Unterschied zwischen Seehofer und sein Minister ? er machen die so , dass man er nichts nachweisen können . ;-) http://t . …	NE ADJD $. ART NN APPR NE KON PPOSAT NN $. PPER VVFIN PDS ADV $, KOUS PIS PPER PIS VVINF VMFIN $. $( NN $. ADJA	0/-- 1/PD 2/-- 5/NK 3/-- 5/MNR 6/NK 7/CD 10/NK 8/CJ 10/-- 13/SB 11/-- 13/OA 13/MO 15/-- 22/CP 22/SB 21/DA 21/OA 22/OC 15/RE 22/-- 25/-- 23/-- 25/-- 25/UC	case=nom|*=True|num=sg pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg _ case=dat|gender=masc|num=pl case=dat|gender=masc|num=pl _ case=nom|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ _ case=nom|*=True|num=sg case=dat|gender=masc|num=sg|pers=3 gender=neut|*=True _ pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive _ _ _
318119434491412480	positive	RT @sauberhaui : Ich musste Schmunzeln , obwohl das Thema Ernst ist :-) http://t.co/0duz5ZAuZF #Zypern #FAZinvestigativ #Cyprus #StopDen ...	RT @sauberhaui : ich müssen Schmunzeln , obwohl die Thema Ernst sein :-) http://t.co/0duz5ZAuZF #Zypern #FAZinvestigativ #Cyprus #StopDen ...	NE NE $. PPER VMFIN NN $, KOUS ART NN NE VAFIN $( NN NE NN NN ADJD $.	2/PNC 0/-- 2/-- 5/SB 3/-- 5/OA 6/-- 12/CP 10/NK 12/SB 10/NK 5/MO 14/-- 12/PD 17/PNC 17/NK 14/NK 12/PD 18/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=past|mood=ind case=gen|EmoExpression::markable_100500140::Uncertain=false|gender=fem|EmoExpression::markable_100500140::EmoExpression=True|EmoExpression::markable_100500140::Polarity=positive|num=pl|EmoExpression::markable_100500140::Sarcasm=false|EmoExpression::markable_100500140::Intensity=medium|EmoExpression::markable_100500140::SubjectiveFact=false _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|num=sg|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=masc|num=sg pos=True _
325347526813298689	negative	#datenschutz : schau an , innenministerium hat direkten zugang zu #öbb-videoüberwachung ... http://t.co/4Q5jprBJ5z hauptsach #bankgeheimnis :-(	#datenschutz : schauen an , innenministerium haben direkt Zugang zu #öbb-videoüberwachung ... http://t.co/4Q5jprBJ5z hauptsach #bankgeheimnis :-(	NN $. VVIMP ADV $, ADJD VAFIN ADJA NN APPR NN $. NN NE NN $(	3/PD 1/-- 7/OC 3/MO 4/-- 3/MO 0/-- 9/NK 7/SB 9/MNR 10/NK 11/-- 12/-- 15/PNC 13/NK 15/--	case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ pos=True pers=3|num=sg|tense=pres|mood=ind case=gen|gender=fem|num=sg|pos=True case=gen|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg EmoExpression::markable_100500141::Polarity=negative|EmoExpression::markable_100500141::EmoExpression=True|EmoExpression::markable_100500141::Uncertain=false|EmoExpression::markable_100500141::Intensity=medium|EmoExpression::markable_100500141::Sarcasm=false|EmoExpression::markable_100500141::SubjectiveFact=false
322443181365002240	negative	RT @stuttgarter1977 #RamSAUer also auch beim Autobahnbau ein Flop . Wers zahlt ? Wieder die Steuerzahler :-( ÖP ... http://t.co/NhyicZDrjn	RT @stuttgarter1977 #RamSAUer also auch bei Autobahnbau eine Flop . Wers zahlen ? wieder die Steuerzahler :-( ÖP ... http://t.co/NhyicZDrjn	NE CARD NN ADV ADV APPRART NN ART NN $. NN VVFIN $. ADV ART NN $( NN $. NE	0/-- 1/NK 2/-- 3/MO 6/MO 3/MO 6/NK 9/NK 3/SB 9/-- 12/SB 10/-- 12/-- 16/MO 16/NK 13/-- 16/-- 16/CJ 18/-- 19/--	case=nom|gender=neut|num=sg _ case=nom|Target::markable_100500143::Target=True|Sentiment::markable_100500142::Intensity=medium|Target::markable_100500143::Anaphref=empty|gender=masc|num=sg|Sentiment::markable_100500142::Sentiment=True|Sentiment::markable_100500142::Sarcasm=false|Target::markable_100500143::Preferred=true|Sentiment::markable_100500142::Polarity=negative Sentiment::markable_100500142::Sentiment=True Sentiment::markable_100500142::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500142::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500142::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_100500142::Sentiment=True case=acc|EmoExpression::markable_100500144::SubjectiveFact=false|gender=neut|EmoExpression::markable_100500144::Intensity=medium|EmoExpression::markable_100500144::Sarcasm=false|num=sg|EmoExpression::markable_100500144::Polarity=negative|Sentiment::markable_100500142::Sentiment=True|EmoExpression::markable_100500144::Uncertain=false|EmoExpression::markable_100500144::EmoExpression=True Sentiment::markable_100500142::Sentiment=True case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_100500145::SubjectiveFact=false|EmoExpression::markable_100500145::Polarity=negative|gender=fem|EmoExpression::markable_100500145::Uncertain=false|pos=True|EmoExpression::markable_100500145::Intensity=medium|EmoExpression::markable_100500145::EmoExpression=True|num=sg|EmoExpression::markable_100500145::Sarcasm=false case=nom|gender=fem|num=sg _ _
323874133886763009	mixed	@Zaphod__B jup , keine hetze , nach der wahl ist vor der wahl :)	@Zaphod__B jup , keine hetzen , nach die Wahl sein vor die wahl :)	ADJA NN $, PIAT VVFIN $, APPR ART NN VAFIN APPR ART ADJA ADJA	0/-- 10/SB 2/-- 5/NK 2/OC 5/-- 2/MNR 9/NK 7/NK 1/-- 10/MO 14/NK 14/NK 11/NK	_ case=nom|gender=masc|num=sg _ case=acc|gender=fem|num=sg EmoExpression::markable_100500202::Sarcasm=false|EmoExpression::markable_100500202::Uncertain=false|mood=subj|EmoExpression::markable_100500202::Intensity=medium|EmoExpression::markable_100500202::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_100500202::Polarity=negative|EmoExpression::markable_100500202::EmoExpression=True _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::EmoExpression=True|*=True|pos=True|EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::Uncertain=false
333312096253116416	mixed	RT @potsdam : #BER #Fightclub : im Ring #Mehdorn vs. #Wowereit . #Platzeck mit k. o. ausgeschieden ;-) Wen erwischt es ? http://t.co/EXhEi6IX0N …	RT @potsdam : #BER #Fightclub : in Ring #Mehdorn vs. #Wowereit . #Platzeck mit k. oder ausgeschieden ;-) Wen erwischen es ? http://t.co/EXhEi6IX0N …	NE NN $. ADJA NN $. APPRART NN NN NN ADJD $. NN APPR NN APPR ADJD $( NE VVFIN PPER $. NE ADJA	2/SB 0/-- 2/-- 5/NK 3/-- 5/-- 9/MO 7/NK 5/MNR 9/NK 9/MNR 11/-- 20/SB 13/MNR 14/NK 15/MNR 19/NK 17/-- 16/NK 12/-- 20/SB 21/-- 22/-- 23/UC	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pos=True _ case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg _ EmoExpression::markable_100500203::EmoExpression=True|EmoExpression::markable_100500203::Uncertain=false|EmoExpression::markable_100500203::Intensity=medium|EmoExpression::markable_100500203::SubjectiveFact=true|EmoExpression::markable_100500203::Sarcasm=false|EmoExpression::markable_100500203::Polarity=negative EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false case=acc|gender=masc|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ _
332610924768808961	negative	@spliff_richard Hatte aber nie eine Wahl , das zu ändern :-(	@spliff_richard haben aber nie eine Wahl , die zu ändern :-(	NE VAFIN ADV ADV ART NN $, PRELS PTKZU VVINF $(	0/-- 1/-- 2/MO 2/MO 6/NK 2/OA 6/-- 10/OA 10/PM 6/OC 10/--	case=nom|gender=masc|num=sg Target::markable_32::Target=True|Sentiment::markable_31::Intensity=medium|Target::markable_32::Anaphref=empty|mood=ind|Sentiment::markable_31::Polarity=negative|pers=3|Target::markable_32::Preferred=true|num=sg|tense=past|Sentiment::markable_31::Sentiment=True|Sentiment::markable_31::Sarcasm=false Target::markable_32::Target=True|Sentiment::markable_31::Sentiment=True Target::markable_32::Target=True|Sentiment::markable_31::Sentiment=True case=acc|gender=fem|Target::markable_32::Target=True|num=sg|Sentiment::markable_31::Sentiment=True case=acc|gender=fem|Target::markable_32::Target=True|num=sg|Sentiment::markable_31::Sentiment=True Target::markable_32::Target=True|Sentiment::markable_31::Sentiment=True case=acc|gender=neut|Target::markable_32::Target=True|num=sg|Sentiment::markable_31::Sentiment=True Target::markable_32::Target=True|Sentiment::markable_31::Sentiment=True Target::markable_32::Target=True|Sentiment::markable_31::Sentiment=True EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Sarcasm=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=negative|Sentiment::markable_31::Sentiment=True
