324257473294917633	negative	@Schlumpfkanone Auf dem Tisch liegen Mozart Kugeln , ber ich will mich nicht bewegen ... :(	@Schlumpfkanone auf die Tisch liegen Mozart Kugel , ber ich wollen ich nicht bewegen ... :(	NN APPR ART NN VVFIN NE NN $, VVFIN PPER VMFIN PPER PTKNEG VVINF $. ADJA	0/-- 5/MO 4/NK 2/NK 1/-- 7/NK 5/SB 7/-- 5/CJ 9/SB 9/CJ 14/OA 11/NG 11/OC 14/-- 15/--	case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=nom|gender=fem|num=pl _ Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative case=nom|Target::markable_3::Anaphref=empty|*=True|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|Target::markable_3::Target=True pers=1|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=acc|pers=1|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True
318112734157881344	positive	" @littlewisehen : " Die GRÜNEN werden alles mitmachen , solange sie nur ihre Dienstwagen bekommen . “ :-) " Und dabei fuhren die früher Fahrrad !	" @littlewisehen : " die grün werden alle mitmachen , solange sie nur ihr Dienstwagen bekommen . “ :-) " und dabei fahren die früh Fahrrad !	$( ADJD $. $( ART ADJA VAFIN PIS VVINF $, KOUS PPER ADV PPOSAT NN VVINF $. NN $( $( KON PAV VVFIN ART ADJA NN $.	2/-- 0/-- 2/-- 5/-- 6/NK 7/SB 3/-- 9/OA 7/OC 9/-- 16/CP 16/SB 16/MO 15/NK 16/OA 9/MO 16/-- 23/MO 18/-- 19/-- 22/NK 19/NK 17/-- 26/NK 26/NK 23/SB 26/--	_ _ _ _ case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ _ case=nom|gender=masc|num=pl|pers=3 _ case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl _ _ _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ _ _ pers=3|num=pl|tense=past|mood=ind case=nom|gender=masc|num=pl comp=True case=nom|gender=masc|num=sg _
318528604239720449	negative	RT @GrumpyMerkel : :-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	RT @GrumpyMerkel : :-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	NE NN $. $( NN NE ART NN ART NN NE	2/SB 0/-- 2/-- 5/-- 3/-- 5/NK 8/NK 5/DA 10/NK 8/AG 10/NK	case=nom|*=True|num=sg case=nom|*=True|num=sg _ EmoExpression::markable_100500210::Polarity=negative|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::Uncertain=false|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::SubjectiveFact=false|EmoExpression::markable_100500210::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
333323056183402496	negative	@pfefferstreu Heißt , Merkel ist stets lull und lall ? . - ) )	@pfefferstreu heißen , Merkel sein stets lullen und lall ? . - ) )	NN VVFIN $, NE VAFIN ADV VVIMP KON NN $. $. $( $( $(	0/-- 1/-- 2/-- 5/SB 2/OC 5/MO 8/CJ 5/CD 8/CJ 9/-- 10/-- 11/-- 12/-- 13/--	pos=True pers=3|num=sg|tense=pres|mood=ind _ case=nom|Target::markable_100500212::Anaphref=empty|Sentiment::markable_100500211::Sentiment=True|Sentiment::markable_100500211::Sarcasm=false|*=True|Target::markable_100500212::Target=True|Sentiment::markable_100500211::Intensity=weak|num=sg|Target::markable_100500212::Preferred=true|Sentiment::markable_100500211::Polarity=negative pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Intensity=weak|EmoExpression::markable_100500213::Polarity=negative|EmoExpression::markable_100500213::Sarcasm=false|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false Sentiment::markable_100500211::Sentiment=True EmoExpression::markable_100500214::Sarcasm=false|EmoExpression::markable_100500214::Polarity=negative|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500214::EmoExpression=True|EmoExpression::markable_100500214::Uncertain=false|EmoExpression::markable_100500214::Intensity=weak|EmoExpression::markable_100500214::SubjectiveFact=false Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Intensity=medium|EmoExpression::markable_18::Sarcasm=false Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_18::EmoExpression=True
317749432114356224	mixed	@deppentoeter @Glamypunx wir brauchen die doch gar nicht bis September hat Merkel den Euro schon ganz alleine ruiniert :) .	@deppentoeter @Glamypunx wir brauchen die doch gar nicht bis September haben Merkel die Euro schon ganz alleine ruinieren :) .	ADJA NN PPER VVFIN ART ADV ADV PTKNEG APPR NN VAFIN NE ART NN ADV ADV ADV VVFIN ADJD $.	0/-- 1/-- 4/SB 2/-- 4/OA 4/MO 8/MO 4/NG 4/MO 9/NK 4/CJ 11/SB 14/NK 18/OA 17/MO 17/MO 18/MO 11/OC 18/MO 19/--	case=nom|gender=masc|num=sg|pos=True _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=sg _ _ _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_100500341::EmoExpression=True|EmoExpression::markable_100500341::Intensity=medium|EmoExpression::markable_100500341::Uncertain=false|EmoExpression::markable_100500341::SubjectiveFact=false|EmoExpression::markable_100500341::Polarity=negative|EmoExpression::markable_100500341::Sarcasm=false EmoExpression::markable_100500341::EmoExpression=True EmoExpression::markable_100500341::EmoExpression=True EmoExpression::markable_100500340::SubjectiveFact=false|EmoExpression::markable_100500340::EmoExpression=True|EmoExpression::markable_100500340::Uncertain=false|EmoExpression::markable_100500340::Polarity=negative|EmoExpression::markable_100500340::Sarcasm=false|EmoExpression::markable_100500340::Intensity=medium EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive _
338015719956553728	negative	RT @RAStadler : Natürlich war die FDP eigentlich schon immer gegen das Drohnenprojekt . ;-) http://t.co/RneT0QTQjV	RT @RAStadler : natürlich sein die FDP eigentlich schon immer gegen die Drohnenprojekt . ;-) http://t.co/RneT0QTQjV	NE NN $. ADV VAFIN ART NE ADV ADV ADV APPR ART NN $. $( NE	2/SB 0/-- 2/-- 5/MO 3/-- 7/NK 5/SB 5/MO 10/MO 5/MO 5/MO 13/NK 11/NK 13/-- 16/-- 14/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ Sentiment::markable_100500216::Sentiment=True|Sentiment::markable_100500216::Sarcasm=false|Sentiment::markable_100500216::Polarity=negative|Sentiment::markable_100500216::Intensity=medium Sentiment::markable_100500216::Sentiment=True|mood=ind|EmoExpression::markable_100500218::Uncertain=false|pers=3|EmoExpression::markable_100500218::Intensity=medium|num=sg|tense=past|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::Polarity=negative|EmoExpression::markable_100500218::Sarcasm=false case=nom|Source::markable_100500217::Source=True|num=sg|Sentiment::markable_100500216::Sentiment=True|Source::markable_100500217::Anaphref=empty|gender=fem case=nom|gender=fem|Source::markable_100500217::Source=True|num=sg|Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True|EmoExpression::markable_100500218::EmoExpression=True case=acc|Target::markable_100500219::Preferred=true|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500219::Target=True|gender=neut|Target::markable_100500219::Anaphref=empty case=acc|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500219::Target=True Sentiment::markable_100500216::Sentiment=True EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _
334028793075351552	negative	RT @Mic_Ruby : Wie bei #Apple , das selbe Prinzip #Daimler :-( echt #grumpy #haf #hartaberfair #Lindner #FDP &lt; - BUHHH	RT @Mic_Ruby : wie bei #Apple , die selbe Prinzip #Daimler :-( echt #grumpy #haf #hartaberfair #Lindner #FDP &lt; - BUHHH	NE NN $. KOUS APPR NN $, PRELS PDAT NN NN $( ADJD ADJD ADJD ADJA NN NN $( $( NN	2/SB 0/-- 2/-- 5/MO 17/MNR 5/NK 6/-- 17/NK 10/NK 16/MO 10/NK 11/-- 14/MO 16/MO 16/MO 17/NK 3/-- 17/NK 18/-- 19/-- 18/CJ	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ _ case=dat|gender=fem|num=sg _ case=nom|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_21::EmoExpression=True|gender=neut|pos=True|EmoExpression::markable_21::Intensity=medium|num=sg|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=false pos=True EmoExpression::markable_100500342::Intensity=medium|EmoExpression::markable_100500342::SubjectiveFact=false|EmoExpression::markable_100500342::EmoExpression=True|EmoExpression::markable_100500342::Polarity=negative|pos=True|EmoExpression::markable_100500342::Sarcasm=false|EmoExpression::markable_100500342::Uncertain=false pos=True *=True|pos=True case=gen|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|EmoExpression::markable_100500215::SubjectiveFact=false|EmoExpression::markable_100500215::Polarity=negative|gender=fem|EmoExpression::markable_100500215::Uncertain=false|EmoExpression::markable_100500215::Intensity=medium|EmoExpression::markable_100500215::EmoExpression=True|num=sg|EmoExpression::markable_100500215::Sarcasm=false
320082761090224128	positive	Ich glaub es nicht ;-) - Die Gelben jetzt auch ! #cdu #spd #fdp #ltnrw http://t.co/PA9LFaHFU8 http://t.co/lTvqte2MOo	ich glauben es nicht ;-) - die Gelbe jetzt auch ! #cdu #spd #fdp #ltnrw http://t.co/PA9LFaHFU8 http://t.co/lTvqte2MOo	PPER VVIMP PPER PTKNEG $( $( ART NN ADV ADV $. NN ADJA NN ADJD CARD NN	4/SB 1/NK 2/OA 0/-- 4/-- 7/-- 8/NK 5/-- 8/MO 8/MO 10/-- 11/-- 14/NK 12/NK 16/MO 17/NK 12/PD	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pos=True _ case=acc|gender=fem|num=pl
322440939207528448	positive	Dann war doch tatsächlich heute der Bundespräsident in unserer stadt ! Endlich auch mal was los hier :)	dann sein doch tatsächlich heute die Bundespräsident in unser Stadt ! endlich auch mal was los hier :)	ADV VAFIN ADV ADJD ADV ART NN APPR PPOSAT NN $. ADV ADV ADV PIS ADJD ADV ADJA	2/MO 0/-- 2/MO 2/MO 2/MO 7/NK 2/SB 7/MNR 10/NK 8/NK 10/-- 18/MO 16/MO 16/MO 16/NK 18/MO 18/MO 11/--	_ pers=3|num=sg|tense=past|mood=ind _ pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ Sentiment::markable_24::Intensity=medium|EmoExpression::markable_100500221::SubjectiveFact=false|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_100500221::Sarcasm=false|Sentiment::markable_24::Polarity=positive|EmoExpression::markable_100500221::Polarity=positive|EmoExpression::markable_100500221::EmoExpression=True|Target::markable_25::Target=True|Target::markable_25::Preferred=true|Sentiment::markable_24::Sarcasm=false|EmoExpression::markable_100500221::Uncertain=false|Target::markable_25::Anaphref=empty|EmoExpression::markable_100500221::Intensity=medium Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_24::Sentiment=True|Target::markable_25::Target=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True case=dat|EmoExpression::markable_23::SubjectiveFact=false|gender=fem|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|Sentiment::markable_24::Sentiment=True|num=sg|EmoExpression::markable_23::EmoExpression=True|comp=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Sarcasm=false
335852189388001280	mixed	Wir sind schon ganz gespannt auf den ESC Beitrag von Nordkorea :) http://t.co/JmrYWD4els	wir sein schon ganz gespannt auf die ESC Beitrag von Nordkorea :) http://t.co/JmrYWD4els	PPER VAFIN ADV ADV ADJD APPR ART NE NN APPR NE ADJA NN	2/SB 0/-- 2/MO 5/MO 2/MO 2/MO 9/NK 9/NK 6/NK 9/PG 13/AG 13/NK 10/NK	case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind _ _ pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|EmoExpression::markable_100500343::Uncertain=false|EmoExpression::markable_100500343::Intensity=medium|EmoExpression::markable_100500343::Sarcasm=false|EmoExpression::markable_100500343::Polarity=negative|gender=neut|EmoExpression::markable_100500343::EmoExpression=True|num=sg|EmoExpression::markable_100500343::SubjectiveFact=true case=dat|EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|gender=neut|EmoExpression::markable_26::Polarity=positive|num=sg|EmoExpression::markable_26::SubjectiveFact=false case=gen|gender=neut|num=sg
332241137748287488	positive	@Eaglepowder Die treten bei jeder Wahl an :) #ampunkt	@Eaglepowder die treten bei jede Wahl an :) #ampunkt	NN PDS VVFIN APPR PIAT NN APPR ADJA NN	0/-- 3/SB 1/-- 3/MO 6/NK 4/NK 3/MO 9/NK 7/NK	_ case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=acc|gender=masc|pos=True|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|num=sg|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false case=acc|gender=masc|num=sg
335153276972564480	mixed	" Wenn Sie hier so weitermachen hat Frau Merkel bald nen Hals . " ;-)	" wenn Sie hier so weitermachen haben Frau Merkel bald nen Hals . " ;-)	$( KOUS PPER ADV ADV VVINF VAFIN NN NE ADV ADJA NN $. $( $(	2/-- 7/CP 7/SB 6/MO 6/MO 7/OC 0/-- 7/SB 8/NK 11/MO 12/NK 7/OA 12/-- 13/-- 14/--	_ _ case=nom|*=True|num=pl|pers=3 _ _ _ EmoExpression::markable_100500220::SubjectiveFact=false|EmoExpression::markable_100500220::Polarity=negative|mood=ind|EmoExpression::markable_100500220::Sarcasm=false|EmoExpression::markable_100500220::Uncertain=false|EmoExpression::markable_100500220::Intensity=medium|pers=3|EmoExpression::markable_100500220::EmoExpression=True|num=sg|tense=pres case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=gen|gender=neut|EmoExpression::markable_100500220::EmoExpression=True|num=sg|pos=True case=gen|gender=neut|num=sg EmoExpression::markable_100500220::EmoExpression=True _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
335167640039464960	positive	Das Handelsblatt mit einem zehnseitigen Spezial " 150  Jahre SPD " . Da bin ich aber mal gespannt :) http://t.co/G6cmmKlim8	die Handelsblatt mit eine zehnseitig Spezial " @card@ Jahr SPD " . da sein ich aber mal gespannt :) http://t.co/G6cmmKlim8	ART NN APPR ART ADJA NN $( CARD NN NE $( $. ADV VAFIN PPER ADV ADV ADJD ADJA NN	2/NK 0/-- 2/MNR 6/NK 6/NK 3/NK 6/-- 9/NK 2/PAR 9/NK 10/-- 11/-- 14/MO 12/-- 14/SB 14/MO 14/MO 19/MO 20/NK 14/PD	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ case=acc|gender=neut|num=pl case=nom|gender=fem|num=sg _ _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ pos=True case=dat|EmoExpression::markable_29::Intensity=medium|gender=masc|pos=True|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Uncertain=false|num=pl|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::SubjectiveFact=false case=dat|gender=masc|num=pl
335485629439832064	positive	@ZDF da bleibt ja dann nicht mehr viel Zeit für die Lieblingspartei der heute - show , der FDP ;-) !	@ZDF da bleiben ja dann nicht mehr viele Zeit für die Lieblingspartei die heute - Show , die FDP ;-) !	NN ADV VVFIN ADV ADV PTKNEG ADV PIAT NN APPR ART NN ART ADV $( NN $, PRELS NE $( $.	0/-- 3/MO 1/-- 3/MO 3/MO 3/NG 6/MO 9/NK 3/OA 9/MNR 12/NK 10/NK 16/NK 16/MO 14/-- 12/AG 16/-- 19/NK 16/CJ 19/-- 20/--	case=nom|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ *=True case=acc|gender=fem|num=sg _ case=acc|Sentiment::markable_100500225::Sentiment=True|num=sg|gender=fem|Sentiment::markable_100500225::Sarcasm=false|Sentiment::markable_100500225::Polarity=positive|Sentiment::markable_100500225::Intensity=medium case=acc|gender=fem|num=sg case=gen|gender=masc|num=pl|Sentiment::markable_100500225::Sentiment=True Sentiment::markable_100500225::Sentiment=True|Source::markable_100500228::Source=True|Source::markable_100500228::Anaphref=empty Sentiment::markable_100500225::Sentiment=True|Source::markable_100500228::Source=True case=acc|gender=masc|num=sg|Source::markable_100500228::Source=True|Sentiment::markable_100500225::Sentiment=True Sentiment::markable_100500225::Sentiment=True case=dat|Target::markable_100500226::Target=True|num=sg|Sentiment::markable_100500225::Sentiment=True|Target::markable_100500226::Anaphref=empty|gender=fem|Target::markable_100500226::Preferred=true case=dat|gender=fem|num=sg|Target::markable_100500226::Target=True|Sentiment::markable_100500225::Sentiment=True EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false _
335147496026275840	positive	RT @tj_tweets : Der Abend geht , @DoroBaer erfrischt weiterhin den Bundestag :) #mitternachtsberatung http://t.co/vNstMEQKQP	RT @tj_tweets : die Abend gehen , @DoroBaer erfrischen weiterhin die Bundestag :) #mitternachtsberatung http://t.co/vNstMEQKQP	NE NN $. ART NN VVFIN $, NN VVFIN ADV ART NN ADJA NN NN	2/SB 0/-- 2/-- 5/NK 6/SB 3/-- 6/-- 6/OA2 8/-- 9/MO 12/NK 9/OA 14/NK 12/AG 9/OA	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|Sentiment::markable_100500229::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|gender=masc|*=True|Target::markable_100500230::Anaphref=empty|Sentiment::markable_100500229::Polarity=positive|Sentiment::markable_100500229::Sarcasm=false|Target::markable_100500230::Target=True|Target::markable_100500230::Preferred=true EmoExpression::markable_100500231::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|EmoExpression::markable_100500231::Polarity=positive|EmoExpression::markable_100500231::SubjectiveFact=false|EmoExpression::markable_100500231::EmoExpression=True|EmoExpression::markable_100500231::Uncertain=false|EmoExpression::markable_100500231::Sarcasm=false Sentiment::markable_100500229::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500229::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500229::Sentiment=True case=gen|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|Sentiment::markable_100500229::Sentiment=True|gender=fem|pos=True|EmoExpression::markable_35::EmoExpression=True|num=sg|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=positive case=gen|gender=fem|num=sg case=nom|gender=fem|num=sg
325355598579372033	positive	@TimSchmuckall @MeikeBruhns Das stimmt . Ist aber mit Merkel und Schwarz - Gelb genauso ;-)	@TimSchmuckall @MeikeBruhns die stimmen . sein aber mit Merkel und Schwarz - Gelb genauso ;-)	NN NN PDS VVFIN $. VAFIN ADV APPR NE KON NE $( NN ADV $(	0/-- 1/-- 4/SB 2/-- 4/-- 5/-- 6/MO 6/MO 8/NK 9/CD 10/CJ 11/-- 14/PNC 6/PD 14/--	case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|*=True|num=sg _ case=dat|*=True|num=sg _ case=dat|*=True|num=sg _ EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
337296596230340608	negative	RT @DirtyDickDaddy : #Merkel hat Deutschland ausgedient , werft sie auf die Müllhalde der Geschichte ! :(	RT @DirtyDickDaddy : #Merkel haben Deutschland ausdienen , werfen sie auf die Müllhalde die Geschichte ! :(	NE ADJD $. NN VAFIN NE VVPP $, VVFIN PPER APPR ART NN ART NN $. ADJA	0/-- 1/PD 2/-- 5/SB 9/OC 7/OA 5/OC 7/-- 3/-- 9/SB 9/MO 13/NK 11/NK 15/NK 13/AG 15/-- 16/--	case=nom|*=True|num=sg pos=True _ case=nom|*=True|num=sg|Target::markable_100500222::Target=True|Sentiment::markable_37::Sentiment=True|Sentiment::markable_37::Sarcasm=false|Target::markable_100500222::Preferred=true|Sentiment::markable_37::Polarity=negative|Target::markable_100500222::Anaphref=empty|Sentiment::markable_37::Intensity=medium pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_37::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_37::Sentiment=True EmoExpression::markable_100500224::Polarity=negative|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_100500224::EmoExpression=True|EmoExpression::markable_100500224::Uncertain=false|EmoExpression::markable_100500224::Intensity=medium|EmoExpression::markable_100500224::Sarcasm=false|EmoExpression::markable_100500224::SubjectiveFact=false Sentiment::markable_37::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_37::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True|pers=3 Sentiment::markable_37::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True case=acc|EmoExpression::markable_100500223::Sarcasm=false|EmoExpression::markable_100500223::EmoExpression=True|EmoExpression::markable_100500223::SubjectiveFact=false|gender=fem|EmoExpression::markable_100500223::Polarity=negative|num=sg|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_100500223::Intensity=medium|EmoExpression::markable_100500223::Uncertain=false case=gen|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True Sentiment::markable_37::Sentiment=True EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_39::Polarity=negative|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
