311924950309163010	positive	Neuer Papst sogar ein sehr netter !! :) ich freue mich auf seine Tätigkeiten	neu Papst sogar eine sehr nett !! :) ich freuen ich auf sein Tätigkeit	ADJA NN ADV ART ADV ADJA ADJA NN PPER VVFIN PRF APPR PPOSAT NN	2/NK 0/-- 6/MO 6/NK 6/MO 7/PD 2/AG 10/VO 10/SB 7/-- 10/OA 10/OP 14/NK 12/NK	case=nom|Target::markable_2::Preferred=true|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Sarcasm=false|num=sg|Target::markable_2::Anaphref=empty|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|Target::markable_2::Target=True case=nom|gender=masc|num=sg|Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True Intensifier::markable_4::EmoExpressionRef=emo-expression:markable_3|Intensifier::markable_4::Intensifier=True|Intensifier::markable_4::Degree=medium|Sentiment::markable_1::Sentiment=True case=nom|EmoExpression::markable_3::EmoExpression=True|gender=masc|EmoExpression::markable_3::SubjectiveFact=false|pos=True|EmoExpression::markable_3::Sarcasm=false|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_3::Intensity=medium|num=sg|EmoExpression::markable_3::Polarity=positive|EmoExpression::markable_3::Uncertain=false case=nom|gender=masc|num=sg|pos=True|Sentiment::markable_1::Sentiment=True EmoExpression::markable_5::Intensity=medium|mood=subj|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|tense=past|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::Polarity=positive case=nom|Sentiment::markable_6::Polarity=positive|Source::markable_7::Anaphref=empty|Sentiment::markable_6::Sentiment=True|*=True|Sentiment::markable_6::Sarcasm=false|pers=1|Sentiment::markable_6::Intensity=medium|num=sg|Source::markable_7::Source=True EmoExpression::markable_8::Polarity=positive|EmoExpression::markable_8::SubjectiveFact=false|EmoExpression::markable_8::EmoExpression=True|num=sg|tense=pres|EmoExpression::markable_10408073::Uncertain=false|EmoExpression::markable_10408073::EmoExpression=True|EmoExpression::markable_8::Intensity=medium|EmoExpression::markable_10408073::SubjectiveFact=false|mood=ind|EmoExpression::markable_10408073::Intensity=medium|EmoExpression::markable_10408073::Polarity=positive|EmoExpression::markable_8::Uncertain=false|EmoExpression::markable_10408073::Sarcasm=false|pers=1|EmoExpression::markable_8::Sarcasm=false|Sentiment::markable_6::Sentiment=True case=acc|pers=1|EmoExpression::markable_8::EmoExpression=True|num=sg|Sentiment::markable_6::Sentiment=True Sentiment::markable_6::Sentiment=True case=acc|num=pl|Target::markable_9::Target=True|Target::markable_9::Anaphref=empty|gender=fem|Sentiment::markable_6::Sentiment=True|Target::markable_9::Preferred=true case=acc|gender=fem|Sentiment::markable_6::Sentiment=True|num=pl|Target::markable_9::Target=True
311926089071095810	positive	frau jagenteufel wünscht dem neuen papst viel heiligen geist ;-)	frau jagenteufel wünschen die neu Papst viel heiligen geien ;-)	ADJA NN VVFIN ART ADJA NN ADV VVINF VVFIN $(	2/NK 3/SB 0/-- 6/NK 6/NK 3/DA 8/MO 9/OC 3/PAR 9/--	Source::markable_47::Source=True|Sentiment::markable_46::Sentiment=True|Sentiment::markable_46::Sarcasm=false|Sentiment::markable_46::Polarity=positive|Sentiment::markable_46::Intensity=medium|Source::markable_47::Anaphref=empty gender=masc|Source::markable_47::Source=True|*=True|num=sg|Sentiment::markable_46::Sentiment=True EmoExpression::markable_50::Intensity=medium|mood=ind|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|pers=3|num=sg|tense=pres|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|Sentiment::markable_46::Sentiment=True case=dat|Target::markable_48::Preferred=true|num=sg|Target::markable_48::Target=True|Sentiment::markable_46::Sentiment=True|gender=masc|Target::markable_48::Anaphref=empty case=dat|num=sg|Target::markable_48::Target=True|Sentiment::markable_46::Sentiment=True|gender=masc|pos=True case=dat|gender=masc|num=sg|Target::markable_48::Target=True|Sentiment::markable_46::Sentiment=True Sentiment::markable_46::Sentiment=True EmoExpression::markable_49::Polarity=positive|EmoExpression::markable_49::Sarcasm=false|Sentiment::markable_46::Sentiment=True|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::SubjectiveFact=false|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium Sentiment::markable_46::Sentiment=True EmoExpression::markable_51::Intensity=medium|Sentiment::markable_46::Sentiment=True|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=positive|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false
311915972275625984	negative	13.3 . 13  #Papst Weltuntergang durch Illuminaten * ^ ^ Dabei sinds grad die Kathol . , die 13  f. unglücksbringend erklärten ;-)	@card@ . @card@ #Papst Weltuntergang durch Illuminat * ^ ^ dabei sinds grad die Kathol . , die @card@ f. unglücksbringend erklären ;-)	CARD $. CARD NN NN APPR NN XY XY XY PAV ADJD VVFIN ART NN $. $, PRELS CARD APPR ADJD VVFIN $(	12/MO 1/-- 4/NK 12/AMS 4/NK 4/MNR 6/NK 10/PNC 10/PNC 4/CJ 10/NK 13/MO 0/-- 15/NK 13/SB 15/-- 20/-- 22/SB 22/MO 22/MO 20/NK 16/-- 22/--	_ _ _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_10408081::Intensity=medium|EmoExpression::markable_10408081::Polarity=positive|gender=masc|EmoExpression::markable_10408081::EmoExpression=True|num=sg|EmoExpression::markable_10408081::SubjectiveFact=false|EmoExpression::markable_10408081::Uncertain=false|EmoExpression::markable_10408081::Sarcasm=false _ case=acc|EmoExpression::markable_10408082::Sarcasm=false|EmoExpression::markable_10408082::Polarity=negative|EmoExpression::markable_10408082::EmoExpression=True|gender=fem|EmoExpression::markable_10408082::Intensity=medium|EmoExpression::markable_10408082::Uncertain=false|num=pl|EmoExpression::markable_10408082::SubjectiveFact=false _ EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false EmoExpression::markable_52::EmoExpression=True Sentiment::markable_54::Polarity=negative|Sentiment::markable_54::Sarcasm=false|Sentiment::markable_54::Intensity=medium|Sentiment::markable_54::Sentiment=True Sentiment::markable_54::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_54::Sentiment=True case=nom|num=sg|Source::markable_55::Anaphref=empty|gender=fem|Sentiment::markable_54::Sentiment=True|Source::markable_55::Source=True case=nom|gender=fem|num=sg|Source::markable_55::Source=True|Sentiment::markable_54::Sentiment=True Sentiment::markable_54::Sentiment=True Sentiment::markable_54::Sentiment=True case=nom|num=pl|Target::markable_56::Anaphref=empty|Target::markable_56::Preferred=true|gender=fem|Target::markable_56::Target=True|Sentiment::markable_54::Sentiment=True Target::markable_56::Target=True|Sentiment::markable_54::Sentiment=True Sentiment::markable_54::Sentiment=True EmoExpression::markable_57::SubjectiveFact=false|pos=True|Sentiment::markable_54::Sentiment=True|EmoExpression::markable_57::Polarity=negative|EmoExpression::markable_57::Uncertain=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::EmoExpression=True pers=3|num=pl|tense=past|mood=ind|Sentiment::markable_54::Sentiment=True EmoExpression::markable_53::Sarcasm=false|EmoExpression::markable_53::EmoExpression=True|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Polarity=positive|Sentiment::markable_54::Sentiment=True
311913237601988608	positive	#vatikan hoffentlich ist der neue papst aus ghana oder china :-)	#vatikan hoffentlich sein die neu Papst aus Ghana oder China :-)	NN ADV VAFIN ART ADJA NN APPR NE KON NE $(	3/SB 1/MNR 0/-- 6/NK 6/NK 3/SB 6/MNR 7/NK 8/CD 9/CJ 10/--	case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ case=dat|gender=neut|num=sg EmoExpression::markable_58::Polarity=positive|EmoExpression::markable_58::Sarcasm=false|EmoExpression::markable_58::SubjectiveFact=false|EmoExpression::markable_58::Uncertain=false|EmoExpression::markable_58::Intensity=medium|EmoExpression::markable_58::EmoExpression=True
311918890743656448	neutral	Wann kommt der Papst denn endlich raus !? :]	wann kommen die Papst denn endlich raus !? :]	PWAV VVFIN ART NN KON ADV ADV ADJD ADJA	2/MO 0/-- 4/NK 2/SB 2/MO 2/MO 2/MO 2/MO 8/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ _ _ _
311938153642606592	positive	Franziskus nennt sich also der neue Papst . Kriegen die Vatikanischen Gärten jetzt einen Streichelzoo ? ;-) #papst #franziskus #franziskusI	Franziskus nennen sich also die neu Papst . kriegen die vatikanisch Garten jetzt eine Streichelzoo ? ;-) #papst #franziskus #franziskusI	NE VVFIN PRF ADV ART ADJA NN $. VVFIN ART ADJA NN ADV ART NN $. $( NN NN NE	2/SB 0/-- 2/OA 2/MO 7/NK 7/NK 2/SB 7/-- 8/-- 12/NK 12/NK 9/SB 9/MO 15/NK 9/OA 15/-- 18/-- 16/-- 20/PNC 18/NK	case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl case=nom|*=True|num=pl|pos=True case=nom|*=True|num=pl _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ EmoExpression::markable_59::Polarity=positive|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|EmoExpression::markable_59::EmoExpression=True|EmoExpression::markable_59::Sarcasm=false|EmoExpression::markable_59::Uncertain=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg
311913085621370880	neutral	So meine Lieben . Der neue Papst ist gewählt und bei mir rauchnet auch schon der Kopf :-) War heute im Studio meine ... http://t.co/eS72j3WEPr	so mein Liebe|Lieben . die neu Papst sein wählen und bei ich rauchnet auch schon die Kopf :-) sein heute in Studio meinen ... http://t.co/eS72j3WEPr	ADV PPOSAT NN $. ART ADJA NN VAFIN VVPP KON APPR PPER VVFIN ADV ADV ART NN $( VAFIN ADV APPRART NN VVFIN $. NN	3/MO 3/NK 0/-- 3/-- 7/NK 7/NK 8/SB 4/-- 8/PD 8/CD 13/MO 11/NK 10/CJ 13/MO 13/MO 17/NK 19/SB 17/-- 13/CJ 19/MO 19/MO 21/NK 19/MO 23/-- 24/--	_ case=nom|*=True|num=pl case=nom|*=True|num=pl _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=dat|*=True|num=sg|pers=1 pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=ind _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=subj _ case=nom|gender=fem|num=sg
311911050645733376	positive	Und aus welchem Land kommt er nun ? #papst wer wagt eine Prognose ? ;-) ich tippe auf : Scherer ...	und aus welche Land kommen er nun ? #papst wer wagen eine Prognose ? ;-) ich tippen auf : Scherer ...	KON APPR PRELS NN VVFIN PPER ADV $. NN PWS VVFIN ART NN $. $( PPER VVFIN PTKVZ $. NE $.	5/JU 5/MO 4/NK 2/NK 0/-- 5/SB 5/MO 7/-- 11/SVP 11/SB 8/-- 13/NK 11/OA 13/-- 16/-- 17/SB 14/-- 17/SVP 18/-- 17/SB 20/--	_ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_60::Polarity=positive|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Uncertain=false case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=sg _
311973863477092353	negative	RT @hipsterschwein : Wieder kein Moslem als Papst . :-(	RT @hipsterschwein : wieder keine Moslem als Papst . :-(	NE NN $. ADV PIAT NN KOKOM NN $. $(	2/SB 0/-- 2/-- 6/MO 6/NK 3/-- 6/CD 7/NK 8/-- 9/--	case=nom|*=True|num=sg case=nom|Sentiment::markable_61::Sentiment=True|Sentiment::markable_61::Polarity=negative|*=True|Sentiment::markable_61::Intensity=medium|Source::markable_62::Source=True|num=sg|Sentiment::markable_61::Sarcasm=true|Source::markable_62::Anaphref=empty Sentiment::markable_61::Sentiment=True Target::markable_63::Anaphref=empty|Target::markable_63::Preferred=true|Sentiment::markable_61::Sentiment=True|Target::markable_63::Target=True case=nom|gender=masc|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_63::Target=True case=nom|gender=masc|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_63::Target=True Sentiment::markable_61::Sentiment=True|Target::markable_63::Target=True case=nom|gender=masc|Sentiment::markable_61::Sentiment=True|num=sg|Target::markable_63::Target=True Sentiment::markable_61::Sentiment=True EmoExpression::markable_64::Intensity=medium|EmoExpression::markable_64::Sarcasm=false|EmoExpression::markable_64::SubjectiveFact=false|EmoExpression::markable_64::Polarity=negative|EmoExpression::markable_64::EmoExpression=True|EmoExpression::markable_64::Uncertain=false|Sentiment::markable_61::Sentiment=True
312109136554913792	positive	@Wissenssucher Gerüchten zufolge soll der Papst in den kommenden Tagen dazu Stellung nehmen . Genaues weiß man jedoch nicht ... ;-)	@Wissenssucher Gerücht zufolge sollen die Papst in die kommend Tag dazu Stellung nehmen . Genaue wissen man jedoch nicht ... ;-)	NN NN APPO VMFIN ART NN APPR ART ADJA NN PAV NN VVINF $. NN VVFIN PIS ADV PTKNEG $. $(	0/-- 3/NK 4/MO 1/-- 6/NK 4/SB 13/MO 10/NK 10/NK 7/NK 12/NK 13/OA 4/OC 13/-- 16/SB 14/-- 16/SB 16/MO 16/NG 19/-- 20/--	case=nom|gender=fem|num=sg case=nom|gender=neut|num=pl _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=neut|num=pl case=dat|gender=neut|num=pl|pos=True case=dat|gender=neut|num=pl _ case=acc|gender=fem|num=sg _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ _ _ EmoExpression::markable_65::Uncertain=false|EmoExpression::markable_65::Polarity=positive|EmoExpression::markable_65::Sarcasm=false|EmoExpression::markable_65::Intensity=medium|EmoExpression::markable_65::EmoExpression=True|EmoExpression::markable_65::SubjectiveFact=false
311906375733239810	positive	RT @AnonNewsDE : Im #Vatikan wird gerade per weißen Rauchenzeichen kommuniziert , dass ein neuer Pädophiler entdeckt wurde . #Papst :)	RT @AnonNewsDE : in #Vatikan werden gerade per weiß Rauchenzeichen kommunizieren , dass eine neu Pädophiler entdecken werden . #Papst :)	NE ADJD $. APPRART NN VAFIN ADV APPR ADJA NN VVPP $, KOUS ART ADJA NN VVPP VAFIN $. NN ADJD	0/-- 1/PD 2/-- 11/MO 4/NK 3/-- 11/MO 11/MO 10/NK 8/NK 6/OC 11/-- 18/CP 16/NK 16/NK 18/SB 18/OC 11/MO 18/-- 19/-- 20/PD	case=nom|*=True|num=sg pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|gender=fem|num=pl|pos=True case=dat|gender=fem|num=pl _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=past|mood=ind _ _ EmoExpression::markable_66::Polarity=positive|EmoExpression::markable_66::EmoExpression=True|EmoExpression::markable_66::Uncertain=false|EmoExpression::markable_66::Intensity=medium|EmoExpression::markable_66::Sarcasm=false|EmoExpression::markable_66::SubjectiveFact=false
311909653162369024	negative	LoL ! RT @geewing : @rutm Das sind doch eher veraltete Ansichten . Dann müsste ja der Papst mit blauem Rauch gemeldet werden . ;-)	LoL ! RT @geewing : @rutm die sein doch eher veraltet Ansicht . dann müssen ja die Papst mit blau Rauch melden werden . ;-)	NN $. NE NN $. VVIMP PDS VAFIN ADV ADV ADJA NN $. ADV VMFIN ADV ART NN APPR ADJA NN VVPP VAINF $. $(	0/-- 1/-- 4/SB 2/-- 4/-- 5/-- 8/SB 6/-- 8/MO 11/MO 12/NK 8/PD 12/-- 15/MO 13/-- 15/MO 18/NK 15/SB 18/MNR 21/NK 19/NK 23/OC 15/OC 23/-- 24/--	_ _ case=nom|*=True|num=sg Sentiment::markable_67::Sentiment=True|Source::markable_68::Anaphref=empty|mood=ind|Sentiment::markable_67::Sarcasm=false|pers=3|Sentiment::markable_67::Polarity=negative|num=sg|tense=past|Source::markable_68::Source=True|Sentiment::markable_67::Intensity=weak Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True case=nom|Sentiment::markable_67::Sentiment=True|num=sg|Target::markable_69::Preferred=true|Target::markable_69::Target=True|gender=neut|Target::markable_69::Anaphref=empty pers=3|Sentiment::markable_67::Sentiment=True|num=pl|tense=pres|mood=ind Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True case=acc|EmoExpression::markable_70::Intensity=weak|EmoExpression::markable_70::EmoExpression=True|gender=fem|pos=True|EmoExpression::markable_70::Polarity=negative|EmoExpression::markable_70::Sarcasm=false|EmoExpression::markable_70::SubjectiveFact=false|Sentiment::markable_67::Sentiment=True|num=pl|EmoExpression::markable_70::Uncertain=false case=acc|gender=fem|num=pl|Sentiment::markable_67::Sentiment=True Sentiment::markable_67::Sentiment=True _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ _ EmoExpression::markable_71::Uncertain=false|EmoExpression::markable_71::Intensity=medium|EmoExpression::markable_71::Sarcasm=false|EmoExpression::markable_71::SubjectiveFact=false|EmoExpression::markable_71::EmoExpression=True|EmoExpression::markable_71::Polarity=positive
312132448379076609	positive	:-) RT @mubideutschland : Wir haben einen neuen #Papst und es ist Michel Piccoli : HABEMUS PAPAM http://t.co/ivWBijkuhX von Nanni Moretti	:-) RT @mubideutschland : wir haben eine neu #Papst und es sein Michel Piccoli : HABEMUS PAPAM http://t.co/ivWBijkuhX von Nanni Moretti	$( NE NN $. PPER VAFIN ART ADJA NN KON PPER VAFIN NE NE $. NN NN NN APPR NE NE	2/-- 3/AG 0/-- 3/-- 6/SB 4/-- 9/NK 9/NK 6/OA 6/CD 12/SB 10/CJ 14/PNC 12/SB 14/-- 14/RS 16/NK 12/PD 18/PG 21/PNC 19/NK	EmoExpression::markable_72::EmoExpression=True|EmoExpression::markable_72::SubjectiveFact=false|EmoExpression::markable_72::Uncertain=false|EmoExpression::markable_72::Polarity=positive|EmoExpression::markable_72::Sarcasm=false|EmoExpression::markable_72::Intensity=medium case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ *=True case=dat|*=True|num=sg
311912666933391360	positive	Für alle , die es versäumt haben : Foto vom neuen #Papst . ;-) #konklave #pope http://t.co/52vT4weQHd	für alle , die es versäumen haben : Foto von neu #Papst . ;-) #konklave #pope http://t.co/52vT4weQHd	APPR PIS $, PRELS PPER VVPP VAFIN $. NN APPRART ADJA NN $. $( NN NN NE	10/MO 1/NK 2/-- 7/SB 6/OA 7/OC 2/RC 7/-- 2/APP 0/-- 12/NK 10/NK 12/-- 15/-- 13/-- 15/NK 15/UC	_ case=acc|*=True|num=pl _ case=nom|*=True|num=pl case=acc|gender=neut|num=sg|pers=3 _ pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ EmoExpression::markable_73::EmoExpression=True|EmoExpression::markable_73::Uncertain=false|EmoExpression::markable_73::Intensity=medium|EmoExpression::markable_73::Sarcasm=false|EmoExpression::markable_73::SubjectiveFact=false|EmoExpression::markable_73::Polarity=positive case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl|pos=True
311929094617042944	mixed	Niemand in meiner Timeline freut sich über den #Papst . Das wiederum freut mich :-)	niemand in mein Timeline freuen sich über die #Papst . die wiederum freuen ich :-)	PIS APPR PPOSAT NN VVFIN PRF APPR ART NN $. PDS ADV VVFIN PRF $(	5/SB 1/MNR 4/NK 2/NK 0/-- 5/OA 5/OP 9/NK 7/NK 9/-- 13/SB 13/MO 10/-- 13/OA 14/--	case=nom|Sentiment::markable_74::Intensity=medium|Source::markable_75::Source=True|gender=masc|Target::markable_84::Anaphref=empty|Target::markable_84::Target=True|Sentiment::markable_74::Polarity=negative|Source::markable_75::Anaphref=empty|Negation::markable_78::EmoExpressionRef=emo-expression:markable_76|Negation::markable_78::Negation=True|num=sg|Sentiment::markable_74::Sentiment=True|Sentiment::markable_74::Sarcasm=false|Target::markable_84::Preferred=true Target::markable_84::Target=True|Sentiment::markable_74::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_74::Sentiment=True|Target::markable_84::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_74::Sentiment=True|Target::markable_84::Target=True EmoExpression::markable_76::Intensity=medium|mood=ind|EmoExpression::markable_76::SubjectiveFact=false|Target::markable_84::Target=True|EmoExpression::markable_76::Uncertain=false|EmoExpression::markable_76::EmoExpression=True|pers=3|num=sg|tense=pres|EmoExpression::markable_76::Sarcasm=false|EmoExpression::markable_76::Polarity=positive|Sentiment::markable_74::Sentiment=True case=acc|pers=3|EmoExpression::markable_76::EmoExpression=True|num=sg|Sentiment::markable_74::Sentiment=True|Target::markable_84::Target=True Target::markable_84::Target=True|Sentiment::markable_74::Sentiment=True case=acc|Target::markable_77::Preferred=true|Target::markable_77::Anaphref=empty|gender=masc|Target::markable_84::Target=True|Target::markable_77::Target=True|num=sg|Sentiment::markable_74::Sentiment=True case=acc|num=sg|Sentiment::markable_74::Sentiment=True|gender=masc|Target::markable_84::Target=True|Target::markable_77::Target=True Sentiment::markable_74::Sentiment=True case=nom|Target::markable_80::Preferred=true|Sentiment::markable_79::Polarity=positive|Sentiment::markable_79::Sentiment=True|gender=neut|Sentiment::markable_79::Intensity=medium|Sentiment::markable_79::Sarcasm=false|num=sg|Target::markable_80::Target=True|Target::markable_80::Anaphref=markable_84 Sentiment::markable_79::Sentiment=True EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|mood=ind|Sentiment::markable_79::Sentiment=True|EmoExpression::markable_81::Uncertain=false|pers=3|num=sg|tense=pres|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Sarcasm=false case=acc|pers=1|num=sg|Source::markable_82::Source=True|Sentiment::markable_79::Sentiment=True|*=True|Source::markable_82::Anaphref=empty EmoExpression::markable_83::EmoExpression=True|EmoExpression::markable_83::SubjectiveFact=false|Sentiment::markable_79::Sentiment=True|EmoExpression::markable_83::Uncertain=false|EmoExpression::markable_83::Polarity=positive|EmoExpression::markable_83::Sarcasm=false|EmoExpression::markable_83::Intensity=medium
311914563358560256	positive	Der Hasenclub für Männer hat ein neues Oberhaupt :) #Papst	die Hasenclub für Mann haben eine neu Oberhaupt :) #Papst	ART NN APPR NN VAFIN ART ADJA NN ADJA NN	2/NK 5/SB 2/MNR 3/NK 0/-- 8/NK 8/NK 5/SB 10/NK 5/OA	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=pl pers=3|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg case=acc|gender=neut|pos=True|EmoExpression::markable_85::EmoExpression=True|EmoExpression::markable_85::Uncertain=false|num=sg|EmoExpression::markable_85::Intensity=medium|EmoExpression::markable_85::SubjectiveFact=false|EmoExpression::markable_85::Polarity=positive|EmoExpression::markable_85::Sarcasm=false case=acc|gender=neut|num=sg
311931122705637376	mixed	Ein neuer Papst . Hab ich was verpasst ? :)	eine neu Papst . haben ich was verpassen ? :)	ART ADJA NN $. VAIMP PPER PWS VVPP $. ADJA	3/NK 3/NK 0/-- 3/-- 7/NK 7/SB 8/OA 4/-- 8/-- 9/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ case=nom|*=True|num=sg|pers=1 gender=neut|*=True EmoExpression::markable_10408084::Intensity=medium|EmoExpression::markable_10408084::EmoExpression=True|EmoExpression::markable_10408084::Polarity=negative|EmoExpression::markable_10408084::Uncertain=false|EmoExpression::markable_10408084::Sarcasm=false|EmoExpression::markable_10408084::SubjectiveFact=false _ EmoExpression::markable_86::Sarcasm=false|EmoExpression::markable_86::Uncertain=false|EmoExpression::markable_86::Intensity=medium|EmoExpression::markable_86::Polarity=positive|EmoExpression::markable_86::EmoExpression=True|EmoExpression::markable_86::SubjectiveFact=false
