311972225265836033	positive	:-))) Der neue Papst : Es ist ein Argentinier http://t.co/51IzDHwkaV via @SPIEGELONLINE	:-))) die neu Papst : es sein eine Argentinier http://t.co/51IzDHwkaV via @SPIEGELONLINE	NN ART ADJA NN $. PPER VAFIN ART NN NN APPR NN	7/PD 4/NK 4/NK 7/PD 4/-- 7/SB 0/-- 9/NK 7/PD 9/NK 9/MNR 11/NK	case=nom|Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|gender=masc|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|num=sg|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=nom|num=sg|Target::markable_3::Target=True|Target::markable_3::Anaphref=empty|gender=masc|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|pers=3|num=sg|Target::markable_3::Target=True|gender=neut|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg _ case=acc|gender=masc|*=True
311924923641774081	positive	Der neue papst kommt aus argentinien ! :)	die neu Papst kommen aus argentinien ! :)	ART ADJA NN VVFIN APPR NN $. ADJA	3/NK 3/NK 4/SB 0/-- 4/MO 5/NK 6/-- 7/--	case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|gender=masc|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=sg|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive case=nom|num=sg|Sentiment::markable_30::Sentiment=True|gender=masc|Target::markable_31::Target=True|pos=True case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_30::Sentiment=True|Target::markable_31::Target=True Target::markable_31::Target=True|Sentiment::markable_30::Sentiment=True case=dat|gender=fem|Target::markable_31::Target=True|num=pl|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True EmoExpression::markable_32::Intensity=medium|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True
311902105927573504	positive	Neuer #papst   :-) Also kein neuer Rekord	neu #papst   :-) also keine neu Rekord	ADJA NN ADJD $( ADV PIAT ADJA NN	2/NK 0/-- 2/PD 3/-- 8/MO 8/NK 8/NK 2/CJ	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pos=True EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg
311927461690617856	positive	#Papst #pope Mal sehen was es als erstes vom neuen Papst bei Ebay gibt :-)	#Papst #pope Mal sehen was es als erst von neu Papst bei Ebay geben :-)	NN NN NN VVFIN PIS PPER KOKOM ADJA APPRART ADJA NN APPR NE VVFIN $(	2/NK 4/MO 2/NK 0/-- 4/OA 14/EP 14/MO 7/NK 14/MO 11/NK 9/NK 14/MO 12/NK 4/CJ 14/--	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pers=3 _ case=acc|gender=neut|num=sg|pos=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
311912074852855809	positive	tippt auf Papst Sixtus VI - @sixtus überleg Dir schon mal ´ne Summe für den Verkauf Deines Twitter - Namens :)	tippen auf Papst Sixtus VI - @sixtus überlegen du schon mal ´ne Summe für die Verkauf dein Twitter - namens :)	VVFIN APPR NN NE CARD $( NN VVIMP PPER ADV ADV ADJA NN APPR ART NN PPOSAT NN $( APPR ADJA	0/-- 1/MO 2/NK 3/NK 7/NK 5/-- 1/OA 7/-- 8/OA 8/MO 8/MO 13/NK 8/OA 13/MNR 16/NK 14/NK 18/NK 16/AG 18/-- 8/MO 20/NK	pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=acc|gender=masc|num=sg _ case=dat|*=True|num=sg|pers=2 _ _ case=acc|gender=neut|num=pl|pos=True case=acc|gender=neut|num=pl _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg _ case=gen|gender=neut|num=sg case=gen|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|gender=neut|pos=True|EmoExpression::markable_35::EmoExpression=True|num=sg|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=positive
311921946709336065	positive	Obwohl dem Papst hör ich fast noch lieber zu als ner KMH. :)	obwohl die Papst hören ich fast noch lieb zu als ner KMH. :)	KOUS ART NN VVIMP PPER ADV ADV ADJD PTKVZ KOKOM ADJA NN ADJA	13/CP 3/NK 13/DA 3/NK 4/OA 8/MO 8/MO 12/NK 4/SVP 13/MO 12/NK 10/NK 0/--	_ case=dat|Target::markable_39::Anaphref=empty|Sentiment::markable_38::Intensity=medium|gender=masc|Sentiment::markable_38::Sentiment=True|Sentiment::markable_38::Sarcasm=false|num=sg|Sentiment::markable_38::Polarity=comparison|Target::markable_39::Target=True|Target::markable_39::Preferred=true case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_39::Target=True pers=1|Sentiment::markable_38::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|Sentiment::markable_38::Sentiment=True|pers=1 Sentiment::markable_38::Sentiment=True Sentiment::markable_38::Sentiment=True EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|comp=True|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_41::SubjectiveFact=false Sentiment::markable_38::Sentiment=True Sentiment::markable_38::Sentiment=True case=nom|Target::markable_40::Anaphref=empty|gender=masc|Sentiment::markable_38::Sentiment=True|pos=True|Target::markable_40::Preferred=false|num=sg|Target::markable_40::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_40::Target=True case=gen|EmoExpression::markable_36::EmoExpression=True|gender=masc|Sentiment::markable_38::Sentiment=True|pos=True|EmoExpression::markable_36::Intensity=medium|num=pl|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false
311923680093560832	positive	Der neue Papst hat schon irg Ähnlichkeit mit Leoni Messi .. haha ;-)	die neu Papst haben schon irg Ähnlichkeit mit Leoni Messi .. haha ;-)	ART ADJA NN VAFIN ADV ADV NN APPR NE NE NE NE $(	3/NK 3/NK 4/SB 0/-- 6/MO 7/MO 4/SB 7/MNR 11/PNC 11/PNC 8/NK 11/-- 12/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=fem|num=sg _ *=True *=True *=True EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive
311959960210780160	positive	@heidy79 mit ihrem Vater war ich an der Uni in Frankfurt zu Besuch , wo der Papst promoviert hat :-)	@heidy79 mit ihr Vater sein ich an die Uni in Frankfurt zu Besuch , wo die Papst promovieren haben :-)	NN APPR PPOSAT NN VAFIN PPER APPR ART NN APPR NE APPR NN $, PWAV ART NN VVPP VAFIN $(	0/-- 5/MO 4/NK 2/NK 1/-- 5/SB 5/MO 9/NK 7/NK 9/MNR 10/NK 5/MO 12/NK 13/-- 18/MO 17/NK 19/SB 19/OC 13/RC 19/--	case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ case=dat|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
311919568509607939	positive	Jetzt kommt die Eilmeldung via #Tagesschau wie der neue #Pabst heißt ! Die haben wohl kein Twitter :) !!	jetzt kommen die Eilmeldung via #Tagesschau wie die neu #Pabst heißen ! die haben wohl keine Twitter :) !!	ADV VVFIN ART NN APPR NN KOKOM ART ADJA NN VVFIN $. PDS VAFIN ADV PIAT NN ADJD ADJA	2/MO 0/-- 4/NK 2/SB 2/MO 5/NK 11/CM 10/NK 10/NK 11/SB 2/MO 11/-- 14/SB 12/-- 14/MO 17/NK 14/OA 19/MO 17/PD	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|pos=True|EmoExpression::markable_44::Polarity=positive case=nom|gender=masc|num=sg|pos=True
311908393549971456	positive	... oder doch ein Neger :-) #papst BILD : " Wir sehen schwarz "	... oder doch eine Neger :-) #papst Bild : " wir sehen schwarz "	$. KON ADV ART NN $( NN NN $. $( PPER VVFIN ADJD $(	0/-- 12/JU 5/MO 5/NK 7/PAR 5/-- 12/PD 7/NK 8/-- 9/-- 12/SB 1/-- 12/MO 13/--	_ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Sarcasm=false|EmoExpression::markable_45::SubjectiveFact=false|num=sg|EmoExpression::markable_45::Uncertain=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind pos=True _
311918892811419648	positive	Ein Argentinier ist der neue Papst . Wie wird er sich nennen ? Maradonna der Erste ? ;-)	eine Argentinier sein die neu Papst . wie werden er sich nennen ? Maradonna die Erste ? ;-)	ART NN VAFIN ART ADJA NN $. KOUS VAFIN PPER PRF VVINF $. NN ART NN $. $(	2/NK 3/SB 0/-- 6/NK 6/NK 3/PD 6/-- 12/MO 7/-- 9/SB 12/OA 9/OC 12/-- 13/-- 16/NK 14/AG 16/-- 17/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|pers=3|num=sg _ _ case=nom|gender=neut|num=sg case=gen|gender=neut|num=pl case=gen|gender=neut|num=pl _ EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive
311935023701958657	positive	RT @ESA_de : Bei all den hitzigen Tweets zum neuen Papst kuemmern wir uns lieber um kuehle #Nordlichter in Nord - Finnland ! :) #esaaurora # ...	RT @ESA_de : bei alle die hitzig Tweets zu neu Papst kuemmern wir wir lieb um kuehle #Nordlichter in Nord - Finnland ! :) #esaaurora # ...	NE ADJD $. APPR PIAT ART ADJA NN APPRART ADJA NN VVFIN PPER PRF ADJD APPR NN NN APPR NN $( NE $. ADJA NN XY $.	0/-- 1/PD 2/-- 12/MO 8/NK 8/NK 8/NK 4/NK 8/MNR 11/NK 9/NK 3/-- 12/SB 12/OA 12/MO 12/OP 16/NK 12/MO 18/MNR 19/NK 20/-- 20/NK 22/-- 25/NK 23/-- 25/NK 26/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ _ *=True case=dat|gender=fem|num=pl case=gen|gender=neut|num=sg|pos=True case=gen|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|pers=1|num=pl _ _ case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl _ case=dat|gender=masc|num=sg _ case=nom|gender=neut|num=sg _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _
312045853814685696	negative	RT @hipsterschwein : Wieder kein Moslem als Papst . :-(	RT @hipsterschwein : wieder keine Moslem als Papst . :-(	NE NN $. ADV PIAT NN KOKOM NN $. $(	2/SB 0/-- 2/-- 6/MO 6/NK 3/-- 6/CD 7/NK 8/-- 9/--	case=nom|*=True|num=sg case=nom|Sentiment::markable_48::Intensity=medium|*=True|Source::markable_49::Source=True|num=sg|Sentiment::markable_48::Sarcasm=true|Source::markable_49::Anaphref=empty|Sentiment::markable_48::Polarity=negative|Sentiment::markable_48::Sentiment=True Sentiment::markable_48::Sentiment=True Target::markable_50::Target=True|Target::markable_50::Preferred=true|Sentiment::markable_48::Sentiment=True|Target::markable_50::Anaphref=empty case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True|Target::markable_50::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True|Target::markable_50::Target=True Target::markable_50::Target=True|Sentiment::markable_48::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True|Target::markable_50::Target=True Sentiment::markable_48::Sentiment=True EmoExpression::markable_51::Intensity=medium|Sentiment::markable_48::Sentiment=True|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=negative|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false
311945538956308480	positive	RT @MrMenstrends : Papst Wahl aus der Badewanne anschauen :) Haha #papst #rom #italien http://t.co/hdbNE4YPir	RT @MrMenstrends : Papst Wahl aus die Badewanne anschauen :) Haha #papst #rom #italien http://t.co/hdbNE4YPir	NE NN $. NN NN APPR ART NN VVFIN ADJA NN NN NN NN NN	2/SB 0/-- 2/-- 9/SB 4/NK 4/MNR 8/NK 6/NK 3/-- 11/NK 9/DA 9/DA 12/NK 9/DA 9/OA	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=gen|EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|gender=masc|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false|pos=True|num=pl|EmoExpression::markable_52::SubjectiveFact=false case=gen|EmoExpression::markable_53::EmoExpression=True|gender=masc|EmoExpression::markable_53::Sarcasm=false|num=pl|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::Polarity=positive case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl
311931226468544512	positive	der neue #papst nutzt SocialMedia und kocht gerne. wie wäre es mit einem #twitcook in rom ? @ja_natuerlich ;-)	die neu #papst nutzen SocialMedia und kochen gerne. wie sein es mit eine #twitcook in rom ? @ja_natuerlich ;-)	ART ADJA NN VVFIN NE KON VVFIN NE KOKOM VAFIN PPER APPR ART NN APPR NN $. ADJD $(	3/NK 3/NK 4/SB 0/-- 4/SB 4/CD 6/CJ 7/SB 10/CM 7/MO 10/SB 10/MO 14/NK 12/NK 10/MO 15/NK 16/-- 17/-- 18/--	case=nom|Sentiment::markable_54::Polarity=positive|gender=masc|Sentiment::markable_54::Sentiment=True|Sentiment::markable_54::Sarcasm=false|num=sg|Source::markable_55::Anaphref=empty|Sentiment::markable_54::Intensity=medium|Source::markable_55::Source=True case=nom|num=sg|Source::markable_55::Source=True|gender=masc|pos=True|Sentiment::markable_54::Sentiment=True case=nom|gender=masc|num=sg|Source::markable_55::Source=True|Sentiment::markable_54::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_54::Sentiment=True case=nom|*=True|num=sg|Sentiment::markable_54::Sentiment=True Sentiment::markable_54::Sentiment=True mood=ind|Target::markable_56::Preferred=true|Sentiment::markable_54::Sentiment=True|pers=3|num=sg|tense=pres|Target::markable_56::Anaphref=empty|Target::markable_56::Target=True case=nom|EmoExpression::markable_57::SubjectiveFact=false|*=True|Sentiment::markable_54::Sentiment=True|EmoExpression::markable_57::Polarity=positive|EmoExpression::markable_57::Uncertain=false|num=sg|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::EmoExpression=True _ pers=3|num=sg|tense=past|mood=subj case=nom|gender=neut|num=sg|pers=3 _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ pos=True EmoExpression::markable_58::Polarity=positive|EmoExpression::markable_58::Sarcasm=false|EmoExpression::markable_58::SubjectiveFact=false|EmoExpression::markable_58::Uncertain=false|EmoExpression::markable_58::Intensity=medium|EmoExpression::markable_58::EmoExpression=True
311951192995532800	positive	@Agadius Aber es gibt doch grad nen neuen papst ;-)	@Agadius aber es geben doch grad nen neu Papst ;-)	NN KON PPER VVFIN ADV ADJA ADJA ADJA NN $(	0/-- 4/JU 4/EP 1/-- 4/MO 9/NK 9/NK 9/NK 4/OA 9/--	_ _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=pl|pos=True case=acc|gender=fem|num=pl|pos=True case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_59::Polarity=positive|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|EmoExpression::markable_59::EmoExpression=True|EmoExpression::markable_59::Sarcasm=false|EmoExpression::markable_59::Uncertain=false
311924790170628097	mixed	Habe gehofft , der Papst schmeißt zur Begrüßung mit Pillen und Kondomen ... Aber hat sich doch nichts geändert :(	haben hoffen , die Papst schmeißen zu Begrüßung mit Pille und Kondom ... aber haben sich doch nichts ändern :(	VAFIN VVPP $, ART NN VVFIN APPRART NN APPR NN KON NN $. KON VAFIN PRF ADV PIS VVPP ADJD	0/-- 1/OC 2/-- 5/NK 6/DA 2/OC 6/MO 7/NK 8/MNR 9/NK 10/CD 11/CJ 12/-- 15/JU 13/-- 19/OA 19/MO 15/SB 15/OC 19/MO	Sentiment::markable_60::Intensity=medium|Sentiment::markable_60::Sarcasm=false|mood=subj|pers=3|num=sg|tense=past|Sentiment::markable_60::Polarity=positive|Sentiment::markable_60::Sentiment=True EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::Sarcasm=false|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Uncertain=false|Sentiment::markable_60::Sentiment=True|EmoExpression::markable_61::Intensity=medium|EmoExpression::markable_61::EmoExpression=True Sentiment::markable_60::Sentiment=True case=dat|Target::markable_62::Target=True|num=sg|Target::markable_62::Preferred=true|Sentiment::markable_60::Sentiment=True|gender=fem|Target::markable_62::Anaphref=empty case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True pers=3|Target::markable_62::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_60::Sentiment=True case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True Sentiment::markable_60::Sentiment=True|Target::markable_62::Target=True case=dat|gender=fem|Target::markable_62::Target=True|num=pl|Sentiment::markable_60::Sentiment=True Sentiment::markable_60::Sentiment=True|Target::markable_62::Target=True case=dat|gender=masc|Target::markable_62::Target=True|num=pl|Sentiment::markable_60::Sentiment=True _ Target::markable_64::Anaphref=empty|Target::markable_64::Preferred=true|Sentiment::markable_63::Polarity=negative|Sentiment::markable_63::Intensity=medium|Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True|Sentiment::markable_63::Sarcasm=false pers=3|num=sg|tense=pres|mood=ind|Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True case=acc|pers=3|num=sg|Sentiment::markable_63::Sentiment=True|Target::markable_64::Target=True Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True gender=neut|*=True|Sentiment::markable_63::Sentiment=True|Target::markable_64::Target=True Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True EmoExpression::markable_65::Uncertain=false|EmoExpression::markable_65::Polarity=negative|EmoExpression::markable_65::Sarcasm=false|EmoExpression::markable_65::Intensity=medium|EmoExpression::markable_65::EmoExpression=True|Sentiment::markable_63::Sentiment=True|EmoExpression::markable_65::SubjectiveFact=false
312145392336781313	positive	Chemiker können alles - sogar Papst ;-) Wusstet Ihr , dass der neue Papst Franziskus ( vorher Kardinal Jorge ... http://t.co/qonncIn5dp	Chemiker können alle - sogar Papst ;-) wissen sie , dass die neu Papst Franziskus ( vorher Kardinal Jorge ... http://t.co/qonncIn5dp	NN VMFIN PIS $( ADV NN $( VVFIN PPER $, KOUS ART ADJA NN NE $( ADV NN NE $. NN	2/SB 0/-- 2/SB 3/-- 6/MO 8/MO 6/-- 2/OC 8/SB 9/-- 8/OP 14/NK 14/NK 11/NK 14/NK 15/-- 18/MO 14/PAR 18/NK 19/-- 20/--	case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ case=nom|gender=masc|num=sg EmoExpression::markable_66::Polarity=positive|EmoExpression::markable_66::EmoExpression=True|EmoExpression::markable_66::Uncertain=false|EmoExpression::markable_66::Intensity=medium|EmoExpression::markable_66::Sarcasm=false|EmoExpression::markable_66::SubjectiveFact=false pers=2|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=2 _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg
311911110678831104	positive	Ich bin ...... : Ich bin gespannt welcher Nationalität der neue Papst angehört . :) http://t.co/cV83epVWg8	ich sein ...... : ich sein gespannt welche Nationalität die neu Papst angehören|anhören . :) http://t.co/cV83epVWg8	PPER VAFIN NN $. PPER VAFIN ADJD PIS NN ART ADJA NN VVPP $. ADJA NN	2/SB 0/-- 2/PD 5/-- 6/SB 3/-- 13/MO 9/NK 13/OA 12/NK 12/NK 9/AG 6/OC 13/-- 16/NK 14/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind EmoExpression::markable_10404348::SubjectiveFact=false|EmoExpression::markable_10404348::Polarity=positive|EmoExpression::markable_10404348::Intensity=medium|EmoExpression::markable_10404348::Sarcasm=false|EmoExpression::markable_10404348::Uncertain=false|EmoExpression::markable_10404348::EmoExpression=True case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::Polarity=positive|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::SubjectiveFact=false|EmoExpression::markable_67::EmoExpression=True _
311903187705663490	positive	" Programmunterbrechung ? " - " Dann wurde wohl ein neuer Papst gewählt . " Haaach , bin ich ein Hellseher :-)	" Programmunterbrechung ? " - " dann werden wohl eine neu Papst wählen . " Haaach , sein ich eine Hellseher :-)	$( NN $. $( $( $( ADV VAFIN ADV ART ADJA NN VVPP $. $( ADJD $, VAFIN PPER ART NN $(	2/-- 0/-- 2/-- 3/-- 7/-- 5/-- 13/MO 4/-- 13/MO 12/NK 12/NK 8/SB 8/OC 13/-- 14/-- 18/PD 16/-- 15/-- 18/SB 21/NK 18/PD 21/--	_ case=nom|gender=fem|num=sg _ _ _ _ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ pos=True _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg EmoExpression::markable_68::Sarcasm=false|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Intensity=medium|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false
