328854379425853441	positive	Gleich in Braunschweig mit Kamaraden Treffen :)	gleich in Braunschweig mit Kamaraden Treffen :)	ADJD APPR NE APPR ADJA NN ADJD	0/-- 1/MO 2/NK 7/MO 6/NK 4/NK 1/PD	Sentiment::markable_208::Intensity=medium|Target::markable_209::Anaphref=empty|Sentiment::markable_208::Sarcasm=false|Sentiment::markable_208::Polarity=positive|Sentiment::markable_208::Sentiment=True|Target::markable_209::Preferred=true|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True case=dat|num=pl|Target::markable_209::Target=True|gender=fem|Sentiment::markable_208::Sentiment=True|pos=True case=dat|gender=fem|num=pl|Sentiment::markable_208::Sentiment=True|Target::markable_209::Target=True EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|Sentiment::markable_208::Sentiment=True|EmoExpression::markable_1::Intensity=medium
327764843614576642	positive	@Black_Pink_Pony Hopf . Trotzdem. alles unter 30  ist ' lauwarm ' :)	@Black_Pink_Pony Hopf . Trotzdem. alle unter @card@ sein ' lauwarm ' :)	NN NN $. VVFIN PIS APPR CARD VAFIN $( ADJD $( ADJA	0/-- 1/-- 2/-- 6/MO 4/SB 8/MO 6/NK 3/-- 8/-- 12/MO 10/-- 8/RS	case=nom|gender=fem|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind _ pos=True _ EmoExpression::markable_18::EmoExpression=True|*=True|pos=True|EmoExpression::markable_18::Intensity=medium|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false
320459279997992960	positive	mach mal der @Kimscreecher die 100  follower voll :)	machen mal die @Kimscreecher die @card@ follower voll :)	VVIMP ADV ART NN ART CARD NN ADJD ADJA	0/-- 1/MO 4/NK 1/OA 7/NK 7/NK 9/SB 9/MO 4/--	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=masc|*=True pos=True case=gen|EmoExpression::markable_19::Uncertain=false|gender=masc|EmoExpression::markable_19::Sarcasm=false|pos=True|EmoExpression::markable_19::EmoExpression=True|num=pl|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive
324987562118746112	positive	@kyumao1 @BiasZeloForever @DA3HYUNx @OezlemD97 @ZELOoppa oh mein gott ! *-* ZIEH DIE JACKE AUS *---* XD	@kyumao1 @BiasZeloForever @DA3HYUNx @OezlemD97 @ZELOoppa oh mein Gott ! *-* zeihen die Jacke aus *---* XD	CARD NN NN CARD NN ITJ PPOSAT NN $. XY VVFIN ART NN PTKVZ XY ADJA	0/-- 1/-- 2/-- 3/-- 4/-- 8/NK 8/NK 5/-- 8/-- 15/PNC 9/-- 13/NK 11/SB 11/SVP 14/NK 14/NK	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=strong|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive case=nom|gender=masc|num=sg|EmoExpression::markable_20::EmoExpression=True case=nom|gender=masc|num=sg|EmoExpression::markable_20::EmoExpression=True _ case=nom|*=True|num=sg|Negation::markable_100500276::Negation=True|Negation::markable_100500276::EmoExpressionRef=empty pers=3|num=sg|tense=past|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=strong
322049290530856961	mixed	RT @caschy : 72 jähriger Leser regt sich bei mir über YouTube und Gema auf :)	RT @caschy : 72 jähriger Leser regen sich bei ich über YouTube und Gema auf :)	NE NE $. CARD ADJA NN VVFIN PRF APPR PPER APPR NN KON NN APPR ADJA	2/PNC 0/-- 2/-- 5/MO 6/NK 7/SB 3/-- 7/OA 7/MO 9/NK 7/OP 11/NK 12/CD 13/CJ 7/SVP 15/NK	case=nom|*=True|num=sg case=nom|Source::markable_212::Anaphref=empty|Sentiment::markable_213::Polarity=positive|Sentiment::markable_213::Sentiment=True|*=True|Sentiment::markable_213::Intensity=medium|Source::markable_212::Source=True|Sentiment::markable_213::Sarcasm=false|num=sg Sentiment::markable_213::Sentiment=True Sentiment::markable_214::Sentiment=True|Sentiment::markable_214::Sarcasm=false|Sentiment::markable_213::Sentiment=True|Sentiment::markable_214::Polarity=negative|Source::markable_215::Source=True|Source::markable_215::Anaphref=empty|Sentiment::markable_214::Intensity=medium case=nom|Sentiment::markable_214::Sentiment=True|num=sg|Sentiment::markable_213::Sentiment=True|Source::markable_215::Source=True|gender=masc|pos=True case=nom|Sentiment::markable_214::Sentiment=True|num=sg|Sentiment::markable_213::Sentiment=True|Source::markable_215::Source=True|gender=masc EmoExpression::markable_216::Polarity=negative|EmoExpression::markable_216::Sarcasm=false|mood=ind|EmoExpression::markable_216::SubjectiveFact=false|pers=3|Sentiment::markable_214::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_216::Uncertain=false|Sentiment::markable_213::Sentiment=True|EmoExpression::markable_216::EmoExpression=True|EmoExpression::markable_216::Intensity=medium case=acc|pers=3|num=sg|Sentiment::markable_213::Sentiment=True|Sentiment::markable_214::Sentiment=True|EmoExpression::markable_216::EmoExpression=True Sentiment::markable_214::Sentiment=True|Sentiment::markable_213::Sentiment=True case=dat|pers=1|num=sg|Sentiment::markable_213::Sentiment=True|Sentiment::markable_214::Sentiment=True|*=True Sentiment::markable_214::Sentiment=True|Sentiment::markable_213::Sentiment=True case=acc|Target::markable_217::Anaphref=empty|Sentiment::markable_213::Sentiment=True|gender=masc|Target::markable_217::Preferred=true|Sentiment::markable_214::Sentiment=True|num=pl|Target::markable_217::Target=True Sentiment::markable_214::Sentiment=True|Sentiment::markable_213::Sentiment=True case=acc|Sentiment::markable_213::Sentiment=True|gender=neut|Target::markable_218::Target=True|Sentiment::markable_214::Sentiment=True|num=sg|Target::markable_218::Preferred=true|Target::markable_218::Anaphref=empty Sentiment::markable_214::Sentiment=True|EmoExpression::markable_216::EmoExpression=True|Sentiment::markable_213::Sentiment=True EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|Sentiment::markable_213::Sentiment=True|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive
328795339970707456	mixed	Ich Rejecte heute nur Tickets . Noch kein einziges bearbeitet . :)	ich Rejecte heute nur Ticket . noch keine einzig bearbeiten . :)	PPER NN ADV ADV NN $. ADV PIAT ADJA VVPP $. ADJA	2/SB 0/-- 2/MNR 5/MO 2/OA 5/-- 9/MO 9/NK 10/MO 6/-- 10/-- 11/--	case=nom|Sentiment::markable_100500277::Polarity=negative|Sentiment::markable_100500277::Intensity=weak|Source::markable_100500279::Anaphref=empty|*=True|Source::markable_100500279::Source=True|Sentiment::markable_100500277::Sarcasm=false|pers=1|num=sg|Sentiment::markable_100500277::Sentiment=True mood=ind|EmoExpression::markable_100500280::Polarity=negative|EmoExpression::markable_100500280::SubjectiveFact=false|EmoExpression::markable_100500280::Uncertain=false|pers=1|num=sg|tense=pres|EmoExpression::markable_100500280::Intensity=weak|Sentiment::markable_100500277::Sentiment=True|EmoExpression::markable_100500280::EmoExpression=True|EmoExpression::markable_100500280::Sarcasm=false Sentiment::markable_100500277::Sentiment=True Sentiment::markable_100500277::Sentiment=True case=acc|num=pl|Target::markable_100500278::Target=True|Target::markable_100500278::Anaphref=empty|gender=neut|Sentiment::markable_100500277::Sentiment=True|Target::markable_100500278::Preferred=true Sentiment::markable_100500277::Sentiment=True Target::markable_26::Anaphref=empty|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium|Target::markable_26::Preferred=true|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True|Sentiment::markable_25::Polarity=positive case=nom|gender=neut|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_26::Target=True case=nom|num=sg|gender=neut|Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True|pos=True Sentiment::markable_25::Sentiment=True|Target::markable_26::Target=True Sentiment::markable_25::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|Sentiment::markable_25::Sentiment=True|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
328527588152705024	positive	Wirklich niemand Bedarf an Mädchenschuhen Gr. 26  und 28  oder 31 ?! Bittebitte nehmt sie mir ab ! :)	wirklich niemand Bedarf an Mädchenschuhen Gr. @card@ und @card@ oder 31 ?! Bittebitte nehmen sie ich ab ! :)	ADJD PIS NN APPR NN NN CARD KON CARD KON CARD ADJA NN VVFIN PPER PPER PTKVZ $. ADJA	3/MO 3/NK 0/-- 3/MNR 4/NK 7/PNC 5/NK 7/CD 12/MO 9/CD 10/CJ 8/CJ 14/SB 12/-- 14/OA 14/DA 14/SVP 17/-- 18/--	pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=pl case=acc|*=True|num=sg _ _ _ _ _ case=dat|gender=neut|num=pl|pos=True case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|*=True case=dat|*=True|num=sg|pers=1 _ _ EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
328960558835564545	positive	Gibt es etwas , das du jeden Tag isst ? — Äh , nein ! :) http://t.co/ka1iH3ZrAL	geben es etwas , die du jede Tag essen ? — Äh , nein ! :) http://t.co/ka1iH3ZrAL	VVFIN PPER ADV $, PRELS PPER PIAT NN VVFIN $. ADJD VVFIN $, PTKANT $. ADJA NN	0/-- 1/EP 1/OA 3/-- 9/OA 9/SB 8/NK 9/MO 3/RC 9/-- 10/-- 11/-- 12/-- 12/MO 14/-- 17/NK 15/--	pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 gender=neut|*=True _ case=acc|gender=neut|num=sg case=nom|*=True|num=sg|pers=2 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ pos=True _ _ _ _ case=nom|gender=neut|pos=True|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|num=pl|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false case=nom|gender=neut|num=pl
328099387916054528	positive	Ja so war ' s noch bis vor ein paar Jahren ... als es noch kein Social Networking gab ;-) * schwelg * http://t.co/bHbpBsxFa4	Ja so sein ' s noch bis vor eine paar Jahr ... als es noch keine <UNKNOWN> Networking geben ;-) * schwelg * http://t.co/bHbpBsxFa4	NN ADV VAFIN $( NN ADV APPR APPR ART PIAT NN $. KOUS PPER ADV PIAT ADJD NE VVFIN $( XY NN XY CARD	3/PD 3/MO 0/-- 3/-- 3/SB 8/MO 8/AC 3/MO 10/NK 11/NK 8/NK 11/-- 19/CP 19/EP 19/MO 19/MO 19/MO 19/OA 12/-- 19/-- 24/PNC 24/PNC 24/PNC 13/NK	_ _ pers=3|num=sg|tense=past|mood=ind _ _ _ _ _ *=True *=True case=dat|gender=neut|num=pl _ _ case=nom|gender=neut|num=sg|pers=3 _ case=nom|gender=neut|num=sg pos=True case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false EmoExpression::markable_219::Uncertain=false|EmoExpression::markable_219::EmoExpression=True|EmoExpression::markable_219::Intensity=medium|EmoExpression::markable_219::Polarity=positive|EmoExpression::markable_219::SubjectiveFact=false|EmoExpression::markable_219::Sarcasm=false EmoExpression::markable_219::EmoExpression=True EmoExpression::markable_219::EmoExpression=True _
326720383891951616	negative	hab mir auf die Zunge gebissen :-(	haben ich auf die Zunge beißen :-(	VAIMP PRF APPR ART NN VVPP $(	6/NK 6/DA 6/MO 5/NK 3/NK 0/-- 6/--	Sentiment::markable_29::Polarity=negative|Sentiment::markable_29::Intensity=medium|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_29::Sentiment=True|Sentiment::markable_29::Sarcasm=false|Target::markable_31::Anaphref=empty case=dat|pers=1|num=sg|Sentiment::markable_29::Sentiment=True|Target::markable_31::Target=True|*=True Target::markable_31::Target=True|Sentiment::markable_29::Sentiment=True case=acc|gender=fem|Target::markable_31::Target=True|num=sg|Sentiment::markable_29::Sentiment=True case=acc|gender=fem|Target::markable_31::Target=True|num=sg|Sentiment::markable_29::Sentiment=True Target::markable_31::Target=True|Sentiment::markable_29::Sentiment=True EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|Sentiment::markable_29::Sentiment=True|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=negative|EmoExpression::markable_30::Sarcasm=false
320592061109780480	positive	Meister ist nur der #fcbayern !!! #MIA SAN MIA :-)	Meister sein nur die #fcbayern !!! #MIA SAN Mia :-)	NN VAFIN ADV ART ADJA NN NE NE NE $(	2/SB 0/-- 6/MO 6/NK 6/NK 2/PD 9/PNC 9/PNC 6/-- 9/--	case=nom|EmoExpression::markable_34::SubjectiveFact=false|gender=masc|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Intensity=medium|Sentiment::markable_33::Sentiment=True|num=sg|EmoExpression::markable_34::EmoExpression=True|Sentiment::markable_33::Intensity=medium|Sentiment::markable_33::Sarcasm=false|Sentiment::markable_33::Polarity=positive|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Sarcasm=false pers=3|Sentiment::markable_33::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_33::Sentiment=True case=nom|Sentiment::markable_33::Sentiment=True|num=sg|Target::markable_35::Anaphref=empty|Target::markable_35::Preferred=true|gender=masc|Target::markable_35::Target=True case=nom|Sentiment::markable_33::Sentiment=True|num=sg|gender=masc|pos=True|Target::markable_35::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_33::Sentiment=True *=True *=True case=nom|*=True|num=sg EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True
321522921560494081	positive	Briefbögen für die Geschäftsleitung ? Warum nicht mal etwas dickeres Papier ;-) http://t.co/pnj8jCAniK	Briefbogen für die Geschäftsleitung ? warum nicht mal etwas dick Papier ;-) http://t.co/pnj8jCAniK	NN APPR ART NN $. PWAV PTKNEG ADV PIAT ADJA NN $( NN	0/-- 1/MNR 4/NK 2/NK 4/-- 11/MO 11/NG 7/MO 10/MO 11/NK 5/-- 11/-- 11/CJ	case=nom|gender=masc|num=pl _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ _ _ case=acc|gender=neut|num=sg|comp=True case=acc|gender=neut|num=sg case=acc|EmoExpression::markable_36::EmoExpression=True|gender=neut|EmoExpression::markable_36::Intensity=medium|num=sg|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false case=nom|gender=fem|num=sg
320612998341353473	positive	“ @Annimausi : " @ENERGYSachsen : Das Erzgebierge rockt DSDS ! Lisa singt Hat sie das Zeug zum Superstar ? " jaaaaaaa !!!! :D NEIN ! Riccardo :)	“ @Annimausi : " @ENERGYSachsen : die Erzgebierge rocken DSDS ! Lisa singen haben sie die Zeug zu Superstar ? " jaaaaaaa !!!! :D nein ! Riccardo :)	NN NE $. $( NN $. ART NN VVFIN NN $. NE VVFIN VAFIN PPER ART NN APPRART NN $. $( NE ADJA NN PTKANT $. NE NN	0/-- 1/NK 2/-- 5/-- 3/-- 5/-- 8/NK 9/SB 6/-- 9/OA 10/-- 13/SB 11/-- 13/OC 14/SB 17/NK 14/PD 17/MNR 18/NK 19/-- 20/-- 21/-- 22/UC 23/-- 24/DM 25/-- 28/PNC 26/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=nom|gender=neut|num=sg _ case=nom|Sentiment::markable_226::Sarcasm=false|Source::markable_227::Anaphref=empty|Sentiment::markable_226::Sentiment=True|gender=neut|Sentiment::markable_226::Intensity=medium|Source::markable_227::Source=True|num=sg|Sentiment::markable_226::Polarity=positive case=nom|gender=neut|num=sg|Sentiment::markable_226::Sentiment=True|Source::markable_227::Source=True EmoExpression::markable_228::Intensity=medium|EmoExpression::markable_228::Polarity=positive|mood=ind|Sentiment::markable_226::Sentiment=True|pers=3|EmoExpression::markable_228::Uncertain=false|EmoExpression::markable_228::SubjectiveFact=false|num=sg|tense=pres|EmoExpression::markable_228::Sarcasm=false|EmoExpression::markable_228::EmoExpression=True case=acc|num=sg|Target::markable_229::Target=True|Sentiment::markable_226::Sentiment=True|gender=neut|Target::markable_229::Anaphref=empty|Target::markable_229::Preferred=true Sentiment::markable_226::Sentiment=True case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|EmoExpression::markable_100500281::Uncertain=false|gender=masc|EmoExpression::markable_100500281::Intensity=strong|EmoExpression::markable_100500281::Sarcasm=false|EmoExpression::markable_100500281::SubjectiveFact=false|num=sg|EmoExpression::markable_100500281::Polarity=positive|EmoExpression::markable_100500281::EmoExpression=True _ _ EmoExpression::markable_224::Sarcasm=false|EmoExpression::markable_224::Uncertain=false|EmoExpression::markable_224::Intensity=strong|EmoExpression::markable_224::Polarity=positive|EmoExpression::markable_224::SubjectiveFact=false|EmoExpression::markable_224::EmoExpression=True _ EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=strong|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive EmoExpression::markable_220::Uncertain=false|EmoExpression::markable_220::EmoExpression=True|EmoExpression::markable_220::Intensity=medium|EmoExpression::markable_220::Polarity=negative|EmoExpression::markable_220::SubjectiveFact=false|EmoExpression::markable_220::Sarcasm=false _ case=nom|*=True|num=sg case=nom|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::Uncertain=false|*=True|EmoExpression::markable_38::Intensity=medium|EmoExpression::markable_38::Polarity=positive|num=sg|EmoExpression::markable_38::SubjectiveFact=false
324539826084909058	positive	@Thooenepe stehplätze ? :) Wie viel hat das ticket gekostet ? :)))	@Thooenepe Stehplatz ? :) wie viele haben die ticken kosten ? :)))	NN NN $. ADJD KOKOM PIS VAFIN PDS VVFIN VVPP $. ADJA	0/-- 1/-- 2/-- 6/MO 6/MO 7/SB 3/-- 7/SB 10/MO 7/OC 10/-- 11/--	case=nom|gender=fem|num=sg case=nom|gender=masc|num=pl _ EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Intensity=medium|pos=True|EmoExpression::markable_39::Uncertain=false _ *=True pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ _ EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Uncertain=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false
319742826197962752	positive	@Carsbos Also wenns nicht klappt dann ist schon ok ;-)	@Carsbos also wenns nicht klappen dann sein schon ok ;-)	NN ADV ADJD PTKNEG VVFIN ADV VAFIN ADV ADJA $(	0/-- 3/MO 5/MO 5/NG 1/-- 5/MO 5/CJ 9/MO 7/SB 9/--	_ _ _ _ pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_104012282::SubjectiveFact=false|EmoExpression::markable_104012282::Polarity=positive|EmoExpression::markable_104012282::Sarcasm=false|EmoExpression::markable_104012282::Uncertain=false|EmoExpression::markable_104012282::EmoExpression=True|EmoExpression::markable_104012282::Intensity=weak EmoExpression::markable_104012282::EmoExpression=True EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
321250454363324417	positive	RT @_ankey : Es hat nicht noch zufällig jemand ' nen Ticket für die DSDS Show am 4.5 . ? Please ?! :)	RT @_ankey : es haben nicht noch zufällig jemand ' nen Ticket für die DSDS Show an @card@ . ? Please ?! :)	NE ADJD $. PPER VAFIN PTKNEG ADV ADJD PIS $( ADJA NN APPR ART NN NN APPRART CARD $. $. NN ADJA NN	0/-- 1/PD 2/-- 5/SB 3/-- 8/NG 8/MO 5/OC 5/SB 9/-- 12/NK 5/OA 12/MNR 15/NK 13/NK 15/NK 5/MO 22/MO 18/-- 19/-- 22/OA 17/NK 22/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ _ pos=True case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|*=True|num=sg case=dat|gender=masc|num=sg _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
327788691181424640	positive	@LooksLikeYoda_ Nicht direkt über das Leben , aber so ähnlich letztes Jahr in der 11.  :)	@LooksLikeYoda_ nicht direkt über die Leben , aber so ähnlich letzt Jahr in die @card@ :)	NN PTKNEG ADJD APPR ART NN $, KON ADV ADJD ADJA NN APPR ART CARD NN	0/-- 3/NG 4/MO 1/-- 6/NK 4/NK 6/-- 6/CD 10/MO 12/NK 12/NK 8/CJ 6/MNR 16/NK 16/NK 13/NK	case=nom|gender=masc|num=sg _ pos=True _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _ _ pos=True case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg _ case=dat|gender=fem|num=sg _ case=dat|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|gender=fem|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Sarcasm=false|EmoExpression::markable_45::SubjectiveFact=false|num=sg|EmoExpression::markable_45::Uncertain=false
327479470946656256	positive	@xXLucyChanXx Ich ersetze übrigens ab jetzt Chips mit Obst :) Statt mir immer wat zum knabbern zu holen hol ich mir n Netz Orangen .	@xXLucyChanXx ich ersetzen übrigens ab jetzt Chip mit Obst :) statt ich immer wat zu knabbern zu holen holen ich ich n Netz Orange .	NN PPER VVFIN ADV ADV ADV NN APPR NN ADJD APPR PPER ADV NE APPRART VVINF PTKZU VVINF VVIMP PPER PRF ADJA NN NN $.	0/-- 3/SB 1/-- 3/MO 3/MO 3/MO 18/OA 18/MO 8/NK 18/MO 18/MO 11/NK 18/MO 18/OA 18/MO 15/NK 18/PM 19/OC 23/NK 18/SB 22/DA 23/NK 3/OA 23/NK 24/--	case=nom|gender=masc|num=sg case=nom|Sentiment::markable_47::Polarity=positive|*=True|Sentiment::markable_47::Sentiment=True|Source::markable_48::Source=True|pers=1|Sentiment::markable_47::Sarcasm=false|num=sg|Sentiment::markable_47::Intensity=medium|Source::markable_48::Anaphref=empty mood=ind|Target::markable_49::Target=True|Target::markable_49::Anaphref=empty|Sentiment::markable_47::Sentiment=True|pers=1|num=sg|tense=pres|Target::markable_49::Preferred=true Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=pl|Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True case=dat|gender=neut|num=sg|Target::markable_49::Target=True|Sentiment::markable_47::Sentiment=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive|Sentiment::markable_47::Sentiment=True Sentiment::markable_230::Sarcasm=false|Sentiment::markable_230::Intensity=medium|Sentiment::markable_230::Sentiment=True|Sentiment::markable_230::Polarity=positive case=dat|*=True|num=sg|Sentiment::markable_230::Sentiment=True|pers=1 Sentiment::markable_230::Sentiment=True case=nom|num=sg|Sentiment::markable_230::Sentiment=True|Target::markable_232::Preferred=false|gender=masc|Target::markable_232::Target=True|Target::markable_232::Anaphref=empty case=dat|gender=masc|Target::markable_232::Target=True|num=sg|Sentiment::markable_230::Sentiment=True Target::markable_232::Target=True|Sentiment::markable_230::Sentiment=True Sentiment::markable_230::Sentiment=True Sentiment::markable_230::Sentiment=True Sentiment::markable_230::Sentiment=True case=nom|pers=1|num=sg|Source::markable_231::Anaphref=empty|Sentiment::markable_230::Sentiment=True|Source::markable_231::Source=True|*=True case=dat|pers=1|num=sg|Sentiment::markable_230::Sentiment=True mood=ind|Target::markable_233::Anaphref=empty|pers=1|Target::markable_233::Target=True|num=sg|tense=pres|Sentiment::markable_230::Sentiment=True|Target::markable_233::Preferred=true case=acc|gender=masc|Target::markable_233::Target=True|num=sg|Sentiment::markable_230::Sentiment=True case=acc|gender=masc|Target::markable_233::Target=True|num=sg|Sentiment::markable_230::Sentiment=True Sentiment::markable_230::Sentiment=True
