311904570395734016	positive	Ob das das Internet aushält ? Soviel #Papst auf einmal . #Habemus ... ;-)	ob die die Internet aushalten ? soviele #Papst auf einmal . #Habemus ... ;-)	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. $(	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 6/-- 8/MNR 9/NK 10/-- 11/-- 12/-- 13/--	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|gender=neut|num=sg _ _ _ _ _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311916070674001920	positive	@dentaku erst Papst . Dann dreht sich die Scheibe weiter… :-)	@dentaku erst Papst . dann drehen sich die Scheibe weiter… :-)	NN ADV NN $. ADV VVFIN PRF ART NN VVFIN $(	0/-- 3/MO 1/-- 3/-- 6/MO 4/-- 6/OA 9/NK 6/SB 6/SVP 10/--	case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false
311868791007100928	positive	Ja , das war mal… Papst - Kellner von Papst Benedikt… Ob ich wieder werde :-) http://t.co/AGhiMtRzqp	Ja , die sein mal… Papst - Kellner von Papst Benedikt… ob ich wieder werden :-) http://t.co/AGhiMtRzqp	NN $, PDS VAFIN ADJA NN $( NN APPR NN TRUNC KOUS PPER ADV VAFIN $( NN	3/RE 1/-- 4/SB 0/-- 6/NK 4/PD 6/-- 11/OA 8/PG 9/NK 6/NK 15/CP 15/SB 15/MO 17/PAR 15/-- 11/PNC	_ _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|*=True|num=sg|pers=1 _ pers=1|num=sg|tense=pres|mood=ind EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|EmoExpression::markable_31::SubjectiveFact=false|EmoExpression::markable_31::Polarity=positive _
312078706506084352	negative	RT @hipsterschwein : Wieder kein Moslem als Papst . :-(	RT @hipsterschwein : wieder keine Moslem als Papst . :-(	NE NN $. ADV PIAT NN KOKOM NN $. $(	2/SB 0/-- 2/-- 6/MO 6/NK 3/-- 6/CD 7/NK 8/-- 9/--	case=nom|*=True|num=sg case=nom|*=True|num=sg _ EmoExpression::markable_104013045::SubjectiveFact=false|EmoExpression::markable_104013045::Uncertain=false|EmoExpression::markable_104013045::Sarcasm=false|EmoExpression::markable_104013045::EmoExpression=True|EmoExpression::markable_104013045::Intensity=medium|EmoExpression::markable_104013045::Polarity=negative case=nom|gender=masc|num=sg|EmoExpression::markable_104013045::EmoExpression=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ EmoExpression::markable_104013044::Intensity=medium|EmoExpression::markable_104013044::Sarcasm=false|EmoExpression::markable_104013044::SubjectiveFact=false|EmoExpression::markable_104013044::Polarity=negative|EmoExpression::markable_104013044::EmoExpression=True|EmoExpression::markable_104013044::Uncertain=false
311920914650497024	mixed	RT @porrporr : So Twitter zeig mal ob du was taugst , können wir den Papst innerhalb von einem Jahr zurücktreten lassen ;-) #papst	RT @porrporr : so Twitter zeigen mal ob du was taugen , können wir die Papst innerhalb von eine Jahr zurücktreten lassen ;-) #papst	NE ADJD $. ADV NN VVIMP ADV KOUS PPER PIS VVFIN $, VMFIN PPER ART NN APPR APPR ART NN VVINF VVINF $( NN	0/-- 1/PD 2/-- 5/MO 13/SB 5/NK 11/MO 11/CP 11/SB 11/MO 13/MO 11/-- 3/-- 13/SB 16/NK 21/OA 18/AC 21/MO 20/NK 18/NK 22/OC 13/OC 22/-- 6/OA	case=nom|*=True|num=sg pos=True _ _ case=nom|gender=masc|num=pl pos=True _ _ case=nom|*=True|num=sg|pers=2 gender=neut|*=True pers=3|num=sg|tense=pres|mood=ind _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_104013046::EmoExpression=True|EmoExpression::markable_104013046::Uncertain=false|EmoExpression::markable_104013046::Intensity=medium|EmoExpression::markable_104013046::SubjectiveFact=false|EmoExpression::markable_104013046::Sarcasm=false|EmoExpression::markable_104013046::Polarity=negative _ EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True _
311920704536858624	positive	@Kosak_Daniel Ein Argentinier als Papst und eine Argentinierin als holländische Königin ;-)	@Kosak_Daniel eine Argentinier als Papst und eine Argentinierin als holländisch Königin ;-)	NN ART NN KOKOM NN KON ART NN KOKOM ADJA NN $(	0/-- 3/NK 1/-- 5/CM 3/CC 5/CD 8/NK 6/CJ 11/CM 11/NK 8/CC 11/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false
311917386666213376	mixed	Immer die Anderen :-) Wir hatten unsere Chance :-) " @BrabaxBln : Und ? Wer hat jetzt gewonnen ? Sind wir schon Papst ? Oder sinds die Anderen ? "	immer die andere :-) wir haben unser Chance :-) " @BrabaxBln : und ? wer haben jetzt gewinnen ? sein wir schon Papst ? oder sinds die andere ? "	ADV ART PIAT $( PPER VAFIN PPOSAT NN $( $( NN $. KON $. PWS VAFIN ADV VVPP $. VAFIN PPER ADV NN $. KON NN ART PIS $. $(	2/MO 5/NK 5/NK 3/-- 6/SB 0/-- 8/NK 6/OA 8/-- 9/-- 8/APP 11/-- 12/-- 13/-- 16/SB 14/-- 18/MO 16/OC 18/-- 19/-- 20/SB 20/MO 20/PD 23/-- 26/JU 24/-- 28/NK 26/AG 28/-- 29/--	_ case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|*=True|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false case=nom|EmoExpression::markable_104013048::Polarity=negative|EmoExpression::markable_104013048::Intensity=medium|*=True|EmoExpression::markable_104013048::SubjectiveFact=false|EmoExpression::markable_104013048::EmoExpression=True|pers=1|EmoExpression::markable_104013048::Uncertain=false|num=pl|EmoExpression::markable_104013048::Sarcasm=false pers=1|num=pl|tense=past|mood=ind|EmoExpression::markable_104013048::EmoExpression=True case=acc|gender=fem|num=sg|EmoExpression::markable_104013048::EmoExpression=True case=acc|gender=fem|EmoExpression::markable_104013047::Polarity=positive|EmoExpression::markable_104013048::EmoExpression=True|EmoExpression::markable_104013047::Sarcasm=false|num=sg|EmoExpression::markable_104013047::Uncertain=false|EmoExpression::markable_104013047::Intensity=medium|EmoExpression::markable_104013047::SubjectiveFact=false|EmoExpression::markable_104013047::EmoExpression=True EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _ _ _ _ _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ case=acc|gender=fem|num=sg _ _ case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl _ _
311870405956743168	positive	Das müsste echt mal so 1 Woche dauern ;-))) #Konklave #Papst	die müssen echt mal so 1 Woche dauern ;-))) #Konklave #Papst	PDS VMFIN ADJD ADV ADV CARD NN VVFIN ADJA NN NN	2/SB 0/-- 6/MO 6/MO 6/MO 7/NK 8/MO 2/OC 10/NK 8/SB 8/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|sup=True pos=True _ _ _ case=nom|gender=masc|num=pl _ case=nom|EmoExpression::markable_36::EmoExpression=True|gender=masc|pos=True|EmoExpression::markable_36::Intensity=strong|num=pl|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false case=nom|gender=masc|num=pl case=acc|gender=fem|num=sg
311942916127981568	positive	Wer ist das ? - spricht Deutsch - fährt ÖV - mag Umweltschutz und Ökologie - hat ne Brille und vorne keine Haare Ich könnte Papst sein . ;-)	wer sein die ? - sprechen deutsch - fahren ÖV - mögen Umweltschutz und Ökologie - haben eine Brille und vorne keine Haar ich können Papst sein . ;-)	PWS VAFIN PDS $. $( VVFIN NN $( VVFIN NN $( VMFIN NN KON NN $( VAFIN ART NN KON ADV PIAT NN PPER VMFIN NN VAINF $. $(	2/SB 0/-- 2/SB 3/-- 6/-- 4/-- 6/OA 7/-- 10/NK 12/SB 10/-- 7/PAR 12/SB 13/CD 14/CJ 15/-- 6/OC 19/NK 17/OA 19/CD 23/MO 23/NK 20/CJ 25/SB 17/CJ 27/PD 25/OC 27/-- 28/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg _ EmoExpression::markable_10050095::Intensity=medium|EmoExpression::markable_10050095::Sarcasm=false|EmoExpression::markable_10050095::Uncertain=false|mood=ind|EmoExpression::markable_10050095::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_10050095::EmoExpression=True|EmoExpression::markable_10050095::Polarity=positive case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=3|num=sg|tense=past|mood=subj case=nom|gender=masc|num=sg _ _ EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive
311931595772805120	positive	Diese Titelseite wird wohl gerade geändert - dieser " Papst " schaut a wengal weiblich aus :-) http://t.co/TAi6of7PLA	dies Titelseite werden wohl gerade ändern - diese " Papst " schauen a wengal weiblich aus :-) http://t.co/TAi6of7PLA	PDAT NN VAFIN ADV ADV VVPP $( PDS $( NN $( VVFIN FM NE ADJD PTKVZ $( NN	2/NK 3/SB 0/-- 6/MO 6/MO 3/OC 6/-- 10/AG 8/-- 12/SB 10/-- 3/CJ 14/PNC 12/SB 12/MO 12/SVP 16/-- 12/OA	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=sg pos=True _ EmoExpression::markable_38::Polarity=positive|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::SubjectiveFact=false|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium case=dat|gender=fem|num=pl
311900017575227394	positive	Und die Show geht weiter .... noch kein #Papst in Sicht . Naja nicht offiziell :-)	und die Show gehen weiter .... noch keine #Papst in Sicht . Naja nicht offiziell :-)	KON ART NN VVFIN ADV NN ADV PIAT NN APPR NN $. NN PTKNEG ADJD $(	4/JU 3/NK 4/SB 0/-- 4/MO 4/OA 9/MO 9/NK 6/-- 9/MO 10/NK 11/-- 12/-- 15/NG 13/PD 15/--	_ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ pos=True EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
