311972225265836033	positive	%PosSmiley Der neue Papst : Es ist ein Argentinier %Link via %User	%PosSmiley die neu Papst : es sein eine Argentinier %Link via %User	ITJ ART ADJA NN $. PPER VAFIN ART NN XY APPR NE	7/NK 4/NK 4/NK 7/PD 4/-- 7/SB 0/-- 9/NK 7/PD 9/NK 9/MNR 11/NK	Sentiment::markable_1::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=positive|Sentiment::markable_1::Sentiment=True|EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|Sentiment::markable_1::Polarity=positive|Sentiment::markable_1::Intensity=medium|EmoExpression::markable_2::EmoExpression=True case=nom|num=sg|Target::markable_3::Target=True|Target::markable_3::Anaphref=empty|gender=masc|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True case=nom|num=sg|Target::markable_3::Target=True|gender=masc|pos=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|pers=3|num=sg|Target::markable_3::Target=True|gender=neut|Sentiment::markable_1::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg
311924923641774081	positive	Der neue papst kommt aus argentinien ! %PosSmiley	die neu Papst kommen aus argentinien ! %PosSmiley	ART ADJA NN VVFIN APPR NN $. ITJ	3/NK 3/NK 4/SB 0/-- 4/MO 5/NK 6/-- 5/MO	case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|gender=masc|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=sg|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive case=nom|num=sg|Sentiment::markable_30::Sentiment=True|gender=masc|Target::markable_31::Target=True|pos=True case=nom|gender=masc|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_30::Sentiment=True|Target::markable_31::Target=True Target::markable_31::Target=True|Sentiment::markable_30::Sentiment=True case=dat|gender=fem|Target::markable_31::Target=True|num=pl|Sentiment::markable_30::Sentiment=True Sentiment::markable_30::Sentiment=True EmoExpression::markable_32::Intensity=medium|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True
311902105927573504	positive	Neuer papst %PosSmiley Also kein neuer Rekord	neu Papst %PosSmiley also keine neu Rekord	ADJA NN ITJ ADV PIAT ADJA NN	2/NK 0/-- 4/DM 2/MO 7/NK 7/NK 2/PD	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_33::Sarcasm=false|gender=masc|EmoExpression::markable_33::Intensity=medium|num=sg|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::SubjectiveFact=false case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg
311927461690617856	positive	Papst pope Mal sehen was es als erstes vom neuen Papst bei Ebay gibt %PosSmiley	Papst pope Mal sehen was es als erst von neu Papst bei Ebay geben %PosSmiley	NN ADJA NN VVFIN PIS PPER KOKOM ADJA APPRART ADJA NN APPR NE VVFIN ITJ	4/SB 3/NK 1/NK 0/-- 4/OA 14/EP 14/MO 7/NK 8/MNR 11/NK 9/NK 8/MO 12/NK 4/OC 14/DM	case=nom|gender=masc|num=sg *=True case=acc|gender=masc|num=sg _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pers=3 _ case=acc|gender=neut|num=sg|pos=True case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_34::SubjectiveFact=false|EmoExpression::markable_34::Intensity=medium|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Sarcasm=false
311912074852855809	positive	tippt auf Papst Sixtus VI - %User überlege Dir schon mal eine Summe für den Verkauf Deines Twitter - Namens %PosSmiley	tippen auf Papst Sixtus VI - %User überlegen du schon mal eine Summe für die Verkauf dein Twitter - Name %PosSmiley	VVFIN APPR NN NE CARD $( NE VVFIN PPER ADV ADV ART NN APPR ART NN PPOSAT NN $( NN ITJ	8/MO 1/MO 2/NK 7/PNC 7/PNC 5/-- 3/NK 0/-- 8/DA 11/MO 8/MO 13/NK 8/OA 13/MNR 16/NK 14/NK 18/NK 16/AG 18/-- 18/APP 20/NK	pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=nom|*=True|num=sg pers=3|num=sg|tense=pres|mood=subj case=dat|*=True|num=sg|pers=2 _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg _ case=gen|gender=neut|num=sg case=gen|EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|gender=neut|EmoExpression::markable_35::EmoExpression=True|num=sg|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=positive
311921946709336065	positive	Obwohl dem Papst hör ich fast noch lieber zu als einer KMH. %PosSmiley	obwohl die Papst hören ich fast noch lieb zu als eine KMH. %PosSmiley	KOUS ART NN VVIMP PPER ADV ADV ADJD PTKVZ KOKOM ART NN ITJ	8/CP 3/NK 8/DA 0/-- 4/OA 8/MO 8/MO 5/MNR 4/SVP 12/CM 12/NK 8/CC 12/NK	_ case=dat|Target::markable_39::Anaphref=empty|Sentiment::markable_38::Intensity=medium|gender=masc|Sentiment::markable_38::Sentiment=True|Sentiment::markable_38::Sarcasm=false|num=sg|Sentiment::markable_38::Polarity=comparison|Target::markable_39::Target=True|Target::markable_39::Preferred=true case=dat|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_39::Target=True pers=1|Sentiment::markable_38::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|Sentiment::markable_38::Sentiment=True|pers=1 Sentiment::markable_38::Sentiment=True Sentiment::markable_38::Sentiment=True EmoExpression::markable_41::EmoExpression=True|EmoExpression::markable_41::Uncertain=false|EmoExpression::markable_41::Intensity=medium|comp=True|EmoExpression::markable_41::Polarity=positive|EmoExpression::markable_41::Sarcasm=false|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_41::SubjectiveFact=false Sentiment::markable_38::Sentiment=True Sentiment::markable_38::Sentiment=True case=nom|Target::markable_40::Anaphref=empty|num=sg|gender=masc|Target::markable_40::Target=True|Sentiment::markable_38::Sentiment=True|Target::markable_40::Preferred=false case=nom|gender=masc|num=sg|Sentiment::markable_38::Sentiment=True|Target::markable_40::Target=True EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|Sentiment::markable_38::Sentiment=True|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium
311923680093560832	positive	Der neue Papst hat schon irg Ähnlichkeit mit Leoni Messi .. haha %PosSmiley	die neu Papst haben schon irg Ähnlichkeit mit Leoni Messi .. haha %PosSmiley	ART ADJA NN VAFIN ADV ADV NN APPR NE NE ADJA NN ITJ	3/NK 3/NK 4/SB 0/-- 6/MO 7/MO 4/SB 7/MNR 10/PNC 8/NK 10/PNC 0/-- 12/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|gender=fem|num=sg _ *=True *=True *=True case=nom|EmoExpression::markable_42::Uncertain=false|gender=fem|EmoExpression::markable_42::EmoExpression=True|EmoExpression::markable_42::SubjectiveFact=false|num=sg|EmoExpression::markable_42::Sarcasm=false|EmoExpression::markable_42::Polarity=positive|EmoExpression::markable_42::Intensity=medium case=nom|EmoExpression::markable_37::Uncertain=false|gender=fem|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::EmoExpression=True|num=sg|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive
311959960210780160	positive	%User mit ihrem Vater war ich an der Uni in Frankfurt zu Besuch , wo der Papst promoviert hat %PosSmiley	%User mit ihr Vater sein ich an die Uni in Frankfurt zu Besuch , wo die Papst promovieren haben %PosSmiley	NE APPR PPOSAT NN VAFIN PPER APPR ART NN APPR NE APPR NN $, PWAV ART NN VVPP VAFIN ITJ	5/SB 5/MO 4/NK 2/NK 0/-- 5/SB 5/MO 9/NK 7/NK 9/MNR 10/NK 5/MO 12/NK 13/-- 18/MO 17/NK 19/SB 19/OC 13/RC 19/NK	case=nom|*=True|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=1|num=sg|tense=past|mood=ind case=nom|*=True|num=sg|pers=1 _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ case=dat|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True
311919568509607939	positive	Jetzt kommt die Eilmeldung via Tagesschau wie der neue Pabst heisst ! Die haben wohl kein Twitter %PosSmiley !	jetzt kommen die Eilmeldung via Tagesschau wie die neu Pabst heißen ! die haben wohl keine Twitter %PosSmiley !	ADV VVFIN ART NN APPR NN KOKOM ART ADJA NE VVFIN $. PDS VAFIN ADV PIAT NN ITJ $.	2/MO 0/-- 4/NK 2/SB 2/MO 5/NK 11/MO 10/NK 10/NK 7/CJ 2/MO 11/-- 14/SB 0/-- 14/MO 17/NK 14/OA 17/NK 13/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive _
311908393549971456	positive	oder doch ein Neger %PosSmiley papst BILD : " Wir sehen schwarz "	oder doch eine Neger %PosSmiley papst Bild : " wir sehen schwarz "	KON ADV ART NN ITJ ADJA NN $. $( PPER VVFIN ADJD $(	11/JU 4/MO 4/NK 11/SB 7/NK 7/NK 11/PD 7/-- 8/-- 11/SB 0/-- 11/MO 12/--	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_45::SubjectiveFact=false|EmoExpression::markable_45::Intensity=medium|EmoExpression::markable_45::EmoExpression=True|EmoExpression::markable_45::Polarity=positive|EmoExpression::markable_45::Uncertain=false|EmoExpression::markable_45::Sarcasm=false pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind pos=True _
311918892811419648	positive	Ein Argentinier ist der neue Papst . Wie wird er sich nennen ? Maradonna der Erste ? %PosSmiley	eine Argentinier sein die neu Papst . wie werden er sich nennen ? Maradonna die Erste ? %PosSmiley	ART NN VAFIN ART ADJA NN $. KOUS VAFIN PPER PRF VVINF $. NN ART NN $. ITJ	2/NK 3/SB 0/-- 6/NK 6/NK 3/PD 6/-- 12/MO 0/-- 9/SB 12/OA 9/OC 12/-- 0/-- 16/NK 14/AG 16/-- 14/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|pers=3|num=sg _ _ case=nom|gender=neut|num=sg case=gen|gender=neut|num=pl case=gen|gender=neut|num=pl _ EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive
311935023701958657	positive	Bei all den hitzigen Tweets zum neuen Papst kümmern wir uns lieber um kühle Nordlichter in Nord - Finnland ! %PosSmiley esaaurora # ...	bei alle die hitzig Tweets zu neu Papst kümmern wir wir lieb um kühl Nordlicht in Nord - Finnland ! %PosSmiley esaaurora # ...	APPR PIAT ART ADJA NN APPRART ADJA NN VVFIN PPER PRF ADJD APPR ADJA NN APPR NN $( NE $. ITJ NN XY $.	9/MO 5/NK 5/NK 5/NK 1/NK 5/MNR 8/NK 6/NK 0/-- 9/SB 9/OA 9/MO 9/OP 15/NK 13/NK 15/MNR 16/NK 17/-- 17/NK 19/-- 19/NK 0/-- 22/NK 23/--	_ *=True case=dat|gender=fem|num=pl case=gen|gender=neut|num=sg|pos=True case=gen|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|pers=1|num=pl _ _ case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ case=dat|gender=masc|num=sg _ case=nom|gender=neut|num=sg _ EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|EmoExpression::markable_47::Uncertain=false|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Intensity=medium _ _ _
312045853814685696	negative	Wieder kein Moslem als Papst . %NegSmiley	wieder keine Moslem als Papst . %NegSmiley	ADV PIAT NN KOKOM NN $. ITJ	3/MO 3/NK 0/-- 3/CD 4/NK 5/-- 0/NK	Target::markable_50::Target=True|Target::markable_50::Preferred=true|Sentiment::markable_48::Sentiment=True|Target::markable_50::Anaphref=empty case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True|Target::markable_50::Target=True case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True|Target::markable_50::Target=True Target::markable_50::Target=True|Sentiment::markable_48::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_48::Sentiment=True|Target::markable_50::Target=True Sentiment::markable_48::Sentiment=True EmoExpression::markable_51::Intensity=medium|Sentiment::markable_48::Sentiment=True|EmoExpression::markable_51::Sarcasm=false|EmoExpression::markable_51::Uncertain=false|EmoExpression::markable_51::Polarity=negative|EmoExpression::markable_51::EmoExpression=True|EmoExpression::markable_51::SubjectiveFact=false
311945538956308480	positive	Papst Wahl aus der Badewanne anschauen %PosSmiley Haha papst rom italien	Papst Wahl aus die Badewanne anschauen %PosSmiley Haha papst rom italien	NN NN APPR ART NN VVINF ITJ NE ADJA NN ADJA	11/MO 1/NK 6/MO 5/NK 3/NK 11/OC 10/NK 9/ADC 10/NK 6/MO 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Sarcasm=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|*=True EmoExpression::markable_53::Sarcasm=false|EmoExpression::markable_53::EmoExpression=True|EmoExpression::markable_53::Polarity=positive|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::SubjectiveFact=false|*=True *=True case=dat|gender=neut|num=sg case=acc|gender=masc|num=sg|pos=True
311931226468544512	positive	der neue papst nutzt SocialMedia und kocht gerne. wie wäre es mit einem twitcook in rom ? %PosSmiley	die neu Papst nutzen SocialMedia und kochen gerne. wie sein es mit eine twitcook in rom ? %PosSmiley	ART ADJA NN VVFIN NE KON VVFIN NE KOKOM VAFIN PPER APPR ART NE APPR NN $. ITJ	3/NK 3/NK 4/SB 0/-- 4/SB 4/CD 6/CJ 7/SB 10/CM 7/MO 10/SB 10/MO 14/NK 12/NK 10/MO 15/NK 16/-- 7/DM	case=nom|Sentiment::markable_54::Polarity=positive|gender=masc|Sentiment::markable_54::Sentiment=True|Sentiment::markable_54::Sarcasm=false|num=sg|Source::markable_55::Anaphref=empty|Sentiment::markable_54::Intensity=medium|Source::markable_55::Source=True case=nom|num=sg|Source::markable_55::Source=True|gender=masc|pos=True|Sentiment::markable_54::Sentiment=True case=nom|gender=masc|num=sg|Source::markable_55::Source=True|Sentiment::markable_54::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_54::Sentiment=True case=nom|*=True|num=sg|Sentiment::markable_54::Sentiment=True Sentiment::markable_54::Sentiment=True mood=ind|Target::markable_56::Preferred=true|Sentiment::markable_54::Sentiment=True|pers=3|num=sg|tense=pres|Target::markable_56::Anaphref=empty|Target::markable_56::Target=True case=nom|EmoExpression::markable_57::SubjectiveFact=false|*=True|Sentiment::markable_54::Sentiment=True|EmoExpression::markable_57::Polarity=positive|EmoExpression::markable_57::Uncertain=false|num=sg|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::EmoExpression=True _ pers=3|num=sg|tense=past|mood=subj case=nom|gender=neut|num=sg|pers=3 _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=dat|gender=neut|num=sg _ EmoExpression::markable_58::Polarity=positive|EmoExpression::markable_58::Sarcasm=false|EmoExpression::markable_58::SubjectiveFact=false|EmoExpression::markable_58::Uncertain=false|EmoExpression::markable_58::Intensity=medium|EmoExpression::markable_58::EmoExpression=True
311951192995532800	positive	Aber es gibt doch gerade einen neuen papst %PosSmiley	aber es geben doch gerade eine neu Papst %PosSmiley	KON PPER VVFIN ADV ADV ART ADJA NN ITJ	3/JU 3/EP 0/-- 3/MO 3/MO 8/NK 8/NK 3/OA 8/NK	_ case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg EmoExpression::markable_59::Polarity=positive|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|EmoExpression::markable_59::EmoExpression=True|EmoExpression::markable_59::Sarcasm=false|EmoExpression::markable_59::Uncertain=false
311924790170628097	mixed	Habe gehofft , der Papst schmeisst zur Begrüssung mit Pillen und Kondomen ... Aber hat sich doch nichts geändert :(	haben hoffen , die Papst schmeißen zu Begrüssung mit Pille und Kondom ... aber haben sich doch nichts ändern :(	VAFIN VVPP $, ART NN VVFIN APPRART NN APPR NN KON NN $. KON VAFIN PRF ADV PIS VVPP ADJD	0/-- 1/OC 2/-- 5/NK 6/DA 2/OC 6/MO 7/NK 8/MNR 9/NK 10/CD 11/CJ 12/-- 15/JU 0/-- 19/OA 19/MO 15/SB 15/OC 19/MO	Sentiment::markable_60::Intensity=medium|Sentiment::markable_60::Sarcasm=false|mood=subj|pers=3|num=sg|tense=past|Sentiment::markable_60::Polarity=positive|Sentiment::markable_60::Sentiment=True EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::Sarcasm=false|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Uncertain=false|Sentiment::markable_60::Sentiment=True|EmoExpression::markable_61::Intensity=medium|EmoExpression::markable_61::EmoExpression=True Sentiment::markable_60::Sentiment=True case=dat|Target::markable_62::Target=True|num=sg|Target::markable_62::Preferred=true|Sentiment::markable_60::Sentiment=True|gender=fem|Target::markable_62::Anaphref=empty case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True pers=3|Target::markable_62::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_60::Sentiment=True case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True case=dat|gender=fem|Target::markable_62::Target=True|num=sg|Sentiment::markable_60::Sentiment=True Sentiment::markable_60::Sentiment=True|Target::markable_62::Target=True case=dat|gender=fem|Target::markable_62::Target=True|num=pl|Sentiment::markable_60::Sentiment=True Sentiment::markable_60::Sentiment=True|Target::markable_62::Target=True case=dat|gender=masc|Target::markable_62::Target=True|num=pl|Sentiment::markable_60::Sentiment=True _ Target::markable_64::Anaphref=empty|Target::markable_64::Preferred=true|Sentiment::markable_63::Polarity=negative|Sentiment::markable_63::Intensity=medium|Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True|Sentiment::markable_63::Sarcasm=false pers=3|num=sg|tense=pres|mood=ind|Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True case=acc|pers=3|num=sg|Sentiment::markable_63::Sentiment=True|Target::markable_64::Target=True Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True gender=neut|*=True|Sentiment::markable_63::Sentiment=True|Target::markable_64::Target=True Target::markable_64::Target=True|Sentiment::markable_63::Sentiment=True EmoExpression::markable_65::Uncertain=false|EmoExpression::markable_65::Polarity=negative|EmoExpression::markable_65::Sarcasm=false|EmoExpression::markable_65::Intensity=medium|EmoExpression::markable_65::EmoExpression=True|Sentiment::markable_63::Sentiment=True|EmoExpression::markable_65::SubjectiveFact=false
312145392336781313	positive	Chemiker können alles - sogar Papst %PosSmiley Wusstet Ihr , dass der neue Papst Franziskus ( vorher Kardinal Jorge ...	Chemiker können alle - sogar Papst %PosSmiley wissen sie , dass die neu Papst Franziskus ( vorher Kardinal Jorge ...	NN VMFIN PIS $( ADV NN ITJ VVFIN PPER $, KOUS ART ADJA NN NE $( ADV NN NE $.	2/SB 0/-- 2/SB 3/-- 6/MO 8/MO 6/NK 2/OC 8/SB 9/-- 8/OP 14/NK 14/NK 11/NK 14/NK 15/-- 18/MO 14/PAR 18/NK 19/--	case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_66::EmoExpression=True|gender=masc|pos=True|num=sg|EmoExpression::markable_66::Polarity=positive|EmoExpression::markable_66::Uncertain=false|EmoExpression::markable_66::Intensity=medium|EmoExpression::markable_66::Sarcasm=false|EmoExpression::markable_66::SubjectiveFact=false pers=2|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=2 _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _
311911110678831104	positive	Ich bin ... : Ich bin gespannt welcher Nationalität der neue Papst angehört . %PosSmiley %Link	ich sein ... : ich sein gespannt welche Nationalität die neu Papst angehören|anhören . %PosSmiley %Link	PPER VAFIN $. $. PPER VAFIN ADJD PIS NN ART ADJA NN VVPP $. ITJ XY	2/SB 0/-- 2/-- 5/-- 6/SB 0/-- 13/MO 9/NK 13/OA 12/NK 12/NK 9/AG 6/OC 13/-- 16/NK 0/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind EmoExpression::markable_10404348::SubjectiveFact=false|EmoExpression::markable_10404348::Polarity=positive|EmoExpression::markable_10404348::Intensity=medium|EmoExpression::markable_10404348::Sarcasm=false|EmoExpression::markable_10404348::Uncertain=false|EmoExpression::markable_10404348::EmoExpression=True case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::Polarity=positive|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::SubjectiveFact=false|EmoExpression::markable_67::EmoExpression=True _
311903187705663490	positive	" Programmunterbrechung ? " - " Dann wurde wohl ein neuer Papst gewählt . " Hach , bin ich ein Hellseher %PosSmiley	" Programmunterbrechung ? " - " dann werden wohl eine neu Papst wählen . " Hach , sein ich eine Hellseher %PosSmiley	$( NN $. $( $( $( ADV VAFIN ADV ART ADJA NN VVPP $. $( NN $, VAFIN PPER ART NN ITJ	2/-- 0/-- 2/-- 3/-- 7/-- 5/-- 13/MO 0/-- 13/MO 12/NK 12/NK 8/SB 8/OC 13/-- 14/-- 18/MO 16/-- 0/-- 18/SB 21/NK 18/PD 21/NK	_ case=nom|gender=fem|num=sg _ _ _ _ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ _ _ _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg EmoExpression::markable_68::Sarcasm=false|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Intensity=medium|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false
