378616125267144704	positive	war es auch %PosSmiley eine der letzten gelben / grünen zucchinis , tomaten , karotten etc ...	sein es auch %PosSmiley eine die letzt gelb / grün zucchinis , tomaten , karotten etc. ...	VAFIN PPER ADV ITJ ART ART ADJA ADJA $( ADJA NN $, ADJD $, VVFIN ADV $.	0/-- 1/SB 1/MO 13/DM 13/OA 11/NK 11/NK 11/NK 8/-- 8/MO 5/AG 11/-- 1/PD 13/-- 1/CJ 15/MO 16/--	pers=3|num=sg|tense=past|mood=ind case=nom|gender=neut|num=sg|pers=3 _ case=dat|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|*=True|EmoExpression::markable_1::Sarcasm=false|num=sg|EmoExpression::markable_1::Intensity=medium case=acc|gender=fem|num=sg case=gen|gender=fem|num=pl case=gen|gender=fem|num=pl|pos=True _ _ _ case=nom|gender=neut|num=sg _ _ _ pers=3|num=pl|tense=past|mood=ind _ _
367763726625423361	positive	Yes WEITER SO %User %PosSmiley rt %User CDU - Wahlkampf - Start : Störfeuer der Jusos bringen Merkel aus dem Konzept	Yes weiter SO %User %PosSmiley rt %User CDU - Wahlkampf - Start : Störfeuer die Juso bringen Merkel aus die Konzept	VVFIN ADV NE NE ITJ VVFIN NE NE $( NN $( NN $. NN ART NN VVFIN NE APPR ART NN	6/MO 1/MO 4/PNC 1/NK 1/DM 0/-- 8/PNC 6/SB 8/-- 8/CJ 10/-- 10/CJ 12/-- 17/OA 16/NK 14/AG 6/OC 17/OA 17/MO 21/NK 19/NK	_ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=dat|EmoExpression::markable_13::EmoExpression=True|gender=masc|num=sg|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ case=nom|gender=neut|num=sg case=gen|gender=neut|num=pl case=gen|gender=neut|num=pl pers=3|num=pl|tense=pres|mood=ind case=dat|*=True|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg
374236183460851712	negative	Heute wachen sie darüber , dass die AfD + nicht über 5% kommt . %PosSmiley	heute wachen sie darüber , dass die AfD + nicht über @card@ kommen . %PosSmiley	ADV VVFIN PPER PAV $, KOUS ART NE KON PTKNEG APPR CARD VVFIN $. ITJ	2/MO 0/-- 2/SB 12/NK 3/-- 13/CP 8/NK 13/SB 13/MO 13/NG 13/MO 11/NK 2/MO 13/-- 0/NK	Sentiment::markable_100500184::Sentiment=True|Sentiment::markable_100500184::Sarcasm=false|Sentiment::markable_100500184::Polarity=negative|Sentiment::markable_100500184::Intensity=weak pers=3|Sentiment::markable_100500184::Sentiment=True|num=pl|tense=pres|mood=ind case=nom|pers=3|Source::markable_100500185::Source=True|num=pl|Sentiment::markable_100500184::Sentiment=True|Source::markable_100500185::Anaphref=empty|*=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_100500184::Sentiment=True case=nom|Target::markable_100500186::Anaphref=empty|num=sg|Target::markable_100500186::Preferred=true|Sentiment::markable_100500184::Sentiment=True|gender=fem|Target::markable_100500186::Target=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True Sentiment::markable_100500184::Sentiment=True pers=3|Sentiment::markable_100500184::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_100500184::Sentiment=True EmoExpression::markable_14::Polarity=positive|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|Sentiment::markable_100500184::Sentiment=True|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
375514154033242113	positive	Das ging an mir vorbei . Wie lustig . %PosSmiley FDP	die gehen an ich vorbei . wie lustig . %PosSmiley FDP	PDS VVFIN APPR PPER PTKVZ $. KOUS ADJD $. ITJ NE	2/SB 0/-- 2/MO 3/NK 2/SVP 5/-- 8/MO 0/-- 8/-- 11/NK 0/--	case=nom|Sentiment::markable_15::Intensity=medium|Sentiment::markable_15::Sarcasm=false|Target::markable_18::Target=True|Target::markable_18::Anaphref=empty|gender=neut|num=sg|Sentiment::markable_15::Polarity=positive|Sentiment::markable_15::Sentiment=True|Target::markable_18::Preferred=true pers=3|num=sg|tense=past|mood=ind|Sentiment::markable_15::Sentiment=True|Target::markable_18::Target=True Sentiment::markable_15::Sentiment=True|Target::markable_18::Target=True case=dat|pers=1|num=sg|Target::markable_18::Target=True|Sentiment::markable_15::Sentiment=True|*=True Sentiment::markable_15::Sentiment=True|Target::markable_18::Target=True Sentiment::markable_15::Sentiment=True Sentiment::markable_15::Sentiment=True EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium|pos=True|EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_16::SubjectiveFact=false Sentiment::markable_15::Sentiment=True EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|Sentiment::markable_15::Sentiment=True|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium case=nom|gender=fem|num=sg
345881462794489856	positive	Linke Parteitag setzt bereits teile des Wahlprogramms um : verlängerte Arbeitspausen bei verkürzter Arbeitszeit ! %PosSmiley linkebpt	link Parteitag setzen bereits teilen die Wahlprogramm um : verlängert Arbeitspause bei verkürzt Arbeitszeit ! %PosSmiley linkebpt	ADJA NN VVFIN ADV VVFIN ART NN PTKVZ $. ADJA NN APPR ADJA NN $. ITJ ADJA	2/NK 3/SB 0/-- 3/MO 3/OC 7/NK 5/SB 5/SVP 8/-- 11/NK 7/APP 11/MNR 14/NK 12/NK 14/-- 8/NK 0/--	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=subj case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg _ _ case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive _
377807020440571904	positive	ja , bei den Grünen haben seit geraumer Zeit die Kommos Oberwasser %NegSmiley niemals wählbar für echte Demok ...	ja , bei die Grüne haben seit geraum Zeit die Kommos Oberwasser %NegSmiley niemals wählbar für echt Demok ...	ADV $, APPR ART NN VAFIN APPR ADJA NN ART NE NN ITJ ADV ADJD APPR ADJA NN $.	6/DM 1/-- 6/MO 5/NK 3/NK 0/-- 6/MO 9/NK 7/NK 12/NK 12/AG 6/OA 12/NK 15/MO 6/MO 6/MO 18/NK 16/NK 18/--	_ _ _ case=dat|gender=masc|num=pl case=dat|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg case=acc|gender=masc|num=pl case=gen|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|EmoExpression::markable_20::Uncertain=false|gender=masc|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::EmoExpression=True|num=sg|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _ pos=True _ case=acc|gender=masc|num=sg|pos=True case=acc|gender=masc|num=sg _
356423474308329473	positive	Zum Thema von gerade hier nochmal ein Link zum Interview von Peer Steinbrück - das kann gerne geteilt werden %PosSmiley . ( as )	zu Thema von gerade hier nochmal eine Link zu Interview von Peer Steinbrück - die können gerne teilen werden %PosSmiley . ( as )	APPRART NN APPR ADV ADV ADV ART NE APPRART NN APPR NE NN $( PDS VMFIN ADV VVPP VAINF ITJ $. $( FM $(	16/MO 1/NK 2/PG 5/MO 3/NK 3/MO 8/NK 3/NK 2/MNR 9/NK 10/PG 13/PNC 11/NK 13/-- 16/SB 0/-- 16/MO 19/OC 16/OC 4/DM 19/-- 23/-- 0/-- 23/--	case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=dat|gender=masc|num=sg _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium _ _ _ _
374663215134687232	positive	Mitmachen. gamescom Wahlkampf 2013 Videoclip von %User mal für die Spättimeline %PosSmiley %Link Piraten +	Mitmachen. gamescom Wahlkampf @card@ Videoclip von %User mal für die Spättimeline %PosSmiley %Link Pirat +	NE NN NN CARD NN APPR NE ADV APPR ART NN ITJ XY NN KON	2/PNC 0/-- 2/NK 5/NK 2/CJ 5/PG 6/NK 9/MO 5/MNR 11/NK 9/NK 14/NK 0/-- 5/CJ 14/CD	case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive case=acc|gender=fem|num=pl|pos=True case=acc|gender=fem|num=pl _
384038326409252864	positive	Steht noch jemand in der grünen Zone ? %PosSmiley	stehen noch jemand in die grün Zone ? %PosSmiley	VVFIN ADV PIS APPR ART ADJA NN $. ITJ	0/-- 1/MO 1/SB 1/MO 7/NK 7/NK 4/NK 7/-- 4/MO	pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg|pos=True case=dat|gender=fem|num=sg _ EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
380427421943861249	negative	Das Hauen und Stechen um die Posten Schattenkabinette werden gerne wie folgt ( ab - ) qualifiz %Link	die Hauen und Stechen um die Posten Schattenkabinette werden gerne wie folgen ( ab - ) qualifiz %Link	ART NN KON NN APPR ART NN NN VAFIN ADV KOUS VVFIN $( PTKVZ $( $( ADJA XY	2/NK 9/SB 2/CD 3/CJ 2/MNR 7/NK 5/NK 7/NK 0/-- 12/MO 12/MO 9/OC 12/-- 12/SVP 14/-- 15/-- 14/NK 14/NK	case=nom|gender=neut|num=sg case=nom|EmoExpression::markable_100500314::Uncertain=true|gender=neut|EmoExpression::markable_100500314::Intensity=medium|EmoExpression::markable_100500314::Sarcasm=false|EmoExpression::markable_100500314::SubjectiveFact=false|EmoExpression::markable_100500314::Polarity=negative|num=sg|EmoExpression::markable_100500314::EmoExpression=True EmoExpression::markable_100500314::EmoExpression=True case=nom|gender=neut|num=sg|EmoExpression::markable_100500314::EmoExpression=True _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl case=nom|gender=fem|num=sg pers=3|num=pl|tense=pres|mood=ind _ _ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ case=nom|*=True|num=pl|pos=True _
382202593746767872	negative	Was ist der Unterschied zwischen einem Smart und der FDP ? Der Smart hat wenigstens 2 Sitze %PosSmiley btw13	was sein die Unterschied zwischen eine smart und die FDP ? die smart haben wenigstens 2 Sitz %PosSmiley btw13	PIS VAFIN ART NN APPR ART ADJD KON ART NE $. ART ADJD VAFIN ADV CARD NN ITJ ADJA	2/SB 0/-- 4/NK 2/SB 4/MNR 7/NK 5/NK 7/CD 10/NK 8/CJ 10/-- 13/NK 14/SB 0/-- 16/MO 17/NK 19/AMS 17/NK 14/SB	case=nom|num=sg|Sentiment::markable_100500187::Sentiment=True|Sentiment::markable_100500187::Polarity=negative|Sentiment::markable_100500187::Sarcasm=false|gender=neut|Sentiment::markable_100500187::Intensity=weak pers=3|Sentiment::markable_100500187::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True Sentiment::markable_100500187::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True case=dat|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True Sentiment::markable_100500187::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_100500187::Sentiment=True case=dat|Target::markable_100500188::Preferred=true|num=sg|Sentiment::markable_100500187::Sentiment=True|Target::markable_100500188::Anaphref=empty|gender=fem|Target::markable_100500188::Target=True Sentiment::markable_100500187::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True case=nom|gender=masc|num=sg|Sentiment::markable_100500187::Sentiment=True pers=3|Sentiment::markable_100500187::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_100500187::Sentiment=True Sentiment::markable_100500187::Sentiment=True case=gen|gender=masc|num=pl|Sentiment::markable_100500187::Sentiment=True EmoExpression::markable_24::Intensity=medium|Sentiment::markable_100500187::Sentiment=True|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false case=gen|gender=masc|num=pl|pos=True
353512837320146945	positive	Auch an das traditionelle Piraten - Bällebad haben wir natürlich gedacht ! %PosSmiley tdot ltnrw 20 piraten ( is ) ...	auch an die traditionell Pirat - Bällebad haben wir natürlich denken|gedenken ! %PosSmiley tdot ltnrw 20 Pirat ( is ) ...	ADV APPR ART ADJA NN $( NN VAFIN PPER ADV VVPP $. ITJ NE NN CARD NN $( FM $( $.	2/MO 11/MO 5/NK 5/NK 2/NK 5/-- 5/NK 0/-- 8/SB 11/MO 8/OC 11/-- 11/NK 19/PNC 0/PNC 17/NK 0/-- 17/-- 0/-- 19/-- 20/--	_ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg|pos=True case=acc|gender=neut|num=sg _ case=acc|gender=neut|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ _ EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false|EmoExpression::markable_25::EmoExpression=True case=nom|*=True|num=sg case=nom|*=True|num=sg _ gender=neut|*=True _ _ _ _
347070062726881280	neutral	%NegSmiley Volkmar Zschocke kandidiert im zweiten Wahlgang nicht mehr. %Link Chemnitz obmc	%NegSmiley Volkmar Zschocke kandidieren in zweit Wahlgang nicht mehr. %Link Chemnitz obmc	ITJ NE NE VVFIN APPRART ADJA NN PTKNEG ADJA XY NE NE	3/NK 3/PNC 4/SB 0/-- 4/MO 7/NK 5/NK 9/NG 4/CJ 9/NK 12/PNC 0/--	*=True|Sentiment::markable_27::Sentiment=True case=nom|Target::markable_28::Anaphref=empty|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Preferred=true|Target::markable_28::Target=True|*=True case=nom|*=True|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True pers=3|Sentiment::markable_27::Sentiment=True|num=sg|tense=pres|mood=ind|Target::markable_28::Target=True case=dat|gender=masc|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True case=dat|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True|gender=masc|pos=True case=dat|gender=masc|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True Target::markable_28::Target=True|Sentiment::markable_27::Sentiment=True case=dat|num=sg|Sentiment::markable_27::Sentiment=True|Target::markable_28::Target=True|gender=masc|pos=True case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg
360384519259435009	neutral	Die Auswirkungen des grössten Überwachungsskandals aller Zeiten auf die ( partei - ) politische Stimmung bleibt ......	die Auswirkung die groß Überwachungsskandals alle Zeit auf die ( Partei - ) politisch Stimmung bleiben ......	ART NN ART ADJA NN PIAT NN APPR ART $( NN $( $( ADJA NN VVFIN ADJA	2/NK 16/SB 5/NK 5/NK 2/AG 7/NK 5/AG 2/OP 11/NK 9/-- 8/NK 11/-- 12/-- 15/NK 16/SB 0/-- 16/MO	case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg|pos=True case=gen|gender=masc|num=sg case=gen|gender=masc|num=pl case=dat|gender=fem|num=pl _ case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg _ _ case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=pl|pos=True
370426233097834496	positive	Filmreif . Mein Spot zur Bundestagswahl am 22.9 . %PosSmiley %Link	Filmreif . mein Spot zu Bundestagswahl an @card@ . %PosSmiley %Link	NN $. PPOSAT NN APPRART NN APPRART CARD $. ITJ XY	0/-- 1/-- 4/NK 10/NK 4/MNR 5/NK 6/MNR 7/NK 8/-- 11/NK 0/--	case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=dat|gender=masc|num=sg _ _ EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false _
375321214731821057	positive	hau raus was du zu sagen hast . Werde erst zu Anne Will wieder zuschalten . Habe ja meinen Dunst schon abgelassen %PosSmiley %User	hauen raus was du zu sagen haben . werden erst zu Anne wollen wieder zuschalten . haben ja mein Dunst schon ablassen %PosSmiley %User	VVIMP PTKVZ PRELS PPER PTKZU VVINF VAFIN $. VAFIN ADV APPR NE VMFIN ADV VVINF $. VAFIN ADV PPOSAT NN ADV VVPP ITJ NE	7/PAR 1/SVP 6/OA 7/SB 6/PM 7/OC 0/-- 7/-- 0/-- 11/MO 13/MO 11/NK 9/SB 15/MO 13/OC 15/-- 0/-- 22/MO 20/NK 22/OA 22/MO 17/OC 24/NK 22/OA	_ _ case=acc|gender=neut|num=sg case=nom|*=True|num=sg|pers=2 _ _ pers=2|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=past|mood=subj _ _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false _
381715400712396801	positive	PiratenHessen ! So , Piraten + gewählt und Umfrage vom ZDF für die Wahlprognose mitgemacht . %PosSmiley	PiratenHessen ! so , Pirat + gewählt und Umfrage von ZDF für die Wahlprognose mitmachen . %PosSmiley	NN $. ADV $, NN KON ADJD KON NN APPRART NE APPR ART NN VVPP $. ITJ	0/-- 1/-- 5/MO 3/-- 0/-- 8/UC 6/CJ 5/CD 8/CJ 9/MNR 10/NK 15/MO 14/NK 12/NK 5/OC 15/-- 0/NK	case=nom|gender=neut|num=sg _ _ _ case=nom|gender=masc|num=pl _ _ _ case=nom|gender=fem|num=sg case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl _ _ EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|EmoExpression::markable_31::SubjectiveFact=false|EmoExpression::markable_31::Polarity=positive
373885917456388096	negative	wobei es sich in dem fall bei diesem [ justiziabel ] immerhin nicht um einen piraten handelt ... aber das hilft domi auch nicht %NegSmiley	wobei es sich in die fallen bei dies [ justiziabel ] immerhin nicht um eine Pirat handeln ... aber die helfen domi auch nicht %NegSmiley	PWAV PPER PRF APPR ART VVIMP APPR PDAT $( ADJD $( ADV PTKNEG APPR ART NN VVFIN $. KON PDS VVFIN NE ADV PTKNEG ITJ	17/MO 17/EP 17/OA 17/MO 4/NK 17/MO 17/MO 10/NK 8/-- 7/NK 10/-- 17/MO 17/NG 17/OP 16/NK 14/NK 0/-- 17/-- 21/JU 21/SB 0/-- 21/DA 21/MO 21/NG 21/DM	_ case=nom|gender=neut|num=sg|pers=3 case=acc|pers=3|num=sg _ case=dat|gender=neut|num=sg _ _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pos=True _ _ _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ Target::markable_34::Target=True|Sentiment::markable_32::Sarcasm=false|Sentiment::markable_32::Intensity=medium|Target::markable_34::Anaphref=empty|Sentiment::markable_32::Sentiment=True|Sentiment::markable_32::Polarity=negative|Target::markable_34::Preferred=true case=nom|gender=neut|Sentiment::markable_32::Sentiment=True|num=sg|Target::markable_34::Target=True pers=3|Target::markable_34::Target=True|num=sg|tense=pres|mood=ind|Sentiment::markable_32::Sentiment=True case=acc|*=True|Sentiment::markable_32::Sentiment=True|num=sg|Target::markable_34::Target=True Sentiment::markable_32::Sentiment=True|Target::markable_34::Target=True Sentiment::markable_32::Sentiment=True|Target::markable_34::Target=True EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=negative|Sentiment::markable_32::Sentiment=True|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false
380670168109572096	positive	Wie antwortet man als türkischstämmiger Deutscher auf einen NPD - Brief ? Zum Beispiel so ... %PosSmiley via SZ Magazin	wie antworten man als türkischstämmiger Deutsche auf eine NPD - Brief ? zu Beispiel so ... %PosSmiley via SZ Magazin	KOKOM VVFIN PIS KOKOM ADJA NN APPR ART NE $( NN $. APPRART NN ADV $. ITJ APPR NE NN	2/MO 0/-- 2/SB 2/MO 6/NK 4/NK 2/OP 11/NK 11/NK 9/-- 7/NK 11/-- 0/-- 13/NK 13/MO 15/-- 15/DM 0/-- 20/AG 18/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=acc|gender=masc|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ _ EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _ case=gen|*=True|num=sg case=nom|gender=neut|num=sg
377399481471234048	positive	dann bin ich mal gespannt wieviele wieder %User und %User verwechseln . Lustiges , tägliches Schauspiel bei Twitter %PosSmiley	dann sein ich mal spannen wieviele wieder %User und %User verwechseln . lustig , täglich Schauspiel bei Twitter %PosSmiley	ADV VAFIN PPER ADV VVPP PWS ADV NE KON NE VVINF $. ADJA $, ADJA NN APPR NN ITJ	2/MO 0/-- 2/SB 5/MO 11/MO 11/OA 11/MO 11/OA 8/CD 9/CJ 2/OC 11/-- 16/NK 13/-- 13/CJ 0/-- 16/MNR 17/NK 18/NK	_ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ pos=True case=nom|gender=masc|num=pl _ case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg EmoExpression::markable_100500315::Polarity=positive|EmoExpression::markable_100500315::Sarcasm=false|EmoExpression::markable_100500315::Uncertain=true|EmoExpression::markable_100500315::Intensity=medium|EmoExpression::markable_100500315::SubjectiveFact=false|EmoExpression::markable_100500315::EmoExpression=True _ case=nom|Sentiment::markable_36::Sarcasm=false|EmoExpression::markable_37::Uncertain=false|gender=neut|Sentiment::markable_36::Intensity=medium|pos=True|EmoExpression::markable_37::EmoExpression=True|num=sg|Sentiment::markable_36::Polarity=positive|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::Polarity=positive|Sentiment::markable_36::Sentiment=True Sentiment::markable_36::Sentiment=True case=nom|gender=neut|num=sg|pos=True|Sentiment::markable_36::Sentiment=True case=nom|Target::markable_38::Anaphref=empty|num=sg|Target::markable_38::Preferred=true|Sentiment::markable_36::Sentiment=True|gender=neut|Target::markable_38::Target=True Sentiment::markable_36::Sentiment=True case=dat|gender=fem|num=sg|Sentiment::markable_36::Sentiment=True case=dat|EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|gender=fem|EmoExpression::markable_39::Polarity=positive|num=sg|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|Sentiment::markable_36::Sentiment=True|EmoExpression::markable_39::Intensity=medium
