319780665581264897	negative	JETZT gebe ich Player 6 den Todesstoss . Lange genug hat er sich gewehrt %PosSmiley	jetzt geben ich Player 6 die Todesstoß . lange genug haben er sich wehren %PosSmiley	ADV VVFIN PPER NN CARD ART NN $. ADV ADV VAFIN PPER PRF VVPP ITJ	2/MO 0/-- 2/SB 2/OA 4/NK 7/NK 2/OA 7/-- 10/MO 14/MO 0/-- 11/SB 14/OA 11/OC 14/NK	Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_1::Sentiment=True case=nom|pers=1|num=sg|Source::markable_3::Anaphref=empty|*=True|Source::markable_3::Source=True|Sentiment::markable_1::Sentiment=True case=acc|num=sg|Target::markable_2::Anaphref=empty|gender=masc|Target::markable_2::Preferred=true|Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_2::Target=True|Sentiment::markable_1::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_1::Sentiment=True case=acc|EmoExpression::markable_4::EmoExpression=True|EmoExpression::markable_4::Uncertain=false|gender=masc|EmoExpression::markable_4::SubjectiveFact=false|EmoExpression::markable_4::Polarity=negative|Sentiment::markable_1::Sentiment=True|num=sg|EmoExpression::markable_4::Sarcasm=false|EmoExpression::markable_4::Intensity=medium _ _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 case=acc|pers=3|num=sg _ EmoExpression::markable_5::Intensity=medium|EmoExpression::markable_5::Sarcasm=false|EmoExpression::markable_5::SubjectiveFact=false|EmoExpression::markable_5::EmoExpression=True|EmoExpression::markable_5::Uncertain=false|EmoExpression::markable_5::Polarity=positive
326381569679953921	positive	Aw , ich habe mehrere Yodas %PosSmiley	Aw , ich haben mehrere Yodas %PosSmiley	NE $, PPER VAFIN PIAT NN ITJ	4/VO 1/-- 4/SB 0/-- 6/NK 4/OA 6/NK	EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::SubjectiveFact=false|Sentiment::markable_44::Sarcasm=false|Sentiment::markable_44::Polarity=positive|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|EmoExpression::markable_47::Uncertain=false|Sentiment::markable_44::Intensity=medium|EmoExpression::markable_47::Intensity=medium|Sentiment::markable_44::Sentiment=True Sentiment::markable_44::Sentiment=True case=nom|Target::markable_45::Preferred=true|*=True|Target::markable_45::Anaphref=empty|pers=1|num=sg|Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True pers=1|num=sg|tense=pres|mood=ind|Target::markable_45::Target=True|Sentiment::markable_44::Sentiment=True case=acc|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_44::Sentiment=True case=acc|gender=masc|Target::markable_45::Target=True|num=pl|Sentiment::markable_44::Sentiment=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=positive|Sentiment::markable_44::Sentiment=True
325214398916472832	positive	da hätte ich tonnenweise - nur gerade keine gelegenheit %PosSmiley nutzlosesuperkräfte	da haben ich tonnenweise - nur gerade keine gelegenheit %PosSmiley nutzlosesuperkräfte	ADV VAFIN PPER ADJD $( ADV ADV PIAT ADJA ITJ ADJA	2/MO 0/-- 2/SB 2/MO 4/-- 9/MO 8/MO 9/MO 10/NK 4/DM 2/MO	_ pers=1|num=sg|tense=past|mood=subj case=nom|*=True|num=sg|pers=1 _ _ _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|EmoExpression::markable_48::Polarity=positive|EmoExpression::markable_48::Sarcasm=false|gender=fem|EmoExpression::markable_48::Uncertain=false|EmoExpression::markable_48::Intensity=medium|EmoExpression::markable_48::SubjectiveFact=false|num=sg|EmoExpression::markable_48::EmoExpression=True case=nom|gender=fem|num=sg|pos=True
328947846684483585	positive	ja , die medienwelt ist wieder in Ordnung %PosSmiley	ja , die Medienwelt sein wieder in Ordnung %PosSmiley	ADV $, ART NN VAFIN ADV APPR NN ITJ	5/MO 1/-- 4/NK 5/SB 0/-- 5/MO 5/MO 7/NK 8/NK	Sentiment::markable_49::Intensity=medium|Sentiment::markable_49::Sentiment=True|Sentiment::markable_49::Polarity=positive|Sentiment::markable_49::Sarcasm=false Sentiment::markable_49::Sentiment=True case=nom|num=sg|Target::markable_51::Target=True|gender=fem|Target::markable_51::Preferred=true|Sentiment::markable_49::Sentiment=True|Target::markable_51::Anaphref=empty case=nom|gender=fem|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True pers=3|Sentiment::markable_49::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_49::Sentiment=True EmoExpression::markable_52::EmoExpression=True|EmoExpression::markable_52::Uncertain=false|EmoExpression::markable_52::Intensity=medium|EmoExpression::markable_52::SubjectiveFact=false|EmoExpression::markable_52::Polarity=positive|EmoExpression::markable_52::Sarcasm=false|Sentiment::markable_49::Sentiment=True case=dat|gender=fem|num=sg|EmoExpression::markable_52::EmoExpression=True|Sentiment::markable_49::Sentiment=True EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|Sentiment::markable_49::Sentiment=True
320835355953741824	positive	piero @ lori : chönnder schnäll hinter dem vo hangover stah ? ich möchte ihn fötele ... %PosSmiley	Piero @ lori : chönnder schnäll hinter die vo hangover stah ? ich mögen er fötele ... %PosSmiley	NE XY VVFIN $. ADJD VVFIN APPR ART NE VVFIN NE $. PPER VMFIN PPER NN $. ITJ	3/SB 0/-- 0/-- 3/-- 6/MO 0/CJ 10/MO 9/NK 7/NK 6/OC 10/OA 11/-- 14/SB 0/-- 16/NK 14/OA 16/-- 0/NK	_ _ pers=3|num=sg|tense=past|mood=ind _ _ pers=3|num=sg|tense=past|mood=ind _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg _ pos=True _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg|pers=3 case=acc|gender=masc|num=pl _ EmoExpression::markable_53::Sarcasm=false|EmoExpression::markable_53::EmoExpression=True|EmoExpression::markable_53::Uncertain=false|EmoExpression::markable_53::Intensity=medium|EmoExpression::markable_53::SubjectiveFact=false|EmoExpression::markable_53::Polarity=positive
328220056083365888	negative	ach passt ihr jetzt auf mich auf oder was ? ? ? %PosSmiley das will ich nicht %PosSmiley und vor allem die zweite woche sind wir eh alleine %PosSmiley %PosSmiley ❤	ach passen ihr jetzt auf ich auf oder was ? ? ? %PosSmiley die wollen ich nicht %PosSmiley und vor alle die zweit Woche sein wir eh alleine %PosSmiley %PosSmiley ❤	ITJ VVFIN PPER ADV APPR PRF PTKVZ KON PWS $. $. $. ITJ PDS VMFIN PPER PTKNEG ITJ KON APPR PIS ART ADJA NN VAFIN PPER ADV PTKVZ ITJ ITJ ADJA	2/DM 0/-- 2/DA 2/MO 2/MO 5/NK 2/SVP 7/CD 11/NK 9/-- 8/CJ 8/CJ 7/NK 15/OA 0/-- 15/SB 15/NG 15/DM 15/CD 24/MO 20/NK 24/NK 24/NK 25/MO 19/CJ 25/SB 25/MO 25/MO 28/NK 28/NK 25/MO	_ pers=2|num=pl|tense=pres|mood=ind|Target::markable_63::Target=True|Target::markable_63::Anaphref=empty|Target::markable_63::Preferred=true case=dat|gender=fem|num=sg|Target::markable_63::Target=True|pers=3 Target::markable_63::Target=True Target::markable_63::Target=True case=acc|*=True|num=sg|Target::markable_63::Target=True|pers=1 Target::markable_63::Target=True _ case=nom|gender=neut|num=sg _ _ _ EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=false|EmoExpression::markable_54::Polarity=positive|EmoExpression::markable_54::Sarcasm=false|EmoExpression::markable_54::Intensity=medium case=acc|gender=neut|Target::markable_59::Preferred=true|Sentiment::markable_58::Sarcasm=false|Sentiment::markable_58::Sentiment=True|num=sg|Sentiment::markable_58::Polarity=negative|Target::markable_59::Anaphref=markable_63|Target::markable_59::Target=True|Sentiment::markable_58::Intensity=medium EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::Sarcasm=false|EmoExpression::markable_61::SubjectiveFact=false|mood=ind|EmoExpression::markable_61::Intensity=medium|pers=1|Sentiment::markable_58::Sentiment=True|num=sg|tense=pres|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True case=nom|pers=1|Sentiment::markable_58::Sentiment=True|num=sg|Source::markable_60::Source=True|Source::markable_60::Anaphref=empty|*=True Negation::markable_62::EmoExpressionRef=empty|Sentiment::markable_58::Sentiment=True|Negation::markable_62::Negation=True EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Intensity=medium|EmoExpression::markable_100500213::Polarity=positive|EmoExpression::markable_100500213::Sarcasm=false|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false|Sentiment::markable_58::Sentiment=True _ _ case=dat|gender=neut|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ _ EmoExpression::markable_55::EmoExpression=True|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Sarcasm=false|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=positive EmoExpression::markable_56::SubjectiveFact=false|EmoExpression::markable_56::Intensity=medium|EmoExpression::markable_56::EmoExpression=True|EmoExpression::markable_56::Polarity=positive|EmoExpression::markable_56::Uncertain=false|EmoExpression::markable_56::Sarcasm=false EmoExpression::markable_57::Uncertain=false|EmoExpression::markable_57::Intensity=medium|EmoExpression::markable_57::Sarcasm=false|EmoExpression::markable_57::SubjectiveFact=false|EmoExpression::markable_57::EmoExpression=True|EmoExpression::markable_57::Polarity=positive
328184575765393408	positive	%User hast die entsprechende App nicht drauf %PosSmiley	%User haben die entsprechend App nicht drauf %PosSmiley	NE VAFIN ART ADJA NN PTKNEG PAV ITJ	2/SB 0/-- 5/NK 5/NK 2/OA 2/NG 8/NK 2/NK	case=nom|*=True|num=sg pers=2|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg|pos=True case=acc|gender=fem|num=sg _ _ EmoExpression::markable_64::Intensity=medium|EmoExpression::markable_64::Sarcasm=false|EmoExpression::markable_64::SubjectiveFact=false|EmoExpression::markable_64::Polarity=positive|EmoExpression::markable_64::EmoExpression=True|EmoExpression::markable_64::Uncertain=false
325975421726375936	positive	ich bin selber traurich und ich habe 5 stunden nur geheult wegen dir %NegSmiley	ich sein selber traurich und ich haben 5 stunden nur heulen wegen du %NegSmiley	PPER VAFIN ADV VVFIN KON PPER VAFIN CARD VVFIN ADV VVPP APPR PPER ITJ	2/SB 0/-- 2/MO 2/PD 2/CD 7/SB 5/CJ 9/MO 7/OC 11/MO 9/MO 11/MO 12/NK 13/NK	case=nom|Source::markable_69::Anaphref=empty|Sentiment::markable_65::Intensity=medium|Sentiment::markable_65::Sentiment=True|Sentiment::markable_65::Polarity=positive|Sentiment::markable_65::Sarcasm=false|*=True|pers=1|num=sg|Source::markable_69::Source=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True EmoExpression::markable_68::Sarcasm=false|Sentiment::markable_65::Sentiment=True|pos=True|EmoExpression::markable_68::Intensity=medium|EmoExpression::markable_68::Uncertain=false|EmoExpression::markable_68::Polarity=positive|EmoExpression::markable_68::EmoExpression=True|EmoExpression::markable_68::SubjectiveFact=false Sentiment::markable_65::Sentiment=True case=nom|pers=1|num=sg|Sentiment::markable_65::Sentiment=True|Source::markable_100500214::Source=True|*=True|Source::markable_100500214::Anaphref=empty pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True pers=3|num=pl|tense=past|mood=ind|Sentiment::markable_65::Sentiment=True Sentiment::markable_65::Sentiment=True EmoExpression::markable_70::SubjectiveFact=false|EmoExpression::markable_70::Intensity=strong|EmoExpression::markable_70::EmoExpression=True|EmoExpression::markable_70::Polarity=positive|Sentiment::markable_65::Sentiment=True|EmoExpression::markable_70::Uncertain=false|EmoExpression::markable_70::Sarcasm=false Sentiment::markable_65::Sentiment=True case=dat|Sentiment::markable_65::Sentiment=True|*=True|pers=2|num=sg|Target::markable_66::Anaphref=empty|Target::markable_66::Preferred=true|Target::markable_66::Target=True EmoExpression::markable_67::Intensity=medium|EmoExpression::markable_67::Polarity=negative|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::SubjectiveFact=false|Sentiment::markable_65::Sentiment=True|EmoExpression::markable_67::EmoExpression=True
328191002076663808	positive	Ich habe die Partei gerade mal wieder sehr gern %PosSmiley	ich haben die Partei gerade mal wieder sehr gern %PosSmiley	PPER VAFIN ART NN ADV ADV ADV ADV ADV ITJ	2/SB 0/-- 4/NK 2/OA 2/MO 5/MO 2/MO 9/MO 2/OA 9/DM	case=nom|Sentiment::markable_71::Polarity=positive|Source::markable_72::Anaphref=empty|Sentiment::markable_71::Sarcasm=false|*=True|pers=1|num=sg|Sentiment::markable_71::Intensity=medium|Source::markable_72::Source=True|Sentiment::markable_71::Sentiment=True pers=1|num=sg|tense=pres|mood=ind|Sentiment::markable_71::Sentiment=True case=acc|num=sg|Target::markable_75::Preferred=true|Target::markable_75::Target=True|gender=fem|Target::markable_75::Anaphref=empty|Sentiment::markable_71::Sentiment=True case=acc|gender=fem|Target::markable_75::Target=True|num=sg|Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True Sentiment::markable_71::Sentiment=True Intensifier::markable_76::EmoExpressionRef=emo-expression:markable_73|Intensifier::markable_76::Degree=medium|Intensifier::markable_76::Intensifier=True|Sentiment::markable_71::Sentiment=True EmoExpression::markable_73::EmoExpression=True|EmoExpression::markable_73::Uncertain=false|EmoExpression::markable_73::Intensity=medium|EmoExpression::markable_73::Sarcasm=false|EmoExpression::markable_73::SubjectiveFact=false|EmoExpression::markable_73::Polarity=positive|Sentiment::markable_71::Sentiment=True EmoExpression::markable_74::EmoExpression=True|EmoExpression::markable_74::Uncertain=false|EmoExpression::markable_74::Intensity=medium|EmoExpression::markable_74::SubjectiveFact=false|EmoExpression::markable_74::Polarity=positive|EmoExpression::markable_74::Sarcasm=false|Sentiment::markable_71::Sentiment=True
323541138080411648	negative	benachrichtigungen bei whats app fi ** en mich aber ab %PosSmiley	Benachrichtigung bei whats app fi ** en ich aber ab %PosSmiley	NN APPR NN ADJA ADJA NN FM PRF ADV PTKVZ ITJ	4/MO 1/MNR 2/NK 0/-- 6/NK 4/CC 6/AG 7/NK 4/MO 4/SVP 10/NK	Sentiment::markable_77::Sentiment=True|mood=ind|Target::markable_78::Target=True|Sentiment::markable_77::Polarity=negative|pers=3|num=pl|tense=pres|Target::markable_78::Preferred=true|Sentiment::markable_77::Intensity=strong|Sentiment::markable_77::Sarcasm=false|Target::markable_78::Anaphref=empty Sentiment::markable_77::Sentiment=True|Target::markable_78::Target=True case=dat|gender=masc|Target::markable_78::Target=True|num=pl|Sentiment::markable_77::Sentiment=True case=dat|Sentiment::markable_77::Sentiment=True|num=pl|gender=masc|Target::markable_78::Target=True|pos=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::Polarity=negative|EmoExpression::markable_79::Uncertain=false|EmoExpression::markable_79::Intensity=strong|EmoExpression::markable_79::EmoExpression=True|EmoExpression::markable_79::SubjectiveFact=false|EmoExpression::markable_79::Sarcasm=false case=dat|gender=masc|num=pl|EmoExpression::markable_79::EmoExpression=True|Sentiment::markable_77::Sentiment=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::EmoExpression=True case=acc|pers=1|num=sg|Source::markable_100500215::Source=True|Sentiment::markable_77::Sentiment=True|Source::markable_100500215::Anaphref=empty Sentiment::markable_77::Sentiment=True Sentiment::markable_77::Sentiment=True|EmoExpression::markable_79::EmoExpression=True EmoExpression::markable_80::Uncertain=false|EmoExpression::markable_80::Intensity=medium|EmoExpression::markable_80::Sarcasm=false|EmoExpression::markable_80::SubjectiveFact=false|Sentiment::markable_77::Sentiment=True|EmoExpression::markable_80::EmoExpression=True|EmoExpression::markable_80::Polarity=positive
321626017309544448	positive	Hallöchen mein erstes kurzvideo und schreibt in den kommentaren was für videos ich machen soll %PosSmiley %Link	Hallöchen mein erst kurzvideo und schreiben in die Kommentar was für Video ich machen sollen %PosSmiley %Link	NN PPOSAT ADJA NN KON VVFIN APPR ART NN PIS APPR NN PPER VVINF VMFIN ITJ XY	15/SB 4/NK 4/NK 14/OA 4/CD 5/CJ 6/MO 9/NK 7/NK 14/OA 10/MNR 11/NK 15/SB 15/OC 0/-- 17/NK 15/SB	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=pl case=dat|gender=fem|num=pl gender=neut|*=True _ case=acc|gender=neut|num=pl case=nom|*=True|num=sg|pers=1 _ pers=3|num=sg|tense=pres|mood=ind EmoExpression::markable_81::SubjectiveFact=false|EmoExpression::markable_81::Intensity=medium|EmoExpression::markable_81::EmoExpression=True|EmoExpression::markable_81::Polarity=positive|EmoExpression::markable_81::Uncertain=false|EmoExpression::markable_81::Sarcasm=false case=nom|*=True|num=sg
324495631651594241	positive	Und dann lande ausgerechnet ich bei einem Paper über optische Computer und so . Irgendwie lustig %PosSmiley	und dann landen ausgerechnet ich bei eine Paper über optisch Computer und so . irgendwie lustig %PosSmiley	KON ADV VVFIN ADJD PPER APPR ART NN APPR ADJA NN KON ADV $. ADV ADJD ITJ	3/JU 3/MO 0/-- 11/MO 3/SB 3/MO 8/NK 6/NK 8/MNR 11/NK 9/NK 6/CD 12/CJ 13/-- 16/MO 0/-- 16/DM	Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|Sentiment::markable_82::Sarcasm=false|Target::markable_83::Anaphref=empty|Sentiment::markable_82::Polarity=positive|Target::markable_83::Preferred=true|Sentiment::markable_82::Intensity=medium Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True pers=3|num=sg|tense=past|mood=ind|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=nom|pers=1|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|*=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True case=acc|num=pl|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True|gender=masc|pos=True case=acc|gender=masc|num=pl|Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Target::markable_83::Target=True|Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True Sentiment::markable_82::Sentiment=True EmoExpression::markable_84::Sarcasm=false|EmoExpression::markable_84::EmoExpression=True|EmoExpression::markable_84::Uncertain=false|EmoExpression::markable_84::Intensity=medium|EmoExpression::markable_84::Polarity=positive|pos=True|Sentiment::markable_82::Sentiment=True|EmoExpression::markable_84::SubjectiveFact=false EmoExpression::markable_85::EmoExpression=True|EmoExpression::markable_85::Uncertain=false|EmoExpression::markable_85::Intensity=medium|Sentiment::markable_82::Sentiment=True|EmoExpression::markable_85::SubjectiveFact=false|EmoExpression::markable_85::Polarity=positive|EmoExpression::markable_85::Sarcasm=false
323452872828260354	mixed	Auf dem Mond leben nur Nazis und keine Piraten %PosSmiley	auf die Mond leben nur Nazi und keine Pirat %PosSmiley	APPR ART NN VVFIN ADV NN KON PIAT NN ITJ	4/MO 3/NK 1/NK 0/-- 6/MO 4/SB 6/CD 9/NK 7/CJ 6/NK	_ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg pers=3|num=pl|tense=pres|mood=ind _ case=nom|EmoExpression::markable_100500216::Sarcasm=false|EmoExpression::markable_100500216::EmoExpression=True|EmoExpression::markable_100500216::SubjectiveFact=false|gender=masc|EmoExpression::markable_100500216::Polarity=negative|num=pl|EmoExpression::markable_100500216::Uncertain=false|EmoExpression::markable_100500216::Intensity=medium _ case=nom|gender=masc|num=pl case=nom|gender=masc|num=pl case=nom|EmoExpression::markable_86::Sarcasm=false|gender=masc|pos=True|EmoExpression::markable_86::Intensity=medium|num=pl|EmoExpression::markable_86::Uncertain=false|EmoExpression::markable_86::Polarity=positive|EmoExpression::markable_86::EmoExpression=True|EmoExpression::markable_86::SubjectiveFact=false
320918467555508225	positive	Bin total ausgepowert , habe endlich was für meine Figur getan %PosSmiley Und jetzt ein Eis %PosSmiley	sein total auspowern , haben endlich was für mein Figur tun %PosSmiley und jetzt eine Eis %PosSmiley	VAFIN ADJD VVPP $, VAFIN ADV PIS APPR PPOSAT NN VVPP ITJ KON ADV ART NN ITJ	0/-- 3/MO 1/OC 3/-- 1/CJ 11/MO 11/OA 11/MO 10/NK 8/NK 5/OC 11/NK 5/CD 16/MO 16/NK 13/CJ 16/NK	Sentiment::markable_87::Sarcasm=false|Sentiment::markable_87::Intensity=medium|Target::markable_88::Anaphref=empty|Target::markable_88::Preferred=true|Sentiment::markable_87::Sentiment=True|Sentiment::markable_87::Polarity=positive|Target::markable_88::Target=True Intensifier::markable_100500218::Degree=medium|Sentiment::markable_87::Sentiment=True|Target::markable_88::Target=True|pos=True|Intensifier::markable_100500218::EmoExpressionRef=emo-expression:markable_100500217|Intensifier::markable_100500218::Intensifier=True EmoExpression::markable_100500217::Intensity=medium|EmoExpression::markable_100500217::EmoExpression=True|EmoExpression::markable_100500217::Sarcasm=false|EmoExpression::markable_100500217::Polarity=negative|EmoExpression::markable_100500217::SubjectiveFact=false|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_100500217::Uncertain=true|Target::markable_88::Target=True Sentiment::markable_87::Sentiment=True mood=subj|Target::markable_89::Anaphref=empty|Target::markable_89::Preferred=true|pers=3|Target::markable_89::Target=True|num=sg|tense=pres|Sentiment::markable_87::Sentiment=True EmoExpression::markable_100500219::SubjectiveFact=false|Target::markable_89::Target=True|EmoExpression::markable_100500219::Uncertain=false|EmoExpression::markable_100500219::Intensity=medium|EmoExpression::markable_100500219::Sarcasm=false|EmoExpression::markable_100500219::Polarity=positive|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_100500219::EmoExpression=True case=acc|gender=neut|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True Target::markable_89::Target=True|Sentiment::markable_87::Sentiment=True case=acc|gender=fem|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True case=acc|gender=fem|Target::markable_89::Target=True|num=sg|Sentiment::markable_87::Sentiment=True Target::markable_89::Target=True|Sentiment::markable_87::Sentiment=True case=acc|EmoExpression::markable_90::EmoExpression=True|gender=fem|EmoExpression::markable_90::Intensity=medium|num=sg|EmoExpression::markable_90::SubjectiveFact=false|sup=True|EmoExpression::markable_90::Uncertain=false|Sentiment::markable_87::Sentiment=True|EmoExpression::markable_90::Polarity=positive|EmoExpression::markable_90::Sarcasm=false Sentiment::markable_91::Polarity=positive|Sentiment::markable_91::Intensity=medium|Sentiment::markable_91::Sarcasm=false|Sentiment::markable_91::Sentiment=True Sentiment::markable_91::Sentiment=True case=acc|num=sg|Sentiment::markable_91::Sentiment=True|Target::markable_92::Preferred=true|gender=neut|Target::markable_92::Target=True|Target::markable_92::Anaphref=empty case=acc|gender=neut|Target::markable_92::Target=True|num=sg|Sentiment::markable_91::Sentiment=True EmoExpression::markable_93::Uncertain=false|EmoExpression::markable_93::Intensity=medium|EmoExpression::markable_93::Sarcasm=false|Sentiment::markable_91::Sentiment=True|EmoExpression::markable_93::EmoExpression=True|EmoExpression::markable_93::Polarity=positive|EmoExpression::markable_93::SubjectiveFact=false
328114711679881216	positive	Ich habe die Daily News von vorgestern für dich %PosSmiley	ich haben die Daily News von vorgestern für du %PosSmiley	PPER VAFIN ART NE NN APPR ADV APPR PPER ITJ	2/SB 0/-- 5/NK 5/NK 2/OA 5/MNR 6/NK 2/MO 8/NK 9/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg *=True *=True _ _ _ case=acc|*=True|num=sg|pers=2 EmoExpression::markable_94::Intensity=medium|EmoExpression::markable_94::Polarity=positive|EmoExpression::markable_94::Sarcasm=false|EmoExpression::markable_94::SubjectiveFact=false|EmoExpression::markable_94::Uncertain=false|EmoExpression::markable_94::EmoExpression=True
324469049314643968	positive	Eine wunderhübsche ( Audio - ) Rezension zu Swantje Berndt / S. B. Sasori ' s DAS BIEST IN IHM findet sich ganz frisch in ... ht ...	eine wunderhübsch ( Audio - ) Rezension zu Swantje Berndt / S. B. Sasori ' s die Biest in er finden sich ganz frisch in ... ht ...	ART ADJA $( NN $( $( NN APPR NE NE $( NE NE NE $( NN ART NN APPR PPER VVFIN PRF ADV ADJD APPR $. NN $.	4/NK 4/NK 2/-- 21/SB 4/-- 5/-- 4/CJ 7/MNR 10/PNC 8/NK 10/-- 14/PNC 14/PNC 16/NK 14/-- 7/CJ 18/NK 16/PAR 18/MNR 19/NK 0/-- 21/OA 24/MO 21/MO 21/MO 25/-- 0/-- 27/--	case=nom|Target::markable_97::Anaphref=empty|gender=fem|Target::markable_97::Target=True|Sentiment::markable_95::Sentiment=True|num=sg|Sentiment::markable_95::Intensity=strong|Sentiment::markable_95::Sarcasm=false|Target::markable_97::Preferred=true|Sentiment::markable_95::Polarity=positive case=nom|gender=fem|Target::markable_97::Target=True|pos=True|EmoExpression::markable_96::EmoExpression=True|Sentiment::markable_95::Sentiment=True|EmoExpression::markable_96::Uncertain=false|num=sg|EmoExpression::markable_96::Intensity=strong|EmoExpression::markable_96::SubjectiveFact=false|EmoExpression::markable_96::Polarity=positive|EmoExpression::markable_96::Sarcasm=false Sentiment::markable_95::Sentiment=True|Target::markable_97::Target=True case=nom|gender=fem|num=sg|Target::markable_97::Target=True|Sentiment::markable_95::Sentiment=True Sentiment::markable_95::Sentiment=True|Target::markable_97::Target=True Sentiment::markable_95::Sentiment=True|Target::markable_97::Target=True case=acc|gender=fem|num=sg|Target::markable_97::Target=True|Sentiment::markable_95::Sentiment=True Sentiment::markable_95::Sentiment=True|Target::markable_97::Target=True case=dat|gender=neut|num=sg|Target::markable_97::Target=True|Sentiment::markable_95::Sentiment=True case=dat|gender=neut|num=sg|Target::markable_97::Target=True|Sentiment::markable_95::Sentiment=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=neut|num=sg|pers=3 gender=fem|*=True case=nom|gender=neut|num=sg _ case=dat|gender=fem|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg _ pos=True _ _ _ _
