322366239513141248	positive	ja das stimmt , aber bislang habe ich dich auch noch nicht auf ein foto gesehen %PosSmiley	ja die stimmen , aber bislang haben ich du auch noch nicht auf eine Foto sehen %PosSmiley	ADV PDS VVFIN $, KON ADV VAFIN PPER PPER ADV ADV PTKNEG APPR ART NN VVPP ITJ	2/MO 3/SB 0/-- 3/-- 3/CD 16/MO 5/CJ 7/SB 16/OA 12/MO 12/MO 16/NG 16/MO 15/NK 13/NK 7/OC 16/NK	_ case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 case=acc|gender=neut|num=sg|pers=3 _ _ _ _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
328059066423316481	positive	da musst du halt ins %User oder %User gehen %PosSmiley	da müssen du halt in %User oder %User gehen %PosSmiley	ADV VMFIN PPER ADV APPRART NE KON NE VVFIN ITJ	2/MO 0/-- 2/SB 2/MO 9/MO 5/NK 6/CD 7/CJ 2/OC 9/DM	_ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 _ case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ case=nom|*=True|num=sg pers=3|num=pl|tense=pres|mood=ind EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false
323721323723501568	positive	So 18 Gerade - bin dann mal weg mit Möppi %PosSmiley	so 18 gerade - sein dann mal weg mit Möppi %PosSmiley	ADV CARD ADV $( VAFIN ADV ADV ADV APPR NN ITJ	2/MO 5/SB 2/MO 3/-- 0/-- 5/MO 8/MO 5/MO 5/MO 9/NK 10/NK	_ _ _ _ Target::markable_27::Anaphref=empty|Target::markable_27::Preferred=true|mood=ind|Sentiment::markable_25::Polarity=positive|pers=1|num=sg|tense=pres|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium|Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True Sentiment::markable_25::Sentiment=True|Target::markable_27::Target=True case=dat|gender=fem|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_27::Target=True EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=strong|EmoExpression::markable_26::SubjectiveFact=false|Sentiment::markable_25::Sentiment=True|EmoExpression::markable_26::Polarity=positive
328038137450344448	positive	Wer ist dein Lieblingslehrer ? %PosSmiley - Albus Dumbeldore !	wer sein dein Lieblingslehrer ? %PosSmiley - Albus Dumbeldore !	PWS VAFIN PPOSAT NN $. ITJ $( NN NE $.	2/SB 0/-- 4/NK 2/PD 4/-- 9/NK 6/-- 9/PNC 0/-- 9/--	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ EmoExpression::markable_100500215::SubjectiveFact=false|EmoExpression::markable_100500215::Polarity=positive|EmoExpression::markable_100500215::Sarcasm=false|EmoExpression::markable_100500215::Uncertain=false|EmoExpression::markable_100500215::EmoExpression=True|EmoExpression::markable_100500215::Intensity=medium _ case=nom|gender=masc|Target::markable_29::Target=True|Target::markable_29::Anaphref=empty|Sentiment::markable_28::Polarity=positive|num=sg|Sentiment::markable_28::Intensity=medium|Sentiment::markable_28::Sentiment=True|Sentiment::markable_28::Sarcasm=true|Target::markable_29::Preferred=true case=nom|gender=masc|num=sg|Target::markable_29::Target=True|Sentiment::markable_28::Sentiment=True Sentiment::markable_28::Sentiment=True
322429010401452032	mixed	%PosSmiley woran du mal wieder denkst eyy war klaar ! Aber ich meine ... hallo ? Das wäre ein traum man zayn und fussball *-*	%PosSmiley woran du mal wieder denken eyy sein klaar ! aber ich meinen ... hallo ? die sein eine Traum man zayn und fussball *-*	ITJ PWAV PPER ADV ADV VVFIN NE VAFIN NN $. KON PPER VVFIN $. ITJ $. PDS VAFIN ART NN PIS ADJD KON ADJD XY	8/NK 6/OP 6/SB 5/MO 6/MO 8/PD 6/SB 0/-- 8/PD 9/-- 13/JU 13/SB 0/-- 13/-- 16/NK 0/-- 18/SB 0/-- 20/NK 18/PD 22/SB 20/PAR 22/CD 23/CJ 20/NK	_ _ case=nom|*=True|num=sg|pers=2 _ _ pers=2|num=sg|tense=pres|mood=ind _ EmoExpression::markable_100500298::Polarity=negative|mood=ind|EmoExpression::markable_100500298::Sarcasm=false|EmoExpression::markable_100500298::SubjectiveFact=false|pers=3|num=sg|tense=past|EmoExpression::markable_100500298::Uncertain=true|EmoExpression::markable_100500298::Intensity=medium|EmoExpression::markable_100500298::EmoExpression=True case=nom|gender=neut|num=sg|EmoExpression::markable_100500298::EmoExpression=True _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=subj case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|*=True|num=sg pos=True _ pos=True EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|EmoExpression::markable_31::SubjectiveFact=false|EmoExpression::markable_31::Polarity=positive
323705409590403072	negative	wohl die wenigsten um diese Zeit :(	wohl die wenigsten um dies Zeit :(	ADV ART ADV APPR PDAT NN ADJA	7/MO 3/NK 4/MO 7/MO 6/NK 4/NK 0/--	Sentiment::markable_34::Sentiment=True|Sentiment::markable_34::Polarity=negative|Sentiment::markable_34::Sarcasm=false|Sentiment::markable_34::Intensity=medium case=nom|Target::markable_35::Preferred=true|num=pl|Target::markable_35::Anaphref=empty|Sentiment::markable_34::Sentiment=True|*=True|Target::markable_35::Target=True case=nom|*=True|num=pl|Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True case=acc|gender=fem|num=sg|Sentiment::markable_34::Sentiment=True|Target::markable_35::Target=True case=acc|EmoExpression::markable_33::Sarcasm=false|gender=fem|pos=True|EmoExpression::markable_33::Intensity=medium|num=sg|EmoExpression::markable_33::Uncertain=false|Sentiment::markable_34::Sentiment=True|EmoExpression::markable_33::Polarity=negative|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::SubjectiveFact=false
328213044507328512	positive	%PosSmiley %PosSmiley sorry aber ... ich kann gerade nicht anders :'D %PosSmiley ❤	%PosSmiley %PosSmiley sorry aber ... ich können gerade nicht anders :'D %PosSmiley ❤	ITJ ITJ NN ADV $. PPER VMFIN ADV PTKNEG ADV ADJA ITJ ADJA	3/NK 3/NK 0/-- 3/MO 4/-- 7/SB 0/-- 7/MO 7/NG 11/MO 7/MO 7/DM 7/MO	EmoExpression::markable_36::EmoExpression=True|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false|EmoExpression::markable_36::Intensity=medium EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive _ _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ _ EmoExpression::markable_38::Polarity=positive|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::SubjectiveFact=false|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive
328057278311841792	positive	Die positive Wirkung der Karikatur - und Portrait - Therapie wird geprüft und verifiziert ! %PosSmiley	die positiv Wirkung die Karikatur - und Portrait - Therapie werden prüfen und verifizieren ! %PosSmiley	ART ADJA NN ART NN $( KON NN $( NN VAFIN VVPP KON VVPP $. ITJ	3/NK 3/NK 11/SB 5/NK 3/AG 5/-- 3/CD 10/AG 8/-- 7/CJ 0/-- 11/OC 12/CD 13/CJ 14/-- 14/NK	case=nom|Sentiment::markable_41::Intensity=medium|gender=fem|Sentiment::markable_41::Polarity=positive|Target::markable_100500216::Target=True|Target::markable_100500216::Preferred=true|num=sg|Sentiment::markable_41::Sentiment=True|Target::markable_100500216::Anaphref=empty|Sentiment::markable_41::Sarcasm=false case=nom|EmoExpression::markable_43::Intensity=medium|gender=fem|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|pos=True|Target::markable_100500216::Target=True|num=sg|Sentiment::markable_41::Sentiment=True|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::EmoExpression=True case=nom|gender=fem|num=sg|Sentiment::markable_41::Sentiment=True|Target::markable_100500216::Target=True case=gen|gender=fem|num=sg|Sentiment::markable_41::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_41::Sentiment=True _ _ case=gen|gender=fem|num=sg _ case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ _ EmoExpression::markable_44::Uncertain=false|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::SubjectiveFact=false|EmoExpression::markable_44::EmoExpression=True|EmoExpression::markable_44::Polarity=positive
323785547724251136	negative	Helft mir , mein Whatsapp verschickt Audios von einem spanisch sprechenden Baby ! %NegSmiley	helfen ich , mein Whatsapp verschicken Audios von eine spanisch sprechend Baby ! %NegSmiley	VVFIN PPER $, PPOSAT NN VVFIN NN APPR ART ADJD ADJA NN $. ITJ	0/-- 1/DA 2/-- 5/NK 6/SB 1/OC 6/OA 6/MO 12/NK 11/MO 12/NK 8/NK 12/-- 6/DM	mood=ind|Sentiment::markable_47::Polarity=negative|Sentiment::markable_47::Sentiment=True|pers=3|Sentiment::markable_47::Sarcasm=false|num=sg|tense=pres|Sentiment::markable_47::Intensity=medium case=dat|*=True|num=sg|Sentiment::markable_47::Sentiment=True|pers=1 Sentiment::markable_47::Sentiment=True case=nom|Target::markable_48::Preferred=true|num=sg|Target::markable_48::Target=True|gender=masc|Target::markable_48::Anaphref=empty|Sentiment::markable_47::Sentiment=True case=nom|gender=masc|num=sg|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True case=acc|gender=neut|num=pl|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True Target::markable_48::Target=True|pos=True|Sentiment::markable_47::Sentiment=True case=dat|num=sg|Target::markable_48::Target=True|gender=masc|pos=True|Sentiment::markable_47::Sentiment=True case=dat|gender=masc|num=sg|Target::markable_48::Target=True|Sentiment::markable_47::Sentiment=True Sentiment::markable_47::Sentiment=True EmoExpression::markable_46::EmoExpression=True|EmoExpression::markable_46::Uncertain=false|EmoExpression::markable_46::Intensity=medium|EmoExpression::markable_46::Sarcasm=false|EmoExpression::markable_46::SubjectiveFact=false|EmoExpression::markable_46::Polarity=negative|Sentiment::markable_47::Sentiment=True
322387272387420161	positive	wenn ich dich treffe , reisse ich mich immer ein wenig zusammen %PosSmiley	wenn ich du treffen , reißen ich ich immer eine wenige zusammen %PosSmiley	KOUS PPER PPER VVFIN $, VVFIN PPER PRF ADV ART PIS PTKVZ ITJ	4/CP 4/SB 4/SB 6/MO 4/-- 0/-- 6/SB 6/OA 6/MO 11/NK 12/NK 6/OA 12/NK	_ case=nom|*=True|num=sg|pers=1 case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ mood=ind|Sentiment::markable_49::Polarity=positive|Target::markable_51::Anaphref=empty|pers=1|num=sg|tense=pres|Target::markable_51::Target=True|Sentiment::markable_49::Intensity=medium|Target::markable_51::Preferred=true|Sentiment::markable_49::Sentiment=True|Sentiment::markable_49::Sarcasm=false case=nom|pers=1|num=sg|Target::markable_51::Target=True|*=True|Sentiment::markable_49::Sentiment=True case=acc|pers=1|num=sg|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True *=True|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True *=True|Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True Sentiment::markable_49::Sentiment=True|Target::markable_51::Target=True EmoExpression::markable_50::Intensity=medium|EmoExpression::markable_50::Polarity=positive|EmoExpression::markable_50::Sarcasm=false|EmoExpression::markable_50::SubjectiveFact=false|EmoExpression::markable_50::Uncertain=false|EmoExpression::markable_50::EmoExpression=True|Sentiment::markable_49::Sentiment=True
328107886855217153	positive	ich habe 5.30 Uhr angefangen ... Direkt mit einem Einsteiger für 20 , - Euro nach Oberhausen HBF %PosSmiley	ich haben @card@ Uhr anfangen ... Direkt mit eine Einsteiger für 20 , - Euro nach Oberhausen HBF %PosSmiley	PPER VAFIN CARD NN VVPP $. NN APPR ART NN APPR CARD $, $( NN APPR NE NN ITJ	2/SB 0/-- 4/NK 5/OA 2/OC 5/-- 0/-- 7/MNR 10/NK 8/NK 10/MNR 11/NK 12/-- 13/-- 10/PAR 15/MNR 16/NK 15/CJ 18/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=sg _ _ pos=True _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ _ _ case=nom|*=True|num=sg _ case=dat|gender=neut|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_100500218::Intensity=medium|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::Polarity=positive|EmoExpression::markable_100500218::Sarcasm=false|EmoExpression::markable_100500218::Uncertain=false
328021037486862337	positive	Die %User ist auch so ein flut - strahlendes Sonnenschein ' chen %PosSmiley	die %User sein auch so eine Flut - strahlend Sonnenschein ' chen %PosSmiley	ART NE VAFIN ADV ADV ART NN $( ADJA NN $( ADJA ITJ	2/NK 3/SB 0/-- 5/MO 3/MO 7/NK 3/PD 7/-- 10/NK 3/CJ 10/PNC 13/NK 10/NK	case=nom|Sentiment::markable_52::Intensity=medium|Target::markable_53::Anaphref=empty|gender=masc|Target::markable_53::Preferred=true|Sentiment::markable_52::Polarity=positive|num=pl|Sentiment::markable_52::Sentiment=True|Sentiment::markable_52::Sarcasm=false|Target::markable_53::Target=True case=nom|gender=masc|num=pl|Sentiment::markable_52::Sentiment=True|Target::markable_53::Target=True pers=3|Sentiment::markable_52::Sentiment=True|num=sg|tense=pres|mood=ind Sentiment::markable_52::Sentiment=True Sentiment::markable_52::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_52::Sentiment=True case=acc|EmoExpression::markable_54::EmoExpression=True|EmoExpression::markable_54::SubjectiveFact=false|EmoExpression::markable_54::Uncertain=true|gender=neut|EmoExpression::markable_54::Polarity=positive|EmoExpression::markable_54::Sarcasm=false|num=sg|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::Intensity=medium Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::EmoExpression=True case=acc|num=sg|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::EmoExpression=True|gender=neut|pos=True case=acc|gender=neut|num=sg|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::EmoExpression=True Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::EmoExpression=True case=acc|num=sg|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_54::EmoExpression=True|gender=masc|pos=True case=acc|EmoExpression::markable_55::EmoExpression=True|gender=masc|EmoExpression::markable_55::SubjectiveFact=false|EmoExpression::markable_55::Polarity=positive|num=sg|Sentiment::markable_52::Sentiment=True|EmoExpression::markable_55::Intensity=medium|EmoExpression::markable_55::Uncertain=false|EmoExpression::markable_55::Sarcasm=false
327367045987569665	negative	WTF geht diese Fahrt denn nie zünde ? Mein Kopf und Hals platzen demnächst %NegSmiley	WTF gehen dies Fahrt denn nie zünden ? mein Kopf und Hals platzen demnächst %NegSmiley	NN VVFIN PDAT NN KON ADV VVFIN $. PPOSAT NN KON NN VVFIN ADV ITJ	2/SB 0/-- 4/NK 2/SB 2/CD 7/MO 5/CJ 7/-- 10/NK 13/SB 10/CD 11/CJ 0/-- 13/MO 13/DM	case=nom|EmoExpression::markable_100500219::SubjectiveFact=false|Sentiment::markable_56::Sentiment=True|gender=masc|Sentiment::markable_56::Polarity=negative|Sentiment::markable_56::Sarcasm=false|EmoExpression::markable_100500219::Uncertain=false|EmoExpression::markable_100500219::Intensity=strong|num=sg|Sentiment::markable_56::Intensity=strong|EmoExpression::markable_100500219::Sarcasm=false|EmoExpression::markable_100500219::Polarity=negative|EmoExpression::markable_100500219::EmoExpression=True pers=3|Sentiment::markable_56::Sentiment=True|num=sg|tense=pres|mood=ind case=acc|Target::markable_58::Target=True|num=sg|Target::markable_58::Anaphref=empty|Target::markable_58::Preferred=true|Sentiment::markable_56::Sentiment=True|gender=fem case=acc|gender=fem|Target::markable_58::Target=True|num=sg|Sentiment::markable_56::Sentiment=True EmoExpression::markable_100500299::Polarity=negative|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_100500299::EmoExpression=True|EmoExpression::markable_100500299::Uncertain=true|EmoExpression::markable_100500299::Intensity=medium|EmoExpression::markable_100500299::Sarcasm=false|EmoExpression::markable_100500299::SubjectiveFact=false Sentiment::markable_56::Sentiment=True|EmoExpression::markable_100500299::EmoExpression=True pers=3|Sentiment::markable_56::Sentiment=True|num=sg|tense=past|mood=subj Sentiment::markable_56::Sentiment=True case=nom|EmoExpression::markable_59::Polarity=negative|EmoExpression::markable_59::EmoExpression=True|Sentiment::markable_56::Sentiment=True|gender=masc|EmoExpression::markable_59::Sarcasm=false|num=sg|EmoExpression::markable_59::Intensity=medium|EmoExpression::markable_59::SubjectiveFact=false|EmoExpression::markable_59::Uncertain=true case=nom|gender=masc|num=sg|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_59::EmoExpression=True Sentiment::markable_56::Sentiment=True|EmoExpression::markable_59::EmoExpression=True Sentiment::markable_56::Sentiment=True|gender=neut|*=True|num=sg|EmoExpression::markable_59::EmoExpression=True pers=3|num=pl|tense=pres|mood=ind|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_59::EmoExpression=True Sentiment::markable_56::Sentiment=True EmoExpression::markable_60::Polarity=negative|EmoExpression::markable_60::Intensity=medium|EmoExpression::markable_60::SubjectiveFact=false|Sentiment::markable_56::Sentiment=True|EmoExpression::markable_60::EmoExpression=True|EmoExpression::markable_60::Sarcasm=false|EmoExpression::markable_60::Uncertain=false
327500423281913857	positive	Oder der nackte Mann bzw. Frau %PosSmiley	oder die nackt Mann bzw. Frau %PosSmiley	KON ART ADJA NN KON NN ITJ	4/JU 4/NK 4/NK 0/-- 4/CD 5/CJ 4/NK	_ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg case=nom|EmoExpression::markable_61::Polarity=positive|EmoExpression::markable_61::SubjectiveFact=false|EmoExpression::markable_61::Sarcasm=false|gender=fem|EmoExpression::markable_61::Intensity=medium|num=sg|EmoExpression::markable_61::Uncertain=false|EmoExpression::markable_61::EmoExpression=True
328153402053906432	positive	Eigentlich wollte ich ja heute Bundesliga schauen ... eigentlich . %NegSmiley	eigentlich wollen ich ja heute Bundesliga schauen ... eigentlich . %NegSmiley	ADV VMFIN PPER ADV ADV NN VVINF $. ADV $. ITJ	2/MO 0/-- 2/SB 2/MO 2/MO 2/SB 2/OC 7/-- 0/-- 9/-- 0/NK	Sentiment::markable_62::Sentiment=True|Sentiment::markable_62::Intensity=medium|Sentiment::markable_62::Sarcasm=false|Sentiment::markable_62::Polarity=positive Sentiment::markable_62::Sentiment=True|EmoExpression::markable_64::Sarcasm=false|EmoExpression::markable_64::SubjectiveFact=false|mood=ind|EmoExpression::markable_64::EmoExpression=True|pers=1|EmoExpression::markable_64::Intensity=medium|num=sg|tense=past|EmoExpression::markable_64::Polarity=positive|EmoExpression::markable_64::Uncertain=false case=nom|pers=1|num=sg|Sentiment::markable_62::Sentiment=True|*=True|Source::markable_66::Source=True|Source::markable_66::Anaphref=empty Sentiment::markable_62::Sentiment=True Sentiment::markable_62::Sentiment=True case=nom|num=sg|Target::markable_63::Target=True|Sentiment::markable_62::Sentiment=True|gender=fem|Target::markable_63::Anaphref=empty|Target::markable_63::Preferred=true _ Sentiment::markable_62::Sentiment=True Sentiment::markable_62::Sentiment=True Sentiment::markable_62::Sentiment=True EmoExpression::markable_65::Uncertain=false|Sentiment::markable_62::Sentiment=True|EmoExpression::markable_65::Polarity=negative|EmoExpression::markable_65::Sarcasm=false|EmoExpression::markable_65::Intensity=medium|EmoExpression::markable_65::EmoExpression=True|EmoExpression::markable_65::SubjectiveFact=false
323698926370824192	positive	schon auf dem weg nach köln %PosSmiley	schon auf die weg nach Köln %PosSmiley	ADV APPR ART ADV APPR NE ITJ	2/MO 0/-- 4/NK 2/NK 2/MO 5/NK 2/MO	_ _ case=dat|gender=masc|num=sg _ _ case=dat|gender=neut|num=sg case=dat|EmoExpression::markable_67::Uncertain=false|EmoExpression::markable_67::SubjectiveFact=false|gender=neut|EmoExpression::markable_67::EmoExpression=True|num=sg|EmoExpression::markable_67::Polarity=positive|EmoExpression::markable_67::Sarcasm=false|EmoExpression::markable_67::Intensity=medium
328188668714029058	positive	So jetzt ist Feierabend ... %PosSmiley Heute hat auch für mich die Hochzeizssaison begonnen . Das Wetter war zwar nicht ...	so jetzt sein Feierabend ... %PosSmiley heute haben auch für ich die Hochzeizssaison beginnen . die Wetter sein zwar nicht ...	ADV ADV VAFIN NN $. ITJ ADV VAFIN ADV APPR PPER ART NN VVPP $. ART NN VAFIN ADV PTKNEG $.	2/MO 3/MO 0/-- 3/SB 4/-- 4/NK 14/MO 0/-- 10/MO 14/MO 10/NK 13/NK 8/SB 8/OC 14/-- 17/NK 18/SB 0/-- 18/MO 18/NG 20/--	Sentiment::markable_68::Intensity=medium|Sentiment::markable_68::Sarcasm=false|Sentiment::markable_68::Polarity=positive|Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True pers=3|Sentiment::markable_68::Sentiment=True|num=sg|tense=pres|mood=ind case=nom|Sentiment::markable_68::Sentiment=True|Target::markable_70::Target=True|num=sg|Target::markable_70::Anaphref=empty|gender=masc|Target::markable_70::Preferred=true Sentiment::markable_68::Sentiment=True Sentiment::markable_68::Sentiment=True|EmoExpression::markable_69::Intensity=medium|EmoExpression::markable_69::Polarity=positive|EmoExpression::markable_69::Sarcasm=false|EmoExpression::markable_69::SubjectiveFact=false|EmoExpression::markable_69::Uncertain=false|EmoExpression::markable_69::EmoExpression=True _ pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|*=True|num=sg|pers=1 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ _
322378621543137280	positive	HAPPY BIRTHDAY BABY RHEN ! hahah pwede kana mag boypren ! missYou Rhen %PosSmiley	HAPPY BIRTHDAY Baby RHEN ! hahah pwede kana mögen boypren ! missYou Rhen %PosSmiley	NE NE NN NN $. ADJA NN NE VMFIN ADJD $. NE NN ITJ	2/PNC 3/PNC 0/-- 3/NK 4/-- 7/NK 9/SB 7/NK 0/-- 9/MO 10/-- 13/AG 0/-- 13/NK	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ case=nom|EmoExpression::markable_100500227::Intensity=medium|EmoExpression::markable_100500227::Sarcasm=false|gender=neut|EmoExpression::markable_100500227::SubjectiveFact=false|Sentiment::markable_100500226::Sarcasm=false|EmoExpression::markable_100500227::Uncertain=false|num=sg|EmoExpression::markable_100500227::Polarity=positive|Sentiment::markable_100500226::Intensity=medium|EmoExpression::markable_100500227::EmoExpression=True|Sentiment::markable_100500226::Sentiment=True|Sentiment::markable_100500226::Polarity=positive case=nom|Target::markable_100500228::Target=True|num=sg|Target::markable_100500228::Preferred=true|gender=neut|Target::markable_100500228::Anaphref=empty|Sentiment::markable_100500226::Sentiment=True EmoExpression::markable_71::Intensity=medium|mood=ind|EmoExpression::markable_71::Polarity=positive|pers=3|EmoExpression::markable_71::Uncertain=false|num=sg|tense=past|EmoExpression::markable_71::Sarcasm=false|EmoExpression::markable_71::EmoExpression=True|Sentiment::markable_100500226::Sentiment=True|EmoExpression::markable_71::SubjectiveFact=false
