311904570395734016	positive	Ob das das Internet aushält ? Soviel Papst auf einmal . Habemus ... %PosSmiley	ob die die Internet aushalten ? soviele Papst auf einmal . Habemus ... %PosSmiley	KOUS PDS ART NN VVFIN $. PIAT NN APPR ADV $. NN $. ITJ	5/CP 5/SB 4/NK 5/SB 0/-- 5/-- 8/NK 0/-- 8/MNR 9/NK 10/-- 0/-- 12/-- 12/NK	_ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ *=True case=nom|*=True|num=sg _ _ _ case=nom|gender=masc|num=sg _ EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
311916070674001920	positive	%User erst Papst . Dann dreht sich die Scheibe weiter ... %PosSmiley	%User erst Papst . dann drehen sich die Scheibe weiter ... %PosSmiley	NE ADV NN $. ADV VVFIN PRF ART NN PTKVZ $. ITJ	3/SB 3/MO 0/-- 3/-- 6/MO 0/-- 6/OA 9/NK 6/SB 6/SVP 10/-- 10/NK	case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false
311868791007100928	neutral	Ja , das war mal ... Papst - Kellner von Papst Benedikt ... Ob ich wieder werde %PosSmiley	Ja , die sein mal ... Papst - Kellner von Papst Benedikt ... ob ich wieder werden %PosSmiley	NN $, PDS VAFIN ADV $. NN $( NN APPR NN NE $. KOUS PPER ADV VAFIN ITJ	3/RE 1/-- 4/SB 0/-- 4/MO 5/-- 0/-- 7/-- 7/APP 9/PG 10/NK 11/NK 12/-- 17/CP 17/SB 17/MO 0/-- 16/DM	_ _ case=nom|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ _ case=nom|*=True|num=sg|pers=1 _ pers=1|num=sg|tense=pres|mood=ind _
312078706506084352	negative	Wieder kein Moslem als Papst . %NegSmiley	wieder keine Moslem als Papst . %NegSmiley	ADV PIAT NN KOKOM NN $. ITJ	3/MO 3/NK 0/-- 3/CD 4/NK 5/-- 0/NK	EmoExpression::markable_104013045::SubjectiveFact=false|EmoExpression::markable_104013045::Uncertain=false|EmoExpression::markable_104013045::Sarcasm=false|EmoExpression::markable_104013045::EmoExpression=True|EmoExpression::markable_104013045::Intensity=medium|EmoExpression::markable_104013045::Polarity=negative case=nom|gender=masc|num=sg|EmoExpression::markable_104013045::EmoExpression=True case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ EmoExpression::markable_104013044::Intensity=medium|EmoExpression::markable_104013044::Sarcasm=false|EmoExpression::markable_104013044::SubjectiveFact=false|EmoExpression::markable_104013044::Polarity=negative|EmoExpression::markable_104013044::EmoExpression=True|EmoExpression::markable_104013044::Uncertain=false
311920914650497024	mixed	So Twitter zeig mal ob du was taugst , können wir den Papst innerhalb von einem Jahr zurücktreten lassen %PosSmiley papst	so Twitter zeigen mal ob du was taugen , können wir die Papst innerhalb von eine Jahr zurücktreten laß %PosSmiley papst	ADV NN VVIMP ADV KOUS PPER PIS VVFIN $, VMFIN PPER ART NN APPR APPR ART NN VVFIN ADJA ITJ ADJA	2/MO 10/SB 2/NK 8/MO 8/CP 8/SB 8/MO 10/MO 8/-- 0/-- 10/SB 13/NK 18/OA 15/AC 18/MO 17/NK 15/NK 10/OC 18/MO 21/NK 18/MO	_ case=nom|gender=masc|num=pl pos=True _ _ case=nom|*=True|num=sg|pers=2 gender=neut|*=True pers=3|num=sg|tense=pres|mood=ind _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg EmoExpression::markable_104013046::EmoExpression=True|EmoExpression::markable_104013046::Uncertain=false|EmoExpression::markable_104013046::Intensity=medium|EmoExpression::markable_104013046::SubjectiveFact=false|EmoExpression::markable_104013046::Sarcasm=false|EmoExpression::markable_104013046::Polarity=negative _ EmoExpression::markable_32::Intensity=medium|EmoExpression::markable_32::Polarity=positive|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false|EmoExpression::markable_32::EmoExpression=True _
311920704536858624	positive	Ein Argentinier als Papst und eine Argentinierin als holländische Königin %PosSmiley	eine Argentinier als Papst und eine Argentinierin als holländisch Königin %PosSmiley	ART NN KOKOM NN KON ART NN KOKOM ADJA NN ITJ	2/NK 0/-- 4/CM 2/CC 4/CD 7/NK 5/CJ 10/CM 10/NK 7/CC 10/NK	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg EmoExpression::markable_33::Sarcasm=false|EmoExpression::markable_33::Uncertain=false|EmoExpression::markable_33::Polarity=positive|EmoExpression::markable_33::EmoExpression=True|EmoExpression::markable_33::Intensity=medium|EmoExpression::markable_33::SubjectiveFact=false
311917386666213376	mixed	Immer die Anderen %PosSmiley Wir hatten unsere Chance %PosSmiley " Und ? Wer hat jetzt gewonnen ? Sind wir schon Papst ? Oder sind es die Anderen ? "	immer die andere %PosSmiley wir haben unser Chance %PosSmiley " und ? wer haben jetzt gewinnen ? sein wir schon Papst ? oder sein es die andere ? "	ADV ART PIAT ITJ PPER VAFIN PPOSAT NN ITJ $( KON $. PWS VAFIN ADV VVPP $. VAFIN PPER ADV NN $. KON VAFIN PPER ART PIS $. $(	2/MO 5/NK 5/NK 5/NK 6/SB 0/-- 8/NK 6/OA 8/NK 9/-- 6/CD 11/-- 14/SB 0/-- 16/MO 14/OC 16/-- 0/-- 18/SB 18/MO 18/PD 21/-- 24/JU 0/-- 24/SB 27/NK 24/PD 27/-- 28/--	_ case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl case=acc|EmoExpression::markable_34::SubjectiveFact=false|gender=neut|EmoExpression::markable_34::Uncertain=false|EmoExpression::markable_34::Intensity=medium|num=sg|EmoExpression::markable_34::EmoExpression=True|EmoExpression::markable_34::Polarity=positive|EmoExpression::markable_34::Sarcasm=false case=nom|EmoExpression::markable_104013048::Polarity=negative|EmoExpression::markable_104013048::Intensity=medium|*=True|EmoExpression::markable_104013048::SubjectiveFact=false|EmoExpression::markable_104013048::EmoExpression=True|pers=1|EmoExpression::markable_104013048::Uncertain=false|num=pl|EmoExpression::markable_104013048::Sarcasm=false pers=1|num=pl|tense=past|mood=ind|EmoExpression::markable_104013048::EmoExpression=True case=acc|gender=fem|num=sg|EmoExpression::markable_104013048::EmoExpression=True case=acc|gender=fem|EmoExpression::markable_104013047::Polarity=positive|EmoExpression::markable_104013048::EmoExpression=True|EmoExpression::markable_104013047::Sarcasm=false|num=sg|EmoExpression::markable_104013047::Uncertain=false|EmoExpression::markable_104013047::Intensity=medium|EmoExpression::markable_104013047::SubjectiveFact=false|EmoExpression::markable_104013047::EmoExpression=True EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::Polarity=positive _ _ _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ pers=1|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=1 _ case=acc|gender=fem|num=sg _ _ pers=3|num=pl|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 case=nom|gender=fem|num=pl case=nom|gender=fem|num=pl _ _
311870405956743168	positive	Das müsste echt mal so 1 Woche dauern %PosSmiley Konklave Papst	die müssen echt mal so 1 Woche dauern %PosSmiley Konklave Papst	PDS VMFIN ADJD ADV ADV CARD NN VVFIN ITJ NN NN	2/SB 0/-- 6/MO 6/MO 6/MO 7/NK 8/SB 2/PAR 10/NK 8/SB 8/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|sup=True pos=True _ _ _ case=nom|gender=masc|num=pl pers=3|num=pl|tense=pres|mood=ind case=gen|EmoExpression::markable_36::EmoExpression=True|*=True|pos=True|EmoExpression::markable_36::Intensity=strong|num=pl|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false *=True case=nom|gender=masc|num=sg
311942916127981568	positive	Wer ist das ? - spricht Deutsch - fährt ÖV - mag Umweltschutz und Ökologie - hat eine Brille und vorne keine Haare Ich könnte Papst sein . %PosSmiley	wer sein die ? - sprechen deutsch - fahren ÖV - mögen Umweltschutz und Ökologie - haben eine Brille und vorne keine Haar ich können Papst sein . %PosSmiley	PWS VAFIN PDS $. $( VVFIN NN $( VVFIN NN $( VMFIN NN KON NN $( VAFIN ART NN KON ADV PIAT NN PPER VMFIN NN VAINF $. ITJ	2/SB 0/-- 2/SB 3/-- 6/-- 0/-- 6/OA 7/-- 10/NK 12/SB 10/-- 7/PAR 12/SB 13/CD 14/CJ 15/-- 6/OC 19/NK 17/OA 19/CD 23/MO 23/NK 20/CJ 25/SB 17/CJ 27/PD 25/OC 27/-- 0/NK	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg _ EmoExpression::markable_10050095::Intensity=medium|EmoExpression::markable_10050095::Sarcasm=false|EmoExpression::markable_10050095::Uncertain=false|mood=ind|EmoExpression::markable_10050095::SubjectiveFact=false|pers=3|num=sg|tense=pres|EmoExpression::markable_10050095::EmoExpression=True|EmoExpression::markable_10050095::Polarity=positive case=acc|gender=masc|num=sg _ case=acc|gender=fem|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg case=nom|*=True|num=sg|pers=1 pers=3|num=sg|tense=past|mood=subj case=nom|gender=masc|num=sg _ _ EmoExpression::markable_37::EmoExpression=True|EmoExpression::markable_37::Uncertain=false|EmoExpression::markable_37::Intensity=medium|EmoExpression::markable_37::Sarcasm=false|EmoExpression::markable_37::SubjectiveFact=false|EmoExpression::markable_37::Polarity=positive
311931595772805120	positive	Diese Titelseite wird wohl gerade geändert - dieser " Papst " schaut a wengal weiblich aus %PosSmiley %Link	dies Titelseite werden wohl gerade ändern - diese " Papst " schauen a wengal weiblich aus %PosSmiley %Link	PDAT NN VAFIN ADV ADV VVPP $( PDS $( NN $( VVFIN FM NE ADJD PTKVZ ITJ XY	2/NK 3/SB 0/-- 6/MO 6/MO 3/OC 6/-- 10/AG 8/-- 12/SB 10/-- 3/CJ 14/PNC 12/SB 12/MO 12/SVP 16/NK 16/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|*=True|num=sg pos=True _ EmoExpression::markable_38::Polarity=positive|EmoExpression::markable_38::Sarcasm=false|EmoExpression::markable_38::EmoExpression=True|EmoExpression::markable_38::SubjectiveFact=false|EmoExpression::markable_38::Uncertain=false|EmoExpression::markable_38::Intensity=medium pos=True
311900017575227394	positive	Und die Show geht weiter ... noch kein Papst in Sicht . Naja nicht offiziell %PosSmiley	und die Show gehen weiter ... noch keine Papst in Sicht . Naja nicht offiziell %PosSmiley	KON ART NN VVFIN PTKVZ $. ADV PIAT NN APPR NN $. NN PTKNEG ADJD ITJ	4/JU 3/NK 4/SB 0/-- 4/SVP 5/-- 9/MO 9/NK 0/-- 9/MO 10/NK 11/-- 0/-- 15/NG 13/OC 15/DM	_ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ pos=True EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|EmoExpression::markable_39::Polarity=positive|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
