317379081333243904	mixed	hihi . RT‏ @GrumpyMerkel :-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	hihi . RT‏ @GrumpyMerkel :-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	NE $. ADJA NN $( NN NE ART NN ART NN NE	0/-- 1/-- 4/NK 0/-- 6/-- 0/-- 6/NK 9/NK 6/DA 11/NK 9/AG 11/NK	case=nom|EmoExpression::markable_100500126::EmoExpression=True|EmoExpression::markable_100500126::Uncertain=false|EmoExpression::markable_100500126::Sarcasm=false|*=True|EmoExpression::markable_100500126::Polarity=positive|num=sg|EmoExpression::markable_100500126::Intensity=medium|EmoExpression::markable_100500126::SubjectiveFact=false _ _ gender=fem|*=True|num=sg EmoExpression::markable_100500127::Sarcasm=false|EmoExpression::markable_100500127::Uncertain=false|EmoExpression::markable_100500127::Intensity=medium|EmoExpression::markable_100500127::SubjectiveFact=false|EmoExpression::markable_100500127::Polarity=negative|EmoExpression::markable_100500127::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
333088682875691009	positive	Wochenende , endlich früher aufstehen und noch mehr Zeit in die piratenpartei stecken %PosSmiley ichbinmotiviert frap ...	Wochenende , endlich früh aufstehen und noch mehr Zeit in die piratenpartei stecken %PosSmiley ichbinmotiviert frap ...	NN $, ADV ADJD VVINF KON ADV PIAT NN APPR ART NN VVINF ITJ ADJA NN $.	0/-- 1/-- 5/MO 5/MO 1/MNR 5/CD 8/MO 9/NK 13/OA 13/MO 12/NK 10/NK 6/CJ 16/NK 16/NK 13/MO 16/--	case=nom|*=True|num=pl _ EmoExpression::markable_100500129::SubjectiveFact=false|EmoExpression::markable_100500129::Intensity=weak|EmoExpression::markable_100500129::Polarity=positive|EmoExpression::markable_100500129::Sarcasm=true|EmoExpression::markable_100500129::EmoExpression=True|EmoExpression::markable_100500129::Uncertain=false comp=True _ _ _ *=True case=acc|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ EmoExpression::markable_11::Intensity=medium|EmoExpression::markable_11::Sarcasm=false|EmoExpression::markable_11::SubjectiveFact=false|EmoExpression::markable_11::Polarity=positive|EmoExpression::markable_11::EmoExpression=True|EmoExpression::markable_11::Uncertain=false|pos=True _ _ _
337301142956568576	positive	Bild - Diekmann &amp; FDP - Rösler jetzt ein Paar %PosSmiley - )	Bild - Diekmann &amp; FDP - Rösler jetzt eine paar %PosSmiley - )	NN $( NE $( NE $( NN ADV ART PIAT ITJ $( $(	0/-- 1/-- 5/PNC 3/-- 7/NK 5/-- 1/CJ 7/MO 10/NK 11/NK 7/NK 11/-- 12/--	case=nom|gender=neut|num=sg _ *=True *=True case=nom|gender=fem|num=sg _ case=nom|*=True|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg EmoExpression::markable_12::Intensity=medium|EmoExpression::markable_12::Polarity=positive|EmoExpression::markable_12::Uncertain=false|EmoExpression::markable_12::Sarcasm=false|EmoExpression::markable_12::SubjectiveFact=false|EmoExpression::markable_12::EmoExpression=True EmoExpression::markable_12::EmoExpression=True EmoExpression::markable_12::EmoExpression=True
332975874943115265	positive	Gauck hat sie unter seinem Kopfkissen %PosSmiley	Gauck haben sie unter sein Kopfkissen %PosSmiley	NE VAFIN PPER APPR PPOSAT NN ITJ	2/SB 0/-- 2/SB 2/MO 6/NK 4/NK 6/NK	case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg|pers=3 _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::EmoExpression=True|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false
338024769754656768	negative	wen soll ich denn dann mit Merkel Bildern spamen . %NegSmiley	wer sollen ich denn dann mit Merkel Bild spamen . %NegSmiley	PWS VMFIN PPER ADV ADV APPR NE NN VVFIN $. ITJ	9/OA 0/-- 2/SB 2/MO 2/MO 9/MO 6/NK 9/SB 2/OC 9/-- 0/NK	_ pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ case=dat|*=True|num=sg case=dat|gender=neut|num=pl pers=3|num=pl|tense=past|mood=ind _ EmoExpression::markable_14::Polarity=negative|EmoExpression::markable_14::Sarcasm=false|EmoExpression::markable_14::SubjectiveFact=false|EmoExpression::markable_14::Uncertain=false|EmoExpression::markable_14::Intensity=medium|EmoExpression::markable_14::EmoExpression=True
324624202571317248	neutral	Piratenpartei Telefonische ( nicht - ) Erreichbarkeit des KV : Beitrag kann nach Anmeldung gelese ... %Link Piraten Forum	Piratenpartei Telefonische ( nicht - ) Erreichbarkeit die KV : Beitrag können nach Anmeldung gelese ... %Link Pirat Forum	NN NN $( PTKNEG $( $( NN ART NE $. NN VMFIN APPR NN VVFIN $. XY NN NN	15/SB 1/NK 2/-- 7/NG 4/-- 5/-- 1/PAR 9/NK 7/AG 9/-- 12/SB 9/RS 12/MO 13/NK 17/NK 15/-- 0/-- 0/-- 18/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ _ _ case=dat|gender=fem|num=sg case=gen|gender=masc|num=sg case=gen|gender=masc|num=sg _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=dat|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=subj _ _ case=nom|gender=masc|num=pl case=nom|gender=neut|num=sg
324761339211952128	positive	ich dachte nur an voreilige Schlüsse der CSU %PosSmiley	ich denken nur an voreilig Schluss die CSU %PosSmiley	PPER VVFIN ADV APPR ADJA NN ART NE ITJ	2/SB 0/-- 4/MO 2/OP 6/NK 4/NK 8/NK 6/AG 8/NK	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind _ _ case=acc|gender=masc|num=pl|pos=True case=acc|gender=masc|num=pl case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg EmoExpression::markable_15::Polarity=positive|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false
337307901658034176	positive	%PosSmiley und aus welchem Bundesland kommst du ? %PosSmiley	%PosSmiley und aus welche Bundesland kommen du ? %PosSmiley	ITJ KON APPR PRELS NN VVFIN PPER $. ITJ	6/DM 6/JU 6/MO 5/NK 3/NK 0/-- 6/SB 7/-- 0/NK	EmoExpression::markable_100500130::Uncertain=false|EmoExpression::markable_100500130::Intensity=medium|EmoExpression::markable_100500130::Sarcasm=false|EmoExpression::markable_100500130::SubjectiveFact=false|EmoExpression::markable_100500130::Polarity=positive|EmoExpression::markable_100500130::EmoExpression=True _ _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=2|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=2 _ EmoExpression::markable_16::Polarity=positive|EmoExpression::markable_16::Sarcasm=false|EmoExpression::markable_16::EmoExpression=True|EmoExpression::markable_16::SubjectiveFact=false|EmoExpression::markable_16::Uncertain=false|EmoExpression::markable_16::Intensity=medium
337307043486654465	positive	eine spätrömische Chiffre . Wer hätte gedacht , dass es dadurch zu einer Parallele mit Guido Westerwelle kommt ? %PosSmiley	eine spätrömisch Chiffre . wer haben denken|gedenken , dass es dadurch zu eine Parallele mit Guido Westerwelle kommen ? %PosSmiley	ART ADJA NN $. PWS VAFIN VVPP $, KOUS PPER PAV APPR ART NN APPR NE NN VVFIN $. ITJ	3/NK 3/NK 0/-- 3/-- 6/SB 0/-- 6/OC 7/-- 18/CP 18/SB 10/NK 18/MO 14/NK 12/NK 14/MNR 17/PNC 15/NK 7/MO 18/-- 18/DM	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg|pos=True case=nom|gender=fem|num=sg _ case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=subj _ _ _ case=nom|gender=neut|num=sg|pers=3 _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium
335880218499772416	positive	ja bin ja auch da bei Spielen .. Aber mein Herz bleibt schwarz gelb %PosSmiley 5 Euro Monatlich %PosSmiley Union ?! 0 %PosSmiley	ja sein ja auch da bei Spiel|Spielen .. aber mein Herz bleiben schwarz gelb %PosSmiley 5 Euro monatlich %PosSmiley Union ?! @card@ %PosSmiley	ADV VAFIN ADV ADV ADV APPR NN NN KON PPOSAT NN VVFIN ADJD ADJD ITJ CARD NN ADJD ITJ NN ADJD CARD ITJ	2/MO 0/-- 2/MO 2/MO 2/MO 2/MO 6/NK 2/PD 12/JU 11/NK 12/SB 0/-- 12/MO 20/NK 20/NK 17/NK 18/AMS 20/NK 20/NK 12/SB 12/PD 0/NK 21/NK	_ pers=1|num=sg|tense=pres|mood=ind _ _ _ _ case=dat|gender=neut|num=pl case=dat|gender=neut|num=pl Sentiment::markable_100500133::Sarcasm=false|Sentiment::markable_100500133::Sentiment=True|Sentiment::markable_100500133::Intensity=medium|Sentiment::markable_100500133::Polarity=positive case=nom|num=sg|Source::markable_100500134::Source=True|Source::markable_100500134::Anaphref=empty|gender=masc|Sentiment::markable_100500133::Sentiment=True case=nom|EmoExpression::markable_100500135::EmoExpression=True|gender=masc|EmoExpression::markable_100500135::Sarcasm=false|EmoExpression::markable_100500135::Polarity=positive|EmoExpression::markable_100500135::Uncertain=false|num=sg|EmoExpression::markable_100500135::Intensity=medium|EmoExpression::markable_100500135::SubjectiveFact=false|Sentiment::markable_100500133::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500133::Sentiment=True Target::markable_100500136::Preferred=true|Target::markable_100500136::Anaphref=empty|pos=True|Target::markable_100500136::Target=True|Sentiment::markable_100500133::Sentiment=True Target::markable_100500136::Target=True|Sentiment::markable_100500133::Sentiment=True EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium|Sentiment::markable_100500133::Sentiment=True _ gender=masc|*=True pos=True EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|pos=True|EmoExpression::markable_19::Polarity=positive case=nom|gender=fem|num=sg pos=True _ _
326047721284841475	positive	Gerade %User und %User in der heuteshow gesehen %PosSmiley zdf spd jusos : Gerade %User ...	gerade %User und %User in die heuteshow sehen %PosSmiley zdf spd Juso : gerade %User ...	ADV NE KON NE APPR ART NN VVPP ITJ NE ADJA NN $. ADV NE $.	2/MO 8/MO 2/CD 3/CJ 8/MO 7/NK 5/NK 0/-- 10/NK 8/SB 12/NK 8/PAR 12/-- 15/MO 12/APP 15/--	_ case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _ _ case=dat|*=True _ _ case=nom|gender=masc|num=sg _
