332946021107769344	neutral	Grüne stellen Bedingungen für Koalition in Salzburg zB aus für Wasserkraft . Energieautonomie ade !	Grüne stellen Bedingung für Koalition in Salzburg zB aus für Wasserkraft . Energieautonomie ade !	NN VVFIN NN APPR NN APPR NE VVFIN APPR APPR NE $. ADJA ITJ $.	2/SB 0/-- 2/OA 3/MNR 4/NK 5/MNR 6/NK 2/SVP 2/SVP 2/MO 10/NK 11/-- 0/-- 0/NK 13/--	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=pl _ case=acc|gender=fem|num=sg _ case=dat|gender=neut|num=sg pers=3|num=sg|tense=past|mood=ind _ _ case=acc|gender=fem|num=sg _ _ _ _
324612828365455360	neutral	In Hessen herscht Wechselstimmung ! Am 22 . September wird es nur mit %User und der %User ein Wechsel geben ! SPD Jusos	in Hessen herscht Wechselstimmung ! an 22 . September werden es nur mit %User und die %User eine Wechsel geben ! SPD Juso	APPR NE VVFIN NN $. APPRART CARD $. NN VAFIN PPER ADV APPR NE KON ART NE ART NN VVINF $. NE NN	3/MO 1/NK 0/-- 3/OA 4/-- 20/MO 9/NK 7/-- 6/NK 0/-- 10/EP 13/MO 20/MO 13/NK 14/CD 17/NK 15/CJ 19/NK 20/OA 10/OC 20/-- 23/AG 0/--	_ case=dat|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg _ case=dat|gender=masc|num=sg _ _ case=dat|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=neut|num=sg|pers=3 _ _ case=dat|gender=neut|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg _ _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg
336255127235203072	positive	Trend - Designs für alle die T - Shirts lieben ! Nicht nur für die Asphaltster unserer schönen Grossstädte ! %Link syrien	Trend - Design für alle die T - Shirt lieben ! nicht nur für die Asphaltster unser schön Großstadt ! %Link syrien	NN $( NN APPR PIS ART NN $( NN VVINF $. PTKNEG ADV APPR ART NN PPOSAT ADJA NN $. XY ADJA	0/-- 1/-- 1/CJ 7/MO 4/NK 7/NK 10/CJ 7/-- 10/OA 1/OC 10/-- 13/NG 14/MO 0/-- 16/NK 14/NK 19/NK 19/NK 16/AG 19/-- 0/-- 0/--	case=nom|Sentiment::markable_14::Sentiment=True|num=sg|Sentiment::markable_14::Polarity=positive|gender=masc|Sentiment::markable_14::Sarcasm=false|Sentiment::markable_14::Intensity=medium Sentiment::markable_14::Sentiment=True case=gen|gender=masc|Sentiment::markable_14::Sentiment=True|num=sg Sentiment::markable_14::Sentiment=True case=acc|Source::markable_15::Source=True|Sentiment::markable_14::Sentiment=True|num=pl|Source::markable_15::Anaphref=empty|*=True case=acc|Sentiment::markable_14::Sentiment=True|num=pl|Source::markable_16::Source=True|*=True|Source::markable_16::Anaphref=markable_15 case=acc|Sentiment::markable_14::Sentiment=True|num=pl|Target::markable_17::Preferred=true|Target::markable_17::Target=True|*=True|Target::markable_17::Anaphref=empty Sentiment::markable_14::Sentiment=True|Target::markable_17::Target=True case=acc|gender=masc|Sentiment::markable_14::Sentiment=True|num=pl|Target::markable_17::Target=True Sentiment::markable_14::Sentiment=True|EmoExpression::markable_18::EmoExpression=True|EmoExpression::markable_18::SubjectiveFact=false|EmoExpression::markable_18::Uncertain=false|EmoExpression::markable_18::Polarity=positive|EmoExpression::markable_18::Sarcasm=false|EmoExpression::markable_18::Intensity=medium Sentiment::markable_14::Sentiment=True _ _ _ case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl case=acc|Target::markable_12::Target=True|gender=masc|Sentiment::markable_11::Polarity=positive|num=pl|Sentiment::markable_11::Intensity=medium|Target::markable_12::Anaphref=empty|Sentiment::markable_11::Sentiment=True|Sentiment::markable_11::Sarcasm=false|Target::markable_12::Preferred=true case=acc|Target::markable_12::Target=True|EmoExpression::markable_13::EmoExpression=True|gender=masc|pos=True|Sentiment::markable_11::Sentiment=True|num=pl|EmoExpression::markable_13::Polarity=positive|EmoExpression::markable_13::Uncertain=false|EmoExpression::markable_13::Intensity=medium|EmoExpression::markable_13::Sarcasm=false|EmoExpression::markable_13::SubjectiveFact=false case=acc|gender=masc|Target::markable_12::Target=True|num=pl|Sentiment::markable_11::Sentiment=True _ pos=True case=acc|gender=masc|num=sg|pos=True
317801984189140993	positive	Westerwelle stimme ich voll und ganz zu ! lastRt	Westerwelle stimmen ich voll und ganz zu ! lastRt	NN VVFIN PPER ADJD KON ADJD PTKVZ $. ADJA	2/MO 0/-- 2/SB 2/MO 4/CD 5/CJ 2/SVP 7/-- 0/--	Target::markable_20::Target=True|Sentiment::markable_19::Sentiment=True|Sentiment::markable_19::Sarcasm=false|Target::markable_20::Anaphref=empty|Sentiment::markable_19::Polarity=positive|Sentiment::markable_19::Intensity=strong|Target::markable_20::Preferred=true EmoExpression::markable_21::EmoExpression=True|mood=ind|EmoExpression::markable_21::Intensity=medium|pers=1|num=sg|tense=pres|Sentiment::markable_19::Sentiment=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false case=nom|pers=1|num=sg|Source::markable_22::Anaphref=empty|Sentiment::markable_19::Sentiment=True|Source::markable_22::Source=True|*=True Intensifier::markable_23::Intensifier=True|Intensifier::markable_23::Degree=strong|Sentiment::markable_19::Sentiment=True|pos=True|Intensifier::markable_23::EmoExpressionRef=emo-expression:markable_21 Sentiment::markable_19::Sentiment=True Intensifier::markable_24::Degree=strong|Intensifier::markable_24::Intensifier=True|Intensifier::markable_24::EmoExpressionRef=emo-expression:markable_21|Sentiment::markable_19::Sentiment=True Sentiment::markable_19::Sentiment=True|EmoExpression::markable_21::EmoExpression=True Sentiment::markable_19::Sentiment=True _
333690337719640064	positive	Ach ich mag den ÖH - Wahlkampf . Zu keiner anderen Zeit trifft man Sonntags um 11 in der Nacht so viel Leute auf der Uni %PosSmiley öh wahl	ach ich mögen die ÖH - Wahlkampf . zu keine andere Zeit treffen man Sonntag um 11 in die Nacht so viele Leute auf die Uni %PosSmiley öh wahl	ITJ PPER VMFIN ART NN $( NN $. APPR PIAT PIS NN VVFIN PIS NE APPR CARD APPR ART NN ADV PIAT NN APPR ART NN ITJ ADJA ADJA	3/DM 3/SB 0/-- 5/NK 3/OA 5/-- 3/OA 7/-- 13/MO 12/NK 12/NK 9/NK 0/-- 13/SB 13/OA 13/MO 16/NK 13/MO 20/NK 18/NK 22/MO 23/NK 13/OA 23/MNR 26/NK 24/NK 26/NK 26/NK 26/NK	Sentiment::markable_25::Sentiment=True|Sentiment::markable_25::Polarity=positive|Sentiment::markable_25::Sarcasm=false|Sentiment::markable_25::Intensity=medium case=nom|pers=1|num=sg|Source::markable_26::Anaphref=empty|Sentiment::markable_25::Sentiment=True|*=True|Source::markable_26::Source=True EmoExpression::markable_27::EmoExpression=True|mood=ind|pers=1|EmoExpression::markable_27::Uncertain=false|num=sg|tense=pres|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false|Sentiment::markable_25::Sentiment=True case=acc|Target::markable_28::Anaphref=empty|num=sg|Target::markable_28::Preferred=true|Target::markable_28::Target=True|gender=masc|Sentiment::markable_25::Sentiment=True case=acc|gender=masc|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_28::Target=True Target::markable_28::Target=True|Sentiment::markable_25::Sentiment=True case=acc|gender=masc|Sentiment::markable_25::Sentiment=True|num=sg|Target::markable_28::Target=True Sentiment::markable_25::Sentiment=True _ case=dat|gender=fem|num=sg case=dat|*=True|num=pl case=nom|gender=fem|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg _ _ _ _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ *=True case=acc|*=True|num=pl _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false case=dat|gender=fem|num=pl|pers=3 case=nom|gender=neut|num=sg|pos=True
337311238709202947	positive	Wenn du mit Plastik und Android zurecht kommst eine gute Wahl !	wenn du mit Plastik und Android zurecht kommen eine gut Wahl !	KOUS PPER APPR NN KON NN PTKVZ VVFIN ART ADJA NN $.	7/CP 7/DA 2/MNR 3/NK 4/CD 5/CJ 8/MO 0/-- 11/NK 11/NK 8/SB 11/--	_ case=nom|*=True|num=sg|pers=2 _ case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ pers=3|num=sg|tense=pres|mood=ind case=nom|Target::markable_31::Target=True|Target::markable_31::Preferred=true|Sentiment::markable_30::Sarcasm=false|gender=fem|Target::markable_31::Anaphref=empty|Sentiment::markable_30::Intensity=medium|num=sg|Sentiment::markable_30::Sentiment=True|Sentiment::markable_30::Polarity=positive case=nom|Target::markable_31::Target=True|Sentiment::markable_30::Sentiment=True|EmoExpression::markable_32::Polarity=positive|gender=fem|pos=True|EmoExpression::markable_32::EmoExpression=True|EmoExpression::markable_32::Intensity=medium|num=sg|EmoExpression::markable_32::Sarcasm=false|EmoExpression::markable_32::SubjectiveFact=false|EmoExpression::markable_32::Uncertain=false case=nom|gender=fem|Target::markable_31::Target=True|num=sg|Sentiment::markable_30::Sentiment=True _
317374333909606401	negative	Unsere Politiker fühlen sich halt für alles zuständig , nur nicht für die Entwicklung der Demokratie ! cdu , #csu , #spd , #grüne	unser Politiker fühlen sich halt für alle zuständig , nur nicht für die Entwicklung die Demokratie ! cdu , #csu , #spd , #grüne	PPOSAT NN VVFIN PRF ADV APPR PIS ADJD $, ADV PTKNEG APPR ART NN ART NN $. NN $, NN $, NN $, NN	2/NK 3/SB 0/-- 3/OA 3/MO 8/MO 6/NK 3/MO 8/-- 12/MO 12/NG 3/MO 14/NK 12/NK 16/NK 14/AG 16/-- 0/-- 18/-- 18/CJ 20/-- 20/CJ 22/-- 22/CJ	case=nom|Target::markable_34::Target=True|gender=masc|Sentiment::markable_33::Sentiment=True|num=pl|Target::markable_34::Anaphref=empty|Sentiment::markable_33::Intensity=medium|Sentiment::markable_33::Sarcasm=false|Sentiment::markable_33::Polarity=negative|Target::markable_34::Preferred=true case=nom|gender=masc|Target::markable_34::Target=True|num=pl|Sentiment::markable_33::Sentiment=True pers=3|Sentiment::markable_33::Sentiment=True|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl|Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True|pos=True Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True Negation::markable_36::Negation=True|Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_33::Sentiment=True case=acc|EmoExpression::markable_104013587::Sarcasm=false|EmoExpression::markable_104013587::Polarity=positive|gender=fem|EmoExpression::markable_104013587::Uncertain=true|EmoExpression::markable_104013587::Intensity=medium|Sentiment::markable_33::Sentiment=True|num=sg|EmoExpression::markable_104013587::EmoExpression=True|EmoExpression::markable_104013587::SubjectiveFact=true case=gen|gender=fem|num=sg|Sentiment::markable_33::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_33::Sentiment=True Sentiment::markable_33::Sentiment=True _ _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg
323511250493521920	neutral	die sind alle in der Politik !	die sein alle in die Politik !	PDS VAFIN PIS APPR ART NN $.	2/SB 0/-- 1/NK 2/MO 6/NK 4/NK 6/--	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _
325337314433839104	neutral	Am 22.04 . fordert die CDU 14:00 Uhr im Rathaus Leinfelden den Fildernbahnhof Plus . Und ich fordere Freibier für alle ! S21 Hauk	an @card@ . fordern die CDU @card@ Uhr in Rathaus Leinfelden die Fildernbahnhof Plus . und ich fordern Freibier für alle ! S21 Hauk	APPRART CARD $. VVFIN ART NE CARD NN APPRART NN NE ART NN NE $. KON PPER VVFIN NN APPR PIS $. CARD NN	4/MO 1/NK 2/-- 0/-- 6/NK 4/SB 8/NK 4/OA 8/MNR 9/NK 10/NK 13/NK 4/OA 13/NK 14/-- 18/JU 18/SB 0/-- 18/OA 19/MNR 20/NK 21/-- 24/NK 0/--	case=dat|gender=masc|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=fem|num=sg case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=nom|*=True|num=sg _ _ case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=masc|num=sg _ case=acc|*=True|num=pl _ _ case=nom|gender=masc|num=sg
326066221999067138	positive	Ist halt der einzige von der FDP , den man noch im Fernsehen zeigen kann %PosSmiley	sein halt die einzig von die FDP , die man noch in Fernsehen zeigen können %PosSmiley	VAFIN ADV ART ADJA APPR ART NE $, PRELS PIS ADV APPRART NN VVINF VMFIN ITJ	0/-- 1/MO 4/NK 1/PD 4/SBP 7/NK 5/NK 7/-- 14/OA 15/SB 12/MO 15/MO 12/NK 15/OC 1/CJ 15/DM	mood=ind|pers=3|num=sg|tense=pres|Sentiment::markable_37::Sentiment=True|Sentiment::markable_37::Sarcasm=false|Sentiment::markable_37::Polarity=positive|Sentiment::markable_37::Intensity=medium Sentiment::markable_37::Sentiment=True case=nom|Target::markable_38::Anaphref=empty|num=sg|Target::markable_38::Preferred=true|Sentiment::markable_37::Sentiment=True|gender=masc|Target::markable_38::Target=True case=nom|num=sg|Sentiment::markable_37::Sentiment=True|gender=masc|pos=True|Target::markable_38::Target=True Sentiment::markable_37::Sentiment=True|Target::markable_38::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True|Target::markable_38::Target=True case=dat|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True|Target::markable_38::Target=True Sentiment::markable_37::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_37::Sentiment=True case=nom|*=True|num=sg|Sentiment::markable_37::Sentiment=True Sentiment::markable_37::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_37::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_37::Sentiment=True Sentiment::markable_37::Sentiment=True EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|mood=ind|pers=3|EmoExpression::markable_39::Polarity=positive|num=sg|tense=pres|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive|Sentiment::markable_37::Sentiment=True
323909789950300161	neutral	Kompromissaufruf an alle potentiellen Wählerinnen der CDU : Wählen Sie die Partei erst 2020 ! frauenquote btw13	Kompromissaufruf an alle potentiell Wählerin die CDU : wählen Sie die Partei erst 2020 ! frauenquote btw13	NN APPR PIAT ADJA NN ART NE $. VVFIN PPER ART NN ADV CARD $. ADJA CARD	9/OA 1/MNR 5/NK 5/NK 2/NK 7/NK 5/AG 7/-- 0/-- 9/SB 12/NK 9/OA 14/MO 9/MO 14/-- 0/-- 16/NK	case=nom|gender=masc|num=sg _ case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl|pos=True case=acc|gender=masc|num=pl case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ case=nom|gender=fem|num=sg|pos=True _
322488493030899713	neutral	Aus aller Welt : SPD - Motto : Jetzt geht ' s los ! - %Link %Link News Nachrichten	aus alle Welt : SPD - Motto : jetzt gehen ' s los ! - %Link %Link News Nachricht	APPR PIAT NN $. NE $( NN $. ADV VVFIN $( NN PTKVZ $. $( XY XY NN NN	10/MO 3/NK 1/NK 3/-- 7/SB 5/-- 3/APP 7/-- 10/MO 0/-- 10/-- 10/SB 10/SVP 13/-- 16/-- 18/NK 0/-- 0/-- 18/NK	_ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=dat|gender=fem|num=sg _ case=dat|gender=neut|num=sg _ _ pers=3|num=sg|tense=pres|mood=ind _ case=nom|gender=neut|num=sg|pers=3 _ _ _ case=nom|gender=masc|num=sg *=True *=True case=nom|gender=fem|num=pl
322810603162988544	neutral	Ach , jetzt heuteshow zdf Putin und die Möpse !	ach , jetzt heuteshow zdf Putin und die Möpse !	ITJ $, ADV NN NE NE KON ART NN $.	3/DM 1/-- 4/MO 0/-- 6/PNC 4/NK 6/CD 9/NK 7/CJ 9/--	_ _ _ _ _ _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _
318589919926841345	neutral	Bewahren Sie Ihr Bargeld unter dem Kopfkissen u. schaffen Sie sich 2 Pitbull an ! Schweden Kreditkarten Bargeld - Los Politik EU	Bewahren Sie ihr Bargeld unter die Kopfkissen und schaffen Sie sich 2 Pitbull an ! Schweden Kreditkarte Bargeld - los Politik EU	NN PPER PPOSAT NN APPR ART NN KON VVFIN PPER PRF CARD NN PTKVZ $. NE NN NN $( ADJD NN NE	4/OC 1/SB 4/NK 9/CJ 4/MNR 7/NK 5/NK 9/CD 0/-- 9/SB 9/OA 13/NK 9/OA 9/SVP 14/-- 17/AG 0/-- 17/CJ 18/-- 21/NK 18/APP 21/NK	pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 case=nom|*=True|num=pl|pers=2 case=acc|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 case=dat|pers=3|num=pl _ case=acc|gender=masc|num=sg _ _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=gen|*=True|num=sg case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg
317028180886175744	neutral	Lieber %User , geben Sie sich auch endlich einen Ruck ! AfD %User FDP	Liebe %User , geben Sie sich auch endlich eine Ruck ! AfD %User FDP	NN NE $, VVFIN PPER PRF ADV ADV ART NN $. NE NE NE	4/VO 1/NK 2/-- 0/-- 4/SB 4/OA 8/MO 4/MO 10/NK 4/OA 10/-- 14/PNC 14/PNC 0/--	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ pers=3|num=pl|tense=pres|mood=ind case=nom|*=True|num=pl|pers=3 case=dat|pers=3|num=pl _ _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=nom|gender=fem|num=sg
333692719601958912	positive	Merkel - Regierung fordert Reformeifer in Kriesenländern ? Ich fordere mehr Revolutionseifer !	Merkel - Regierung fordern Reformeifer in Kriesenländern ? ich fordern mehr Revolutionseifer !	NE $( NN VVFIN NN APPR NN $. PPER VVFIN PIAT NN $.	3/NK 1/-- 4/SB 0/-- 4/OA 4/MO 6/NK 7/-- 10/SB 0/-- 12/NK 10/OA 12/--	case=nom|*=True|num=sg _ case=dat|Sentiment::markable_41::Intensity=medium|Source::markable_42::Anaphref=empty|gender=fem|Sentiment::markable_41::Polarity=positive|num=sg|Sentiment::markable_41::Sentiment=True|Sentiment::markable_41::Sarcasm=false|Source::markable_42::Source=True EmoExpression::markable_43::Intensity=medium|mood=ind|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True|pers=3|num=sg|tense=pres|EmoExpression::markable_43::Sarcasm=false|EmoExpression::markable_43::Polarity=positive|Sentiment::markable_41::Sentiment=True case=acc|Target::markable_44::Preferred=true|num=pl|Sentiment::markable_41::Sentiment=True|Target::markable_44::Target=True|gender=masc|Target::markable_44::Anaphref=empty Sentiment::markable_41::Sentiment=True|Target::markable_44::Target=True case=dat|gender=neut|num=pl|Sentiment::markable_41::Sentiment=True|Target::markable_44::Target=True _ case=nom|Sentiment::markable_45::Sentiment=True|Sentiment::markable_45::Polarity=positive|*=True|pers=1|num=sg|Sentiment::markable_45::Intensity=medium|Source::markable_46::Anaphref=empty|Sentiment::markable_45::Sarcasm=false|Source::markable_46::Source=True mood=ind|EmoExpression::markable_47::SubjectiveFact=false|Sentiment::markable_45::Sentiment=True|EmoExpression::markable_47::Polarity=positive|EmoExpression::markable_47::Sarcasm=false|pers=1|EmoExpression::markable_47::Uncertain=false|num=sg|tense=pres|EmoExpression::markable_47::EmoExpression=True|EmoExpression::markable_47::Intensity=medium Sentiment::markable_45::Sentiment=True|Target::markable_48::Anaphref=empty|*=True|Target::markable_48::Target=True|Target::markable_48::Preferred=true case=acc|gender=masc|num=sg|Target::markable_48::Target=True|Sentiment::markable_45::Sentiment=True _
332224308124459009	neutral	Jetzt speichert er ab &amp; dann wird sich wirklich an den Lernzettel von Politik gesetzt ! xx	jetzt speichern er ab &amp; dann werden sich wirklich an die Lernzettel von Politik setzen ! xx	ADV VVFIN PPER PTKVZ $( ADV VAFIN PRF ADJD APPR ART NN APPR NN VVPP $. ADJA	2/MO 0/-- 2/SB 2/SVP 4/-- 15/MO 2/OC 15/OA 15/MO 15/MO 12/NK 10/NK 12/PG 13/NK 7/OC 15/-- 0/--	_ pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg|pers=3 _ pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind case=acc|pers=3|num=sg pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|gender=fem|num=sg _ _ _
337306685758644224	neutral	Petition an den Bundestag zur Netzneutralität : %Link Mitzeichnen , Leute !	Petition an die Bundestag zu Netzneutralität : %Link mitzeichnen , Leute !	NN APPR ART NN APPRART NN $. XY VVFIN $, NN $.	9/OA 1/MNR 4/NK 2/NK 4/MNR 5/NK 6/-- 0/-- 0/-- 9/-- 9/CJ 11/--	case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ _ case=nom|gender=fem|num=pl _ case=acc|*=True|num=pl _
337434842255998976	neutral	... 2 ... und Samstag trägt auch die Queen schwarzgelb ! CountdownToWembley FinaleBVB BVB	... 2 ... und Samstag tragen auch die Queen schwarzgelb ! CountdownToWembley FinaleBVB BVB	$. CARD $. KON NN VVFIN ADV ART NN ADJD $. NE NN NE	0/-- 0/-- 2/-- 6/JU 6/SB 0/-- 9/MO 9/NK 6/OA 6/MO 10/-- 13/AG 0/-- 13/NK	_ _ _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|gender=fem|num=pl case=acc|gender=fem|num=pl pos=True _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|*=True|num=sg
322796235960508416	positive	Es gibt aber immer eine Wahl ! Hör auf bevor es zu spät ist D:	Es geben aber immer eine Wahl ! hören auf bevor es zu spät sein D:	NN VVFIN ADV ADV ART NN $. VVIMP APPR KOUS PPER PTKA ADJD VAFIN NN	2/SB 0/-- 2/MO 2/MO 6/NK 2/OA 6/-- 7/-- 8/MO 14/CP 14/SB 13/MO 14/PD 0/NK 9/NK	case=nom|gender=neut|num=sg|pers=3 pers=3|num=sg|tense=pres|mood=ind _ _ case=acc|gender=fem|num=sg case=acc|gender=fem|num=sg _ _ _ _ case=nom|gender=neut|num=sg|pers=3 _ pos=True pers=3|num=sg|tense=pres|mood=ind case=nom|EmoExpression::markable_49::Polarity=positive|EmoExpression::markable_49::Sarcasm=false|gender=masc|EmoExpression::markable_49::SubjectiveFact=false|num=sg|EmoExpression::markable_49::EmoExpression=True|EmoExpression::markable_49::Uncertain=false|EmoExpression::markable_49::Intensity=medium
