324257473294917633	negative	Auf dem Tisch liegen Mozart Kugeln , ber ich will mich nicht bewegen ... %NegSmiley	auf die Tisch liegen Mozart Kugel , ber ich wollen ich nicht bewegen ... %NegSmiley	APPR ART NN VVFIN NE NN $, VVFIN PPER VMFIN PPER PTKNEG VVINF $. ITJ	4/MO 3/NK 1/NK 0/-- 6/NK 4/SB 6/-- 4/CJ 8/SB 8/MO 13/OA 10/NG 10/OC 13/-- 10/DM	_ case=dat|gender=neut|num=sg case=dat|gender=neut|num=sg pers=3|num=pl|tense=pres|mood=ind case=acc|gender=masc|num=sg case=nom|gender=fem|num=pl _ Sentiment::markable_1::Sarcasm=false|Sentiment::markable_1::Intensity=medium|Sentiment::markable_1::Sentiment=True|Sentiment::markable_1::Polarity=negative case=nom|Target::markable_3::Anaphref=empty|*=True|Target::markable_3::Preferred=true|Sentiment::markable_1::Sentiment=True|pers=1|num=sg|Target::markable_3::Target=True pers=1|num=sg|tense=pres|mood=ind|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True case=acc|pers=1|num=sg|Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Target::markable_3::Target=True|Sentiment::markable_1::Sentiment=True Sentiment::markable_1::Sentiment=True EmoExpression::markable_2::Uncertain=false|EmoExpression::markable_2::Intensity=medium|EmoExpression::markable_2::Sarcasm=false|EmoExpression::markable_2::SubjectiveFact=false|EmoExpression::markable_2::Polarity=negative|EmoExpression::markable_2::EmoExpression=True|Sentiment::markable_1::Sentiment=True
318112734157881344	positive	" " Die GRÜNEN werden alles mitmachen , solange sie nur ihre Dienstwagen bekommen . " %PosSmiley " Und dabei fuhren die früher Fahrrad !	" " die grün werden alle mitmachen , solange sie nur ihr Dienstwagen bekommen . " %PosSmiley " und dabei fahren die früh Fahrrad !	$( $( ART ADJA VAFIN PIS VVINF $, KOUS PPER ADV PPOSAT NN VVINF $. $( ITJ $( KON PAV VVFIN ART ADJA NN $.	3/-- 1/-- 4/NK 5/SB 0/-- 7/OA 5/OC 7/-- 14/CP 14/SB 14/MO 13/NK 14/OA 7/MO 14/-- 15/-- 21/DM 17/-- 21/JU 21/NK 0/-- 24/NK 24/NK 21/SB 24/--	_ _ case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ _ case=nom|gender=masc|num=pl|pers=3 _ case=acc|gender=masc|num=pl case=acc|gender=masc|num=pl _ _ _ EmoExpression::markable_17::SubjectiveFact=false|EmoExpression::markable_17::Polarity=positive|EmoExpression::markable_17::EmoExpression=True|EmoExpression::markable_17::Sarcasm=false|EmoExpression::markable_17::Uncertain=false|EmoExpression::markable_17::Intensity=medium _ _ _ pers=3|num=pl|tense=past|mood=ind case=nom|gender=masc|num=pl comp=True case=nom|gender=masc|num=sg _
318528604239720449	negative	:-[ Offizielles Smiley der Bundeskanzlerin der Bundesrepublik Deutschland	:-[ Offizielle Smiley die Bundeskanzlerin die Bundesrepublik Deutschland	$( NN NE ART NN ART NN NE	2/-- 0/-- 2/NK 5/NK 2/DA 7/NK 5/AG 7/NK	EmoExpression::markable_100500210::Polarity=negative|EmoExpression::markable_100500210::Sarcasm=false|EmoExpression::markable_100500210::Uncertain=false|EmoExpression::markable_100500210::Intensity=medium|EmoExpression::markable_100500210::SubjectiveFact=false|EmoExpression::markable_100500210::EmoExpression=True case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg case=nom|gender=neut|num=sg
333323056183402496	negative	Heisst , Merkel ist stets lull und lalle ? %PosSmiley	heißen , Merkel sein stets lullen und lalle ? %PosSmiley	VVFIN $, NE VAFIN ADV VVIMP KON VVFIN $. ITJ	0/-- 1/-- 4/SB 1/OC 4/MO 4/CJ 4/CD 7/CJ 8/-- 8/DM	pers=3|num=sg|tense=pres|mood=ind _ case=nom|Target::markable_100500212::Anaphref=empty|Sentiment::markable_100500211::Sentiment=True|Sentiment::markable_100500211::Sarcasm=false|*=True|Target::markable_100500212::Target=True|Sentiment::markable_100500211::Intensity=weak|num=sg|Target::markable_100500212::Preferred=true|Sentiment::markable_100500211::Polarity=negative pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True EmoExpression::markable_100500213::SubjectiveFact=false|EmoExpression::markable_100500213::Intensity=weak|EmoExpression::markable_100500213::Polarity=negative|EmoExpression::markable_100500213::Sarcasm=false|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500213::EmoExpression=True|EmoExpression::markable_100500213::Uncertain=false Sentiment::markable_100500211::Sentiment=True mood=subj|Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_100500214::EmoExpression=True|EmoExpression::markable_100500214::SubjectiveFact=false|pers=3|EmoExpression::markable_100500214::Sarcasm=false|num=sg|tense=pres|EmoExpression::markable_100500214::Polarity=negative|EmoExpression::markable_100500214::Uncertain=false|EmoExpression::markable_100500214::Intensity=weak Sentiment::markable_100500211::Sentiment=True Sentiment::markable_100500211::Sentiment=True|EmoExpression::markable_18::EmoExpression=True
317749432114356224	mixed	wir brauchen die doch gar nicht bis September hat Merkel den Euro schon ganz alleine ruiniert %PosSmiley .	wir brauchen die doch gar nicht bis September haben Merkel die Euro schon ganz alleine ruinieren %PosSmiley .	PPER VVFIN ART ADV ADV PTKNEG APPR NN VAFIN NE ART NN ADV ADV ADV VVPP ITJ $.	2/SB 0/-- 2/OA 2/MO 6/MO 2/NG 2/MO 7/NK 2/CJ 9/SB 12/NK 16/OA 16/MO 15/MO 16/MO 9/OC 1/NK 16/--	case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=fem|num=sg _ _ _ _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg EmoExpression::markable_100500341::EmoExpression=True|EmoExpression::markable_100500341::Intensity=medium|EmoExpression::markable_100500341::Uncertain=false|EmoExpression::markable_100500341::SubjectiveFact=false|EmoExpression::markable_100500341::Polarity=negative|EmoExpression::markable_100500341::Sarcasm=false EmoExpression::markable_100500341::EmoExpression=True EmoExpression::markable_100500341::EmoExpression=True EmoExpression::markable_100500340::SubjectiveFact=false|EmoExpression::markable_100500340::EmoExpression=True|EmoExpression::markable_100500340::Uncertain=false|EmoExpression::markable_100500340::Polarity=negative|EmoExpression::markable_100500340::Sarcasm=false|EmoExpression::markable_100500340::Intensity=medium EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive _
338015719956553728	negative	Natürlich war die FDP eigentlich schon immer gegen das Drohnenprojekt . %PosSmiley %Link	natürlich sein die FDP eigentlich schon immer gegen die Drohnenprojekt . %PosSmiley %Link	ADJD VAFIN ART NE ADV ADV ADV APPR ART NN $. ITJ XY	2/PD 0/-- 4/NK 2/SB 2/MO 7/MO 2/MO 2/MO 10/NK 8/NK 10/-- 13/NK 0/--	Sentiment::markable_100500216::Sentiment=True|Sentiment::markable_100500216::Sarcasm=false|pos=True|Sentiment::markable_100500216::Intensity=medium|Sentiment::markable_100500216::Polarity=negative Sentiment::markable_100500216::Sentiment=True|mood=ind|EmoExpression::markable_100500218::Uncertain=false|pers=3|EmoExpression::markable_100500218::Intensity=medium|num=sg|tense=past|EmoExpression::markable_100500218::EmoExpression=True|EmoExpression::markable_100500218::SubjectiveFact=false|EmoExpression::markable_100500218::Polarity=negative|EmoExpression::markable_100500218::Sarcasm=false case=nom|Source::markable_100500217::Source=True|num=sg|Sentiment::markable_100500216::Sentiment=True|Source::markable_100500217::Anaphref=empty|gender=fem case=nom|gender=fem|Source::markable_100500217::Source=True|num=sg|Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True Sentiment::markable_100500216::Sentiment=True|EmoExpression::markable_100500218::EmoExpression=True case=acc|Target::markable_100500219::Preferred=true|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500219::Target=True|gender=neut|Target::markable_100500219::Anaphref=empty case=acc|gender=neut|num=sg|Sentiment::markable_100500216::Sentiment=True|Target::markable_100500219::Target=True Sentiment::markable_100500216::Sentiment=True EmoExpression::markable_20::EmoExpression=True|EmoExpression::markable_20::Uncertain=false|EmoExpression::markable_20::Intensity=medium|EmoExpression::markable_20::Sarcasm=false|EmoExpression::markable_20::SubjectiveFact=false|EmoExpression::markable_20::Polarity=positive _
334028793075351552	negative	Wie bei Apple , das selbe Prinzip Daimler %NegSmiley echt grumpy haf hartaberfair Lindner FDP &lt; - BUH	wie bei Apple , die selbe Prinzip Daimler %NegSmiley echt grumpy haf hartaberfair Lindner FDP &lt; - buhen	KOKOM APPR NE $, PRELS PDAT NN NE ITJ ADJD ADJD ADJA ADJA NE NE $( $( VVIMP	2/CM 12/MO 2/NK 3/-- 11/SB 7/NK 11/SB 7/NK 11/DM 11/MO 12/MO 0/MO 0/-- 15/PNC 13/NK 15/-- 16/-- 13/NK	_ _ case=dat|gender=neut|num=sg _ case=nom|gender=neut|num=sg case=acc|gender=neut|num=sg case=acc|gender=neut|num=sg case=nom|*=True|num=sg case=nom|EmoExpression::markable_21::EmoExpression=True|*=True|EmoExpression::markable_21::Intensity=medium|num=sg|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=negative|EmoExpression::markable_21::Sarcasm=false pos=True EmoExpression::markable_100500342::Intensity=medium|EmoExpression::markable_100500342::SubjectiveFact=false|EmoExpression::markable_100500342::EmoExpression=True|EmoExpression::markable_100500342::Polarity=negative|EmoExpression::markable_100500342::Sarcasm=false|EmoExpression::markable_100500342::Uncertain=false case=nom|gender=fem|num=sg|pers=2 pos=True *=True|pos=True case=nom|gender=fem|num=sg _ _ EmoExpression::markable_100500215::SubjectiveFact=false|EmoExpression::markable_100500215::Polarity=negative|mood=imp|EmoExpression::markable_100500215::Sarcasm=false|EmoExpression::markable_100500215::Uncertain=false|EmoExpression::markable_100500215::Intensity=medium|pers=2|EmoExpression::markable_100500215::EmoExpression=True|num=sg
320082761090224128	positive	Ich glaub es nicht %PosSmiley - Die Gelben jetzt auch ! cdu spd fdp ltnrw %Link	ich glauben es nicht %PosSmiley - die Gelbe jetzt auch ! cdu spd fdp ltnrw %Link	PPER VVIMP PPER PTKNEG ITJ $( ART NN ADV ADV $. NN ADJA NN NN XY	4/SB 1/NK 2/OA 0/-- 4/NK 7/-- 8/NK 0/-- 8/MO 8/MO 10/-- 13/MO 0/-- 13/SB 13/OA 0/--	case=nom|*=True|num=sg|pers=1 pers=1|num=sg|tense=pres|mood=ind case=acc|gender=neut|num=sg|pers=3 _ EmoExpression::markable_22::Uncertain=false|EmoExpression::markable_22::Intensity=medium|EmoExpression::markable_22::Sarcasm=false|EmoExpression::markable_22::SubjectiveFact=false|EmoExpression::markable_22::EmoExpression=True|EmoExpression::markable_22::Polarity=positive _ case=nom|gender=neut|num=pl case=nom|gender=neut|num=pl _ _ _ _ _ _ _ _
322440939207528448	positive	Dann war doch tatsächlich heute der Bundespräsident in unserer stadt ! Endlich auch mal was los hier %PosSmiley	dann sein doch tatsächlich heute die Bundespräsident in unser Stadt ! endlich auch mal was los hier %PosSmiley	ADV VAFIN ADV ADJD ADV ART NN APPR PPOSAT NN $. ADV ADV ADV PIS ADJD PTKVZ ITJ	2/MO 0/-- 2/MO 2/MO 2/MO 7/NK 2/SB 7/MNR 10/NK 8/NK 10/-- 16/MO 16/MO 16/MO 16/OA 0/-- 16/MO 17/NK	_ pers=3|num=sg|tense=past|mood=ind _ pos=True _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ Sentiment::markable_24::Intensity=medium|EmoExpression::markable_100500221::SubjectiveFact=false|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_100500221::Sarcasm=false|Sentiment::markable_24::Polarity=positive|EmoExpression::markable_100500221::Polarity=positive|EmoExpression::markable_100500221::EmoExpression=True|Target::markable_25::Target=True|Target::markable_25::Preferred=true|Sentiment::markable_24::Sarcasm=false|EmoExpression::markable_100500221::Uncertain=false|Target::markable_25::Anaphref=empty|EmoExpression::markable_100500221::Intensity=medium Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True case=nom|gender=neut|num=sg|Sentiment::markable_24::Sentiment=True|Target::markable_25::Target=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True Target::markable_25::Target=True|Sentiment::markable_24::Sentiment=True EmoExpression::markable_23::SubjectiveFact=false|Sentiment::markable_24::Sentiment=True|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false
335852189388001280	mixed	Wir sind schon ganz gespannt auf den ESC Beitrag von Nordkorea %PosSmiley %Link	wir sein schon ganz gespannt auf die ESC Beitrag von Nordkorea %PosSmiley %Link	PPER VAFIN ADV ADV ADJD APPR ART NE NN APPR NE ITJ XY	2/SB 0/-- 2/MO 5/MO 2/MO 2/MO 9/NK 9/NK 6/NK 9/PG 10/NK 6/MO 12/NK	case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind _ _ pos=True _ case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg case=acc|gender=masc|num=sg _ case=dat|EmoExpression::markable_100500343::Uncertain=false|EmoExpression::markable_100500343::Intensity=medium|EmoExpression::markable_100500343::Sarcasm=false|EmoExpression::markable_100500343::Polarity=negative|gender=neut|EmoExpression::markable_100500343::EmoExpression=True|num=sg|EmoExpression::markable_100500343::SubjectiveFact=true EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive _
332241137748287488	positive	Die treten bei jeder Wahl an %PosSmiley ampunkt	die treten bei jede Wahl an %PosSmiley ampunkt	PDS VVFIN APPR PIAT NN APZR ITJ NN	2/SB 0/-- 2/MO 5/NK 3/NK 3/AC 8/NK 2/OA	case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind _ case=dat|gender=fem|num=sg case=dat|gender=fem|num=sg _ case=nom|*=True|EmoExpression::markable_27::EmoExpression=True|EmoExpression::markable_27::Uncertain=false|num=sg|EmoExpression::markable_27::Intensity=medium|EmoExpression::markable_27::SubjectiveFact=false|EmoExpression::markable_27::Polarity=positive|EmoExpression::markable_27::Sarcasm=false case=acc|gender=masc|num=sg
335153276972564480	mixed	" Wenn Sie hier so weitermachen hat Frau Merkel bald einen Hals . " %PosSmiley	" wenn Sie hier so weitermachen haben Frau Merkel bald eine Hals . " %PosSmiley	$( KOUS PPER ADV ADV VVINF VAFIN NN NE ADV ART NN $. $( ITJ	2/-- 7/CP 7/SB 6/MO 6/MO 7/OC 0/-- 7/SB 8/NK 7/MO 12/NK 7/OA 12/-- 13/-- 0/NK	_ _ case=nom|*=True|num=pl|pers=3 _ _ _ EmoExpression::markable_100500220::SubjectiveFact=false|EmoExpression::markable_100500220::Polarity=negative|mood=ind|EmoExpression::markable_100500220::Sarcasm=false|EmoExpression::markable_100500220::Uncertain=false|EmoExpression::markable_100500220::Intensity=medium|pers=3|EmoExpression::markable_100500220::EmoExpression=True|num=sg|tense=pres case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ case=acc|gender=masc|num=sg case=acc|gender=masc|EmoExpression::markable_100500220::EmoExpression=True|num=sg EmoExpression::markable_100500220::EmoExpression=True _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false
335167640039464960	positive	Das Handelsblatt mit einem zehnseitigen Spezial " 150 Jahre SPD " . Da bin ich aber mal gespannt %PosSmiley %Link	die Handelsblatt mit eine zehnseitig Spezial " 150 Jahr SPD " . da sein ich aber mal spannen %PosSmiley %Link	ART NN APPR ART ADJA NN $( CARD NN NE $( $. ADV VAFIN PPER ADV ADV VVPP ITJ XY	2/NK 0/-- 2/MNR 6/NK 6/NK 3/NK 6/-- 9/NK 2/PAR 9/NK 10/-- 11/-- 18/MO 0/-- 14/SB 18/MO 18/MO 14/OC 20/NK 18/OA	case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=dat|gender=masc|num=sg|pos=True case=dat|gender=masc|num=sg _ _ case=acc|gender=neut|num=pl case=nom|gender=fem|num=sg _ _ _ pers=1|num=sg|tense=pres|mood=ind case=nom|*=True|num=sg|pers=1 _ _ _ EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false _
335485629439832064	positive	da bleibt ja dann nicht mehr viel Zeit für die Lieblingspartei der heute - show , der FDP %PosSmiley !	da bleiben ja dann nicht mehr viele Zeit für die Lieblingspartei die heute - Show , die FDP %PosSmiley !	ADV VVFIN ADV ADV PTKNEG ADV PIAT NN APPR ART NN ART ADV $( NN $, PRELS NE ITJ $.	2/MO 0/-- 2/MO 2/MO 2/NG 5/MO 8/NK 2/OA 8/MNR 11/NK 9/NK 15/NK 15/MO 13/-- 11/AG 15/-- 18/NK 15/APP 1/DM 18/--	_ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ *=True case=acc|gender=fem|num=sg _ case=acc|Sentiment::markable_100500225::Sentiment=True|num=sg|gender=fem|Sentiment::markable_100500225::Sarcasm=false|Sentiment::markable_100500225::Polarity=positive|Sentiment::markable_100500225::Intensity=medium case=acc|gender=fem|num=sg case=gen|gender=masc|num=pl|Sentiment::markable_100500225::Sentiment=True Sentiment::markable_100500225::Sentiment=True|Source::markable_100500228::Source=True|Source::markable_100500228::Anaphref=empty Sentiment::markable_100500225::Sentiment=True|Source::markable_100500228::Source=True case=acc|gender=masc|num=sg|Source::markable_100500228::Source=True|Sentiment::markable_100500225::Sentiment=True Sentiment::markable_100500225::Sentiment=True case=nom|Target::markable_100500226::Target=True|num=sg|Sentiment::markable_100500225::Sentiment=True|Target::markable_100500226::Anaphref=empty|gender=masc|Target::markable_100500226::Preferred=true case=nom|gender=masc|num=sg|Target::markable_100500226::Target=True|Sentiment::markable_100500225::Sentiment=True case=acc|EmoExpression::markable_30::EmoExpression=True|gender=neut|pers=3|EmoExpression::markable_30::Uncertain=false|num=sg|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false _
335147496026275840	positive	Der Abend geht , %User erfrischt weiterhin den Bundestag %PosSmiley mitternachtsberatung	die Abend gehen , %User erfrischen weiterhin die Bundestag %PosSmiley mitternachtsberatung	ART NN VVFIN $, NE VVFIN ADV ART NN ITJ ADJA	2/NK 3/SB 0/-- 3/-- 6/SB 3/CJ 6/MO 9/NK 6/OA 9/NK 6/MO	case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ case=acc|Sentiment::markable_100500229::Intensity=medium|Sentiment::markable_100500229::Sentiment=True|Target::markable_100500230::Target=True|*=True|Target::markable_100500230::Anaphref=empty|Sentiment::markable_100500229::Polarity=positive|num=sg|Sentiment::markable_100500229::Sarcasm=false|Target::markable_100500230::Preferred=true EmoExpression::markable_100500231::Intensity=medium|mood=ind|EmoExpression::markable_100500231::EmoExpression=True|EmoExpression::markable_100500231::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_100500231::Polarity=positive|EmoExpression::markable_100500231::SubjectiveFact=false|EmoExpression::markable_100500231::Uncertain=false|Sentiment::markable_100500229::Sentiment=True Sentiment::markable_100500229::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500229::Sentiment=True case=acc|gender=masc|num=sg|Sentiment::markable_100500229::Sentiment=True EmoExpression::markable_35::Uncertain=false|EmoExpression::markable_35::Intensity=medium|EmoExpression::markable_35::Sarcasm=false|Sentiment::markable_100500229::Sentiment=True|EmoExpression::markable_35::EmoExpression=True|EmoExpression::markable_35::SubjectiveFact=false|EmoExpression::markable_35::Polarity=positive _
325355598579372033	positive	Das stimmt . Ist aber mit Merkel und Schwarz - Gelb genauso %PosSmiley	die stimmen . sein aber mit Merkel und Schwarz - Gelb genauso %PosSmiley	PDS VVFIN $. VAFIN ADV APPR NE KON NE $( NN ADV ITJ	2/SB 0/-- 2/-- 0/-- 4/MO 4/MO 6/NK 7/CD 8/CJ 9/-- 12/PNC 4/PD 12/DM	case=nom|gender=neut|num=sg pers=3|num=sg|tense=pres|mood=ind _ pers=3|num=sg|tense=pres|mood=ind _ _ case=dat|*=True|num=sg _ case=dat|*=True|num=sg _ case=dat|*=True|num=sg _ case=dat|EmoExpression::markable_36::EmoExpression=True|*=True|EmoExpression::markable_36::Intensity=medium|num=sg|EmoExpression::markable_36::SubjectiveFact=false|EmoExpression::markable_36::Uncertain=false|EmoExpression::markable_36::Polarity=positive|EmoExpression::markable_36::Sarcasm=false
337296596230340608	negative	Merkel hat Deutschland ausgedient , werft sie auf die Müllhalde der Geschichte ! %NegSmiley	Merkel haben Deutschland ausdienen , werfen sie auf die Müllhalde die Geschichte ! %NegSmiley	NE VAFIN NE VVPP $, VVFIN PPER APPR ART NN ART NN $. ITJ	2/SB 6/OC 4/OA 2/OC 4/-- 0/-- 6/SB 6/MO 10/NK 8/NK 12/NK 10/AG 12/-- 8/MO	case=nom|*=True|num=sg|Target::markable_100500222::Target=True|Sentiment::markable_37::Sentiment=True|Sentiment::markable_37::Sarcasm=false|Target::markable_100500222::Preferred=true|Sentiment::markable_37::Polarity=negative|Target::markable_100500222::Anaphref=empty|Sentiment::markable_37::Intensity=medium pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_37::Sentiment=True case=acc|gender=neut|num=sg|Sentiment::markable_37::Sentiment=True EmoExpression::markable_100500224::Polarity=negative|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_100500224::EmoExpression=True|EmoExpression::markable_100500224::Uncertain=false|EmoExpression::markable_100500224::Intensity=medium|EmoExpression::markable_100500224::Sarcasm=false|EmoExpression::markable_100500224::SubjectiveFact=false Sentiment::markable_37::Sentiment=True pers=3|num=sg|tense=pres|mood=ind|Sentiment::markable_37::Sentiment=True case=nom|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True|pers=3 Sentiment::markable_37::Sentiment=True case=acc|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True case=acc|EmoExpression::markable_100500223::Sarcasm=false|EmoExpression::markable_100500223::EmoExpression=True|EmoExpression::markable_100500223::SubjectiveFact=false|gender=fem|EmoExpression::markable_100500223::Polarity=negative|num=sg|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_100500223::Intensity=medium|EmoExpression::markable_100500223::Uncertain=false case=gen|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True case=gen|gender=fem|num=sg|Sentiment::markable_37::Sentiment=True Sentiment::markable_37::Sentiment=True EmoExpression::markable_39::SubjectiveFact=false|EmoExpression::markable_39::EmoExpression=True|Sentiment::markable_37::Sentiment=True|EmoExpression::markable_39::Polarity=negative|EmoExpression::markable_39::Sarcasm=false|EmoExpression::markable_39::Uncertain=false|EmoExpression::markable_39::Intensity=medium
332259786190102528	positive	Rösler und Brüderle wegen deren Parteitagsreden wären der " Rede wert " , oder gab ' s das schon ? %PosSmiley ansonsten gerne CDU %PosSmiley	Rösler und Brüderle wegen die Parteitagsrede sein die " Rede wert " , oder geben ' s die schon ? %PosSmiley ansonsten gerne CDU %PosSmiley	NN KON NN APPR PDAT NN VAFIN ART $( NN ADJD $( $, KON VVFIN $( NN PDS ADV $. ITJ ADV ADV NE ITJ	7/SB 1/CD 2/CJ 1/MNR 6/NK 4/NK 0/-- 11/NK 8/-- 11/OA 7/PD 11/-- 12/-- 7/CD 14/CJ 15/-- 15/OA 15/OA 15/MO 19/-- 19/DM 24/MO 24/MO 0/-- 24/NK	case=nom|gender=masc|num=pl _ case=nom|gender=masc|num=pl _ case=gen|gender=masc|num=pl case=gen|gender=masc|num=pl pers=3|num=pl|tense=past|mood=subj case=nom|gender=masc|num=sg _ case=acc|gender=fem|num=sg pos=True _ _ _ pers=3|num=sg|tense=past|mood=ind _ case=nom|gender=neut|num=sg|pers=3 case=acc|gender=neut|num=sg _ _ EmoExpression::markable_40::Sarcasm=false|EmoExpression::markable_40::EmoExpression=True|EmoExpression::markable_40::Uncertain=false|EmoExpression::markable_40::Intensity=medium|EmoExpression::markable_40::SubjectiveFact=false|EmoExpression::markable_40::Polarity=positive _ Sentiment::markable_41::Intensity=medium|EmoExpression::markable_43::Intensity=medium|EmoExpression::markable_43::SubjectiveFact=false|EmoExpression::markable_43::Uncertain=false|EmoExpression::markable_43::EmoExpression=True|Sentiment::markable_41::Polarity=positive|Sentiment::markable_41::Sentiment=True|Sentiment::markable_41::Sarcasm=false|EmoExpression::markable_43::Polarity=positive|EmoExpression::markable_43::Sarcasm=false case=nom|num=sg|Sentiment::markable_41::Sentiment=True|Target::markable_42::Target=True|gender=fem|Target::markable_42::Preferred=true|Target::markable_42::Anaphref=empty case=nom|EmoExpression::markable_44::Intensity=medium|EmoExpression::markable_44::SubjectiveFact=false|gender=fem|EmoExpression::markable_44::Polarity=positive|EmoExpression::markable_44::Uncertain=false|num=sg|Sentiment::markable_41::Sentiment=True|EmoExpression::markable_44::Sarcasm=false|EmoExpression::markable_44::EmoExpression=True
322803491292725248	neutral	Stimmt , da war ja noch was %PosSmiley Unter Zeitdruck Mehdorn Berlin Hauptstadtbahnhof ber	stimmen , da sein ja noch was %PosSmiley unter Zeitdruck Mehdorn Berlin Hauptstadtbahnhof ber	VVFIN $, KOUS VAFIN ADV ADV PIS ITJ APPR NN NE NE NN ADJA	3/RE 1/-- 4/MO 0/-- 7/MO 7/MO 13/OA 9/MO 13/MNR 9/NK 12/PNC 10/NK 4/SB 13/MO	pers=3|num=sg|tense=pres|mood=ind _ _ pers=3|num=sg|tense=past|mood=ind _ _ gender=neut|*=True case=gen|gender=neut|num=sg _ case=dat|gender=masc|num=sg case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg case=nom|gender=masc|num=sg _
