375349415168724992	positive	Die beiden sehen sich ja auch so ähnlich %PosSmiley	die beide sehen sich ja auch so ähnlich %PosSmiley	ART PIS VVFIN PRF ADV ADV ADV ADJD ITJ	2/NK 3/SB 0/-- 3/OA 3/MO 8/MO 8/MO 3/MO 8/DM	case=nom|*=True|num=pl case=nom|*=True|num=pl pers=3|num=pl|tense=pres|mood=ind case=acc|pers=3|num=pl _ _ _ pos=True EmoExpression::markable_1::SubjectiveFact=false|EmoExpression::markable_1::EmoExpression=True|EmoExpression::markable_1::Uncertain=false|EmoExpression::markable_1::Polarity=positive|EmoExpression::markable_1::Sarcasm=false|EmoExpression::markable_1::Intensity=medium
380983256893882368	negative	Koalition aus SDP - CDU - lehnt mal wieder den Mindestlohn im AGH im Hauptausschuss ab . Soviel zu Wahlversprechen %NegSmiley ...	Koalition aus SDP - CDU - lehnen mal wieder die Mindestlohn in AGH in Hauptausschuss ab . soviele zu Wahlversprechen %NegSmiley ...	NN APPR NN $( NE $( VVFIN ADV ADV ART NN APPRART NE APPRART NN PTKVZ $. PIS APPR NN ITJ $.	7/SB 1/MNR 2/NK 3/-- 1/PAR 5/-- 0/-- 7/MO 7/MO 11/NK 7/OA 11/MNR 12/NK 7/MO 14/NK 7/SVP 16/-- 0/-- 18/MNR 19/NK 20/NK 20/--	case=nom|Sentiment::markable_16::Intensity=medium|gender=fem|Sentiment::markable_16::Sentiment=True|Source::markable_100500110::Anaphref=empty|Sentiment::markable_16::Sarcasm=false|num=sg|Sentiment::markable_16::Polarity=negative|Source::markable_100500110::Source=True Source::markable_100500110::Source=True|Sentiment::markable_16::Sentiment=True case=dat|gender=fem|Source::markable_100500110::Source=True|num=sg|Sentiment::markable_16::Sentiment=True Source::markable_100500110::Source=True|Sentiment::markable_16::Sentiment=True case=dat|gender=fem|Source::markable_100500110::Source=True|num=sg|Sentiment::markable_16::Sentiment=True Sentiment::markable_16::Sentiment=True EmoExpression::markable_100500111::Uncertain=false|EmoExpression::markable_100500111::Polarity=positive|EmoExpression::markable_100500111::Sarcasm=false|mood=ind|Sentiment::markable_16::Sentiment=True|pers=3|num=sg|tense=pres|EmoExpression::markable_100500111::Intensity=medium|EmoExpression::markable_100500111::SubjectiveFact=false|EmoExpression::markable_100500111::EmoExpression=True Sentiment::markable_16::Sentiment=True Sentiment::markable_16::Sentiment=True case=acc|num=sg|Target::markable_100500112::Anaphref=empty|gender=masc|Target::markable_100500112::Preferred=true|Sentiment::markable_16::Sentiment=True|Target::markable_100500112::Target=True case=acc|gender=masc|num=sg|Sentiment::markable_16::Sentiment=True|Target::markable_100500112::Target=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True case=dat|gender=neut|num=sg|Sentiment::markable_16::Sentiment=True Sentiment::markable_16::Sentiment=True|EmoExpression::markable_100500111::EmoExpression=True _ *=True _ case=dat|gender=fem|num=pl EmoExpression::markable_15::Polarity=negative|EmoExpression::markable_15::Intensity=medium|EmoExpression::markable_15::EmoExpression=True|EmoExpression::markable_15::SubjectiveFact=false|Sentiment::markable_16::Sentiment=True|EmoExpression::markable_15::Sarcasm=false|EmoExpression::markable_15::Uncertain=false _
374071956498554880	positive	Ohje . Aber wenigstens fahren nun wieder alle Züge %PosSmiley	Ohje . aber wenigstens fahren nun wieder alle Zug %PosSmiley	NE $. KON ADV VVFIN ADV ADV PIAT NN ITJ	0/-- 1/-- 5/JU 5/MO 0/-- 5/MO 5/MO 9/NK 5/SB 5/DM	case=nom|EmoExpression::markable_100500107::Intensity=medium|EmoExpression::markable_100500107::Polarity=negative|Sentiment::markable_18::Sarcasm=false|Sentiment::markable_18::Intensity=medium|*=True|EmoExpression::markable_100500107::Sarcasm=false|EmoExpression::markable_100500107::SubjectiveFact=false|Sentiment::markable_18::Polarity=positive|num=sg|EmoExpression::markable_100500107::EmoExpression=True|EmoExpression::markable_100500107::Uncertain=false|Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|mood=ind|pers=3|num=pl|tense=pres|Sentiment::markable_18::Sentiment=True|Target::markable_20::Anaphref=empty|Target::markable_20::Preferred=true Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True Target::markable_20::Target=True|Sentiment::markable_18::Sentiment=True case=acc|gender=masc|num=pl|Sentiment::markable_18::Sentiment=True|Target::markable_20::Target=True case=acc|gender=masc|num=pl|Sentiment::markable_18::Sentiment=True|Target::markable_20::Target=True EmoExpression::markable_19::EmoExpression=True|EmoExpression::markable_19::Uncertain=false|EmoExpression::markable_19::Intensity=medium|EmoExpression::markable_19::Sarcasm=false|EmoExpression::markable_19::SubjectiveFact=false|EmoExpression::markable_19::Polarity=positive|Sentiment::markable_18::Sentiment=True
362214654526758914	positive	Laut Ticketsystem ist der Wahlkampf zu 49,1 % abgeschlossen %PosSmiley %Link	laut Ticketsystem sein die Wahlkampf zu @card@ % abschließen %PosSmiley %Link	APPR NN VAFIN ART NN APPR CARD NN VVPP ITJ XY	9/MO 1/NK 0/-- 5/NK 3/SB 9/MO 8/NK 6/NK 3/OC 11/NK 9/OA	_ case=dat|*=True|num=sg pers=3|num=sg|tense=pres|mood=ind case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ _ gender=neut|*=True _ EmoExpression::markable_21::EmoExpression=True|EmoExpression::markable_21::SubjectiveFact=false|EmoExpression::markable_21::Uncertain=false|EmoExpression::markable_21::Polarity=positive|EmoExpression::markable_21::Sarcasm=false|EmoExpression::markable_21::Intensity=medium _
381020140189413376	positive	Derzeitiger Stand der FOCUS Online Wahlumfrage : AfD + über 58% - nice ! %PosSmiley %Link via %User	derzeitig Stand die Focus Online Wahlumfrage : AfD + über @card@ - nice ! %PosSmiley %Link via %User	ADJA NN ART NE NE NN $. NN KON APPR CARD $( NE $. ITJ XY APPR NE	2/NK 0/-- 6/NK 5/PNC 6/NK 2/AG 6/-- 2/MO 8/CD 11/MO 13/NK 11/-- 9/CJ 13/-- 13/NK 0/-- 0/-- 17/NK	case=nom|gender=masc|num=sg|pos=True case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg *=True *=True case=acc|gender=fem|num=sg _ case=acc|gender=masc|num=sg _ _ _ _ EmoExpression::markable_104010169::SubjectiveFact=false|EmoExpression::markable_104010169::Polarity=positive|EmoExpression::markable_104010169::Sarcasm=false|EmoExpression::markable_104010169::Uncertain=false|EmoExpression::markable_104010169::EmoExpression=True|EmoExpression::markable_104010169::Intensity=medium _ EmoExpression::markable_23::SubjectiveFact=false|EmoExpression::markable_23::Intensity=medium|EmoExpression::markable_23::EmoExpression=True|EmoExpression::markable_23::Polarity=positive|EmoExpression::markable_23::Uncertain=false|EmoExpression::markable_23::Sarcasm=false _ _ case=nom|gender=masc|num=sg
375337386982797312	positive	%PosSmiley deswegen SPD und UDE " Euch nervt gerade eure Internetgeschwindigkeit ? - Wir ändern das : %Link tvduell "	%PosSmiley deswegen SPD und Ude " ihr nerven gerade euer Internetgeschwindigkeit ? - wir ändern die : %Link tvduell "	ITJ PAV NE KON NE $( PPER VVFIN ADV PPOSAT NN $. $( PPER VVFIN PDS $. XY NN $(	3/NK 3/NK 8/SB 3/CD 4/CJ 5/-- 8/NK 0/-- 8/MO 11/NK 8/OA 11/-- 14/-- 15/SB 0/-- 15/OA 16/-- 19/PNC 15/MO 19/--	EmoExpression::markable_24::Intensity=medium|EmoExpression::markable_24::Sarcasm=false|EmoExpression::markable_24::Uncertain=false|EmoExpression::markable_24::Polarity=positive|EmoExpression::markable_24::EmoExpression=True|EmoExpression::markable_24::SubjectiveFact=false _ case=nom|gender=fem|num=sg _ case=nom|gender=fem|num=sg _ case=dat|*=True|num=pl|pers=2 pos=True _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _ _ case=nom|*=True|num=pl|pers=1 pers=1|num=pl|tense=pres|mood=ind case=acc|gender=neut|num=sg _ _ pos=True _
371308997107675136	positive	Eine Analyse des Wahlspots der CDU - - Der Kommentator dürfte kein CDU - Wähler sein %PosSmiley %Link	eine Analyse die Wahlspot die CDU - - die Kommentator dürfen keine CDU - Wähler sein %PosSmiley %Link	ART NN ART NN ART NE $( $( ART NN VMFIN PIAT NE $( NN VAINF ITJ XY	2/NK 0/-- 4/NK 2/AG 6/NK 4/AG 6/-- 9/-- 10/NK 11/SB 0/-- 15/NK 15/NK 13/-- 16/PD 11/OC 16/NK 17/NK	case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg case=gen|gender=neut|num=sg case=gen|gender=neut|num=sg case=gen|gender=fem|num=sg case=gen|gender=fem|num=sg _ _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg pers=3|num=sg|tense=past|mood=subj case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg _ EmoExpression::markable_25::Intensity=medium|EmoExpression::markable_25::Polarity=positive|EmoExpression::markable_25::Sarcasm=false|EmoExpression::markable_25::SubjectiveFact=false|EmoExpression::markable_25::Uncertain=false|EmoExpression::markable_25::EmoExpression=True _
365744457917804544	positive	Dazu kommen noch ca. 100 FlexiPlex Plakate von %User und Herbert Dobner und ein Grossplakat %PosSmiley . SPD ltwhe btw13	dazu kommen noch ca. 100 FlexiPlex Plakat von %User und Herbert Dobner und eine Grossplakat %PosSmiley . SPD ltwhe btw13	PAV VVFIN ADV ADV CARD NN NN APPR NE KON NE NE KON ART NN ITJ $. NE NN CARD	2/NK 0/-- 2/MO 5/MO 6/NK 2/SB 6/NK 7/PG 8/NK 9/CD 12/PNC 10/CJ 6/CD 15/NK 13/CJ 15/NK 12/-- 19/PNC 0/-- 19/NK	_ pers=3|num=pl|tense=pres|mood=ind _ _ _ case=acc|gender=neut|num=pl case=acc|gender=neut|num=pl _ case=dat|*=True|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg _ case=nom|gender=masc|num=sg case=nom|gender=masc|num=sg EmoExpression::markable_26::Sarcasm=false|EmoExpression::markable_26::EmoExpression=True|EmoExpression::markable_26::Uncertain=false|EmoExpression::markable_26::Intensity=medium|EmoExpression::markable_26::SubjectiveFact=false|EmoExpression::markable_26::Polarity=positive _ case=nom|gender=fem|num=sg case=nom|gender=fem|num=sg _
379306514689060864	mixed	Grüne 8,5 % ( zu viel ) , FDP 3,2 % ( zählt jetzt wohl zu Sonstige 3 %PosSmiley ) , CSU natürlich mit dicker Lippe , ist halt Bayern . %PosSmiley	Grüne 8,5 % ( zu viele ) , FDP @card@ % ( zählen jetzt wohl zu sonstig 3 %PosSmiley ) , CSU natürlich mit dick Lippe , sein halt Bayern . %PosSmiley	NN CARD NN $( APPR PIS $( $, NE CARD NN $( VVFIN ADV ADV APPR ADJA CARD ITJ $( $, NE ADV APPR ADJA NN $, VAFIN ADV NE $. ITJ	13/SB 3/NK 1/MO 3/-- 9/MO 5/NK 6/-- 7/-- 1/CJ 11/NK 9/MO 11/-- 0/-- 13/MO 13/MO 13/OP 16/NK 17/NK 22/NK 19/-- 20/-- 28/SB 22/MO 22/MO 26/NK 24/NK 26/-- 13/CJ 28/MO 28/SB 30/-- 0/NK	case=nom|*=True|num=pl _ gender=neut|*=True _ _ *=True _ _ case=nom|gender=fem|num=sg _ gender=neut|*=True _ pers=3|num=sg|tense=pres|mood=ind _ _ _ _ _ EmoExpression::markable_28::Intensity=medium|EmoExpression::markable_28::Sarcasm=false|EmoExpression::markable_28::SubjectiveFact=false|EmoExpression::markable_28::Polarity=positive|EmoExpression::markable_28::EmoExpression=True|EmoExpression::markable_28::Uncertain=false _ _ case=nom|gender=fem|num=sg _ _ case=dat|EmoExpression::markable_104010170::EmoExpression=True|EmoExpression::markable_104010170::Uncertain=false|EmoExpression::markable_104010170::SubjectiveFact=false|gender=fem|EmoExpression::markable_104010170::Polarity=negative|pos=True|EmoExpression::markable_104010170::Intensity=medium|num=sg|EmoExpression::markable_104010170::Sarcasm=false case=dat|gender=fem|EmoExpression::markable_104010170::EmoExpression=True|num=sg _ mood=ind|EmoExpression::markable_104010171::EmoExpression=True|EmoExpression::markable_104010171::Uncertain=false|EmoExpression::markable_104010171::Polarity=negative|EmoExpression::markable_104010171::Sarcasm=false|pers=3|num=sg|tense=pres|EmoExpression::markable_104010171::SubjectiveFact=false|EmoExpression::markable_104010171::Intensity=medium EmoExpression::markable_104010171::EmoExpression=True case=nom|gender=neut|num=sg _ EmoExpression::markable_29::Uncertain=false|EmoExpression::markable_29::EmoExpression=True|EmoExpression::markable_29::Polarity=positive|EmoExpression::markable_29::Sarcasm=false|EmoExpression::markable_29::Intensity=medium|EmoExpression::markable_29::SubjectiveFact=false
373469904780808193	positive	Habe auch kein anderes Ergebnis erwartet %PosSmiley SPD + fb	haben auch keine andere Ergebnis erwarten %PosSmiley SPD + fb	VAFIN ADV PIAT PIS NN VVPP ITJ NE KON NN	0/-- 5/MO 5/NK 5/NK 1/SB 1/OC 8/NK 6/MO 8/CD 9/CJ	case=nom|gender=neut|num=sg _ case=nom|gender=neut|num=sg case=nom|gender=neut|num=sg|pos=True case=nom|gender=neut|num=sg _ case=nom|gender=fem|EmoExpression::markable_30::EmoExpression=True|EmoExpression::markable_30::Uncertain=false|num=sg|EmoExpression::markable_30::Intensity=medium|EmoExpression::markable_30::SubjectiveFact=false|EmoExpression::markable_30::Polarity=positive|EmoExpression::markable_30::Sarcasm=false case=nom|gender=fem|num=sg _ case=nom|*=True
380299058142662657	positive	So , der 24- Stunden - Wahlkampf kann kommen ! %PosSmiley LINKE btw13	so , die 24- Stunde|Stunden - Wahlkampf können kommen ! %PosSmiley linken btw13	ADV $, ART TRUNC NN $( NN VMFIN VVINF $. ITJ VVFIN CARD	9/MO 1/-- 8/SB 7/CJ 4/NK 5/-- 8/SB 0/-- 8/OC 9/-- 1/DM 11/-- 0/NK	_ _ case=nom|gender=masc|num=sg _ case=acc|gender=fem|num=pl _ case=acc|gender=masc|num=sg pers=3|num=sg|tense=pres|mood=ind _ _ EmoExpression::markable_31::Sarcasm=false|EmoExpression::markable_31::EmoExpression=True|EmoExpression::markable_31::Uncertain=false|EmoExpression::markable_31::Intensity=medium|EmoExpression::markable_31::SubjectiveFact=false|EmoExpression::markable_31::Polarity=positive pers=3|num=sg|tense=past|mood=ind _
