sentenceid	sentenceurl	sentence	fact_rater1	fact_rater2	fact_rater3	fact_majority	pol_rater1	pol_rater2	pol_rater3	pol_majority
14	http://www.panikattacken.at/angst/angst.htm	Angst ist ein ganz normaler menschlicher Gefühlszustand wie Liebe , Freude , Ärger , Wut oder Trauer und tritt gewöhnlich als Reaktion auf bedrohlich , ungewiss oder unkontrollierbar beurteilte Ereignisse und Situationen auf .	o	o	o	o	0	0	0	0
15	http://www.lebensmittelwelt.de/tree.html	Schon deshalb , weil es in Verbindung mit dem umfassenden Borco-Höhns Service die unverzichtbare Sicherheit im täglichen Einsatz bietet .	s	o	s	s	+	0	+	+
16	http://kraetzae.de/sonstiges/news/news0199/&amp;d=1	Außerdem fehle es an ausreichendem Leistungsdruck in der Schule .	s	s	s	s	-	-	-	-
17	http://www.silicon.de/management/analyse/0,39044010,39175126,00/sind_sie_fit_im_datenschutz.htm	Gleichzeitig sollte er angemeldete und nicht angemeldete Kontrollen vor Ort durchführen und auch in Gesprächen ermitteln , wie bewusst den einzelnen Mitarbeitern die Erforderlichkeit des Datenschutzes ist .	o	o	o	o	0	0	0	0
18	http://linroproject.npage.de/get_file.php?id=9260892&amp;vnr=873210	Die Bewegung der extrem detaillierten Raumschiffe basiert auf realen physikalischen Gesetzen .	o	o	o	o	0	0	0	0
19	http://www.talk-about-wine.de/pop_printer_friendly.asp?TOPIC_ID=5747	Es sind keine intellektuellen Überflieger , sondern saftige , reife , runde Weine voller Saft und Kraft , voller Frische und Ausdruck , denen man mit Genuß hinterher schmeckt , ohne groß über deren Qualität zu reflektieren .	s	s	s	s	+	+	+	+
20	http://www.dieterwunderlich.de/Verhoeven_instinct.htm	Die intelligente , reiche , attraktive und laszive Autorin verdreht den Kriminalbeamten die Köpfe .	s	s	s	s	+	+	+	+
21	http://www.oberberg-heute.de/index.php?act=vp&amp;cid=1&amp;pid=2598&amp;mailarticle=1	Sie müssen nun keine Angst vor dem schrecklichen Phantom haben , dass in Deutschland schon etliche Tiere auf offener Weide und in Ställen niedergemetzelt hat und bis heute unentdeckt bleibt .	s	s	s	s	+	-	-	-
22	http://www.maerchenlexikon.de/at-lexikon/at712.htm	Sie erhält die wunderbare Gabe , Krankheiten zu heilen , und geniesst hohes Ansehen .	s	s	s	s	+	+	+	+
23	http://www.journalmed.de/newsview.php?id=8496	Es entsteht der Eindruck , als könne man unter allen Rahmenbedingungen den ärztlichen Verpflichtungen nachkommen und als gäbe es kein ethisches Problem .	s	s	s	s	-	-	-	-
24	http://basisgruen.gruene-linke.de/gruene/bund/bdk/rostock/01-11-15--kotting-uhl.html	Zu diesen Waffen gehören Armutsbekämpfung , Gesundheitsversorgung , Bildung , gerechte Handelsbedingungen sowie Abbau und Prävention von internationaler Verschuldung .	s	s	s	s	0	+	0	0
25	http://kinderrechte.familie-ist-zukunft.de/?p=1	Die staatliche Gemeinschaft achtet , schützt und fördert die Rechte des Kindes und trägt Sorge für kindgerechte Lebensbedingungen .	o	s	s	s	+	+	+	+
26	http://www.pi-news.net/2010/10/der-sich-wandelnde-zeitgeist-und-stuttgart-21/	Es ist legitimer Antrieb , sich gegen ein unvermeidliches Los aufzulehnen .	s	s	s	s	0	0	0	0
27	http://www.nabu.de/tiereundpflanzen/voegel/tippsfuerdiepraxis/05991.html	Ziel sollte keine Vernichtung , sondern ein kleiner gesunder Taubenbestand sein , denn auch Stadttauben zählen zur Artenvielfalt unserer Siedlungen .	s	o	s	s	0	0	0	0
28	http://www.bertelsmann-stiftung.de/cps/rde/xchg/bst/hs.xsl/nachrichten_4270.htm	Schließlich sollte der Missbrauch des Internets durch wirksame Sanktionen verhindert werden .	s	s	s	s	-	-	-	-
29	http://www.agpf.de/Schneeballsystem.htm	Seit 1986 ist die sog. Schneeballwerbung verboten und mit nicht unerheblicher Strafe bedroht .	o	o	s	o	-	0	-	-
30	http://www.ainfos.ca/02/may/ainfos00467.html	Es ist erwähnenswert , dass im Fall unseres Compañeros , Rafael López Santiz , die Vicente Fox Regierung darauf bestand ihn bis gestern eingesperrt zu halten , obwohl er seine Strafe bereits vor einiger Zeit abgeleistet hatte , und er seit mehr als drei Jahren unter schlechter Gesundheit aufgrund der anhaltenden Gefangenschaft und fehlender Aufmerksamkeit für sein fortgeschrittenes Alter zu leiden hatte .	s	s	s	s	-	-	-	-
31	http://www.salmoxisbote.de/Bote16/Grimsen.htm	Der Stand der Proktologen ist darauf angewiesen , nichts zuzahlen zu müssen , blanke ehrbare erbarmungswürdige Not sitzt ihm auf der Nase und ist behilflich beim Studium der Sparte Termine .	s	s	s	s	-	-	-	-
32	http://www.viva.de/film.php?op=tv&amp;what=show&amp;Artikel_ID=42070	Der Mauerfall war für sie kein reiner Segen .	s	s	s	s	-	-	-	-
33	http://www.sz-online.de/jungeszene/news.asp?ausgabe=319&amp;etag=28.03.2007	Ebenso erteilten die im Institut für Rechtsmedizin in Hamburg gezeigten Leichen keine Genehmigung dazu , von interessierten Besuchern besichtigt zu werden .	s	s	s	s	-	-	-	-
34	http://www.vampyrbibliothek.de/vampire/vampire-texte.htm	Die tieferen Ursachen der Faszination sind Ängste und Begierden , die Sucht nach Leben und die Sehnsucht nach Unsterblichkeit .	o	s	o	o	0	-	0	0
35	http://www.ralf-woelfle.de/elektrosmog/biologie/esr_icnirp.htm	Die Studie von Lai und Singh ( 1995 , 1996 ) , bei der Brüche in der Erbsubstanz bei einer SAR von etwa 1 Watt pro kg festgestellt worden waren , habe erhebliche methodische Fehler aufgewiesen .	o	o	o	o	-	-	-	-
36	http://www.here-now4u.de/hat_uns_vivekananda_heute_etwa.htm	Für einen jungen Mann von 30 Jahren , verhältnismäßig unbekannt , aus einem Land von politisch subjektiven Menschen und konfusen nationalistischen Hoffnungen , muß es enormen Muts und Selbstsicherheit bedurft haben , nach Übersee , in eine völlig andere Umgebung zu reisen und sich vor eine Versammlung der Guten und Großen zu stellen , die keine Vorstellung hatten , was sie erwarten sollten , und sie für sich zu gewinnen .	s	s	s	s	+	+	+	+
37	http://www.antipsychiatrie.de/io_05/medizinische_versorgung.htm	Das Schlimmste aber war eine mir unerklärliche starke innere Unruhe und das gleichzeitige Unvermögen , mich normal zu bewegen .	s	s	s	s	-	-	-	-
38	http://www.lateinamerikanachrichten.de/index.php?/print/600.html	Seit dem Übergang zur Demokratie 1990 hat es zwar einige oberflächliche Änderungen ( am Bildungssystem ) gegeben , aber man hat am Großteil der Definitionen festgehalten , auf Grund derer es heute keine nachhaltige Unterstützung für Jugendliche , die ihr Studium nicht selbständig finanzieren können , gibt .	s	s	s	s	-	-	-	-
39	http://www.morgenpost.de/printarchiv/politik/article318228/Stuermische_Zeiten_in_Wolfsburg.html	Miese Ertragslage , mangelhafte Qualität , zu hohe Kosten und Probleme in den USA .	s	s	s	s	-	-	-	-
40	http://www.jugendhilfe-cottbus.de/index.php?sid=10	Die Ungerechtigkeit , dass reiche Familien von den Steuerfreibeträgen stärker profitieren , hätte somit ein Ende gefunden .	s	s	s	s	-	-	+	-
41	http://www.doew.at/thema/thema_alt/rechts/burschen/burschis.html	Als Folge der Eskalation rassistisch motivierter Gewalt Ende 1993 setzte seitens der FPÖ-Spitze jedoch eine gewisse Absetzbewegung vom eigenen korporierten Umfeld ein .	s	s	s	s	-	-	-	-
42	http://www.infodocc.info/rss/article/51olg-frankfurt-internetabofallen-stellen-gewerbsmaessigen-betrug-dar.html	Sie besteht in der Vorspiegelung falscher oder in der Entstellung oder Unterdrückung wahrer Tatsachen .	s	s	s	s	-	-	-	-
43	http://www.thorwal-standard.de/namenlos.htm	Es ist erschreckend , wie viel Kraft diese unseligen Kreaturen aus ihrem falschen Glauben zu schöpfen vermögen .	s	s	s	s	-	-	-	-
44	http://www.kindergartenpaedagogik.de/102.html	Werden jedoch Gefühle , Befindlichkeiten und Stimmung nicht angesprochen , so entwickeln sie indirekt destruktive Kräfte .	o	o	o	o	-	0	-	-
45	http://www.kommunisten-online.de/Kriegstreiber/irak_ne.htm	Die USA-Taktik könnte durchaus darauf abzielen , diese Grundlagen des Staates weiter zu erschüttern , die arabische Welt um diese wichtige Nation zu bringen und diese Nation ins absolute Elend zu stürzen .	s	s	s	s	-	-	-	-
46	http://www.inkultura-online.de/brun2.html	In der Regel ist die Lebenslinie voll von Trauer , Hoffnung , Verzweiflung , Einsamkeit und Suchen nach dem eigenen , authentischen Weg .	s	s	s	s	0	-	-	-
47	http://www.ra-kotz.de/kapitalanlage.htm	Weiter müsse berücksichtigt werden , dass den von der Klägerin übernommenen Kreditanteilen im Hinblick auf deren zweitrangige Absicherung keine realen Sicherheiten gegenübergestanden hätten .	o	o	o	o	-	0	-	-
48	http://www.fes.de/ipg/ipg4_2000/Artluh.htm	Sie ist in Wahrheit Ausdruck einer Verzagtheit , die die strategische Phantasie blockiert und so zu tatsächlicher Machtlosigkeit mutiert .	s	s	s	s	-	-	-	-
49	http://www.krebsgesellschaft.de/re_gallenblase_gallenwege,4158.html	Bislang sind keine sicheren Risikofaktoren bekannt , allerdings wurden bei 70-98 Prozent aller bösartigen Gallenblasentumoren und bei 26-50 Prozent aller Gallenwegstumoren Gallensteine in der Gallenblase gefunden .	o	o	o	o	0	0	-	0
50	http://www.frankfurt-main.ihk.de/branchen/immobilien/immobilienboerse/archiv/wohnimmobilien_vortaunus/index.html	Der Markt für freistehende Einfamilienhäuser bis ca. 700.000 Euro war von einer guten Nachfrage bei einem schwachen Angebot geprägt , wobei die Käufer hohe Ansprüche an Qualität und Lage stellten .	o	o	o	o	0	0	0	0
51	http://www.wecker.de/backstage_recht2.php?ide=177	"Es gehe darum , "" negative Energie in positive Energie der Versöhnung zu verwandeln "" sowie "" dem Wahnsinn Einhalt zu gebieten und das Unmögliche möglich zu machen "" ."	s	o	o	o	+	0	0	0
52	http://www.playbasketball.de/coach/Sportverletzungen.htm	Symptome sind heftige Schmerzen bei Bewegung und Druck , Schwellung , Bluterguss , abnorme Gelenkstellung und Beweglichkeit .	o	o	o	o	-	0	-	-
53	http://www2.hu-berlin.de/amnesty/www/?page_id=4	"Seit 1973 , als die "" Urgent Action "" ( UA ) erstmals im Rahmen der damaligen Kampagne gegen die Folter gestartet wurde , stellen die Eilaktionen die schnellste aller Arbeitsmethoden dar , auf bekannt gewordene Menschenrechtsverletzungen zu reagieren und deren Unterlassung zu fordern ."	o	o	o	o	0	0	+	0
54	http://www.bverwg.de/enid/0,d6488b655f76696577092d0964657461696c093a096d6574615f6e72092d09313237093a095f7472636964092d0931393535/Entscheidungen/Entscheidung_8n.html	Die GFK ist demzufolge nicht auf Personen anwendbar , gegen die ein ernsthafter Verdacht besteht , Verbrechen gegen den Frieden , ein Kriegsverbrechen oder ein Verbrechen gegen die Menschlichkeit begangen zu haben .	o	o	o	o	0	0	0	0
55	http://de.wikipedia.org/wiki/Demokratischer_Sozialismus	Ohne den Kampf der Massen keine sozialen Reformen .	s	o	o	o	0	0	0	0
56	http://www.lateinamerika-nachrichten.de/index.php?/print/158.html	Es zeichnet sich keine Kraft innerhalb des Regierungsblockes ab , die eine Linie vorgeben kann .	s	o	o	o	-	0	-	-
57	http://www.igfm.de/Detailansicht.384+M5d6490a4f51.0.html	Er leidet zudem unter starkem Bluthochdruck sowie an einer Zahnfleischentzündung .	o	o	s	o	-	0	-	-
58	http://www.textlog.de/2518.html	Dieses zielt gerade darauf ab , den Menschen zu einem elenden schwachen Ding zu machen , das von Lust , Zärtlichkeit und Schmerzen so überwältigt wird , dass es keine wirksame Kraft mehr behält , dem alle Standhaftigkeit und aller männliche Mut fehlt .	s	s	s	s	-	-	-	-
59	http://www.nexusboard.net/showthread.php?siteid=2293&amp;threadid=205238	Der nächste Krieg , wenn er nicht noch verhindert werden kann , wird noch schlimmer werden .	s	s	s	s	-	-	-	-
60	http://www.chiapas.eu/news.php?id=434	Aber trotz der brutalen Repression , mit der die Kaziken ihre Vormachtstellung behaupten wollten , gelang es der Bevölkerung ab ca. 1970 , die zerstörten kollektiven demokratischen Strukturen auf den verschiedenen Ebenen der zapotekischen Gesellschaft wieder einzuführen .	s	s	s	s	+	+	+	+
61	http://blog.gpa-djp.at/bildung/files/2010/11/GPA-SEMINAR.pdf	Der Erholungsurlaub wird daher bei Erkrankung eines nahen Angehörigen ähnlich beeinträchtigt wie bei eigener Erkrankung , weshalb eine Unterbrechung des Erholungsurlaubs zu erfolgen hat .	o	o	o	o	-	0	-	-
62	http://www.dbk.de/presse/details/?presseid=1037&amp;cHash=638c8a5b37d19b322ac127593195b407	Nur auf diese Weise ist es möglich , dem Problem des gewaltigen unerlaubten Waffenhandels insgesamt wirksam zu begegnen .	s	o	s	s	0	0	0	0
63	http://www.bvss.de/index.php?option=com_content&amp;view=article&amp;id=4&amp;Itemid=21	Negative Reaktionen der Mitmenschen wie Hohn und Ablehnung , aber auch Mitleid oder Verlegenheit können noch dazu beitragen , dass sich die stotternde Person zurückzieht .	o	o	o	o	-	0	-	-
64	http://www.a-saph.de/downs/Reue.pdf	Wenn du nicht in die Hölle willst , dann sei demütig und ertrage auch die schlimmste Folter ohne Hass auf deine Peiniger , denn es ist letztlich nur um deiner Seele Willen , sie vor der Hölle zu bewahren .	s	o	o	o	0	0	-	0
65	http://www.politik.de/forum/balkan/65450-milosevic.html	Milosevic ist wegen Völkermordes , Kriegsverbrechen und Verbrechen gegen die Menschlichkeit während der Kriege in Kroatien , Bosnien und im Kosovo in den 90er Jahren angeklagt .	o	o	o	o	-	0	-	-
66	http://cms.ihk-trier.de/ihk-trier/Integrale?SID=CRAWLER&amp;ACTION=ViewPageView&amp;MODULE=Frontend&amp;PageView.PK=13&amp;Document.PK=2653	Es zeigt sich immer deutlicher , dass viele Probleme der Berufsausbildung in unseren Schulen beginnen .	s	s	s	s	-	-	-	-
67	http://www.fes.de/ipg/ipg3_2001/artschatten.htm	Ihnen dürfte klar sein , dass eine Massenrückwanderung von Flüchtlingen ( wenn sie denn tatsächlich zustande käme ) die demographischen Verhältnisse im Westjordanland und vor allem in Gaza völlig umstürzen und zum sozialen Chaos führen müssten .	s	s	s	s	-	-	-	-
68	http://www.michaels-reisetagebuch.com/thai/page10.html	Der heutige Mittwoch war von extremer Tatenlosigkeit und Langeweile geprägt .	s	s	s	s	-	-	-	-
69	http://ln-berlin.de/index.php?/artikel/540.html	Viele Kollegen haben handfeste familiäre Probleme , können ihre Kinder bei deren Ausbildung nicht mehr unterstützen .	s	s	s	s	-	-	-	-
70	http://www.wir-sind-kirche.de/fulda-hanau/Oekumene_Kardinal_Lehman_Der_Weg_zur_Einheit.htm	"Die Bewegung für praktisches Christentum ( Life and Work , 1925 ) nahm diese Impulse auf und wollte nicht nur an der Lösung vor allem sozialer Probleme mitwirken , sondern auch den politischen Einheitsbestrebungen der Welt eine "" christliche Seele "" geben , wie z. B. dem Völkerbund ."	o	s	s	s	0	+	+	+
71	http://www.salmoxisbote.de/Bote16/Charms.htm	Und so galt , zu Zeiten des großen Kaisers Alexander Vilberdat , einem erwachsenen Menschen ein Kind zu zeigen als höchste Beleidigung .	o	o	o	o	-	0	-	-
72	http://www.agsp.de/UB_Veroffentlichungen/Aufsatze/Aufsatz_43/hauptteil_aufsatz_43.html	Zeigt das Kind immer wieder Gefühle intensiver Angst , massiver Hilflosigkeit und/ oder extremer Wut , ODER löst es diese Gefühle bei anderen Menschen aus , dann ist die Wahrscheinlichkeit groß , dass eine Traumatisierung erfolgt ist .	o	o	s	o	-	0	-	-
73	http://www.netdoktor.de/News/Parodontitis-Fast-jeder-zwe-1114614.html	Stärkster Risikofaktor sei das Rauchen .	s	o	s	s	-	0	-	-
74	http://www.3-welten.de/sr/downloads/Abeneuer/black_sun.pdf	Dyner ist selbst für die Schatten eine zwielichtige Persönlichkeit mit mehr als zweifelhaftem Ruf .	s	s	s	s	-	-	-	-
75	http://de.wikiactu.com/?cat=2164	Taylor , der in den Vereinigten Staaten studiert hatte , werden Mord , Vergewaltigung und Verbrechen gegen die Menschlichkeit im Zusammenhang mit dem Krieg in Sierra Leone vorgeworfen .	o	s	s	s	-	-	-	-
76	http://www.foerderkreis-neues-gymnasium-glienicke.de/	Sozial schwächeren Schülern wurde die Teilnahme an Klassenfahrten ermöglicht .	o	s	s	s	+	+	+	+
77	http://www.projektwerkstatt.de/hoppetosse/internat/us_brief.html	Getrieben von tiefster Sorge um den Weltfrieden und aus Angst vor einer Vervielfältigung des Schreckens schreiben wir diese Zeilen .	s	s	s	s	-	-	-	-
78	http://www.busfahrer-magazin.de/forum/viewtopic.php?t=112	Doch diese Bilder sind geschickte Manipulationen .	s	s	s	s	-	-	-	-
79	http://www.netdoktor.de/Krankheiten/Multiple-Sklerose/Therapie/Multiple-Sklerose-Physiotherap-9936.html	Mit begrenzten Kräften aber viel Einsatz .	s	s	s	s	+	+	+	+
80	http://blog.metaroll.de/2008/11/25/studium-20-vertrauen-studenten-der-wikipedia/	Sechs von zehn Studierenden und Mitarbeitern sehen jedoch deutlichen Nachholbedarf .	o	s	o	o	-	-	0	-
81	http://www.reconquista-europa.com/archive/index.php/t-37577.html	Die Form der kritiklosen Unterwerfung und fanatischen Verehrung durch die dreieinhalb Millionen Palästinenser verhinderte die Schaffung demokratischer Einrichtungen und einer politischen Ordnung , in der diese sich als Volk hätten wiedererkennen können .	s	s	s	s	-	-	-	-
82	http://www.lsvd.de/177.98.html	Vorurteile der heterosexuellen Mehrheit gegenüber einer homosexuellen Minderheit sind keine ausreichende Rechtfertigung für Eingriffe in das Privatleben , ebenso wenig wie ähnliche negative Einstellungen gegenüber Personen anderer Rasse , Abstammung oder Hautfarbe .	s	s	s	s	-	-	-	-
83	http://www.aus-portal.de/rechtsprechung/entscheidungen/ctg1079949824131/1194.html	Obwohl auch er - wie das Arbeitsgericht zutreffend herausgestellt hat - nicht unerhebliche Nachteile hat , z. B. eine Rentenminderung wegen der Inanspruchnahme der Rente zu einem früheren Zeitpunkt und wegen vorhergehender Arbeitslosigkeit hinnehmen muß , ist der Ausschluß von den Sozialplanleistungen unter Berücksichtigung der konkreten Umstände des vorliegenden Falles nicht unwirksam .	o	o	o	o	-	0	-	-
84	http://www.xidee.com/maria/content/view/13/	Wenn wir bedenken , daß der durch Jahrtausende sicherste Ort menschlicher Geborgenheit , der Schoß der Mutter , zum frei manipulierbaren Schlachtfeld gegen das von Gott zur Einmaligkeit bestimmte wehrlose Menschenkind geworden ist .	s	s	s	s	-	-	-	-
85	http://www.ftd.de/unternehmen/versicherungen/:unisex-tarife-reine-propaganda/60019892.html	Reine Propaganda .	s	s	s	s	-	-	-	-
86	http://www.ralf-woelfle.de/elektrosmog/biologie/fort.htm	Das Neuroblastom ist ein Tumor nicht ausgereifter Nervenzellen .	o	o	o	o	-	0	-	-
87	http://www.gestalt.de/perls_gestalttherapie_buch.html	Das Symptom eines derartigen Vertrauensverlustes in autonome Prozesse ist die Konstruktion eines entfremdeten Selbst , das sich von der ' Außenwelt ' furchtsam zurückzieht und immer kleiner wird , bis es - einem im eigenen Schädel belagerten Homunkulus gleich - darauf reduziert ist , den Körper zu manipulieren , als sei er eine ungeschlachte Maschine , und in fieberhafter Angst immer neue Abwehr- und Angriffsstrategien zu entwerfen .	s	s	s	s	-	-	-	-
88	http://www.dvdcheck.de/reviews/angel_heart.htm	Von letzterem gibt es schweißtreibend genug , zudem wirkt diese bedrohliche , mystische , extrem dichte und schmuddelige Atmosphäre massiv auf den Betrachter ein .	s	s	s	s	-	-	-	-
89	http://attac-typo.heinlein-support.de/attac-typo3/archive/GATS/www.attac.de/gats/hintergrund/03_04_07_stellungnahme_fritz.html	Für soziale Bewegungen wie Attac und andere verbanden sich bisher keinerlei Chancen mit der laufenden GATS-Runde , da es keine hinreichende Transparenz der Verhandlungen gab .	s	s	s	s	-	-	-	-
90	http://www.netzwerkafrika.de/dcms/sites/nad/laender/kamerun/ereignisse/archiv1990-2000.html	Ökonomisten befürchten eine stärkere Inflation und eine Destabilisierung der Wirtschaft und mögliche soziale Spannungen .	s	s	s	s	-	-	-	-
91	http://www.medizinauskunft.de/artikel/diagnose/krankheiten/Ruecken_Gelenke/11_06_angst_ruecken.php	Denn mit der Schmerzerfahrung beginnt ein Teufelskreis , aus Angst vor Schmerzen und Angst vor Bewegung .	o	o	s	o	-	0	-	-
92	http://www.tentmaker.org/german-articles/dieholle.htm	Und diese Unerreichbarkeit sei selbstverschuldet , sei das Ergebnis beharrlichen , bewußten Widerstandes , frecher Auflehnung gegen Gott und Seinen Christus .	s	s	s	s	-	-	-	-
93	http://www.wikiweise.de/wiki/F.W.A.%20Sert%C3%BCrner	Er zeigt sich durch Schmerz in der Magengegend , Ermattung und starke an Ohnmacht grenzende Betäubung .	o	o	o	o	-	0	-	-
94	http://www.verbraucherzentrale-niedersachsen.de/link542161A	Zum Schmerz über den Verlust eines geliebten Menschen wollen nüchterne Entscheidungen über Bestattungsformalitäten gar nicht passen .	s	s	s	s	-	-	-	-
95	http://www.wasser.de/aktuell/forum/index.pl?job=thema&amp;tnr=100000000002137	Es gibt keine sichere Kontrolle , wann ein Filtereinsatz gewechselt werden muß .	o	o	o	o	-	0	-	-
96	http://www.dctb.de/dctb/medien/1artikel.php?we_objectID=933	Eine Drachme war ein Tagelohn , und wenn der Knecht eine Million Drachmen Schulden hatte , war er faktisch mit unbezahlbarer Schuld beladen .	o	o	o	o	-	0	-	-
97	http://www.horst-walther.de/travel/roedelei/grsisbel.htm	Er blieb fast eine Viertel Stunde und erzählte ein wenig über den vergangenen Abend und klagte mir sein Leid über den Kühler , dann das Ding einfach nicht richtig dicht zu kriegen sei und daß es hier am Orte keine Kühlerreparaturwerkstätte gäbe .	o	o	o	o	-	0	-	-
98	http://geschaut.com/?s=20437&amp;p=&amp;c=random	Ich habe jetzt starke Schmerzen , wie Messerstiche so scharf .	s	s	s	s	-	-	-	-
99	http://www.aufrecht.de/3802.html	Der Skandal-Schiri hat zahlreiche Manipulationen mittlerweile eingeräumt - in Berlin gab es bereits erste Verhaftungen .	s	s	s	s	-	-	-	-
100	http://www.verkehrslexikon.de/Texte/EUFahrerlaubnis43.php	Spätestens bei einer Verkehrskontrolle werden die deutschen Behörden in der Folge Zweifel an der Eignung erheben .	o	o	s	o	-	0	-	-
101	http://www.kirche-ahlerstedt.de/Gemeindebrief/27_Mai__Juni_2010.pdf	Geburt , Tod , Krankheit und Heilung , Freude und Klage .	o	s	o	o	0	0	0	0
102	http://www.dieterwunderlich.de/Newell_hochzeiten.htm	Hochzeit und Beerdigung , Leben und Tod , Glück und Trauer , Lachen und Weinen gehören hier zusammen .	s	s	s	s	+	0	0	0
103	http://dip.bundestag.de/btd/15/044/1504481.pdf	Die Problematik einer allgemein akzeptablen Definition des Terrorismus mit der Abgrenzung von Terrorismus und Freiheitskampf konnte auf diese Weise bisher aus den Übereinkommen herausgehalten werden .	o	o	o	o	0	0	0	0
104	http://gutenberg.spiegel.de/buch/4493/1	Zuletzt gießen Sie wenig Weingeist hinzu und bewahren die gut verschlossene Flasche an kühlem Ort auf .	o	o	o	o	0	0	0	0
105	http://www.gestalt.de/provokative_therapie_1.html	"Sein Buch "" Provokative Therapie "" liegt in deutscher , italienischer und französischer Übersetzung vor ."	o	o	o	o	0	0	0	0
106	http://www.jochen-hippler.com/Aufsatze/Burgerkrieg_und_Wiederaufbau_i/burgerkrieg_und_wiederaufbau_i.html	Systematischer Widerstand hätte diesen einfachen Weg zur Macht eher gefährdet denn gefördert , er wäre also kontraproduktiv gewesen .	s	s	s	s	-	-	-	-
107	http://www.gemeindearchiv.at/nc/gemeindearchive/dokumente/ptr/1/sort/sizedesc/	Sie liefert Meldungen über das politische Ortsgeschehen , interessante Bräuche und kulturelle Veranstaltungen oder greift ernste , soziale , kirchliche , lustige oder kuriose Themen auf .	o	o	o	o	0	0	0	0
108	http://www.textezumfilm.de/sub_detail.php?id=255	Liebe und Freundschaft , Rache , Treue und Verrat .	o	s	o	o	0	0	0	0
109	http://www.konrad-fischer-info.de/11entwf.htm	Konservierung oder Renovierung , Reparatur oder Austausch , Erhaltung oder Abbruch , Nutzungsverzicht oder Übernutzung sind neben der Frage nach Reversibilität der neuen Konstruktionen die Maßstäbe , an denen der Entwurf am Baudenkmal gemessen werden müßte .	s	o	s	s	0	0	0	0
